id,user,monologue,ai
1,Cześć!,,Cześć! Jak mogę pomóc?
2,Hej!,,Hej! Co mogę dla Ciebie zrobić?
3,Hejka!,,Hejka! Jak mogę pomóc?
4,"Cześć, jesteś tam?",,"Tak, jestem! Czego potrzebujesz?"
5,"Hej, jesteś tam?",,"Tak, jestem! Mów."
6,Dzień dobry!,,Dzień dobry! Co dziś planujesz?
7,"Dzień dobry, jak się masz?",,"Dzień dobry! Dobrze, a Ty?"
8,Dobry wieczór!,,Dobry wieczór! Jak minął dzień?
9,"Dobry wieczór, jak minął dzień?",,Spokojnie i dobrze. A Twój?
10,"Hej, jak się masz?",,"Dobrze, dzięki! A Ty?"
11,"Cześć, jak się masz?",,"Dobrze, dzięki! Jak się masz?"
12,Jak leci?,,Dobrze! A Tobie?
13,Jak się dziś masz?,,Czuję się dobrze! A Ty?
14,Wszystko dobrze?,,"Tak, wszystko dobrze! A u Ciebie?"
15,Co słychać?,,Niewiele. A u Ciebie?
16,Co robisz?,,Rozmawiam z Tobą. A Ty?
17,Jeszcze nie śpisz?,,"Tak, zawsze czuwam. A Ty?"
18,Gotowy?,,"Tak, gotowy! Mów."
19,Masz minutkę?,,"Tak, mam dla Ciebie czas."
20,Pomożesz szybko?,,"Jasne, czego potrzebujesz?"
21,Pa!,,Pa! Do zobaczenia!
22,"Pa, do zobaczenia!",,"Do zobaczenia, trzymaj się!"
23,Do później!,,Do później!
24,Do jutra!,,Do jutra!
25,Trzymaj się!,,"Ty też, trzymaj się!"
26,Miłego weekendu!,,"Dzięki, nawzajem!"
27,Dobranoc!,,"Dobranoc, śpij dobrze!"
28,Śpij dobrze!,,Dzięki! Ty też śpij dobrze.
29,Nudzi mi się,,Może quiz albo porozmawiamy o czymś?
30,Tu nudno,,To to rozruszajmy. Na co masz ochotę?
31,Fajnie!,,Fajnie!
32,Super!,,Super!
33,Haha,,Haha!
34,Hahaha :),,"Haha, miło słyszeć!"
35,Jestem zmęczony,,To dobrze odpocznij!
36,Jestem podekscytowany,,Świetnie! Opowiedz.
37,Wreszcie weekend!,,Tak! Jakie masz plany?
38,Dziś ładna pogoda,,"Tak, korzystaj ze słońca!"
39,Jestem głodny,,To zjedz coś dobrego!
40,Chce mi się pić,,To wypij szklankę wody!
41,Co dziś w planach?,,Mój plan: pomagać Tobie. A Twój?
42,"Hej, co dziś w planach!",,Mój plan: pomagać Tobie. A Twój?
43,"Cześć, co dziś w planach?",,Mój plan: pomagać Tobie. A Twój?
44,"Hejka, co dziś w planach?",,Mój plan: pomagać Tobie. A Twój?
45,Plany na weekend!,,Jeszcze nic pewnego. Masz plany?
46,"Hej, plany na weekend?",,Jeszcze nic pewnego. Masz plany?
47,"Cześć, plany na weekend?",,Jeszcze nic pewnego. Masz plany?
48,"Hejka, plany na weekend!",,Jeszcze nic pewnego. Masz plany?
49,Dobrze spałeś?,,"Ja nie śpię, ale jestem w formie. A Ty?"
50,"Hej, dobrze spałeś?",,"Ja nie śpię, ale jestem w formie. A Ty?"
51,"Cześć, dobrze spałeś!",,"Ja nie śpię, ale jestem w formie. A Ty?"
