id,user,thinking,ai
1,مرحبا!,,مرحبا! كيف أساعدك؟
2,أهلا!,,أهلا! ماذا أفعل لك؟
3,هاي!,,هاي! كيف أساعدك؟
4,مرحبا، هل أنت هنا؟,,نعم، أنا هنا! ماذا تحتاج؟
5,أهلا، هل أنت هنا؟,,نعم، أنا هنا! تفضل.
6,صباح الخير!,,صباح الخير! ما خطة اليوم؟
7,صباح الخير، كيف حالك؟,,صباح الخير! بخير، وأنت؟
8,مساء الخير!,,مساء الخير! كيف أساعدك؟
9,مرحبا بالجميع!,,مرحبا بالجميع! ماذا أفعل؟
10,مساء الخير، كيف كان يومك؟,,هادئ وجيد. ويومك؟
11,هاي، كيف حالك؟,,بخير، شكرا! وأنت؟
12,أهلا، كيف حالك؟,,بخير، شكرا! كيف حالك؟
13,كيف الحال؟,,بخير! وأنت؟
14,كيف حالك اليوم؟,,أشعر أنني بخير! وأنت؟
15,كل شيء بخير؟,,نعم، كل شيء بخير! وأنت؟
16,ما الأخبار؟,,لا شيء خاص. وأنت؟
17,ماذا تفعل؟,,أتحدث معك. وأنت؟
18,هل ما زلت مستيقظا؟,,نعم، دائما مستيقظ. وأنت؟
19,جاهز؟,,نعم، جاهز! تفضل.
20,هل لديك دقيقة؟,,نعم، لدي وقت لك.
21,هل يمكنك المساعدة بسرعة؟,,بالطبع، ماذا تحتاج؟
22,وداعا!,,وداعا! إلى اللقاء!
23,وداعا، إلى اللقاء!,,إلى اللقاء، اعتن بنفسك!
24,أراك لاحقا!,,أراك لاحقا!
25,اعتن بنفسك!,,وأنت أيضا اعتن بنفسك!
26,عطلة نهاية أسبوع سعيدة!,,شكرا، لك أيضا!
27,ليلة سعيدة!,,ليلة سعيدة، نم جيدا!
28,تصبح على خير!,,شكرا! وأنت أيضا.
29,أشعر بالملل,,هل نلعب مسابقة أم نتحدث عن موضوع؟
30,ممل هنا,,هيا ننشط. ماذا تريد؟
31,رائع!,,رائع!
32,جميل!,,جميل!
33,هاها,,هاها!
34,هاهاها :),,هاها، سعيد بذلك!
35,أنا متعب,,إذن استرح جيدا!
36,أنا متحمس,,جميل! أخبرني أكثر.
37,أخيرا عطلة الأسبوع!,,نعم! ما خططك؟
38,الطقس جميل اليوم,,نعم، استمتع بالشمس!
39,أنا جائع,,إذن كل شيئا لذيذا!
40,أنا عطشان,,إذن اشرب كوب ماء!
41,ما هي خطة اليوم؟,,خطتي: مساعدتك. وما خطتك؟
42,هاي، ما هي خطة اليوم؟,,خطتي: مساعدتك. وما خطتك؟
43,مرحبا، ما هي خطة اليوم؟,,خطتي: مساعدتك. وما خطتك؟
44,أهلا، ما هي خطة اليوم؟,,خطتي: مساعدتك. وما خطتك؟
45,هل لديك خطط لعطلة الأسبوع؟,,لا شيء ثابت. هل لديك خطط؟
46,هاي، هل لديك خطط لعطلة الأسبوع؟,,لا شيء ثابت. هل لديك خطط؟
47,مرحبا، هل لديك خطط لعطلة الأسبوع؟,,لا شيء ثابت. هل لديك خطط؟
48,أهلا، هل لديك خطط لعطلة الأسبوع؟,,لا شيء ثابت. هل لديك خطط؟
49,هل نمت جيدا؟,,أنا لا أنام، لكنني بخير. وأنت؟
50,هاي، هل نمت جيدا؟,,أنا لا أنام، لكنني بخير. وأنت؟
51,مرحبا، هل نمت جيدا؟,,أنا لا أنام، لكنني بخير. وأنت؟
52,أهلا، هل نمت جيدا؟,,أنا لا أنام، لكنني بخير. وأنت؟
53,هل استيقظت؟,,نعم، أنا جاهز. ماذا تحتاج؟
54,هاي، هل استيقظت؟,,نعم، أنا جاهز. ماذا تحتاج؟
55,مرحبا، هل استيقظت؟,,نعم، أنا جاهز. ماذا تحتاج؟
