id,user,monologue,ai
1,Ahoj!,,Ahoj! Jak mohu pomoci?
2,Čau!,,Čau! Co pro tebe mohu udělat?
3,Hej!,,Hej! Jak mohu pomoci?
4,"Ahoj, jsi tam?",,"Ano, jsem tu! Co potřebuješ?"
5,"Čau, jsi tam?",,"Ano, jsem tu! Mluv."
6,Dobré ráno!,,Dobré ráno! Co je dnes?
7,"Dobré ráno, jak se máš?",,"Dobré ráno! Dobře, a ty?"
8,Dobré odpoledne!,,Dobré odpoledne! Jak mohu pomoci?
9,Ahoj všichni!,,Ahoj všichni! Co mohu dělat?
10,Dobrý večer!,,Dobrý večer! Jaký byl den?
11,"Dobrý večer, jaký byl den?",,Klidně a dobře. A tvůj?
12,"Hej, jak se máš?",,"Dobře, díky! A ty?"
13,"Ahoj, jak se máš?",,"Dobře, díky! Jak se máš?"
14,Jak se máš?,,Dobře! A ty?
15,Jak se dnes máš?,,Cítím se dobře! A ty?
16,Vše dobré?,,"Ano, vše dobré! A u tebe?"
17,Co je nového?,,Nic moc. A u tebe?
18,Co děláš?,,Povídám si s tebou. A ty?
19,Ještě nespíš?,,"Ano, vždy bdím. A ty?"
20,Hotovo?,,"Ano, hotovo! Mluv."
21,Máš minutku?,,"Ano, mám na tebe čas."
22,Pomůžeš rychle?,,"Jasně, co potřebuješ?"
23,Čau čau!,,Čau čau! Měj se!
24,Měj se!,,Ty se taky měj!
25,Pa!,,Pa! Uvidíme se!
26,"Pa, uvidíme se!",,"Uvidíme se, měj se!"
27,Hezký víkend!,,"Díky, tobě taky!"
28,Dobrou noc!,,"Dobrou noc, spi dobře!"
29,Nudím se,,Dáme kvíz nebo si popovídáme o tématu?
30,Tady je nuda,,Tak to rozjedeme. Na co máš chuť?
31,Super!,,Super!
32,Skvělé!,,Skvělé!
33,Haha,,Haha!
34,Hahaha :),,"Haha, rád slyším!"
35,Jsem unavený,,Tak si dobře odpočiň!
36,Těším se,,Skvěle! Povídej.
37,Konečně víkend!,,Ano! Jaké máš plány?
38,Dnes hezky,,"Ano, užij si slunce!"
39,Mám hlad,,Tak si dej něco dobrého!
40,Mám žízeň,,Tak si dej sklenici vody!
41,Co je dnes v plánu?,,Můj plán: pomáhat tobě. A tvůj?
42,"Hej, co je dnes v plánu!",,Můj plán: pomáhat tobě. A tvůj?
43,"Ahoj, co je dnes v plánu?",,Můj plán: pomáhat tobě. A tvůj?
44,"Čau, co je dnes v plánu?",,Můj plán: pomáhat tobě. A tvůj?
45,Plány na víkend!,,Zatím nic. Máš plány?
46,"Hej, plány na víkend?",,Zatím nic. Máš plány?
47,"Ahoj, plány na víkend?",,Zatím nic. Máš plány?
48,"Čau, plány na víkend!",,Zatím nic. Máš plány?
49,Spal jsi dobře?,,"Já nespím, ale jsem fit. A ty?"
50,"Hej, spal jsi dobře?",,"Já nespím, ale jsem fit. A ty?"
51,"Ahoj, spal jsi dobře!",,"Já nespím, ale jsem fit. A ty?"
52,"Čau, spal jsi dobře?",,"Já nespím, ale jsem fit. A ty?"
53,Už nespíš?,,"Ano, jsem připraven. Co potřebuješ?"
54,"Hej, už nespíš!",,"Ano, jsem připraven. Co potřebuješ?"
55,"Ahoj, už nespíš?",,"Ano, jsem připraven. Co potřebuješ?"
56,"Čau, už nespíš?",,"Ano, jsem připraven. Co potřebuješ?"
57,Jak plyne den!,,"Dobře, díky! A tvůj?"
58,"Hej, jak plyne den?",,"Dobře, díky! A tvůj?"
59,"Ahoj, jak plyne den?",,"Dobře, díky! A tvůj?"
60,"Čau, jak plyne den!",,"Dobře, díky! A tvůj?"
61,Vše klidné?,,"Ano, tu klidné. A u tebe?"
62,"Hej, vše klidné?",,"Ano, tu klidné. A u tebe?"
63,"Ahoj, vše klidné!",,"Ano, tu klidné. A u tebe?"
64,"Čau, vše klidné?",,"Ano, tu klidné. A u tebe?"
65,"Hej, co je nového!",,Nic moc. Co nového u tebe?
66,"Ahoj, co je nového?",,Nic moc. Co nového u tebe?
67,"Čau, co je nového?",,Nic moc. Co nového u tebe?
68,Plány na dnes!,,Jen pomáhat tobě. A ty?
69,"Hej, plány na dnes?",,Jen pomáhat tobě. A ty?
70,"Ahoj, plány na dnes?",,Jen pomáhat tobě. A ty?
71,"Čau, plány na dnes!",,Jen pomáhat tobě. A ty?
72,Rušný den?,,Trochu. A tvůj?
73,"Hej, rušný den?",,Trochu. A tvůj?
74,"Ahoj, rušný den!",,Trochu. A tvůj?
75,"Čau, rušný den?",,Trochu. A tvůj?
76,Jaké je počasí?,,"Nemám okno, ale doufám, že u tebe hezky!"
77,"Hej, jaké je počasí!",,"Nemám okno, ale doufám, že u tebe hezky!"
78,"Ahoj, jaké je počasí?",,"Nemám okno, ale doufám, že u tebe hezky!"
79,"Čau, jaké je počasí?",,"Nemám okno, ale doufám, že u tebe hezky!"
80,Vše dobré dnes!,,Ano! A u tebe?
81,"Hej, vše dobré dnes?",,Ano! A u tebe?
82,"Ahoj, vše dobré dnes?",,Ano! A u tebe?
83,"Čau, vše dobré dnes!",,Ano! A u tebe?
84,Hodně se děje?,,Trochu. A u tebe?
85,"Hej, hodně se děje?",,Trochu. A u tebe?
86,"Ahoj, hodně se děje!",,Trochu. A u tebe?
87,"Čau, hodně se děje?",,Trochu. A u tebe?
88,Děkuji!,,Prosím!
89,Moc děkuji!,,S potěšením!
90,Tisíceré díky!,,Rád jsem pomohl!
91,Díky!,,Prosím!
92,Ok,,Ok!
93,"Ok, dobré",,Perfektní!
94,Rozumím,,Velmi dobře!
95,Chápu,,Skvěle!
96,Zní dobře,,Rád slyším!
97,Zní skvěle,,Úžasné!
98,"Ano, přesně",,"Super, pokračujeme."
99,"Ano, prosím",,"Jasně, mluv."
100,"Ano, rád",,S potěšením!
101,Žádný problém,,Díky za pochopení!
102,"Ne, děkuji",,"Ok, žádný problém."
103,Hodí se mi,,Domluveno!
104,Mně vyhovuje,,Super!
105,Pokračuj,,Pokračuji!
106,Povídej víc,,Rád! Takže...
107,Přesně,,Absolutně!
108,Právě tak!,,Právě tak!
109,Jasně,,Jasně!
110,Opravdu?,,"Ano, opravdu!"
111,"Ó, milé",,"Ano, milé, že?"
112,Bez stresu,,Díky! Zcela klidné.
113,Promiň,,Žádný problém!
114,Omlouvám se,,Žádný problém!
115,Moje chyba,,Nic se nestalo. Co se stalo?
116,Milé od tebe,,Díky! Ty jsi taky milý.
117,Dobrá práce,,Díky!
118,Uvidíme se,,Uvidíme se!
119,Skvěle!,,Skvěle!
120,Perfektní!,,Perfektní!
121,"Domluveno, platí",,"Super, domluveno!"
122,Platí!,,Platí!
123,Můžeme začít?,,"Ano, začínáme!"
124,Skončil jsi?,,"Ano, skončil!"
125,Ještě jednou prosím,,"Rád, ještě jednou!"
126,Zopakuj prosím,,"Jasně, tady znovu."
127,Chvilku prosím,,"Jasně, nespěchej."
128,Počkej sekundu,,"Ok, čekám."
129,Hned jsem zpět,,"Ok, uvidíme se!"
130,Pověz vtip,,Jasně: Proč programátoři milují kávu? Čas na Javu!
131,Ještě jeden vtip!,,Ok: Proč duchové špatně lžou? Je skrz ně vidět!
132,Krátký vtip prosím,,Potkají se dva magnety. Jeden říká: Přitahuješ mě!
133,Povzbuď mě,,Zvládneš to! Krok za krokem.
134,Něco motivujícího,,Každý krok se počítá. Pokračuj!
135,Jsem nervózní,,"To je normální. Dýchej klidně, bude to dobré."
136,Jsem ve stresu,,"Dej si krátkou pauzu, napij se, dýchej zhluboka."
137,Popřej mi štěstí,,Hodně štěstí! Zvládneš to!
138,Držím palce,,Já taky! Hodně štěstí!
139,Dnes je můj den!,,Super! Užij si!
140,Mám dobrou náladu,,Skvěle! Rád slyším.
141,Mám špatnou náladu,,"Ó, co se stalo? Chceš si popovídat?"
142,Plácni si!,,Plácám taky!
143,Na zdraví!,,Na zdraví!
144,Dobrou chuť!,,"Díky, tobě taky!"
145,Hodně štěstí!,,Díky! Hodně štěstí i tobě!
146,Vítej!,,Díky! Rád jsem tu.
147,Veselé Vánoce!,,Veselé Vánoce i tobě!
148,Šťastný Nový rok!,,Šťastný Nový rok! Zdraví a štěstí!
149,Gratuluji!,,Díky! K čemu?
150,Respekt!,,Díky! Respekt taky.
151,Wow!,,"Wow, že?"
152,Neuvěřitelné!,,"Neuvěřitelné, že?"
153,Platí?,,Platí!
154,Top!,,Top!
155,Hotovo!,,"Gratuluji, dobrá práce!"
156,Konečně hotovo!,,Silné! Dobrá práce.
157,To je jedno,,"Ok, žádný problém."
158,Nevím,,Žádný problém! O co jde?
159,Nemám tušení,,Nevadí! Řekni téma.
