id,title,text
1,Milo e a grande aventura,"Milo, um menino curioso, vivia numa aldeia pequena.

O sol brilhava quente.

Um dia Milo quis explorar a floresta.

Mas o caminho estava cortado.

Avó Lina, que sabe tudo, juntou-se.

Juntos vamos conseguir!

Juntos levaram os binóculos velhos.

No caminho cantaram uma canção.

No caminho riram muito.

De repente algo rangeu alto.

No fim estavam todos contentes.

Os verdadeiros amigos ajudam sempre."
2,Lena e o mistério,"Lena, que gosta de pintar, vivia no mercado colorido.

Voavam borboletas.

Um dia Lena quis descobrir a ilha.

Mas começou a chover.

Avó Lina, que sabe tudo, juntou-se.

Não tenhas medo, eu ajudo-te.

Juntos levaram a faca pequena.

No caminho brincaram alegres.

No caminho descansaram um pouco.

De repente coaxou uma rã.

A aventura ficou inesquecível.

A paciência traz sorte."
3,O dia mais bonito de Finn,"Finn, um pequeno sonhador, vivia junto ao poço velho.

Cheirava a flores.

Um dia Finn quis achar a gruta.

Mas o mapa tinha sumido.

Avó Lina, que sabe tudo, juntou-se.

Eu também vou!

Juntos levaram um cobertor quente.

No caminho conversaram juntos.

No caminho cantaram juntos.

De repente latiu um cão.

Todos voltaram contentes.

A curiosidade leva a maravilhas."
4,Pippa e o tesouro,"Pippa, um ratinho corajoso, vivia no parque infantil.

Um riacho murmurava suave.

Um dia Pippa quis ver a montanha alta.

Mas fez-se noite.

Avó Lina, que sabe tudo, juntou-se.

Ainda bem que estou aqui.

Juntos levaram um mapa colorido.

No caminho brincaram um pouco.

No caminho dançaram alegres.

De repente caiu uma folha.

Assim o dia foi perfeito.

Rir ajuda sempre."
5,Nora e o mistério,"Nora, que faz muitas perguntas, vivia junto ao rio azul.

O céu estava azul.

Um dia Nora quis buscar o tesouro.

Mas o rio era muito fundo.

Avó Lina, que sabe tudo, juntou-se.

Juntos vamos conseguir!

Juntos levaram uma moeda velha.

No caminho conversaram alegres.

No caminho brincaram alto.

De repente zumbiu uma abelha.

Todos bateram palmas de alegria.

Quem ousa vence."
6,Theo e o plano,"Theo, um menino alegre, vivia no prado verde.

Os pássaros cantavam alegres.

Um dia Theo quis atravessar o lago.

Mas uma árvore bloqueava o caminho.

Avó Lina, que sabe tudo, juntou-se.

Não tenhas medo, eu ajudo-te.

Juntos levaram a corda verde.

No caminho brincaram junto ao riacho.

No caminho conversaram juntos.

De repente bateram.

Assim o medo virou coragem.

A coragem é recompensada."
7,Emma e a viagem,"Emma, uma menina corajosa, vivia junto ao carvalho grande.

Cheirava a erva fresca.

Um dia Emma quis achar o mar.

Mas o vento era forte.

Avó Lina, que sabe tudo, juntou-se.

Eu também vou!

Juntos levaram a lanterninha.

No caminho conversaram um pouco.

No caminho descansaram em roda.

De repente passou uma borboleta a dançar.

Todos riram e voltaram para casa.

Partilhar dá alegria."
8,Paulo e o achado,"Paulo, que gosta de construir, vivia no parque verde.

Tudo estava calmo e sereno.

Um dia Paulo quis ver o céu estrelado.

Mas havia nevoeiro.

Senhor Texugo, o jardineiro, juntou-se.

Ainda bem que estou aqui.

Juntos levaram a garrafa azul.

No caminho brincaram em roda.

No caminho cantaram um pouco.

De repente levantou-se vento.

Assim a aventura acabou bem.

Juntos tudo é mais fácil."
9,Mia e a descoberta,"Mia, uma pequena cantora, vivia na floresta velha.

O sol brilhava quente.

Um dia Mia quis subir à torre.

Mas a ponte estava partida.

Senhor Texugo, o jardineiro, juntou-se.

Juntos vamos conseguir!

Juntos levaram o saco amarelo.

No caminho conversaram junto ao riacho.

No caminho dançaram junto ao riacho.

De repente caiu uma estrela cadente.

No fim estavam todos contentes.

Os verdadeiros amigos ajudam sempre."
10,Leo e a excursão,"Leo, que gosta de animais, vivia no campo amarelo.

Voavam borboletas.

Um dia Leo quis visitar o castelo velho.

Mas um cão ladrava alto.

Senhor Texugo, o jardineiro, juntou-se.

Não tenhas medo, eu ajudo-te.

Juntos levaram a corda vermelha.

No caminho brincaram alto.

No caminho riram alegres.

De repente alguém riu.

A aventura ficou inesquecível.

A paciência traz sorte."
11,Ana e a corrida,"Ana, que pensa rápido, vivia numa aldeia pequena.

Cheirava a flores.

Um dia Ana quis explorar a floresta.

Mas o caminho estava cortado.

Senhor Texugo, o jardineiro, juntou-se.

Eu também vou!

Juntos levaram os binóculos velhos.

No caminho conversaram em roda.

No caminho conversaram um pouco.

De repente algo rangeu alto.

Todos voltaram contentes.

A curiosidade leva a maravilhas."
12,Max e o enigma,"Max, um menino alegre, vivia no mercado colorido.

Um riacho murmurava suave.

Um dia Max quis descobrir a ilha.

Mas começou a chover.

Senhor Texugo, o jardineiro, juntou-se.

Ainda bem que estou aqui.

Juntos levaram a faca pequena.

No caminho riram juntos.

No caminho brincaram juntos.

De repente coaxou uma rã.

Assim o dia foi perfeito.

Rir ajuda sempre."
13,Milo e a surpresa,"Milo, um menino curioso, vivia junto ao poço velho.

O céu estava azul.

Um dia Milo quis achar a gruta.

Mas o mapa tinha sumido.

Senhor Texugo, o jardineiro, juntou-se.

Juntos vamos conseguir!

Juntos levaram um cobertor quente.

No caminho conversaram alto.

No caminho cantaram em roda.

De repente latiu um cão.

Todos bateram palmas de alegria.

Quem ousa vence."
14,Lena e a grande aventura,"Lena, que gosta de pintar, vivia no parque infantil.

Os pássaros cantavam alegres.

Um dia Lena quis ver a montanha alta.

Mas fez-se noite.

Senhor Texugo, o jardineiro, juntou-se.

Não tenhas medo, eu ajudo-te.

Juntos levaram um mapa colorido.

No caminho riram alegres.

No caminho dançaram alto.

De repente caiu uma folha.

Assim o medo virou coragem.

A coragem é recompensada."
15,Finn e o mistério,"Finn, um pequeno sonhador, vivia junto ao rio azul.

Cheirava a erva fresca.

Um dia Finn quis buscar o tesouro.

Mas o rio era muito fundo.

Tia Mira, a vizinha divertida, juntou-se.

Eu também vou!

Juntos levaram uma moeda velha.

No caminho dançaram juntos.

No caminho riram junto ao riacho.

De repente zumbiu uma abelha.

Todos riram e voltaram para casa.

Partilhar dá alegria."
16,O dia mais bonito de Pippa,"Pippa, um ratinho corajoso, vivia no prado verde.

Tudo estava calmo e sereno.

Um dia Pippa quis atravessar o lago.

Mas uma árvore bloqueava o caminho.

Tia Mira, a vizinha divertida, juntou-se.

Ainda bem que estou aqui.

Juntos levaram a corda verde.

No caminho riram um pouco.

No caminho conversaram em roda.

De repente bateram.

Assim a aventura acabou bem.

Juntos tudo é mais fácil."
17,Nora e o tesouro,"Nora, que faz muitas perguntas, vivia junto ao carvalho grande.

O sol brilhava quente.

Um dia Nora quis achar o mar.

Mas o vento era forte.

Tia Mira, a vizinha divertida, juntou-se.

Juntos vamos conseguir!

Juntos levaram a lanterninha.

No caminho dançaram alegres.

No caminho brincaram um pouco.

De repente passou uma borboleta a dançar.

No fim estavam todos contentes.

Os verdadeiros amigos ajudam sempre."
18,Theo e o mistério,"Theo, um menino alegre, vivia no parque verde.

Voavam borboletas.

Um dia Theo quis ver o céu estrelado.

Mas havia nevoeiro.

Tia Mira, a vizinha divertida, juntou-se.

Não tenhas medo, eu ajudo-te.

Juntos levaram a garrafa azul.

No caminho riram junto ao riacho.

No caminho contaram histórias.

De repente levantou-se vento.

A aventura ficou inesquecível.

A paciência traz sorte."
19,Emma e o plano,"Emma, uma menina corajosa, vivia na floresta velha.

Cheirava a flores.

Um dia Emma quis subir à torre.

Mas a ponte estava partida.

Tia Mira, a vizinha divertida, juntou-se.

Eu também vou!

Juntos levaram o saco amarelo.

No caminho dançaram um pouco.

No caminho descansaram alegres.

De repente caiu uma estrela cadente.

Todos voltaram contentes.

A curiosidade leva a maravilhas."
20,Paulo e a viagem,"Paulo, que gosta de construir, vivia no campo amarelo.

Um riacho murmurava suave.

Um dia Paulo quis visitar o castelo velho.

Mas um cão ladrava alto.

Tia Mira, a vizinha divertida, juntou-se.

Ainda bem que estou aqui.

Juntos levaram a corda vermelha.

No caminho riram em roda.

No caminho riram alto.

De repente alguém riu.

Assim o dia foi perfeito.

Rir ajuda sempre."
21,Mia e o achado,"Mia, uma pequena cantora, vivia numa aldeia pequena.

O céu estava azul.

Um dia Mia quis explorar a floresta.

Mas o caminho estava cortado.

Tia Mira, a vizinha divertida, juntou-se.

Juntos vamos conseguir!

Juntos levaram os binóculos velhos.

No caminho dançaram junto ao riacho.

No caminho dançaram juntos.

De repente algo rangeu alto.

Todos bateram palmas de alegria.

Quem ousa vence."
