id,text
1,Almanya ülkesinin başkenti Berlin.
2,Almanya başkentinin adı Berlin.
3,Fransa ülkesinin başkenti Paris.
4,Fransa başkentinin adı Paris.
5,İtalya ülkesinin başkenti Roma.
6,İtalya başkentinin adı Roma.
7,İspanya ülkesinin başkenti Madrid.
8,İspanya başkentinin adı Madrid.
9,Portekiz ülkesinin başkenti Lizbon.
10,Portekiz başkentinin adı Lizbon.
11,Hollanda ülkesinin başkenti Amsterdam.
12,Hollanda başkentinin adı Amsterdam.
13,Belçika ülkesinin başkenti Brüksel.
14,Belçika başkentinin adı Brüksel.
15,Avusturya ülkesinin başkenti Viyana.
16,Avusturya başkentinin adı Viyana.
17,İsviçre ülkesinin başkenti Bern.
18,İsviçre başkentinin adı Bern.
19,Polonya ülkesinin başkenti Varşova.
20,Polonya başkentinin adı Varşova.
21,Çekya ülkesinin başkenti Prag.
22,Çekya başkentinin adı Prag.
23,Macaristan ülkesinin başkenti Budapeşte.
24,Macaristan başkentinin adı Budapeşte.
25,Yunanistan ülkesinin başkenti Atina.
26,Yunanistan başkentinin adı Atina.
27,Türkiye ülkesinin başkenti Ankara.
28,Türkiye başkentinin adı Ankara.
29,Norveç ülkesinin başkenti Oslo.
30,Norveç başkentinin adı Oslo.
31,İsveç ülkesinin başkenti Stokholm.
32,İsveç başkentinin adı Stokholm.
33,Finlandiya ülkesinin başkenti Helsinki.
34,Finlandiya başkentinin adı Helsinki.
35,Danimarka ülkesinin başkenti Kopenhag.
36,Danimarka başkentinin adı Kopenhag.
37,Birleşik Krallık ülkesinin başkenti Londra.
38,Birleşik Krallık başkentinin adı Londra.
39,İrlanda ülkesinin başkenti Dublin.
40,İrlanda başkentinin adı Dublin.
41,ABD ülkesinin başkenti Washington D.C..
42,ABD başkentinin adı Washington D.C..
43,Washington D.C..
44,Kanada ülkesinin başkenti Ottawa.
45,Kanada başkentinin adı Ottawa.
46,Meksika ülkesinin başkenti Meksiko.
47,Meksika başkentinin adı Meksiko.
48,Brezilya ülkesinin başkenti Brazilya.
49,Brezilya başkentinin adı Brazilya.
50,Arjantin ülkesinin başkenti Buenos Aires.
51,Arjantin başkentinin adı Buenos Aires.
52,Japonya ülkesinin başkenti Tokyo.
53,Japonya başkentinin adı Tokyo.
54,Çin ülkesinin başkenti Pekin.
55,Çin başkentinin adı Pekin.
56,Hindistan ülkesinin başkenti Yeni Delhi.
57,Hindistan başkentinin adı Yeni Delhi.
58,Avustralya ülkesinin başkenti Canberra.
59,Avustralya başkentinin adı Canberra.
60,Mısır ülkesinin başkenti Kahire.
61,Mısır başkentinin adı Kahire.
62,Almanya'nın 16 eyaleti var.
63,Almanya'da yaklaşık 83-84 milyon kişi yaşıyor.
64,Brezilya'da Portekizce konuşulur.
65,Japonya'nın para birimi yendir.
66,ABD'nin para birimi Amerikan dolarıdır.
67,"Genelde 7 kıta sayarız: Afrika, Antarktika, Asya, Avustralya, Avrupa, Kuzey Amerika, Güney Amerika."
68,"Tartışmalı: genelde Nil ve Amazon anılır, ikisi de 6500 km'den uzun."
69,Yüzölçümüyle dünyanın en büyük ülkesi Rusya'dır.
70,Dünyanın en büyük hayvanı mavi balinadır.
71,"5 okyanus var: Atlas, Pasifik, Hint, Güney ve Arktik."
72,Dünyanın en yüksek dağı yaklaşık 8848 metreyle Everest'tir.
73,Kanada'nın başkenti Ottawa'dır.
74,Avustralya'nın başkenti Canberra'dır.
75,Türkiye'nin başkenti Ankara'dır.
76,Brezilya'nın başkenti Brazilya'dır.
77,İlk Ay inişi 1969'da Apollo 11 ile oldu.
78,İkinci Dünya Savaşı 1939'dan 1945'e sürdü.
79,Birinci Dünya Savaşı 1914'ten 1918'e sürdü.
80,Berlin Duvarı 1961'den 1989'a Doğu ve Batı Berlin arasındaki korumalı sınırdı.
81,Berlin Duvarı 9 Kasım 1989'da yıkıldı.
82,"Telefonun patentini 1876'da Alexander Graham Bell aldı, Antonio Meucci öncüydü."
83,Göreliliği Albert Einstein geliştirdi.
84,"Demokrasi halk yönetimi demektir, genelde özgür seçimler ve temel haklarla."
85,"AB, ortak pazarlı ve ortak kurumları olan bir Avrupa devletleri birliğidir."
86,AB'nin 27 üye devleti var.
87,"Temel Yasa, 1949'dan beri Almanya'nın anayasasıdır."
88,Almanya 1990'da yeniden birleşti.
89,"Orta Çağ, antik çağ ile modernite arasında yaklaşık 500-1500 dönemiydi."
90,"Leonardo da Vinci, Mona Lisa ile ünlü İtalyan sanatçı ve mucitti."
91,Marie Curie radyoaktiviteyi araştıran ve iki Nobel kazanan fizikçiydi.
92,"Fransız Devrimi 1789'dan beri monarşiyi özgürlük, eşitlik, kardeşlik ile yıktı."
93,"İnsan hakları herkesin temel haklarıdır, yaşam, özgürlük ve eşitlik gibi."
94,"Enflasyon, fiyatların artması ve paranın değer kaybetmesidir."
95,"Sanayileşme, 18. yüzyıldan itibaren makine ve fabrikalara geçişti."
96,"Temeller 1969'da ARPANET'e, Web 1989'a dayanır."
97,Otomobili 1886'daki motorlu araçla Carl Benz icat etti.
98,İlk motorlu uçuşu 1903'te Wright kardeşler yaptı.
99,Bundestag için 18 yaşından. Almanya'da AB seçiminde 16 yaşından.
100,"Seçmenler oy verir, oylar sayılır ve sonuca göre sandalye dağıtılır."
101,Diktatörlükte bir kişi veya grup özgür seçim olmadan yönetir; demokraside güç halktan gelir.
102,"Sürdürülebilirlik, gelecek kuşaklara da yetecek kaynakla yaşamak demektir."
103,"Zorbalık tekrarlı dışlama veya eziyettir. Güvendiğin kişilerle konuş, kanıt sakla, yardım al."
104,"Barış, savaşsız ve şiddetsiz bir arada yaşamak demektir."
105,"Özgürlük, başkalarına zarar vermeden özgürce yaşamak demektir."
106,"Adalet, herkese adil ve eşit davranmak demektir."
107,Gökyüzü Rayleigh saçılması yüzünden mavidir: mavi ışık kırmızıdan çok saçılır.
108,"Yağmur buharlaşmayla oluşur: su yükselir, soğur, bulut olur ve damla olarak düşer."
109,"Fotosentez, bitkilerin ışık, su ve CO2'den şeker ve oksijen yapmasıdır."
110,Hava durumu kısa vadeli durumdur; iklim yaklaşık 30 yıl ortalamasıdır.
111,"Buzdolabı ısıyı soğutucuyla içten dışa pompalar: içte buharlaşır, ısıyı alır, dışta verir."
112,"Elektrik kısaca yüklerin yönlü hareketidir, genelde kabloda elektronlar."
113,"Su H2O'dur, hidrojen ve oksijen bileşiğidir."
114,"Virüs, konak hücresiz çoğalamayan minicik etkendir."
115,"Yapay zeka, veriden öğrenen, örüntü tanıyan ve metin resim gibi işleri çözen programlardır."
116,"Tarayıcı, siteleri açtığın programdır, örn. Chrome, Firefox, Edge veya Safari."
117,"Uygulama bir programdır, genelde telefon için, örn. mesaj, foto veya oyun."
118,"Su dolaşımı ve odağı dengeler, böbreğe ve cilde iyi gelir, baş ağrısını önler."
119,"Yaklaşık 2 dakika, günde iki kez."
120,"Yerçekimi kütleler arası çekimdir. Dünya her şeyi aşağı çeker, bu yüzden şeyler düşer."
121,"Hava bir gaz karışımıdır, çoğu azot ve oksijendir."
122,Kalp kanı tüm vücuda pompalar.
123,Akciğerler oksijen alır ve karbondioksit verir.
124,"Uyku dinlenmeye, hafızaya ve bağışıklığa iyi gelir."
125,"Ateş yüksek vücut sıcaklığıdır, genelde enfeksiyona karşı savunmadır."
126,"Güçlü şifre uzundur, her serviste benzersizdir ve şifre yöneticisinde saklanır."
127,"Wi-Fi, kablosuz internet için yerel ağdır."
128,"Bulut, veri saklayıp hizmet kullandığın internet sunucularıdır."
129,"GPS, birkaç uydunun sinyali ve yol süresiyle konumu bulur."
130,"Gece ve gündüz Dünya döndüğü için vardır. Güneşli taraf gündüz, öbürü gecedir."
131,Mevsimler eksen eğikliğinden gelir: her yarım küre sırayla güneşe eğilir.
132,"Ay, güneş ışığını yansıttığı için parlar."
133,"Güneş, ışık ve ısı veren sıcak gazdan bir yıldızdır."
134,"Güneş sistemimizde 8 gezegen var: Merkür, Venüs, Dünya, Mars, Jüpiter, Satürn, Uranüs, Neptün."
135,"Atom maddenin en küçük birimidir, çekirdek ve elektronlardan oluşur."
136,"Geri dönüşüm, atıkları toplayıp yeni ürün yapmaktır."
137,Sera etkisi ısıyı tutar. Fazla sera gazı iklimi ısıtır.
138,"Arılar bitkileri tozlar, ürünleri ve çeşitliliği korur."
139,Yapraklar fotosentez pigmenti klorofil yüzünden yeşildir.
140,"Memelilerin kürkü vardır, canlı yavru doğurur ve sütle besler."
141,Pil kimyasal enerjiyi elektrik enerjisine çevirir.
142,Güneş hücreleri ışığı doğrudan elektriğe çevirir.
143,Bilgisayar virüsü yayılıp zarar veren programdır. Güncelleme ve dikkatle korun.
144,"Plastik neredeyse çürümez, doğayı ve denizleri kirletir, mikroplastik olur."
145,"Deprem, levhalar aniden oynayıp enerji boşaltınca olur."
146,"Bal, arıların çiçek nektarından yaptığıdır."
147,"25 çarpı 4, 100 eder."
148,200'ün yüzde 12'si 24 eder.
149,16:45'te varır.
150,8 saat uyursun.
151,Herkes 25 euro alır.
152,2 saat 120 dakikadır.
153,"Bir yıl 365 gün, artık yıl 366 gündür."
154,Bir dakikada 60 saniye var.
155,"36 artı 19, 55 eder."
156,"14 eksi 3, 11 eder."
157,"12 çarpı 4, 48 eder."
158,"90 bölü 10, 9 eder."
159,"300'in yüzde 50'i, 150 eder."
160,"32 artı 32, 64 eder."
161,"50 eksi 15, 35 eder."
162,"7 çarpı 7, 49 eder."
163,"54 bölü 9, 6 eder."
164,"100'in yüzde 5'i, 5 eder."
165,"30 artı 53, 83 eder."
166,"84 eksi 29, 55 eder."
167,"9 çarpı 8, 72 eder."
168,"84 bölü 6, 14 eder."
169,"300'in yüzde 10'i, 30 eder."
170,"11 artı 43, 54 eder."
171,"81 eksi 43, 38 eder."
172,"6 çarpı 10, 60 eder."
173,"60 bölü 4, 15 eder."
174,"39 artı 8, 47 eder."
175,"64 eksi 58, 6 eder."
176,"7 çarpı 3, 21 eder."
177,"40 bölü 10, 4 eder."
178,"500'in yüzde 20'i, 100 eder."
179,"38 artı 33, 71 eder."
180,"92 eksi 61, 31 eder."
181,"6 çarpı 2, 12 eder."
182,"33 bölü 3, 11 eder."
183,"1000'in yüzde 10'i, 100 eder."
184,"40 artı 7, 47 eder."
185,"93 eksi 40, 53 eder."
186,"9 çarpı 7, 63 eder."
187,"36 bölü 6, 6 eder."
188,"44 artı 48, 92 eder."
189,"46 eksi 25, 21 eder."
190,"3 çarpı 7, 21 eder."
191,"180 bölü 9, 20 eder."
192,"1000'in yüzde 25'i, 250 eder."
193,"60 artı 19, 79 eder."
194,"61 eksi 35, 26 eder."
195,"6 çarpı 9, 54 eder."
196,"63 bölü 7, 9 eder."
197,"1000'in yüzde 20'i, 200 eder."
198,"59 artı 35, 94 eder."
199,"36 eksi 7, 29 eder."
200,"26 bölü 2, 13 eder."
201,"400'in yüzde 50'i, 200 eder."
202,"39 artı 26, 65 eder."
203,"29 eksi 25, 4 eder."
204,"11 çarpı 7, 77 eder."
205,"152 bölü 8, 19 eder."
206,"500'in yüzde 10'i, 50 eder."
207,"38 artı 13, 51 eder."
208,"27 eksi 4, 23 eder."
209,"9 çarpı 6, 54 eder."
210,"18 bölü 2, 9 eder."
211,"100'in yüzde 25'i, 25 eder."
212,"36 artı 12, 48 eder."
213,"77 eksi 39, 38 eder."
214,"2 çarpı 12, 24 eder."
215,"32 bölü 8, 4 eder."
216,"500'in yüzde 25'i, 125 eder."
217,"21 artı 52, 73 eder."
218,"74 eksi 12, 62 eder."
219,"30 bölü 6, 5 eder."
220,"100'in yüzde 15'i, 15 eder."
221,"3 artı 42, 45 eder."
222,"88 eksi 20, 68 eder."
223,"3 çarpı 12, 36 eder."
224,"72 bölü 8, 9 eder."
225,"200'in yüzde 50'i, 100 eder."
226,"33 artı 50, 83 eder."
227,"71 eksi 45, 26 eder."
228,"84 bölü 7, 12 eder."
229,"1000'in yüzde 15'i, 150 eder."
230,"10 artı 33, 43 eder."
231,"67 eksi 11, 56 eder."
232,"11 çarpı 2, 22 eder."
233,"104 bölü 8, 13 eder."
234,"400'in yüzde 5'i, 20 eder."
235,"55 artı 7, 62 eder."
236,"64 eksi 63, 1 eder."
237,"10 çarpı 12, 120 eder."
238,"36 bölü 2, 18 eder."
239,"2 artı 53, 55 eder."
240,"19 eksi 15, 4 eder."
241,"8 çarpı 4, 32 eder."
242,"35 bölü 5, 7 eder."
243,"45 artı 12, 57 eder."
244,"46 eksi 15, 31 eder."
245,"8 çarpı 8, 64 eder."
246,"110 bölü 10, 11 eder."
247,"32 artı 21, 53 eder."
248,"98 eksi 16, 82 eder."
249,"6 çarpı 12, 72 eder."
250,"28 bölü 4, 7 eder."
251,"3 artı 39, 42 eder."
252,"66 eksi 6, 60 eder."
253,"200'in yüzde 15'i, 30 eder."
254,"39 artı 17, 56 eder."
255,"81 eksi 62, 19 eder."
256,"11 çarpı 10, 110 eder."
257,"80 bölü 5, 16 eder."
258,"27 artı 13, 40 eder."
259,"44 eksi 42, 2 eder."
260,21:45'te biter.
261,Randevu 12:30'da.
262,17:05'te hazır.
263,5 saat 15 dakika sürüyor.
264,19:30'da bitirirsin.
265,"En iyi kısa günlük birimlerle, kartlarla ve cümlede aktif kullanımla artı düzenli tekrar."
266,"Bütçe yap, abonelikleri kontrol et, evde pişir, fiyat karşılaştır ve önce sabit tutarı ayır."
267,"Basit domates soslu makarna yap: baharatla, pişir, makarnaya dök, peynir serp."
268,"Al: kimlik veya pasaport, bilet, para, telefon artı şarj, ilaç, hijyen ve kabinde değişim."
269,"Hatayı söyle, sorumluluğu al, üzüntüyü göster ve telafi öner, kısa ve dürüst."
270,"Yolu ve oteli ayarla, günde 2-3 yer seç, yemek ve yol payı bırak, günlük bütçe koy."
271,"Evet, al. Yüzde 80'de yağmur çok olası."
272,"İkisinin de artısı var: kağıt dikkat dağıtmaz ve akılda iyi, telefon aranır ve hep yanında."
273,"Önce çöpü, sonra çamaşırı topla, her şeyi yerine koy, sonunda sil."
274,"Katlamak yerine rulo yap, ağırı alta, boşlukları çorapla doldur."
275,"Pirinci yıka, iki katı suyla kaynat, 10-12 dakika demle."
276,"Bol suyu tuzla, kaynat, makarnayı 8-10 dakika pişir, süz."
277,"Un, süt, yumurta ve tutam tuzu karıştır, ince altın gibi pişir."
278,"Işığı aç, bir bardak su iç, biraz hareket et ve hava al."
279,"Karanlık ve serin uyu, telefonu bırak, sabit rutin tut."
280,"Konuyu bloklara böl, kendine aktif sor, mola ver, ertesi gün tekrarla."
281,Kısa mektup artı tablolu CV ve ilgili belgeler yaz.
282,"Bütçeyi koy, sitelerde ara, belgeleri hazırla, sorularla gez."
283,"Parmak testi: üst kuruysa sula, göllenmeden kaçın."
284,"3 öncelik seç, molalı bloklar planla, dikkat dağıtıcıları kaldır."
285,"Haftada 2x yürüyüş veya hafifle başla, yavaşça artır."
286,"Şişeyi hazır tut, her öğünde bir bardak iç, hatırlatıcı kullan."
287,Örn. meyveli yoğurtlu yulaf veya yumurtalı tam buğday ekmeği.
288,"Kısa molalar, hareket, yeterli uyku ve konuşmak iyi gelir."
289,"Erken iptal et, kısa sebep söyle, yeni tarih öner."
290,"Somut iste: ne, ne zamana, neden. Örn. Bugün taşımama yardım eder misin? Sağ ol!"
291,"Kısa ve nazik hayır de, mümkünse alternatif sun."
292,"Hedef koy, her ay otomatik biriktir, ekstraları ekle."
293,"Tarihte esnek ol, siteleri karşılaştır, erken al."
294,"Çevrimdışı harita indir, tabelaları izle, insanlara sor."
295,"Köpekler çok yürüyüş ve eğitim ister, kediler daha bağımsız. Zamana ve yere göre seç."
296,"Tren rahat ve genelde çevreci, araba bagajla esnek. Trafikte tren kazanır."
297,"Vitamin ve tokluk için elmayı al, çikolata istisna olsun."
298,"PC'ler fiyata daha güçlü, laptoplar taşınır. En güç için PC seç."
299,"Şehirler iş ve yakınlık sunar, kır sakinlik ve alan. İşe ve tarza göre seç."
300,"Uyku daha önemli çünkü öğrenmeyi pekiştirir. Erken çalış, yeterince uyu."
301,Yetiyorsa kal. Yeni sadece arıza veya gerçek ihtiyaçta al.
302,"Sahte haber uydurmadır. Kaynağı, tarihi ve başka medyayı kontrol et."
303,"Olgu kanıtlı ve denetlenir, görüş kişisel bakıştır."
304,"Güzel havada bisikleti al (yaklaşık 20 dk, sağlıklı), yağmurda otobüs."
305,Su susuzluğu en iyi giderir ve şekersizdir. Meyve suyu sadece sulandırılmış.
306,"Önce su iç, sonra ölçülü kahve iç."
307,Esnek kalacaksan kirala; uzun kalıp ödeyebiliyorsan tüm maliyetle almayı incele.
308,Görev ve uykuya göre seç: yeterli uyku ve sabit ritim önemli.
309,"Hayır, dinlenme planla. Haftada 3-4 kez genelde yeter, her gün sadece hafif."
310,"Hayır. Dinlen, yüksek veya uzun ateşte doktora git."
311,"Ölçütleri listele, puanla, maliyeti ve hissi kontrol et, süreyle karar ver."
312,"Ayda 100 euro otomatik biriktir, örn. maaştan sonra talimat."
313,"İhtiyaç yaşamsaldir, istek ötesi bir arzudur."
314,"Zaman sınırlı ve geri gelmez, para yeniden kazanılır. Denge önemli."
315,"Selam, sağ ol ve sohbette düşünmem. Olgu, hesap, açıklama, karşılaştırma ve kararlarda düşünürüm, o zaman düşünmeyi gösteririm."
316,hoşgörü kısaca: Hoşgörü başka görüş ve yaşamları kabul etmektir.
317,sabır kısaca: Sabır sakin bekleyip devam etmektir.
318,cesaret kısaca: Cesaret korkuya rağmen doğruyu yapmaktır.
319,disiplin kısaca: Disiplin isteksizken de devam etmektir.
320,yaratıcılık kısaca: Yaratıcılık yeni fikir ve çözüm bulmaktır.
321,takım çalışması kısaca: Takım çalışması hedefe birlikte yürümektir.
322,sorumluluk kısaca: Sorumluluk davranış ve sonuçlara sahip çıkmaktır.
323,güven kısaca: Güven başkalarına bel bağlayabilmektir.
324,nezaket kısaca: Nezaket saygılı ve nazik olmaktır.
325,dakiklik kısaca: Dakiklik kararlaştırılan saate uymaktır.
326,güvenilirlik kısaca: Güvenilirlik sözleri tutmaktır.
327,sağlık kısaca: Sağlık bedensel ve ruhsal iyiliktir.
328,mutluluk kısaca: Mutluluk memnuniyet ve sevinç anlarıdır.
329,başarı kısaca: Başarı konan hedeflere ulaşmaktır.
330,öğrenme kısaca: Öğrenme bilgi ve beceri kazanmaktır.
331,bilgi kısaca: Bilgi dünya hakkında anlaşılmış veridir.
332,deneyim kısaca: Deneyim yaşanmışlıktan gelen bilgidir.
333,mizah kısaca: Mizah komik şeylere gülebilmektir.
334,sevgi kısaca: Sevgi derin şefkat ve bakımdır.
335,Bilgi: Almanya ülkesinin başkenti Berlin.
336,Biliyor muydun? Almanya ülkesinin başkenti Berlin.
337,Aklında tut: Almanya ülkesinin başkenti Berlin.
338,Kısaca: Almanya ülkesinin başkenti Berlin.
