id,text
1,عاصمة ألمانيا هي برلين.
2,عاصمة ألمانيا اسمها برلين.
3,عاصمة فرنسا هي باريس.
4,عاصمة فرنسا اسمها باريس.
5,عاصمة إيطاليا هي روما.
6,عاصمة إيطاليا اسمها روما.
7,عاصمة إسبانيا هي مدريد.
8,عاصمة إسبانيا اسمها مدريد.
9,عاصمة البرتغال هي لشبونة.
10,عاصمة البرتغال اسمها لشبونة.
11,عاصمة هولندا هي أمستردام.
12,عاصمة هولندا اسمها أمستردام.
13,عاصمة بلجيكا هي بروكسل.
14,عاصمة بلجيكا اسمها بروكسل.
15,عاصمة النمسا هي فيينا.
16,عاصمة النمسا اسمها فيينا.
17,عاصمة سويسرا هي برن.
18,عاصمة سويسرا اسمها برن.
19,عاصمة بولندا هي وارسو.
20,عاصمة بولندا اسمها وارسو.
21,عاصمة التشيك هي براغ.
22,عاصمة التشيك اسمها براغ.
23,عاصمة المجر هي بودابست.
24,عاصمة المجر اسمها بودابست.
25,عاصمة اليونان هي أثينا.
26,عاصمة اليونان اسمها أثينا.
27,عاصمة تركيا هي أنقرة.
28,عاصمة تركيا اسمها أنقرة.
29,عاصمة النرويج هي أوسلو.
30,عاصمة النرويج اسمها أوسلو.
31,عاصمة السويد هي ستوكهولم.
32,عاصمة السويد اسمها ستوكهولم.
33,عاصمة فنلندا هي هلسنكي.
34,عاصمة فنلندا اسمها هلسنكي.
35,عاصمة الدنمارك هي كوبنهاغن.
36,عاصمة الدنمارك اسمها كوبنهاغن.
37,عاصمة بريطانيا هي لندن.
38,عاصمة بريطانيا اسمها لندن.
39,عاصمة أيرلندا هي دبلن.
40,عاصمة أيرلندا اسمها دبلن.
41,عاصمة أمريكا هي واشنطن.
42,عاصمة أمريكا اسمها واشنطن.
43,عاصمة كندا هي أوتاوا.
44,عاصمة كندا اسمها أوتاوا.
45,عاصمة المكسيك هي مكسيكو.
46,عاصمة المكسيك اسمها مكسيكو.
47,عاصمة البرازيل هي برازيليا.
48,عاصمة البرازيل اسمها برازيليا.
49,عاصمة الأرجنتين هي بوينس آيرس.
50,عاصمة الأرجنتين اسمها بوينس آيرس.
51,عاصمة اليابان هي طوكيو.
52,عاصمة اليابان اسمها طوكيو.
53,عاصمة الصين هي بكين.
54,عاصمة الصين اسمها بكين.
55,عاصمة الهند هي نيودلهي.
56,عاصمة الهند اسمها نيودلهي.
57,عاصمة أستراليا هي كانبرا.
58,عاصمة أستراليا اسمها كانبرا.
59,عاصمة مصر هي القاهرة.
60,عاصمة مصر اسمها القاهرة.
61,ألمانيا لديها 16 ولاية.
62,يعيش في ألمانيا حوالي 83-84 مليون نسمة.
63,في البرازيل يتحدثون البرتغالية.
64,عملة اليابان هي الين.
65,عملة أمريكا هي الدولار الأمريكي.
66,عادة نحسب 7 قارات: أفريقيا، أنتاركتيكا، آسيا، أستراليا، أوروبا، أمريكا الشمالية، أمريكا الجنوبية.
67,متنازع عليه: يذكر النيل والأمازون، وكلاهما أكثر من 6500 كم.
68,أكبر دولة بالمساحة هي روسيا.
69,أكبر حيوان في العالم هو الحوت الأزرق.
70,هناك 5 محيطات: الأطلسي، الهادئ، الهندي، الجنوبي، والمتجمد الشمالي.
71,أعلى جبل هو إفرست، حوالي 8848 متر.
72,أول هبوط على القمر كان سنة 1969 مع أبولو 11.
73,الحرب العالمية الثانية دامت من 1939 إلى 1945.
74,الحرب العالمية الأولى دامت من 1914 إلى 1918.
75,جدار برلين كان الحدود المحصنة بين برلين الشرقية والغربية من 1961 إلى 1989.
76,سقط جدار برلين في 9 نوفمبر 1989.
77,سجل براءة الهاتف ألكسندر غراهام بيل سنة 1876، مع أعمال أنطونيو موتشي.
78,طور النسبية ألبرت أينشتاين.
79,الديمقراطية تعني حكم الشعب، عادة بانتخابات حرة وحقوق أساسية.
