id,title,text
1,Hauptstädte der Welt – Teil 1,"Dieser Text erklärt Fakten Schritt für Schritt.

Gut zu wissen: Die Hauptstadt von Schweiz ist Bern. Noch ein Fakt dazu. Die Hauptstadt von Ungarn ist Budapest. Weiter geht es. Merke dir: Die Hauptstadt von Polen ist Warschau. Weiter geht es. Kurz gesagt: Die Hauptstadt von Irland ist Dublin.

Weiter geht es. Kurz gesagt: Die Hauptstadt von Portugal ist Lissabon. Kommen wir zum nächsten Punkt. Kurz gesagt: Die Hauptstadt von Griechenland ist Athen. Noch ein Fakt dazu. Kurz gesagt: Die Hauptstadt von Dänemark ist Kopenhagen. Weiter geht es.

Die Hauptstadt von Norwegen ist Oslo. Kommen wir zum nächsten Punkt. Fakt: Die Hauptstadt von Ägypten ist Kairo. Noch ein Fakt dazu. Gut zu wissen: Die Hauptstadt von Großbritannien ist London. So viel dazu. Kurz gesagt: Die Hauptstadt von Deutschland ist Berlin.

So viel dazu. Wusstest du schon? Die Hauptstadt von Ägypten ist Kairo. Weiter geht es. Fest steht: Die Hauptstadt von Belgien ist Brüssel.

Das war das Wichtigste zum Thema."
2,Hauptstädte der Welt – Teil 2,"Im Folgenden findest du geprüftes Wissen.

Kurz gesagt: Die Hauptstadt von Schweden ist Stockholm. So viel dazu. Kurz gesagt: Die Hauptstadt von Dänemark ist Kopenhagen. Kommen wir zum nächsten Punkt. Fest steht: Die Hauptstadt von Indien ist Neu-Delhi. Kommen wir zum nächsten Punkt. Die Hauptstadt von Polen ist Warschau.

Noch ein Fakt dazu. Gut zu wissen: Die Hauptstadt von Spanien ist Madrid. Auch das ist wichtig. Die Hauptstadt von Belgien ist Brüssel. Kommen wir zum nächsten Punkt. Gut zu wissen: Die Hauptstadt von Italien ist Rom. Auch das ist wichtig.

Merke dir: Die Hauptstadt von Deutschland ist Berlin. Weiter geht es. Die Hauptstadt von Deutschland ist Berlin. Noch ein Fakt dazu. Wusstest du schon? Die Hauptstadt von Ägypten ist Kairo. Weiter geht es. Fakt: Die Hauptstadt von Frankreich ist Paris.

Weiter geht es. Die Hauptstadt von Argentinien ist Buenos Aires. Weiter im Text. Fest steht: Die Hauptstadt von Irland ist Dublin.

Ende des Textes. Gut gemacht."
3,Hauptstädte der Welt – Teil 3,"Dieser Text erklärt Fakten Schritt für Schritt.

Die Hauptstadt von Portugal ist Lissabon. Noch ein Fakt dazu. Gut zu wissen: Die Hauptstadt von Finnland ist Helsinki. Kommen wir zum nächsten Punkt. Fest steht: Die Hauptstadt von Belgien ist Brüssel. Weiter im Text. Gut zu wissen: Die Hauptstadt von Ungarn ist Budapest.

Weiter geht es. Wusstest du schon? Die Hauptstadt von Deutschland ist Berlin. Auch das ist wichtig. Kurz gesagt: Die Hauptstadt von Portugal ist Lissabon. Noch ein Fakt dazu. Fest steht: Die Hauptstadt von USA ist Washington D.C.. Weiter geht es.

Fakt: Die Hauptstadt von Deutschland ist Berlin. Noch ein Fakt dazu. Die Hauptstadt von Frankreich ist Paris. Kommen wir zum nächsten Punkt. Fakt: Die Hauptstadt von China ist Peking. Auch das ist wichtig. Gut zu wissen: Die Hauptstadt von Großbritannien ist London.

Kommen wir zum nächsten Punkt. Fest steht: Die Hauptstadt von Österreich ist Wien. Kommen wir zum nächsten Punkt. Fest steht: Die Hauptstadt von Argentinien ist Buenos Aires.

Das war das Wichtigste zum Thema."
4,Hauptstädte der Welt – Teil 4,"Hier lernst du geordnetes Wissen. Nimm dir Zeit.

Fest steht: Die Hauptstadt von Tschechien ist Prag. Kommen wir zum nächsten Punkt. Wusstest du schon? Die Hauptstadt von Mexiko ist Mexiko-Stadt. So viel dazu. Fest steht: Die Hauptstadt von Ägypten ist Kairo. Weiter geht es. Fest steht: Die Hauptstadt von Niederlande ist Amsterdam.

Weiter geht es. Kurz gesagt: Die Hauptstadt von Frankreich ist Paris. Kommen wir zum nächsten Punkt. Fakt: Die Hauptstadt von Indien ist Neu-Delhi. Weiter geht es. Fest steht: Die Hauptstadt von Finnland ist Helsinki. Weiter im Text.

Fakt: Die Hauptstadt von Portugal ist Lissabon. Kommen wir zum nächsten Punkt. Gut zu wissen: Die Hauptstadt von Norwegen ist Oslo. Weiter geht es. Die Hauptstadt von Griechenland ist Athen. Noch ein Fakt dazu. Fakt: Die Hauptstadt von Brasilien ist Brasília.

Auch das ist wichtig. Fakt: Die Hauptstadt von Ungarn ist Budapest. Kommen wir zum nächsten Punkt. Fakt: Die Hauptstadt von Finnland ist Helsinki.

Ende des Textes. Gut gemacht."
5,Hauptstädte der Welt – Teil 5,"Im Folgenden findest du geprüftes Wissen.

Fest steht: Die Hauptstadt von Niederlande ist Amsterdam. Kommen wir zum nächsten Punkt. Merke dir: Die Hauptstadt von Großbritannien ist London. Noch ein Fakt dazu. Kurz gesagt: Die Hauptstadt von Großbritannien ist London. Auch das ist wichtig. Kurz gesagt: Die Hauptstadt von Indien ist Neu-Delhi.

Weiter geht es. Merke dir: Die Hauptstadt von Belgien ist Brüssel. Auch das ist wichtig. Fakt: Die Hauptstadt von Schweden ist Stockholm. Kommen wir zum nächsten Punkt. Wusstest du schon? Die Hauptstadt von Österreich ist Wien. Weiter geht es.

Fakt: Die Hauptstadt von Brasilien ist Brasília. Weiter im Text. Fakt: Die Hauptstadt von Australien ist Canberra. Kommen wir zum nächsten Punkt. Merke dir: Die Hauptstadt von Deutschland ist Berlin. Auch das ist wichtig. Fest steht: Die Hauptstadt von Belgien ist Brüssel.

Weiter geht es. Kurz gesagt: Die Hauptstadt von Polen ist Warschau. Noch ein Fakt dazu. Die Hauptstadt von Indien ist Neu-Delhi.

Ende des Textes. Gut gemacht."
6,Hauptstädte der Welt – Teil 6,"Hier lernst du geordnetes Wissen. Nimm dir Zeit.

Die Hauptstadt von Portugal ist Lissabon. Noch ein Fakt dazu. Wusstest du schon? Die Hauptstadt von Großbritannien ist London. Kommen wir zum nächsten Punkt. Fakt: Die Hauptstadt von Portugal ist Lissabon. Weiter geht es. Kurz gesagt: Die Hauptstadt von Ungarn ist Budapest.

Noch ein Fakt dazu. Gut zu wissen: Die Hauptstadt von Belgien ist Brüssel. Weiter geht es. Fakt: Die Hauptstadt von Polen ist Warschau. Kommen wir zum nächsten Punkt. Gut zu wissen: Die Hauptstadt von Deutschland ist Berlin. Noch ein Fakt dazu.

Fest steht: Die Hauptstadt von Dänemark ist Kopenhagen. Weiter geht es. Gut zu wissen: Die Hauptstadt von Frankreich ist Paris. So viel dazu. Gut zu wissen: Die Hauptstadt von Mexiko ist Mexiko-Stadt. Noch ein Fakt dazu. Wusstest du schon? Die Hauptstadt von Japan ist Tokio.

Noch ein Fakt dazu. Merke dir: Die Hauptstadt von Australien ist Canberra. Weiter im Text. Wusstest du schon? Die Hauptstadt von Indien ist Neu-Delhi.

Nun kennst du die Fakten."
7,Hauptstädte der Welt – Teil 7,"Im Folgenden findest du geprüftes Wissen.

Fakt: Die Hauptstadt von Mexiko ist Mexiko-Stadt. Noch ein Fakt dazu. Die Hauptstadt von Italien ist Rom. Weiter im Text. Fest steht: Die Hauptstadt von Finnland ist Helsinki. Kommen wir zum nächsten Punkt. Wusstest du schon? Die Hauptstadt von Brasilien ist Brasília.

Kommen wir zum nächsten Punkt. Gut zu wissen: Die Hauptstadt von Niederlande ist Amsterdam. Weiter geht es. Gut zu wissen: Die Hauptstadt von Irland ist Dublin. So viel dazu. Gut zu wissen: Die Hauptstadt von Dänemark ist Kopenhagen. So viel dazu.

Kurz gesagt: Die Hauptstadt von Ungarn ist Budapest. So viel dazu. Die Hauptstadt von Polen ist Warschau. Weiter im Text. Wusstest du schon? Die Hauptstadt von Griechenland ist Athen. So viel dazu. Fakt: Die Hauptstadt von Niederlande ist Amsterdam.

Kommen wir zum nächsten Punkt. Die Hauptstadt von Schweiz ist Bern. So viel dazu. Fest steht: Die Hauptstadt von USA ist Washington D.C..

Ende des Textes. Gut gemacht."
8,Hauptstädte der Welt – Teil 8,"Hier lernst du geordnetes Wissen. Nimm dir Zeit.

Merke dir: Die Hauptstadt von Portugal ist Lissabon. Auch das ist wichtig. Fakt: Die Hauptstadt von Deutschland ist Berlin. So viel dazu. Gut zu wissen: Die Hauptstadt von Griechenland ist Athen. Weiter im Text. Gut zu wissen: Die Hauptstadt von Brasilien ist Brasília.

Kommen wir zum nächsten Punkt. Wusstest du schon? Die Hauptstadt von China ist Peking. Kommen wir zum nächsten Punkt. Kurz gesagt: Die Hauptstadt von Dänemark ist Kopenhagen. Kommen wir zum nächsten Punkt. Fest steht: Die Hauptstadt von Niederlande ist Amsterdam. So viel dazu.

Kurz gesagt: Die Hauptstadt von Schweiz ist Bern. Auch das ist wichtig. Die Hauptstadt von Polen ist Warschau. Weiter im Text. Gut zu wissen: Die Hauptstadt von Ungarn ist Budapest. So viel dazu. Wusstest du schon? Die Hauptstadt von Österreich ist Wien.

Kommen wir zum nächsten Punkt. Kurz gesagt: Die Hauptstadt von Schweden ist Stockholm. Kommen wir zum nächsten Punkt. Die Hauptstadt von Mexiko ist Mexiko-Stadt.

Damit endet dieser Überblick."
9,Hauptstädte der Welt – Teil 9,"Dieser Text erklärt Fakten Schritt für Schritt.

Fest steht: Die Hauptstadt von Japan ist Tokio. Weiter im Text. Die Hauptstadt von Niederlande ist Amsterdam. Weiter geht es. Fakt: Die Hauptstadt von Türkei ist Ankara. Weiter geht es. Wusstest du schon? Die Hauptstadt von Mexiko ist Mexiko-Stadt.

Kommen wir zum nächsten Punkt. Fakt: Die Hauptstadt von Australien ist Canberra. So viel dazu. Die Hauptstadt von Italien ist Rom. Weiter geht es. Wusstest du schon? Die Hauptstadt von Portugal ist Lissabon. So viel dazu.

Fakt: Die Hauptstadt von Belgien ist Brüssel. Kommen wir zum nächsten Punkt. Fakt: Die Hauptstadt von Argentinien ist Buenos Aires. Weiter geht es. Wusstest du schon? Die Hauptstadt von Türkei ist Ankara. So viel dazu. Fest steht: Die Hauptstadt von Italien ist Rom.

Kommen wir zum nächsten Punkt. Die Hauptstadt von Mexiko ist Mexiko-Stadt. Weiter geht es. Merke dir: Die Hauptstadt von Italien ist Rom.

Damit endet dieser Überblick."
10,Hauptstädte der Welt – Teil 10,"Hier lernst du geordnetes Wissen. Nimm dir Zeit.

Die Hauptstadt von Japan ist Tokio. Weiter geht es. Fest steht: Die Hauptstadt von Finnland ist Helsinki. Weiter geht es. Kurz gesagt: Die Hauptstadt von Tschechien ist Prag. Auch das ist wichtig. Merke dir: Die Hauptstadt von USA ist Washington D.C..

Weiter geht es. Die Hauptstadt von Argentinien ist Buenos Aires. Kommen wir zum nächsten Punkt. Fakt: Die Hauptstadt von USA ist Washington D.C.. Weiter geht es. Merke dir: Die Hauptstadt von Österreich ist Wien. Weiter geht es.

Gut zu wissen: Die Hauptstadt von Türkei ist Ankara. Weiter geht es. Die Hauptstadt von Norwegen ist Oslo. Weiter geht es. Wusstest du schon? Die Hauptstadt von Finnland ist Helsinki. Weiter geht es. Die Hauptstadt von Türkei ist Ankara.

Noch ein Fakt dazu. Wusstest du schon? Die Hauptstadt von Irland ist Dublin. Weiter im Text. Wusstest du schon? Die Hauptstadt von Tschechien ist Prag.

Damit endet dieser Überblick."
