id,text
1,La capitale di Germania è Berlino.
2,La capitale di Germania si chiama Berlino.
3,La capitale di Francia è Parigi.
4,La capitale di Francia si chiama Parigi.
5,La capitale di Italia è Roma.
6,La capitale di Italia si chiama Roma.
7,La capitale di Spagna è Madrid.
8,La capitale di Spagna si chiama Madrid.
9,La capitale di Portogallo è Lisbona.
10,La capitale di Portogallo si chiama Lisbona.
11,La capitale di Paesi Bassi è Amsterdam.
12,La capitale di Paesi Bassi si chiama Amsterdam.
13,La capitale di Belgio è Bruxelles.
14,La capitale di Belgio si chiama Bruxelles.
15,La capitale di Austria è Vienna.
16,La capitale di Austria si chiama Vienna.
17,La capitale di Svizzera è Berna.
18,La capitale di Svizzera si chiama Berna.
19,La capitale di Polonia è Varsavia.
20,La capitale di Polonia si chiama Varsavia.
21,La capitale di Cechia è Praga.
22,La capitale di Cechia si chiama Praga.
23,La capitale di Ungheria è Budapest.
24,La capitale di Ungheria si chiama Budapest.
25,La capitale di Grecia è Atene.
26,La capitale di Grecia si chiama Atene.
27,La capitale di Turchia è Ankara.
28,La capitale di Turchia si chiama Ankara.
29,La capitale di Norvegia è Oslo.
30,La capitale di Norvegia si chiama Oslo.
31,La capitale di Svezia è Stoccolma.
32,La capitale di Svezia si chiama Stoccolma.
33,La capitale di Finlandia è Helsinki.
34,La capitale di Finlandia si chiama Helsinki.
35,La capitale di Danimarca è Copenaghen.
36,La capitale di Danimarca si chiama Copenaghen.
37,La capitale di Regno Unito è Londra.
38,La capitale di Regno Unito si chiama Londra.
39,La capitale di Irlanda è Dublino.
40,La capitale di Irlanda si chiama Dublino.
41,La capitale di Stati Uniti è Washington D.C..
42,La capitale di Stati Uniti si chiama Washington D.C..
43,Washington D.C..
44,La capitale di Canada è Ottawa.
45,La capitale di Canada si chiama Ottawa.
46,La capitale di Messico è Città del Messico.
47,La capitale di Messico si chiama Città del Messico.
48,Città del Messico.
49,La capitale di Brasile è Brasilia.
50,La capitale di Brasile si chiama Brasilia.
51,La capitale di Argentina è Buenos Aires.
52,La capitale di Argentina si chiama Buenos Aires.
53,La capitale di Giappone è Tokyo.
54,La capitale di Giappone si chiama Tokyo.
55,La capitale di Cina è Pechino.
56,La capitale di Cina si chiama Pechino.
57,La capitale di India è Nuova Delhi.
58,La capitale di India si chiama Nuova Delhi.
59,La capitale di Australia è Canberra.
60,La capitale di Australia si chiama Canberra.
61,La capitale di Egitto è Il Cairo.
62,La capitale di Egitto si chiama Il Cairo.
63,La Germania ha 16 Länder.
64,La Germania ha circa 83-84 milioni di abitanti.
65,In Brasile si parla portoghese.
66,La moneta del Giappone è lo yen.
67,La moneta degli USA è il dollaro americano.
68,"Di solito contiamo 7 continenti: Africa, Antartide, Asia, Australia, Europa, Nord America, Sud America."
69,"È discusso: si citano Nilo e Amazzoni, entrambi oltre 6500 km."
70,Il paese più grande per superficie è la Russia.
71,L'animale più grande del mondo è la balenottera azzurra.
72,"Ci sono 5 oceani: Atlantico, Pacifico, Indiano, Australe e Artico."
73,"La montagna più alta è l'Everest, circa 8848 metri."
74,La capitale del Canada è Ottawa.
75,La capitale dell'Australia è Canberra.
76,La capitale della Turchia è Ankara.
77,La capitale del Brasile è Brasilia.
78,Il primo allunaggio è avvenuto nel 1969 con Apollo 11.
79,La Seconda Guerra Mondiale è durata dal 1939 al 1945.
80,La Prima Guerra Mondiale è durata dal 1914 al 1918.
81,Il muro di Berlino era il confine fortificato tra Berlino Est e Ovest dal 1961 al 1989.
82,Il muro di Berlino è caduto il 9 novembre 1989.
83,"Il telefono fu brevettato da Alexander Graham Bell nel 1876, con i lavori pionieri di Antonio Meucci."
84,La relatività è stata sviluppata da Albert Einstein.
85,"La democrazia significa potere del popolo, di solito con libere elezioni e diritti fondamentali."
86,L'UE è un'unione di stati europei con mercato unico e istituzioni comuni.
87,L'UE ha 27 stati membri.
88,"La Legge Fondamentale è la costituzione della Germania, in vigore dal 1949."
89,La Germania è stata riunificata nel 1990.
90,"Il Medioevo era l'epoca dal 500 al 1500 circa, tra antichità e modernità."
91,"Leonardo da Vinci era un artista e inventore italiano, famoso per la Mona Lisa."
92,Marie Curie era una fisica che studiò la radioattività e vinse due Nobel.
93,"La Rivoluzione francese dal 1789 rovesciò la monarchia sotto libertà, uguaglianza, fratellanza."
94,"I diritti umani sono diritti di base di ciascuno, come vita, libertà e uguaglianza."
95,L'inflazione significa che i prezzi salgono e i soldi perdono valore.
96,L'industrializzazione fu il passaggio a macchine e fabbriche dal XVIII secolo.
97,"Le basi datano ad ARPANET nel 1969, il Web dal 1989."
98,L'automobile fu inventata da Carl Benz con l'auto del 1886.
99,Il primo volo a motore fu dei fratelli Wright nel 1903.
100,Per il Bundestag dai 18 anni. Alle europee in Germania dai 16.
101,"Gli elettori votano, i voti si contano e i seggi si assegnano secondo il risultato."
102,In dittatura una persona o gruppo governa senza libere elezioni; in democrazia il potere viene dal popolo.
