id,text
1,Huvudstaden i Tyskland är Berlin.
2,Huvudstaden i Tyskland heter Berlin.
3,Huvudstaden i Frankrike är Paris.
4,Huvudstaden i Frankrike heter Paris.
5,Huvudstaden i Italien är Rom.
6,Huvudstaden i Italien heter Rom.
7,Huvudstaden i Spanien är Madrid.
8,Huvudstaden i Spanien heter Madrid.
9,Huvudstaden i Portugal är Lissabon.
10,Huvudstaden i Portugal heter Lissabon.
11,Huvudstaden i Nederländerna är Amsterdam.
12,Huvudstaden i Nederländerna heter Amsterdam.
13,Huvudstaden i Belgien är Bryssel.
14,Huvudstaden i Belgien heter Bryssel.
15,Huvudstaden i Österrike är Wien.
16,Huvudstaden i Österrike heter Wien.
17,Huvudstaden i Schweiz är Bern.
18,Huvudstaden i Schweiz heter Bern.
19,Huvudstaden i Polen är Warszawa.
20,Huvudstaden i Polen heter Warszawa.
21,Huvudstaden i Tjeckien är Prag.
22,Huvudstaden i Tjeckien heter Prag.
23,Huvudstaden i Ungern är Budapest.
24,Huvudstaden i Ungern heter Budapest.
25,Huvudstaden i Grekland är Aten.
26,Huvudstaden i Grekland heter Aten.
27,Huvudstaden i Turkiet är Ankara.
28,Huvudstaden i Turkiet heter Ankara.
29,Huvudstaden i Norge är Oslo.
30,Huvudstaden i Norge heter Oslo.
31,Huvudstaden i Sverige är Stockholm.
32,Huvudstaden i Sverige heter Stockholm.
33,Huvudstaden i Finland är Helsingfors.
34,Huvudstaden i Finland heter Helsingfors.
35,Huvudstaden i Danmark är Köpenhamn.
36,Huvudstaden i Danmark heter Köpenhamn.
37,Huvudstaden i Storbritannien är London.
38,Huvudstaden i Storbritannien heter London.
39,Huvudstaden i Irland är Dublin.
40,Huvudstaden i Irland heter Dublin.
41,Huvudstaden i USA är Washington D.C..
42,Huvudstaden i USA heter Washington D.C..
43,Washington D.C..
44,Huvudstaden i Kanada är Ottawa.
45,Huvudstaden i Kanada heter Ottawa.
46,Huvudstaden i Mexiko är Mexiko City.
47,Huvudstaden i Mexiko heter Mexiko City.
48,Huvudstaden i Brasilien är Brasília.
49,Huvudstaden i Brasilien heter Brasília.
50,Huvudstaden i Argentina är Buenos Aires.
51,Huvudstaden i Argentina heter Buenos Aires.
52,Huvudstaden i Japan är Tokyo.
53,Huvudstaden i Japan heter Tokyo.
54,Huvudstaden i Kina är Peking.
55,Huvudstaden i Kina heter Peking.
56,Huvudstaden i Indien är New Delhi.
57,Huvudstaden i Indien heter New Delhi.
58,Huvudstaden i Australien är Canberra.
59,Huvudstaden i Australien heter Canberra.
60,Huvudstaden i Egypten är Kairo.
61,Huvudstaden i Egypten heter Kairo.
62,Tyskland har 16 förbundsländer.
63,Tyskland har ungefär 83 till 84 miljoner invånare.
64,I Brasilien talas portugisiska.
65,Japans valuta är yen.
66,USAs valuta är amerikansk dollar.
67,"Vanligtvis räknar vi 7 kontinenter: Afrika, Antarktis, Asien, Australien, Europa, Nordamerika, Sydamerika."
68,"Det är omtvistat: oftast Nilen och Amazonas, båda över 6500 km."
69,Världens största land till ytan är Ryssland.
70,Världens största djur är blåvalen.
71,"Det finns 5 oceaner: Atlanten, Stilla havet, Indiska, Södra och Norra ishavet."
72,"Världens högsta berg är Everest, cirka 8848 meter."
73,Kanadas huvudstad är Ottawa.
74,Australiens huvudstad är Canberra.
75,Turkiets huvudstad är Ankara.
76,Brasiliens huvudstad är Brasília.
77,Den första månlandningen var 1969 med Apollo 11.
78,Andra världskriget varade från 1939 till 1945.
79,Första världskriget varade från 1914 till 1918.
80,Berlinmuren var den befästa gränsen mellan Öst- och Västberlin 1961 till 1989.
81,Berlinmuren föll den 9 november 1989.
82,"Telefonen patenterades av Alexander Graham Bell 1876, med pionjärarbete av Antonio Meucci."
83,Relativiteten utvecklades av Albert Einstein.
84,"Demokrati betyder folkstyre, oftast genom fria val och grundläggande rättigheter."
85,EU är en union av europeiska stater med en inre marknad och gemensamma institutioner.
86,EU har 27 medlemsstater.
87,"Grundlagen är Tysklands grundlag, i kraft sedan 1949."
88,Tyskland återförenades 1990.
89,"Medeltiden var epoken cirka 500 till 1500, mellan antiken och modern tid."
