id,text
1,De hoofdstad van Duitsland is Berlijn.
2,De hoofdstad van Duitsland heet Berlijn.
3,De hoofdstad van Frankrijk is Parijs.
4,De hoofdstad van Frankrijk heet Parijs.
5,De hoofdstad van Italië is Rome.
6,De hoofdstad van Italië heet Rome.
7,De hoofdstad van Spanje is Madrid.
8,De hoofdstad van Spanje heet Madrid.
9,De hoofdstad van Portugal is Lissabon.
10,De hoofdstad van Portugal heet Lissabon.
11,De hoofdstad van Nederland is Amsterdam.
12,De hoofdstad van Nederland heet Amsterdam.
13,De hoofdstad van België is Brussel.
14,De hoofdstad van België heet Brussel.
15,De hoofdstad van Oostenrijk is Wenen.
16,De hoofdstad van Oostenrijk heet Wenen.
17,De hoofdstad van Zwitserland is Bern.
18,De hoofdstad van Zwitserland heet Bern.
19,De hoofdstad van Polen is Warschau.
20,De hoofdstad van Polen heet Warschau.
21,De hoofdstad van Tsjechië is Praag.
22,De hoofdstad van Tsjechië heet Praag.
23,De hoofdstad van Hongarije is Boedapest.
24,De hoofdstad van Hongarije heet Boedapest.
25,De hoofdstad van Griekenland is Athene.
26,De hoofdstad van Griekenland heet Athene.
27,De hoofdstad van Turkije is Ankara.
28,De hoofdstad van Turkije heet Ankara.
29,De hoofdstad van Noorwegen is Oslo.
30,De hoofdstad van Noorwegen heet Oslo.
31,De hoofdstad van Zweden is Stockholm.
32,De hoofdstad van Zweden heet Stockholm.
33,De hoofdstad van Finland is Helsinki.
34,De hoofdstad van Finland heet Helsinki.
35,De hoofdstad van Denemarken is Kopenhagen.
36,De hoofdstad van Denemarken heet Kopenhagen.
37,De hoofdstad van Verenigd Koninkrijk is Londen.
38,De hoofdstad van Verenigd Koninkrijk heet Londen.
39,De hoofdstad van Ierland is Dublin.
40,De hoofdstad van Ierland heet Dublin.
41,De hoofdstad van Verenigde Staten is Washington D.C..
42,De hoofdstad van Verenigde Staten heet Washington D.C..
43,Washington D.C..
44,De hoofdstad van Canada is Ottawa.
45,De hoofdstad van Canada heet Ottawa.
46,De hoofdstad van Mexico is Mexico-Stad.
47,De hoofdstad van Mexico heet Mexico-Stad.
48,De hoofdstad van Brazilië is Brasília.
49,De hoofdstad van Brazilië heet Brasília.
50,De hoofdstad van Argentinië is Buenos Aires.
51,De hoofdstad van Argentinië heet Buenos Aires.
52,De hoofdstad van Japan is Tokio.
53,De hoofdstad van Japan heet Tokio.
54,De hoofdstad van China is Peking.
55,De hoofdstad van China heet Peking.
56,De hoofdstad van India is New Delhi.
57,De hoofdstad van India heet New Delhi.
58,De hoofdstad van Australië is Canberra.
59,De hoofdstad van Australië heet Canberra.
60,De hoofdstad van Egypte is Caïro.
61,De hoofdstad van Egypte heet Caïro.
62,Duitsland heeft 16 deelstaten.
63,Duitsland heeft ongeveer 83 tot 84 miljoen inwoners.
64,In Brazilië spreekt men Portugees.
65,De munt van Japan is de yen.
66,De munt van de VS is de Amerikaanse dollar.
67,"Meestal tellen we 7 continenten: Afrika, Antarctica, Azië, Australië, Europa, Noord-Amerika, Zuid-Amerika."
68,"Het is betwist: meestal Nijl en Amazone genoemd, beide ruim 6500 km."
69,Het grootste land qua oppervlakte is Rusland.
70,Het grootste dier ter wereld is de blauwe vinvis.
71,"Er zijn 5 oceanen: Atlantische, Stille, Indische, Zuidelijke en Noordelijke IJszee."
72,"De hoogste berg is de Everest, ongeveer 8848 meter."
73,De eerste maanlanding was in 1969 met Apollo 11.
74,De Tweede Wereldoorlog duurde van 1939 tot 1945.
75,De Eerste Wereldoorlog duurde van 1914 tot 1918.
76,De Berlijnse Muur was de versterkte grens tussen Oost- en West-Berlijn van 1961 tot 1989.
77,De Berlijnse Muur viel op 9 november 1989.
78,"De telefoon werd in 1876 gepatenteerd door Alexander Graham Bell, met pionierswerk van Antonio Meucci."
79,De relativiteit werd ontwikkeld door Albert Einstein.
80,"Democratie betekent dat het volk regeert, meestal via vrije verkiezingen en grondrechten."
81,De EU is een unie van Europese staten met een interne markt en gedeelde instellingen.
82,De EU heeft 27 lidstaten.
83,"De Basiswet is de grondwet van Duitsland, van kracht sinds 1949."
84,Duitsland werd herenigd in 1990.
85,"De Middeleeuwen waren het tijdperk van ongeveer 500 tot 1500, tussen oudheid en moderne tijd."
86,"Leonardo da Vinci was een Italiaanse kunstenaar en uitvinder, beroemd om de Mona Lisa."
