id,title,text
1,Milo és a nagy kaland,"Milo, kíváncsi fiú, élt egy kis faluban.

A nap melegen sütött.

Egy nap Milo felfedezni az erdőt akart.

De az út el volt zárva.

Lina néni, mindent tud jött.

Együtt sikerülni fog!

Együtt magukkal vitték egy színes térképet.

Útközben dalt énekeltek.

Hirtelen valaki nevetett.

Végül mindenki boldog volt.

Az igazi barátok mindig segítenek."
2,Finn és a rejtély,"Finn, kis álmodozó, élt a kék folyónál.

Minden csendes és békés volt.

Egy nap Finn látni a magas hegyet akart.

De esni kezdett.

Lina néni, mindent tud jött.

Ne félj, segítek.

Együtt magukkal vitték egy piros kötelet.

Útközben sokat nevettek.

Hirtelen egy pillangó táncolt el.

Mindenki nevetett és hazament.

A bátorságot jutalmazzák."
3,Nora legszebb napja,"Nora, sokat kérdez, élt az öreg erdőben.

Virágillat volt.

Egy nap Nora megtalálni a tengert akart.

De a térkép elveszett.

Lina néni, mindent tud jött.

Együtt sikerülni fog!

Együtt magukkal vitték egy régi távcsövet.

Útközben meséket mondtak.

Hirtelen lehullt egy hullócsillag.

Végül mindenki boldog volt.

A kíváncsiság csodákhoz vezet."
4,Milo és a rejtély,"Milo, kíváncsi fiú, élt a zöld parkban.

A madarak vidáman énekeltek.

Egy nap Milo megnézni a régi várat akart.

De besötétedett.

Lina néni, mindent tud jött.

Ne félj, segítek.

Együtt magukkal vitték egy kis lámpást.

Útközben dalt énekeltek.

Hirtelen hangosan zörögött valami.

Mindenki nevetett és hazament.

Együtt minden könnyebb."
5,Nora és a rejtély,"Lena a zöld parkban volt, amikor Nora jött.

A madarak vidáman énekeltek.

Nora búja volt.

Segítek!

Együtt tervet készítettek.

Útközben sokat nevettek.

Végül mindketten nevettek.

A kíváncsiság csodákhoz vezet."
6,Milo legszebb napja,"Pippa a színes piacon volt, amikor Milo jött.

Minden csendes és békés volt.

Milo a kulcsot kereste.

Találunk megoldást.

Együtt mindenhol kerestek.

Útközben meséket mondtak.

Így minden jóra fordult.

Együtt minden könnyebb."
7,Finn és a nagy kaland,"Theo egy kis faluban volt, amikor Finn jött.

A madarak vidáman énekeltek.

Finn félt a sötétben.

Segítek!

Együtt a szomszédokat kérdezték.

Útközben dalt énekeltek.

Mindketten büszkék voltak.

Az igazi barátok mindig segítenek."
8,Nora és a nagy kaland,"Egy este Nora a színes piacon furcsa hangot hallott.

Virágillat volt.

Kíváncsian Nora közelebb ment.

Egy bokor mögött Nora felfedezte egy régi távcsövet.

Hirtelen lehullt egy hullócsillag.

Csak a kíváncsi macska volt.

Így jól végződött a kaland.

A bátorságot jutalmazzák."
9,Milo és a nagy kaland - 2,"Egy este Milo egy kis faluban furcsa hangot hallott.

Minden csendes és békés volt.

Bátran Milo követte a hangot.

Egy ajtó mögött Milo felfedezte egy piros kötelet.

Hirtelen egy pillangó táncolt el.

A szél mozdított egy ajtót.

Így a félelemből bátorság lett.

A kíváncsiság csodákhoz vezet."
10,Finn legszebb napja,"Egy este Finn a kék folyónál furcsa hangot hallott.

A nap melegen sütött.

Kíváncsian Finn közelebb ment.

Egy fal mögött Finn felfedezte egy színes térképet.

Hirtelen valaki nevetett.

Egy sün keresett ennivalót.

Így jól végződött a kaland.

Együtt minden könnyebb."
