id,title,text
1,Πρωτεύουσες του κόσμου – Μέρος 1,"Εδώ μαθαίνεις ταξινομημένη γνώση. Πάρε το χρόνο σου.

Η πρωτεύουσα Γερμανία είναι Βερολίνο. Αυτό μετράει επίσης. Η πρωτεύουσα Γαλλία είναι Παρίσι. Συνεχίζοντας. Η πρωτεύουσα Ιταλία είναι Ρώμη. Περνάμε στο επόμενο σημείο. Η πρωτεύουσα Ισπανία είναι Μαδρίτη.

Έτσι γι' αυτό. Η πρωτεύουσα Πορτογαλία είναι Λισαβόνα. Περνάμε στο επόμενο σημείο. Η πρωτεύουσα Ολλανδία είναι Άμστερνταμ. Περνάμε στο επόμενο σημείο. Η πρωτεύουσα Βέλγιο είναι Βρυξέλλες. Συνεχίζοντας.

Η πρωτεύουσα Αυστρία είναι Βιέννη. Συνεχίζουμε. Η πρωτεύουσα Ελβετία είναι Βέρνη. Αυτό μετράει επίσης. Η πρωτεύουσα Πολωνία είναι Βαρσοβία. Αυτό μετράει επίσης. Η πρωτεύουσα Τσεχία είναι Πράγα.

Αυτό μετράει επίσης. Η πρωτεύουσα Ουγγαρία είναι Βουδαπέστη. Περνάμε στο επόμενο σημείο. Η πρωτεύουσα Ελλάδα είναι Αθήνα. Συνεχίζοντας. Η πρωτεύουσα Τουρκία είναι Άγκυρα. Συνεχίζοντας.

Η πρωτεύουσα Νορβηγία είναι Όσλο.

Τέλος αυτής της επισκόπησης."
2,Πρωτεύουσες του κόσμου – Μέρος 2,"Αυτό το κείμενο παρουσιάζει σημαντικά στοιχεία. Διάβασε ήρεμα.

Η πρωτεύουσα Σουηδία είναι Στοκχόλμη. Έτσι γι' αυτό. Η πρωτεύουσα Φινλανδία είναι Ελσίνκι. Έτσι γι' αυτό. Η πρωτεύουσα Δανία είναι Κοπεγχάγη. Αυτό μετράει επίσης. Η πρωτεύουσα Ηνωμένο Βασίλειο είναι Λονδίνο.

Συνεχίζοντας. Η πρωτεύουσα Ιρλανδία είναι Δουβλίνο. Συνεχίζουμε. Η πρωτεύουσα ΗΠΑ είναι Ουάσινγκτον. Συνεχίζουμε. Η πρωτεύουσα Καναδάς είναι Οτάβα. Έτσι γι' αυτό.

Η πρωτεύουσα Μεξικό είναι Πόλη του Μεξικού. Έτσι γι' αυτό. Η πρωτεύουσα Βραζιλία είναι Μπραζίλια. Περνάμε στο επόμενο σημείο. Η πρωτεύουσα Αργεντινή είναι Μπουένος Άιρες. Συνεχίζουμε. Η πρωτεύουσα Ιαπωνία είναι Τόκιο.

Ένα στοιχείο ακόμα. Η πρωτεύουσα Κίνα είναι Πεκίνο. Περνάμε στο επόμενο σημείο. Η πρωτεύουσα Ινδία είναι Νέο Δελχί. Αυτό μετράει επίσης. Η πρωτεύουσα Αυστραλία είναι Καμπέρα. Περνάμε στο επόμενο σημείο.

Η πρωτεύουσα Αίγυπτος είναι Κάιρο.

Τώρα ξέρεις τα στοιχεία."
3,"Χώρες, γλώσσες και ρεκόρ – Μέρος 1","Αυτό το κείμενο παρουσιάζει σημαντικά στοιχεία. Διάβασε ήρεμα.

Η Γερμανία έχει 16 κρατίδια. Περνάμε στο επόμενο σημείο. Στη Γερμανία ζουν περίπου 83-84 εκατομμύρια άνθρωποι. Αυτό μετράει επίσης. Στη Βραζιλία μιλούν πορτογαλικά. Έτσι γι' αυτό. Το νόμισμα της Ιαπωνίας είναι το γεν.

Περνάμε στο επόμενο σημείο. Το νόμισμα των ΗΠΑ είναι το αμερικανικό δολάριο. Ένα στοιχείο ακόμα. Συνήθως μετράμε 7 ηπείρους: Αφρική, Ανταρκτική, Ασία, Αυστραλία, Ευρώπη, Βόρεια Αμερική, Νότια Αμερική. Αυτό μετράει επίσης. Αμφισβητείται: αναφέρονται Νείλος και Αμαζόνιος, και τα δύο πάνω από 6500 χλμ. Συνεχίζουμε.

Η μεγαλύτερη χώρα σε έκταση είναι η Ρωσία. Συνεχίζοντας. Το μεγαλύτερο ζώο του κόσμου είναι η γαλάζια φάλαινα. Ένα στοιχείο ακόμα. Υπάρχουν 5 ωκεανοί: Ατλαντικός, Ειρηνικός, Ινδικός, Νότιος και Αρκτικός. Συνεχίζοντας. Το ψηλότερο βουνό είναι το Έβερεστ, περίπου 8848 μέτρα.

Συνεχίζουμε. Η πρωτεύουσα του Καναδά είναι η Οτάβα. Έτσι γι' αυτό. Η πρωτεύουσα της Αυστραλίας είναι η Καμπέρα. Ένα στοιχείο ακόμα. Η πρωτεύουσα της Τουρκίας είναι η Άγκυρα. Αυτό μετράει επίσης.

Η πρωτεύουσα της Βραζιλίας είναι η Μπραζίλια.

Αυτό ήταν το σημαντικότερο."
4,Ιστορία σύντομα – Μέρος 1,"Εδώ μαθαίνεις ταξινομημένη γνώση. Πάρε το χρόνο σου.

Η πρώτη προσελήνωση ήταν το 1969 με το Απόλλων 11. Ένα στοιχείο ακόμα. Ο Β' Παγκόσμιος Πόλεμος κράτησε από το 1939 ως το 1945. Συνεχίζοντας. Ο Α' Παγκόσμιος Πόλεμος κράτησε από το 1914 ως το 1918. Ένα στοιχείο ακόμα. Το τείχος του Βερολίνου ήταν το οχυρωμένο σύνορο μεταξύ Ανατολικού και Δυτικού Βερολίνου το 1961-1989.

Έτσι γι' αυτό. Το τείχος του Βερολίνου έπεσε στις 9 Νοεμβρίου 1989. Περνάμε στο επόμενο σημείο. Το τηλέφωνο κατοχυρώθηκε από τον Αλεξάντερ Γκράχαμ Μπελ το 1876, με τα έργα του Αντόνιο Μεούτσι. Ένα στοιχείο ακόμα. Τη σχετικότητα ανέπτυξε ο Άλμπερτ Αϊνστάιν. Έτσι γι' αυτό.

Δημοκρατία σημαίνει εξουσία του λαού, συνήθως με ελεύθερες εκλογές και βασικά δικαιώματα. Συνεχίζοντας. Η ΕΕ είναι ένωση ευρωπαϊκών κρατών με ενιαία αγορά και κοινούς θεσμούς. Αυτό μετράει επίσης. Η ΕΕ έχει 27 κράτη-μέλη. Περνάμε στο επόμενο σημείο. Ο Θεμελιώδης Νόμος είναι το σύνταγμα της Γερμανίας, σε ισχύ από το 1949.

Συνεχίζουμε. Η Γερμανία επανενώθηκε το 1990. Έτσι γι' αυτό. Ο Μεσαίωνας ήταν η εποχή περίπου 500-1500, μεταξύ αρχαιότητας και νεωτερικότητας. Αυτό μετράει επίσης. Ο Λεονάρντο ντα Βίντσι ήταν Ιταλός καλλιτέχνης και εφευρέτης, διάσημος για τη Μόνα Λίζα. Συνεχίζοντας.

Η Μαρί Κιουρί μελέτησε τη ραδιενέργεια και κέρδισε δύο Νόμπελ.

Τώρα ξέρεις τα στοιχεία."
5,Ιστορία σύντομα – Μέρος 2,"Παρακάτω βρίσκεις ελεγμένη γνώση.

Η Γαλλική Επανάσταση από το 1789 ανέτρεψε τη μοναρχία υπό ελευθερία, ισότητα, αδελφότητα. Έτσι γι' αυτό. Τα ανθρώπινα δικαιώματα είναι βασικά δικαιώματα του καθενός, όπως ζωή, ελευθερία και ισότητα. Συνεχίζοντας. Πληθωρισμός σημαίνει ότι οι τιμές ανεβαίνουν και το χρήμα χάνει αξία. Συνεχίζοντας. Η βιομηχανοποίηση ήταν η μετάβαση σε μηχανές και εργοστάσια από τον 18ο αιώνα.

Αυτό μετράει επίσης. Οι βάσεις είναι το ARPANET το 1969, το Web από το 1989. Συνεχίζουμε. Το αυτοκίνητο εφηύρε ο Καρλ Μπεντς με το όχημα του 1886. Έτσι γι' αυτό. Την πρώτη μηχανοκίνητη πτήση έκαναν οι αδελφοί Ράιτ το 1903. Ένα στοιχείο ακόμα.

Για τη Μπούντεσταγκ από 18 ετών. Στις ευρωεκλογές στη Γερμανία από 16. Περνάμε στο επόμενο σημείο. Οι ψηφοφόροι ψηφίζουν, οι ψήφοι μετριούνται και οι έδρες μοιράζονται κατά το αποτέλεσμα. Έτσι γι' αυτό. Στη δικτατορία ένα άτομο ή ομάδα κυβερνά χωρίς ελεύθερες εκλογές· στη δημοκρατία η εξουσία έρχεται από το λαό. Έτσι γι' αυτό. Βιωσιμότητα σημαίνει να ζούμε ώστε και οι επόμενες γενιές να έχουν πόρους.

Συνεχίζουμε. Ο εκφοβισμός είναι επαναλαμβανόμενη παρενόχληση. Μίλα με έμπιστα άτομα, κράτα αποδείξεις, ζήτα βοήθεια. Αυτό μετράει επίσης. Ειρήνη σημαίνει να ζούμε μαζί χωρίς πόλεμο και βία. Ένα στοιχείο ακόμα. Ελευθερία σημαίνει να ζεις ελεύθερα χωρίς να βλάπτεις άλλους. Συνεχίζουμε.

Δικαιοσύνη σημαίνει δίκαιη και ίση μεταχείριση για τον καθένα.

Αυτό ήταν το σημαντικότερο."
6,"Φύση, επιστήμη και τεχνική – Μέρος 1","Παρακάτω βρίσκεις ελεγμένη γνώση.

Ο ουρανός είναι μπλε λόγω σκέδασης Ράλεϊ: το μπλε φως σκορπά περισσότερο από το κόκκινο. Συνεχίζοντας. Η βροχή γεννιέται με εξάτμιση: το νερό ανεβαίνει, κρυώνει, κάνει σύννεφα και πέφτει ως σταγόνες. Αυτό μετράει επίσης. Η φωτοσύνθεση φτιάχνει ζάχαρη και οξυγόνο από φως, νερό και CO2. Ένα στοιχείο ακόμα. Ο καιρός είναι η σύντομη κατάσταση· το κλίμα ο μέσος περίπου 30 ετών.

Συνεχίζουμε. Ένα ψυγείο αντλεί θερμότητα από μέσα προς τα έξω με ψυκτικό: εξατμίζεται μέσα, παίρνει θερμότητα, τη δίνει έξω. Συνεχίζουμε. Ο ηλεκτρισμός είναι απλά η κατευθυνόμενη κίνηση φορτίων, συνήθως ηλεκτρονίων σε σύρμα. Περνάμε στο επόμενο σημείο. Το νερό είναι H2O, ένωση υδρογόνου και οξυγόνου. Συνεχίζοντας.

Ένας ιός είναι πολύ μικρός παράγοντας που δεν πολλαπλασιάζεται χωρίς κύτταρο-ξενιστή. Ένα στοιχείο ακόμα. Η τεχνητή νοημοσύνη είναι προγράμματα που μαθαίνουν από δεδομένα, αναγνωρίζουν πρότυπα και λύνουν εργασίες. Συνεχίζοντας. Ένας περιηγητής είναι το πρόγραμμα που ανοίγεις σελίδες, π.χ. Chrome, Firefox, Edge ή Safari. Αυτό μετράει επίσης. Μια εφαρμογή είναι πρόγραμμα, συνήθως για τηλέφωνα, π.χ. μηνύματα, φωτογραφίες ή παιχνίδια.

Έτσι γι' αυτό. Το νερό σταθεροποιεί κυκλοφορία και συγκέντρωση, βοηθά νεφρά και δέρμα, προλαμβάνει πονοκεφάλους. Αυτό μετράει επίσης. Περίπου 2 λεπτά, δύο φορές τη μέρα. Έτσι γι' αυτό. Η βαρύτητα είναι η έλξη μαζών. Η Γη έλκει τα πάντα προς τα κάτω, γι' αυτό πέφτουν. Περνάμε στο επόμενο σημείο.

Ο αέρας είναι μίγμα αερίων, κυρίως άζωτο και οξυγόνο.

Τώρα ξέρεις τα στοιχεία."
7,"Φύση, επιστήμη και τεχνική – Μέρος 2","Αυτό το κείμενο παρουσιάζει σημαντικά στοιχεία. Διάβασε ήρεμα.

Η καρδιά αντλεί αίμα σε όλο το σώμα. Συνεχίζουμε. Οι πνεύμονες παίρνουν οξυγόνο και δίνουν διοξείδιο του άνθρακα. Συνεχίζοντας. Ο ύπνος βοηθά ανάκαμψη, μνήμη και ανοσία. Συνεχίζουμε. Ο πυρετός είναι υψηλή θερμοκρασία σώματος, συχνά άμυνα κατά λοιμώξεων.

Ένα στοιχείο ακόμα. Δυνατός κωδικός είναι μακρύς, μοναδικός ανά υπηρεσία και κρατημένος σε διαχειριστή. Ένα στοιχείο ακόμα. Το Wi-Fi είναι ασύρματο τοπικό δίκτυο για ίντερνετ χωρίς καλώδια. Αυτό μετράει επίσης. Το σύννεφο είναι διακομιστές στο ίντερνετ όπου κρατάς δεδομένα και χρησιμοποιείς υπηρεσίες. Συνεχίζουμε.

Το GPS βρίσκει τη θέση από σήματα δορυφόρων και το χρόνο διαδρομής. Περνάμε στο επόμενο σημείο. Μέρα και νύχτα υπάρχουν γιατί η Γη γυρίζει. Η ηλιόλουστη πλευρά έχει μέρα, η άλλη νύχτα. Συνεχίζοντας. Οι εποχές έρχονται από την κλίση του άξονα: κάθε ημισφαίριο γέρνει προς τον ήλιο με τη σειρά. Συνεχίζουμε. Το φεγγάρι λάμπει γιατί αντανακλά το φως του ήλιου.

Περνάμε στο επόμενο σημείο. Ο ήλιος είναι άστρο από καυτό αέριο που δίνει φως και θερμότητα. Περνάμε στο επόμενο σημείο. Το ηλιακό μας σύστημα έχει 8 πλανήτες: Ερμής, Αφροδίτη, Γη, Άρης, Δίας, Κρόνος, Ουρανός, Ποσειδώνας. Συνεχίζουμε. Ένα άτομο είναι η ελάχιστη μονάδα ύλης, από πυρήνα και ηλεκτρόνια. Ένα στοιχείο ακόμα.

Η ανακύκλωση συλλέγει απορρίμματα για να κάνει νέα προϊόντα.

Τέλος κειμένου. Μπράβο."
8,"Φύση, επιστήμη και τεχνική – Μέρος 3","Παρακάτω βρίσκεις ελεγμένη γνώση.

Το φαινόμενο κρατά θερμότητα. Πάρα πολλά αέρια ζεσταίνουν το κλίμα. Συνεχίζουμε. Οι μέλισσες επικονιάζουν φυτά, εξασφαλίζοντας σοδειές και ποικιλία. Έτσι γι' αυτό. Τα φύλλα είναι πράσινα λόγω χλωροφύλλης, χρωστικής της φωτοσύνθεσης. Ένα στοιχείο ακόμα. Τα θηλαστικά έχουν γούνα, γεννούν ζωντανά μικρά και τα θηλάζουν.

Συνεχίζουμε. Μια μπαταρία μετατρέπει χημική ενέργεια σε ηλεκτρική. Συνεχίζοντας. Τα ηλιακά κύτταρα μετατρέπουν το φως απευθείας σε ρεύμα. Έτσι γι' αυτό. Ένας ιός είναι επιβλαβές πρόγραμμα που εξαπλώνεται και βλάπτει. Προστάτεψε με ενημερώσεις και προσοχή. Συνεχίζοντας.

Το πλαστικό σχεδόν δεν σαπίζει, ρυπαίνει φύση και θάλασσες, γίνεται μικροπλαστικά. Αυτό μετράει επίσης. Σεισμός γίνεται όταν οι πλάκες κινηθούν ξαφνικά και βγάλουν ενέργεια. Περνάμε στο επόμενο σημείο. Το μέλι το φτιάχνουν οι μέλισσες από νέκταρ λουλουδιών.

Τώρα ξέρεις τα στοιχεία."
9,Υπολογισμοί καθημερινοί – Μέρος 1,"Αυτό το κείμενο παρουσιάζει σημαντικά στοιχεία. Διάβασε ήρεμα.

25 επί 4 κάνει 100. Ένα στοιχείο ακόμα. 12 τοις εκατό του 200 κάνει 24. Ένα στοιχείο ακόμα. Κάνει 66. Συνεχίζοντας. Φτάνει στις 16:45.

Έτσι γι' αυτό. Μένουν 2 μήλα. Αυτό μετράει επίσης. Κοιμάσαι 8 ώρες. Συνεχίζουμε. Ο καθένας παίρνει 25 ευρώ. Περνάμε στο επόμενο σημείο.

2 ώρες είναι 120 λεπτά. Συνεχίζοντας. Ένας χρόνος έχει 365 μέρες, δίσεκτος 366. Περνάμε στο επόμενο σημείο. Ένα λεπτό έχει 60 δευτερόλεπτα. Αυτό μετράει επίσης. Τελειώνει στις 21:45.

Περνάμε στο επόμενο σημείο. Το ραντεβού είναι στις 12:30. Συνεχίζοντας. Έτοιμο στις 17:05. Συνεχίζοντας. Κρατά 5 ώρες και 15 λεπτά. Συνεχίζουμε.

Τελειώνεις στις 19:30.

Αυτό ήταν το σημαντικότερο."
10,Συμβουλές καθημερινές – Μέρος 1,"Εδώ μαθαίνεις ταξινομημένη γνώση. Πάρε το χρόνο σου.

Καλύτερα σε σύντομες καθημερινές μονάδες με κάρτες και ενεργή χρήση σε προτάσεις συν επανάληψη. Έτσι γι' αυτό. Βάλε προϋπολογισμό, έλεγξε συνδρομές, μαγείρευε περισσότερο, σύγκρινε τιμές και κράτα πρώτα σταθερό ποσό. Συνεχίζοντας. Κάνε μακαρόνια με απλή σάλτσα: καρύκευσε, βράσε, ρίξε στα μακαρόνια, πασπάλισε τυρί. Έτσι γι' αυτό. Πάρε: ταυτότητα ή διαβατήριο, εισιτήριο, χρήματα, τηλέφωνο με φορτιστή, φάρμακα, υγιεινή και αλλαγή στην καμπίνα.

Συνεχίζοντας. Πες το λάθος, ανάλαβε, δείξε λύπη και πρότεινε διόρθωση, σύντομα και ειλικρινά. Συνεχίζουμε. Βάλε μεταφορά και ξενοδοχείο, διάλεξε 2-3 σημεία τη μέρα, άφησε περιθώρια και ημερήσιο προϋπολογισμό. Έτσι γι' αυτό. Ναι, πάρτην. Με 80 τοις εκατό η βροχή είναι πολύ πιθανή. Αυτό μετράει επίσης.

Και τα δύο έχουν συν: χαρτί χωρίς απόσπαση και καλό για μνήμη, τηλέφωνο ψάξιμο και πάντα μαζί. Περνάμε στο επόμενο σημείο. Πρώτα μάζεψε σκουπίδια, μετά ρούχα, βάλε όλα στη θέση και σκούπισε στο τέλος. Ένα στοιχείο ακόμα. Τύλιξε ρούχα αντί να διπλώνεις, βαριά κάτω, γέμισε με κάλτσες. Έτσι γι' αυτό. Πλύνε ρύζι, βράσε με διπλό νερό, άφησε 10-12 λεπτά.

Ένα στοιχείο ακόμα. Αλάτισε πολύ νερό, βράσε, βράσε μακαρόνια 8-10 λεπτά, στράγγισε. Αυτό μετράει επίσης. Ανακάτεψε αλεύρι, γάλα, αβγό και πρέζα αλάτι, ψήσε λεπτά ως να ροδίσουν. Ένα στοιχείο ακόμα. Άναψε φως, πιες ένα ποτήρι νερό, κινήσου λίγο και πάρε αέρα. Αυτό μετράει επίσης.

Κοιμήσου σκοτάδι και δροσιά, βάλε τηλέφωνο, κράτα σταθερή ρουτίνα.

Τέλος αυτής της επισκόπησης."
