id,title,text
1,Hoofdsteden van de wereld – Deel 1,"Deze tekst legt feiten stap voor stap uit.

Het staat vast: De hoofdstad van Verenigde Staten is Washington D.C.. Naar het volgende punt. Goed om te weten: De hoofdstad van Denemarken is Kopenhagen. Dit telt ook mee. Goed om te weten: De hoofdstad van Tsjechië is Praag. Nog een feit. Wist je? De hoofdstad van België is Brussel.

We gaan door. Het staat vast: De hoofdstad van Canada is Ottawa. Dit telt ook mee. De hoofdstad van Verenigde Staten is Washington D.C.. Nog een feit. Het staat vast: De hoofdstad van Polen is Warschau. Dit telt ook mee.

Onthoud: De hoofdstad van Verenigde Staten is Washington D.C.. Verder. Onthoud: De hoofdstad van Frankrijk is Parijs. Zoveel hierover. Feit: De hoofdstad van Finland is Helsinki. Nog een feit. Feit: De hoofdstad van Mexico is Mexico-Stad.

Verder. Feit: De hoofdstad van Turkije is Ankara. Zoveel hierover. Het staat vast: De hoofdstad van Zweden is Stockholm.

Nu ken je de feiten."
2,Hoofdsteden van de wereld – Deel 2,"Deze tekst legt feiten stap voor stap uit.

Het staat vast: De hoofdstad van China is Peking. We gaan door. Kort gezegd: De hoofdstad van Spanje is Madrid. Naar het volgende punt. Feit: De hoofdstad van Japan is Tokio. We gaan door. Wist je? De hoofdstad van Tsjechië is Praag.

Nog een feit. Feit: De hoofdstad van Finland is Helsinki. Zoveel hierover. Wist je? De hoofdstad van Oostenrijk is Wenen. Zoveel hierover. Kort gezegd: De hoofdstad van Brazilië is Brasília. Verder.

Onthoud: De hoofdstad van Nederland is Amsterdam. Dit telt ook mee. Feit: De hoofdstad van Ierland is Dublin. Dit telt ook mee. Kort gezegd: De hoofdstad van Zweden is Stockholm. Nog een feit. Het staat vast: De hoofdstad van Egypte is Caïro.

Naar het volgende punt. Onthoud: De hoofdstad van Verenigde Staten is Washington D.C.. We gaan door. Onthoud: De hoofdstad van Duitsland is Berlijn.

Dat was het belangrijkste."
3,Hoofdsteden van de wereld – Deel 3,"Hier leer je geordende kennis. Neem je tijd.

Het staat vast: De hoofdstad van Egypte is Caïro. Nog een feit. Wist je? De hoofdstad van Zweden is Stockholm. Naar het volgende punt. Feit: De hoofdstad van Japan is Tokio. Verder. Wist je? De hoofdstad van Tsjechië is Praag.

Verder. Kort gezegd: De hoofdstad van Egypte is Caïro. Dit telt ook mee. Kort gezegd: De hoofdstad van Verenigd Koninkrijk is Londen. We gaan door. De hoofdstad van Italië is Rome. Verder.

De hoofdstad van Portugal is Lissabon. Zoveel hierover. Feit: De hoofdstad van Zwitserland is Bern. Dit telt ook mee. Kort gezegd: De hoofdstad van Tsjechië is Praag. Zoveel hierover. Wist je? De hoofdstad van Spanje is Madrid.

Dit telt ook mee. Feit: De hoofdstad van Verenigde Staten is Washington D.C.. Verder. De hoofdstad van Griekenland is Athene.

Nu ken je de feiten."
4,Hoofdsteden van de wereld – Deel 4,"Deze tekst presenteert belangrijke feiten. Lees rustig.

De hoofdstad van Zwitserland is Bern. Dit telt ook mee. Feit: De hoofdstad van Ierland is Dublin. Naar het volgende punt. Feit: De hoofdstad van Hongarije is Boedapest. We gaan door. De hoofdstad van Verenigd Koninkrijk is Londen.

Verder. Feit: De hoofdstad van Spanje is Madrid. Naar het volgende punt. Kort gezegd: De hoofdstad van Polen is Warschau. Dit telt ook mee. Goed om te weten: De hoofdstad van Verenigd Koninkrijk is Londen. Zoveel hierover.

Kort gezegd: De hoofdstad van Duitsland is Berlijn. Nog een feit. Goed om te weten: De hoofdstad van Oostenrijk is Wenen. Naar het volgende punt. Feit: De hoofdstad van Italië is Rome. Dit telt ook mee. De hoofdstad van Brazilië is Brasília.

Naar het volgende punt. Goed om te weten: De hoofdstad van Italië is Rome. We gaan door. Goed om te weten: De hoofdstad van Mexico is Mexico-Stad.

Einde van dit overzicht."
5,Hoofdsteden van de wereld – Deel 5,"Deze tekst legt feiten stap voor stap uit.

Goed om te weten: De hoofdstad van Griekenland is Athene. Verder. De hoofdstad van Zweden is Stockholm. Zoveel hierover. Feit: De hoofdstad van Griekenland is Athene. Dit telt ook mee. Wist je? De hoofdstad van Frankrijk is Parijs.

Naar het volgende punt. De hoofdstad van Argentinië is Buenos Aires. Verder. Goed om te weten: De hoofdstad van India is New Delhi. We gaan door. De hoofdstad van Zwitserland is Bern. Nog een feit.

Wist je? De hoofdstad van Turkije is Ankara. Zoveel hierover. Onthoud: De hoofdstad van Nederland is Amsterdam. Zoveel hierover. Wist je? De hoofdstad van Zweden is Stockholm. We gaan door. De hoofdstad van Noorwegen is Oslo.

Verder. Goed om te weten: De hoofdstad van Duitsland is Berlijn. We gaan door. Wist je? De hoofdstad van Italië is Rome.

Dat was het belangrijkste."
6,Hoofdsteden van de wereld – Deel 6,"Deze tekst legt feiten stap voor stap uit.

Goed om te weten: De hoofdstad van Finland is Helsinki. Zoveel hierover. Goed om te weten: De hoofdstad van Noorwegen is Oslo. Zoveel hierover. Onthoud: De hoofdstad van Griekenland is Athene. Nog een feit. De hoofdstad van Nederland is Amsterdam.

Nog een feit. Onthoud: De hoofdstad van Italië is Rome. Naar het volgende punt. De hoofdstad van Frankrijk is Parijs. Nog een feit. Kort gezegd: De hoofdstad van Hongarije is Boedapest. Nog een feit.

Feit: De hoofdstad van Turkije is Ankara. Dit telt ook mee. Wist je? De hoofdstad van België is Brussel. We gaan door. De hoofdstad van Australië is Canberra. Naar het volgende punt. Onthoud: De hoofdstad van Ierland is Dublin.

Naar het volgende punt. Wist je? De hoofdstad van Brazilië is Brasília. Naar het volgende punt. Kort gezegd: De hoofdstad van Ierland is Dublin.

Nu ken je de feiten."
7,Hoofdsteden van de wereld – Deel 7,"Hier leer je geordende kennis. Neem je tijd.

Wist je? De hoofdstad van Duitsland is Berlijn. Nog een feit. Kort gezegd: De hoofdstad van Italië is Rome. We gaan door. Onthoud: De hoofdstad van Mexico is Mexico-Stad. Dit telt ook mee. Feit: De hoofdstad van België is Brussel.

Dit telt ook mee. De hoofdstad van China is Peking. Dit telt ook mee. Goed om te weten: De hoofdstad van Noorwegen is Oslo. Nog een feit. Kort gezegd: De hoofdstad van Argentinië is Buenos Aires. Dit telt ook mee.

Wist je? De hoofdstad van Hongarije is Boedapest. Dit telt ook mee. Feit: De hoofdstad van Nederland is Amsterdam. Nog een feit. Onthoud: De hoofdstad van Turkije is Ankara. Nog een feit. Kort gezegd: De hoofdstad van Spanje is Madrid.

Nog een feit. Kort gezegd: De hoofdstad van Tsjechië is Praag. Zoveel hierover. Feit: De hoofdstad van Frankrijk is Parijs.

Einde van dit overzicht."
8,Hoofdsteden van de wereld – Deel 8,"Hier leer je geordende kennis. Neem je tijd.

Het staat vast: De hoofdstad van Denemarken is Kopenhagen. We gaan door. Kort gezegd: De hoofdstad van Griekenland is Athene. Nog een feit. Het staat vast: De hoofdstad van Egypte is Caïro. Dit telt ook mee. Goed om te weten: De hoofdstad van Oostenrijk is Wenen.

Nog een feit. Kort gezegd: De hoofdstad van Duitsland is Berlijn. Zoveel hierover. Onthoud: De hoofdstad van Nederland is Amsterdam. Zoveel hierover. Goed om te weten: De hoofdstad van China is Peking. We gaan door.

Kort gezegd: De hoofdstad van India is New Delhi. Naar het volgende punt. Wist je? De hoofdstad van Argentinië is Buenos Aires. Naar het volgende punt. Het staat vast: De hoofdstad van Zwitserland is Bern. Naar het volgende punt. Feit: De hoofdstad van Noorwegen is Oslo.

Verder. Feit: De hoofdstad van India is New Delhi. Naar het volgende punt. Wist je? De hoofdstad van België is Brussel.

Einde van dit overzicht."
9,Hoofdsteden van de wereld – Deel 9,"Deze tekst legt feiten stap voor stap uit.

Kort gezegd: De hoofdstad van Zweden is Stockholm. Zoveel hierover. Onthoud: De hoofdstad van Tsjechië is Praag. Nog een feit. Wist je? De hoofdstad van Ierland is Dublin. Naar het volgende punt. Wist je? De hoofdstad van Verenigde Staten is Washington D.C..

Zoveel hierover. Het staat vast: De hoofdstad van Egypte is Caïro. Nog een feit. Wist je? De hoofdstad van Canada is Ottawa. Naar het volgende punt. Onthoud: De hoofdstad van Turkije is Ankara. Verder.

Het staat vast: De hoofdstad van Argentinië is Buenos Aires. Verder. Onthoud: De hoofdstad van Polen is Warschau. We gaan door. Het staat vast: De hoofdstad van Polen is Warschau. Naar het volgende punt. Feit: De hoofdstad van Oostenrijk is Wenen.

Nog een feit. Het staat vast: De hoofdstad van Verenigd Koninkrijk is Londen. Naar het volgende punt. De hoofdstad van België is Brussel.

Nu ken je de feiten."
10,Hoofdsteden van de wereld – Deel 10,"Hieronder vind je gecontroleerde kennis.

Kort gezegd: De hoofdstad van Frankrijk is Parijs. Nog een feit. Het staat vast: De hoofdstad van Denemarken is Kopenhagen. We gaan door. Goed om te weten: De hoofdstad van Ierland is Dublin. Zoveel hierover. De hoofdstad van Argentinië is Buenos Aires.

Nog een feit. De hoofdstad van Denemarken is Kopenhagen. Nog een feit. Goed om te weten: De hoofdstad van Denemarken is Kopenhagen. Verder. De hoofdstad van Griekenland is Athene. Naar het volgende punt.

Kort gezegd: De hoofdstad van Duitsland is Berlijn. We gaan door. Het staat vast: De hoofdstad van Ierland is Dublin. Zoveel hierover. Onthoud: De hoofdstad van Griekenland is Athene. Zoveel hierover. Kort gezegd: De hoofdstad van Egypte is Caïro.

Nog een feit. Feit: De hoofdstad van Portugal is Lissabon. Nog een feit. Het staat vast: De hoofdstad van Italië is Rome.

Einde van dit overzicht."
