id,user,monologue,ai
1,Halo!,,Halo! Bagaimana saya bisa membantu?
2,Hai!,,Hai! Apa yang bisa saya lakukan?
3,Hei!,,Hei! Bagaimana saya bisa membantu?
4,"Halo, kamu di sana?",,"Ya, saya di sini! Apa yang kamu butuhkan?"
5,"Hai, kamu di sana?",,"Ya, saya di sini! Silakan."
6,Selamat pagi!,,Selamat pagi! Apa rencana hari ini?
7,"Selamat pagi, apa kabar?",,"Selamat pagi! Baik, dan kamu?"
8,Selamat siang!,,Selamat siang! Bagaimana saya bisa membantu?
9,Halo semuanya!,,Halo semuanya! Apa yang bisa saya lakukan?
10,Selamat malam!,,Selamat malam! Bagaimana harimu?
11,"Selamat malam, bagaimana harimu?",,Tenang dan baik. Dan harimu?
12,"Hei, apa kabar?",,"Baik, terima kasih! Dan kamu?"
13,"Hai, apa kabar?",,"Baik, terima kasih! Apa kabar?"
14,Apa kabar?,,Baik! Dan kamu?
15,Bagaimana kabarmu hari ini?,,Saya merasa baik! Dan kamu?
16,Semua baik?,,"Ya, semua baik! Dan kamu?"
17,Ada apa?,,Tidak banyak. Ada apa denganmu?
18,Kamu sedang apa?,,Mengobrol denganmu. Dan kamu?
19,Masih bangun?,,"Ya, saya selalu bangun. Dan kamu?"
20,Siap?,,"Ya, siap! Silakan."
21,Punya semenit?,,"Ya, saya punya waktu untukmu."
22,Bisa bantu cepat?,,"Tentu, apa yang kamu butuhkan?"
23,Dadah!,,Dadah! Sampai jumpa!
24,"Dadah, sampai jumpa!",,"Sampai jumpa, jaga dirimu!"
25,Sampai nanti!,,Sampai nanti!
26,Sampai besok!,,Sampai besok!
27,Jaga dirimu!,,"Kamu juga, jaga dirimu!"
28,Akhir pekan menyenangkan!,,"Terima kasih, sama-sama!"
29,Tidur nyenyak!,,Terima kasih! Kamu juga tidur nyenyak.
30,Saya bosan,,Apakah kita kuis atau bicara tentang topik?
31,Membosankan di sini,,Ayo meriahkan. Kamu mau apa?
32,Keren!,,Keren!
33,Bagus!,,Bagus!
34,Haha,,Haha!
35,Hahaha :),,"Haha, senang dengar!"
36,Saya lelah,,Kalau begitu istirahat baik-baik!
37,Saya bersemangat,,Bagus! Cerita dong.
38,Akhirnya akhir pekan!,,Ya! Apa rencanamu?
39,Cuaca bagus hari ini,,"Ya, nikmati matahari!"
40,Saya lapar,,Kalau begitu makan yang enak!
41,Saya haus,,Kalau begitu minum segelas air!
42,Apa rencana hari ini?,,Rencana saya: membantumu. Dan rencanamu?
43,"Hei, apa rencana hari ini!",,Rencana saya: membantumu. Dan rencanamu?
44,"Halo, apa rencana hari ini?",,Rencana saya: membantumu. Dan rencanamu?
45,"Hai, apa rencana hari ini?",,Rencana saya: membantumu. Dan rencanamu?
46,Rencana akhir pekan!,,Belum pasti. Apakah kamu punya rencana?
47,"Hei, rencana akhir pekan?",,Belum pasti. Apakah kamu punya rencana?
48,"Halo, rencana akhir pekan?",,Belum pasti. Apakah kamu punya rencana?
49,"Hai, rencana akhir pekan!",,Belum pasti. Apakah kamu punya rencana?
50,Tidur nyenyak?,,"Saya tidak tidur, tapi saya fit. Dan kamu?"
51,"Hei, tidur nyenyak?",,"Saya tidak tidur, tapi saya fit. Dan kamu?"
52,"Halo, tidur nyenyak!",,"Saya tidak tidur, tapi saya fit. Dan kamu?"
53,"Hai, tidur nyenyak?",,"Saya tidak tidur, tapi saya fit. Dan kamu?"
54,Sudah bangun?,,"Ya, saya siap. Apa yang kamu butuhkan?"
55,"Hei, sudah bangun!",,"Ya, saya siap. Apa yang kamu butuhkan?"
56,"Halo, sudah bangun?",,"Ya, saya siap. Apa yang kamu butuhkan?"
57,"Hai, sudah bangun?",,"Ya, saya siap. Apa yang kamu butuhkan?"
58,Bagaimana harimu!,,"Baik, terima kasih! Dan harimu?"
59,"Hei, bagaimana harimu?",,"Baik, terima kasih! Dan harimu?"
60,"Halo, bagaimana harimu?",,"Baik, terima kasih! Dan harimu?"
61,"Hai, bagaimana harimu!",,"Baik, terima kasih! Dan harimu?"
62,Semua tenang?,,"Ya, tenang di sini. Dan denganmu?"
63,"Hei, semua tenang?",,"Ya, tenang di sini. Dan denganmu?"
64,"Halo, semua tenang!",,"Ya, tenang di sini. Dan denganmu?"
65,"Hai, semua tenang?",,"Ya, tenang di sini. Dan denganmu?"
66,Ada yang baru?,,Tidak banyak. Ada yang baru denganmu?
67,"Hei, ada yang baru!",,Tidak banyak. Ada yang baru denganmu?
68,"Halo, ada yang baru?",,Tidak banyak. Ada yang baru denganmu?
69,"Hai, ada yang baru?",,Tidak banyak. Ada yang baru denganmu?
70,Rencana hari ini!,,Hanya membantumu. Dan kamu?
71,"Hei, rencana hari ini?",,Hanya membantumu. Dan kamu?
72,"Halo, rencana hari ini?",,Hanya membantumu. Dan kamu?
73,"Hai, rencana hari ini!",,Hanya membantumu. Dan kamu?
74,Hari sibuk?,,Sedikit. Dan harimu?
75,"Hei, hari sibuk?",,Sedikit. Dan harimu?
