id,title,text
1,Milo och det stora äventyret,"Milo, en nyfiken pojke, bodde i en liten by.

Solen sken varmt.

En dag ville Milo utforska skogen.

Men vägen var blockerad.

Mormor Lina, som vet allt, följde med.

Tillsammans klarar vi det!

Tillsammans tog de med sig den gamla kikaren.

På vägen sjöng de en sång.

På vägen skrattade de mycket.

Plötsligt prasslade det högt.

I slutet var alla glada.

Sanna vänner hjälper alltid."
2,Lena och mysteriet,"Lena, som gillar att måla, bodde på den färgglada marknaden.

Fjärilar fladdrade.

En dag ville Lena upptäcka ön.

Men det började regna.

Mormor Lina, som vet allt, följde med.

Var inte rädd, jag hjälper dig.

Tillsammans tog de med sig den lilla kniven.

På vägen lekte de glatt.

På vägen vilade de en stund.

Plötsligt kväkte en groda.

Äventyret förblev oförglömligt.

Tålamod ger tur."
3,Finns vackraste dag,"Finn, en liten drömmare, bodde vid den gamla brunnen.

Det doftade blommor.

En dag ville Finn hitta grottan.

Men kartan var borta.

Mormor Lina, som vet allt, följde med.

Jag följer med!

Tillsammans tog de med sig en varm filt.

På vägen pratade de tillsammans.

På vägen sjöng de tillsammans.

Plötsligt skällde en hund.

Alla gick nöjda hem.

Nyfikenhet leder till under."
4,Pippa och skatten,"Pippa, en modig mus, bodde på lekplatsen.

En bäck porlade mjukt.

En dag ville Pippa se det höga berget.

Men det blev mörkt.

Mormor Lina, som vet allt, följde med.

Tur att jag är här.

Tillsammans tog de med sig en färgglad karta.

På vägen lekte de en stund.

På vägen dansade de glatt.

Plötsligt föll ett löv.

Så var dagen perfekt.

Skratt hjälper alltid."
5,Nora och mysteriet,"Nora, som ställer många frågor, bodde vid den blå floden.

Himlen var blå.

En dag ville Nora söka skatten.

Men floden var för djup.

Mormor Lina, som vet allt, följde med.

Tillsammans klarar vi det!

Tillsammans tog de med sig ett gammalt mynt.

På vägen pratade de glatt.

På vägen lekte de högt.

Plötsligt surrade ett bi.

Alla klappade av glädje.

Den modige vinner."
6,Theo och planen,"Theo, en glad pojke, bodde på den gröna ängen.

Fåglar sjöng glatt.

En dag ville Theo korsa sjön.

Men ett träd låg över vägen.

Mormor Lina, som vet allt, följde med.

Var inte rädd, jag hjälper dig.

Tillsammans tog de med sig det gröna repet.

På vägen lekte de vid bäcken.

På vägen pratade de tillsammans.

Plötsligt knackade det.

Så blev rädsla mod.

Mod belönas."
7,Emma och resan,"Emma, en modig flicka, bodde vid den stora eken.

Det doftade färskt gräs.

En dag ville Emma hitta havet.

Men vinden var stark.

Mormor Lina, som vet allt, följde med.

Jag följer med!

Tillsammans tog de med sig den lilla lyktan.

På vägen pratade de en stund.

På vägen vilade de i en ring.

Plötsligt dansade en fjäril förbi.

Alla skrattade och gick hem.

Att dela ger glädje."
8,Petter och fyndet,"Petter, som gillar att bygga, bodde i den gröna parken.

Allt var lugnt och fridfullt.

En dag ville Petter se stjärnhimlen.

Men det var dimmigt.

Herr Grävling, trädgårdsmästaren, följde med.

Tur att jag är här.

Tillsammans tog de med sig den blå flaskan.

På vägen lekte de i en ring.

På vägen sjöng de en stund.

Plötsligt blåste det upp.

Så slutade äventyret väl.

Tillsammans är allt lättare."
9,Mia och upptäckten,"Mia, en liten sångerska, bodde i den gamla skogen.

Solen sken varmt.

En dag ville Mia klättra upp i tornet.

Men bron var trasig.

Herr Grävling, trädgårdsmästaren, följde med.

Tillsammans klarar vi det!

Tillsammans tog de med sig den gula väskan.

På vägen pratade de vid bäcken.

På vägen dansade de vid bäcken.

Plötsligt föll ett stjärnfall.

I slutet var alla glada.

Sanna vänner hjälper alltid."
10,Leo och utflykten,"Leo, som gillar djur, bodde på det gula fältet.

Fjärilar fladdrade.

En dag ville Leo besöka det gamla slottet.

Men en hund skällde högt.

Herr Grävling, trädgårdsmästaren, följde med.

Var inte rädd, jag hjälper dig.

Tillsammans tog de med sig det röda repet.

På vägen lekte de högt.

På vägen skrattade de glatt.

Plötsligt skrattade någon.

Äventyret förblev oförglömligt.

Tålamod ger tur."
11,Anna och tävlingen,"Anna, som tänker snabbt, bodde i en liten by.

Det doftade blommor.

En dag ville Anna utforska skogen.

Men vägen var blockerad.

Herr Grävling, trädgårdsmästaren, följde med.

Jag följer med!

Tillsammans tog de med sig den gamla kikaren.

På vägen pratade de i en ring.

På vägen pratade de en stund.

Plötsligt prasslade det högt.

Alla gick nöjda hem.

Nyfikenhet leder till under."
12,Max och gåtan,"Max, en glad pojke, bodde på den färgglada marknaden.

En bäck porlade mjukt.

En dag ville Max upptäcka ön.

Men det började regna.

Herr Grävling, trädgårdsmästaren, följde med.

Tur att jag är här.

Tillsammans tog de med sig den lilla kniven.

På vägen skrattade de tillsammans.

På vägen lekte de tillsammans.

Plötsligt kväkte en groda.

Så var dagen perfekt.

Skratt hjälper alltid."
13,Milo och överraskningen,"Milo, en nyfiken pojke, bodde vid den gamla brunnen.

Himlen var blå.

En dag ville Milo hitta grottan.

Men kartan var borta.

Herr Grävling, trädgårdsmästaren, följde med.

Tillsammans klarar vi det!

Tillsammans tog de med sig en varm filt.

På vägen pratade de högt.

På vägen sjöng de i en ring.

Plötsligt skällde en hund.

Alla klappade av glädje.

Den modige vinner."
14,Lena och det stora äventyret,"Lena, som gillar att måla, bodde på lekplatsen.

Fåglar sjöng glatt.

En dag ville Lena se det höga berget.

Men det blev mörkt.

Herr Grävling, trädgårdsmästaren, följde med.

Var inte rädd, jag hjälper dig.

Tillsammans tog de med sig en färgglad karta.

På vägen skrattade de glatt.

På vägen dansade de högt.

Plötsligt föll ett löv.

Så blev rädsla mod.

Mod belönas."
15,Finn och mysteriet,"Finn, en liten drömmare, bodde vid den blå floden.

Det doftade färskt gräs.

En dag ville Finn söka skatten.

Men floden var för djup.

Moster Mira, den roliga grannen, följde med.

Jag följer med!

Tillsammans tog de med sig ett gammalt mynt.

På vägen dansade de tillsammans.

På vägen skrattade de vid bäcken.

Plötsligt surrade ett bi.

Alla skrattade och gick hem.

Att dela ger glädje."
16,Pippas vackraste dag,"Pippa, en modig mus, bodde på den gröna ängen.

Allt var lugnt och fridfullt.

En dag ville Pippa korsa sjön.

Men ett träd låg över vägen.

Moster Mira, den roliga grannen, följde med.

Tur att jag är här.

Tillsammans tog de med sig det gröna repet.

På vägen skrattade de en stund.

På vägen pratade de i en ring.

Plötsligt knackade det.

Så slutade äventyret väl.

Tillsammans är allt lättare."
