id,title,text
1,Milo ve büyük macera,"Meraklı bir çocuk olan Milo küçük bir köyde yaşıyordu.

Güneş sıcak parlıyordu.

Bir gün Milo ormanı keşfetmek istedi.

Ama yol kapalıydı.

Her şeyi bilen Nine Lina geldi.

Birlikte başarırız!

Birlikte yanlarına rengarenk bir harita aldılar.

Yolda şarkı söylediler.

Aniden biri güldü.

Sonunda herkes mutluydu.

Gerçek dostlar hep yardım eder."
2,Finn ve gizem,"Küçük bir hayalperest olan Finn mavi nehir kenarında yaşıyordu.

Her yer sakin ve huzurluydu.

Bir gün Finn yüksek dağı görmek istedi.

Ama yağmur başladı.

Her şeyi bilen Nine Lina geldi.

Korkma, sana yardım ederim.

Birlikte yanlarına kırmızı bir ip aldılar.

Yolda çok güldüler.

Aniden bir kelebek dans ederek geçti.

Herkes güldü ve eve döndü.

Cesaret ödüllendirilir."
3,Nora'nın en güzel günü,"Çok soru soran Nora yaşlı ormanda yaşıyordu.

Çiçek kokuyordu.

Bir gün Nora denizi bulmak istedi.

Ama harita kaybolmuştu.

Her şeyi bilen Nine Lina geldi.

Birlikte başarırız!

Birlikte yanlarına eski bir dürbün aldılar.

Yolda hikayeler anlattılar.

Aniden bir yıldız kaydı.

Sonunda herkes mutluydu.

Merak harikalara götürür."
4,Milo ve gizem,"Meraklı bir çocuk olan Milo yeşil parkta yaşıyordu.

Kuşlar neşeyle ötüyordu.

Bir gün Milo eski şatoyu gezmek istedi.

Ama hava karardı.

Her şeyi bilen Nine Lina geldi.

Korkma, sana yardım ederim.

Birlikte yanlarına küçük bir fener aldılar.

Yolda şarkı söylediler.

Aniden yüksek bir hışırtı duyuldu.

Herkes güldü ve eve döndü.

Birlikte her şey kolaydır."
5,Nora ve gizem,"Lena yeşil parkta iken Nora geldi.

Kuşlar neşeyle ötüyordu.

Nora dertliydi.

Sana yardım ederim!

Birlikte plan yaptılar.

Yolda çok güldüler.

Sonunda ikisi de güldü.

Merak harikalara götürür."
6,Milo'nın en güzel günü,"Pippa rengarenk pazarda iken Milo geldi.

Her yer sakin ve huzurluydu.

Milo anahtarı arıyordu.

Bir çözüm buluruz.

Birlikte her yerde aradılar.

Yolda hikayeler anlattılar.

Böylece her şey düzeldi.

Birlikte her şey kolaydır."
7,Finn ve büyük macera,"Theo küçük bir köyde iken Finn geldi.

Kuşlar neşeyle ötüyordu.

Finn karanlıktan korkuyordu.

Sana yardım ederim!

Birlikte komşulara sordular.

Yolda şarkı söylediler.

İkisi de gururluydu.

Gerçek dostlar hep yardım eder."
8,Nora ve büyük macera,"Bir akşam Nora rengarenk pazarda tuhaf bir ses duydu.

Çiçek kokuyordu.

Merakla Nora yaklaştı.

Bir çalının arkasında Nora eski bir dürbün buldu.

Aniden bir yıldız kaydı.

Meraklı kediymiş.

Böylece macera iyi bitti.

Cesaret ödüllendirilir."
9,Milo ve büyük macera - 2,"Bir akşam Milo küçük bir köyde tuhaf bir ses duydu.

Her yer sakin ve huzurluydu.

Merakla Milo yaklaştı.

Bir kapının arkasında Milo kırmızı bir ip buldu.

Aniden bir kelebek dans ederek geçti.

Rüzgar bir kapıyı oynatmış.

Böylece korku cesarete dönüştü.

Merak harikalara götürür."
10,Finn'nın en güzel günü,"Bir akşam Finn mavi nehir kenarında tuhaf bir ses duydu.

Güneş sıcak parlıyordu.

Cesurca Finn sesi takip etti.

Bir duvarın arkasında Finn rengarenk bir harita buldu.

Aniden biri güldü.

Bir kirpi yiyecek arıyormuş.

Böylece macera iyi bitti.

Birlikte her şey kolaydır."
