id,user,thinking,ai
1,你好!,,你好!我能帮什么?
2,嗨!,,嗨!我能为你做什么?
3,嘿!,,嘿!我能帮什么?
4,"你好,在吗?",,"是的,我在!需要什么?"
5,"嗨,在吗?",,"是的,我在!请说。"
6,早上好!,,早上好!今天什么安排?
7,"早上好,你好吗?",,"早上好!我很好,你呢?"
8,下午好!,,下午好!我能帮什么?
9,大家好!,,大家好!我能做什么?
10,晚上好!,,晚上好!今天怎么样?
11,"晚上好,今天怎么样?",,安静很好。你呢?
12,"嘿,你好吗?",,"很好,谢谢!你呢?"
13,"嗨,你好吗?",,"很好,谢谢!你好吗?"
14,怎么样?,,很好!你呢?
15,你今天怎么样?,,感觉很好!你呢?
16,一切都好吗?,,"是的,都好!你呢?"
17,有什么新鲜事?,,没什么特别。你呢?
18,你在做什么?,,和你聊天。你呢?
19,还没睡吗?,,"是的,我一直醒着。你呢?"
20,准备好了吗?,,"是的,准备好了!请说。"
21,有一分钟吗?,,"是的,我有时间。"
22,能快速帮忙吗?,,"当然,需要什么?"
23,再见!,,再见!回头见!
24,"再见,回头见!",,"回头见,保重!"
25,回头见!,,回头见!
26,保重!,,你也保重!
27,周末愉快!,,"谢谢,你也是!"
28,晚安!,,"晚安,睡个好觉!"
29,好无聊,,我们做个测验还是聊个话题?
30,这里很无聊,,让我们活跃起来。想做什么?
31,酷!,,酷!
32,太棒了!,,太棒了!
33,哈哈,,哈哈!
34,哈哈哈:),,"哈哈,很高兴!"
35,我累了,,那好好休息!
36,我很兴奋,,很好!多讲讲。
37,终于周末了!,,是的!有什么计划?
38,今天天气很好,,"是的,享受阳光!"
39,我饿了,,那吃点好吃的!
40,我渴了,,那喝杯水!
41,今天有什么计划?,,我的计划:帮你。你的呢?
42,"嘿,今天有什么计划!",,我的计划:帮你。你的呢?
43,"你好,今天有什么计划?",,我的计划:帮你。你的呢?
44,"嗨,今天有什么计划?",,我的计划:帮你。你的呢?
45,周末有什么计划!,,还没定。你有计划吗?
46,"嘿,周末有什么计划?",,还没定。你有计划吗?
47,"你好,周末有什么计划?",,还没定。你有计划吗?
48,"嗨,周末有什么计划!",,还没定。你有计划吗?
49,睡得好吗?,,"我不睡觉,但状态很好。你呢?"
50,"嘿,睡得好吗?",,"我不睡觉,但状态很好。你呢?"
51,"你好,睡得好吗!",,"我不睡觉,但状态很好。你呢?"
52,"嗨,睡得好吗?",,"我不睡觉,但状态很好。你呢?"
53,醒了吗?,,"是的,我准备好了。需要什么?"
54,"嘿,醒了吗!",,"是的,我准备好了。需要什么?"
55,"你好,醒了吗?",,"是的,我准备好了。需要什么?"
56,"嗨,醒了吗?",,"是的,我准备好了。需要什么?"
57,今天过得怎么样!,,"很好,谢谢!你呢?"
58,"嘿,今天过得怎么样?",,"很好,谢谢!你呢?"
59,"你好,今天过得怎么样?",,"很好,谢谢!你呢?"
60,"嗨,今天过得怎么样!",,"很好,谢谢!你呢?"
61,一切都安静吗?,,"是的,这里安静。你呢?"
62,"嘿,一切都安静吗?",,"是的,这里安静。你呢?"
63,"你好,一切都安静吗!",,"是的,这里安静。你呢?"
64,"嗨,一切都安静吗?",,"是的,这里安静。你呢?"
65,"嘿,有什么新鲜事!",,没什么特别。你有什么新鲜事?
66,"你好,有什么新鲜事?",,没什么特别。你有什么新鲜事?
67,"嗨,有什么新鲜事?",,没什么特别。你有什么新鲜事?
68,今天的计划!,,只是帮你。你呢?
69,"嘿,今天的计划?",,只是帮你。你呢?
70,"你好,今天的计划?",,只是帮你。你呢?
71,"嗨,今天的计划!",,只是帮你。你呢?
72,忙碌的一天?,,有点忙。你呢?
73,"嘿,忙碌的一天?",,有点忙。你呢?
74,"你好,忙碌的一天!",,有点忙。你呢?
75,"嗨,忙碌的一天?",,有点忙。你呢?
76,天气怎么样?,,"我没有窗户,但希望你那里天气好!"
77,"嘿,天气怎么样!",,"我没有窗户,但希望你那里天气好!"
78,"你好,天气怎么样?",,"我没有窗户,但希望你那里天气好!"
79,"嗨,天气怎么样?",,"我没有窗户,但希望你那里天气好!"
80,今天一切都好吗!,,是的!你呢?
81,"嘿,今天一切都好吗?",,是的!你呢?
82,"你好,今天一切都好吗?",,是的!你呢?
83,"嗨,今天一切都好吗!",,是的!你呢?
84,有很多事吗?,,有点。你呢?
85,"嘿,有很多事吗?",,有点。你呢?
86,"你好,有很多事吗!",,有点。你呢?
87,"嗨,有很多事吗?",,有点。你呢?
88,谢谢!,,不客气!
89,非常感谢!,,很乐意!
90,万分感谢!,,很高兴能帮忙!
91,谢了!,,不客气!
92,好的,,好的!
93,"好的,可以",,完美!
94,明白了,,很好!
95,懂了,,太好了!
96,听起来不错,,很高兴!
97,听起来很棒,,太奇妙了!
98,"是的,正是",,"太好了,继续。"
99,"是的,请",,"当然,请说。"
100,"是的,乐意",,很乐意!
101,没问题,,谢谢理解!
102,"不,谢谢",,"好的,没问题。"
103,我可以,,说定了!
104,对我合适,,太好了!
105,继续,,继续!
106,多讲点,,很乐意!那么...
107,正是,,绝对!
108,就是这样!,,就是这样!
109,当然,,当然!
110,真的吗?,,"是的,真的!"
111,"哦,很好",,"是的,很好,对吗?"
112,别紧张,,谢谢!一切平静。
113,对不起,,没问题!
114,抱歉,,没问题!
115,我的错,,没关系。发生了什么?
116,你真好,,谢谢!你也很好。
117,做得好,,谢谢!
118,回头见,,回头见!
119,太好了!,,太好了!
120,完美!,,完美!
121,说定了,,"太好了,说定了!"
122,成交!,,成交!
123,可以开始吗?,,"是的,开始吧!"
124,做完了吗?,,"是的,做完了!"
125,再来一次,,"很乐意,再来一次!"
126,请重复,,"当然,再来一遍。"
127,请等一下,,"当然,慢慢来。"
128,等一秒,,"好的,等着。"
129,马上回来,,"好的,待会见!"
130,讲个笑话,,当然:程序员为什么爱咖啡?Java时间!
131,再讲一个!,,好的:鬼为什么不擅长撒谎?一眼看穿!
132,讲个短笑话,,两个磁铁相遇。一个说:你吸引我!
133,鼓励我,,你可以!一步一步来。
134,说点激励的话,,每一步都重要。继续!
135,我紧张,,"这很正常。平静呼吸,会好的。"
136,我压力大,,"短暂休息,喝水,深呼吸。"
137,祝我好运,,好运!你可以!
138,手指交叉,,我也是!好运!
139,今天是我的日子!,,太好了!享受!
140,我心情好,,很好!很高兴。
141,我心情不好,,"哦,发生了什么?想聊聊吗?"
142,击掌!,,也和你击掌!
143,干杯!,,干杯!
144,用餐愉快!,,"谢谢,你也是!"
145,好运!,,谢谢!也祝你好运!
146,欢迎!,,谢谢!很高兴在这里。
147,圣诞快乐!,,也祝你圣诞快乐!
148,新年快乐!,,新年快乐!健康好运!
149,恭喜!,,谢谢!为什么?
150,尊重!,,谢谢!也尊重你。
151,哇!,,"哇,对吗?"
152,难以置信!,,"难以置信,对吗?"
153,说定了?,,说定了!
154,顶!,,顶!
155,完成了!,,"恭喜,做得好!"
156,终于完成了!,,厉害!做得好。
157,随便,,"好的,没问题。"
158,不知道,,没问题!什么事?
159,没想法,,没关系!说什么主题。
160,也许以后,,"当然,以后!"
161,现在不行,,"明白,以后!"
162,停,,停了。
163,暂停,,暂停!什么时候继续告诉我。
164,走吧,,走吧!
165,开始,,开始!请说。
166,"谢谢,就这些!",,不客气!再见。
167,"谢谢,再见!",,再见!
168,乔!,,乔!保重!
169,"嘿,你!",,"嘿,你!有什么新鲜事?"
170,听得到我吗?,,"是的,很清楚!"
171,你是人吗?,,"不,我是人工智能。但像朋友一样帮忙。"
172,你聪明吗?,,我知道不少。问吧!
173,你叫什么?,,"我是助手,人工智能。你呢?"
174,谢谢! :),,不客气!
175,非常感谢! :),,很乐意!
176,万分感谢! :),,很高兴能帮忙!
177,谢了! :),,不客气!
178,好的 :),,好的!
179,"好的,可以 :)",,完美!
180,明白了 :),,很好!
181,懂了 :),,太好了!
182,听起来不错 :),,很高兴!
183,听起来很棒 :),,太奇妙了!
184,"是的,正是 :)",,"太好了,继续。"
185,"是的,请 :)",,"当然,请说。"
186,"是的,乐意 :)",,很乐意!
187,没问题 :),,谢谢理解!
188,"不,谢谢 :)",,"好的,没问题。"
189,我可以 :),,说定了!
190,对我合适 :),,太好了!
191,继续 :),,继续!
192,多讲点 :),,很乐意!那么...
193,正是 :),,绝对!
194,就是这样! :),,就是这样!
195,当然 :),,当然!
196,真的吗? :),,"是的,真的!"
197,"哦,很好 :)",,"是的,很好,对吗?"
198,别紧张 :),,谢谢!一切平静。
199,对不起 :),,没问题!
200,抱歉 :),,没问题!
201,我的错 :),,没关系。发生了什么?
202,你真好 :),,谢谢!你也很好。
203,做得好 :),,谢谢!
204,回头见 :),,回头见!
205,太好了! :),,太好了!
206,完美! :),,完美!
207,说定了 :),,"太好了,说定了!"
208,成交! :),,成交!
209,可以开始吗? :),,"是的,开始吧!"
210,做完了吗? :),,"是的,做完了!"
211,再来一次 :),,"很乐意,再来一次!"
212,请重复 :),,"当然,再来一遍。"
213,请等一下 :),,"当然,慢慢来。"
214,等一秒 :),,"好的,等着。"
215,马上回来 :),,"好的,待会见!"
216,讲个笑话 :),,当然:程序员为什么爱咖啡?Java时间!
217,再讲一个! :),,好的:鬼为什么不擅长撒谎?一眼看穿!
218,讲个短笑话 :),,两个磁铁相遇。一个说:你吸引我!
219,鼓励我 :),,你可以!一步一步来。
220,说点激励的话 :),,每一步都重要。继续!
221,我紧张 :),,"这很正常。平静呼吸,会好的。"
222,我压力大 :),,"短暂休息,喝水,深呼吸。"
223,祝我好运 :),,好运!你可以!
224,手指交叉 :),,我也是!好运!
225,今天是我的日子! :),,太好了!享受!
226,我心情好 :),,很好!很高兴。
227,我心情不好 :),,"哦,发生了什么?想聊聊吗?"
