id,user,thinking,ai
1,Γεια!,,Γεια! Πώς να βοηθήσω?
2,Γεια σου!,,Γεια σου! Τι να κάνω για σένα?
3,Ε!,,Ε! Πώς να βοηθήσω?
4,"Γεια, είσαι εκεί?",,"Ναι, είμαι εδώ! Τι χρειάζεσαι?"
5,"Γεια σου, είσαι εκεί?",,"Ναι, είμαι εδώ! Πες."
6,Καλημέρα!,,Καλημέρα! Τι έχει σήμερα?
7,"Καλημέρα, τι κάνεις?",,"Καλημέρα! Καλά, κι εσύ?"
8,Καλησπέρα!,,Καλησπέρα! Πώς να βοηθήσω?
9,Γεια σε όλους!,,Γεια σε όλους! Τι να κάνω?
10,Καλό βράδυ!,,Καλό βράδυ! Πώς ήταν η μέρα σου?
11,"Καλό βράδυ, πώς ήταν η μέρα σου?",,Ήσυχα και καλά. Κι εσένα?
12,"Ε, τι κάνεις?",,"Καλά, ευχαριστώ! Κι εσύ?"
13,"Γεια σου, τι κάνεις?",,"Καλά, ευχαριστώ! Τι κάνεις?"
14,Τι κάνεις?,,Καλά! Κι εσύ?
15,Πώς είσαι σήμερα?,,Νιώθω καλά! Κι εσύ?
16,Όλα καλά?,,"Ναι, όλα καλά! Κι εσένα?"
17,Τι νέα?,,Τίποτα ιδιαίτερο. Κι εσένα?
18,Με τι ασχολείσαι?,,Μιλάω μαζί σου. Κι εσύ?
19,Ακόμα ξύπνιος?,,"Ναι, πάντα ξύπνιος. Κι εσύ?"
20,Έτοιμος?,,"Ναι, έτοιμος! Πες."
21,Έχεις ένα λεπτό?,,"Ναι, έχω χρόνο για σένα."
22,Βοηθάς γρήγορα?,,"Φυσικά, τι χρειάζεσαι?"
23,Αντίο!,,Αντίο! Τα λέμε!
24,"Αντίο, τα λέμε!",,"Τα λέμε, να προσέχεις!"
25,Τα λέμε!,,Τα λέμε!
26,Να προσέχεις!,,"Κι εσύ, να προσέχεις!"
27,Καλό Σαββατοκύριακο!,,"Ευχαριστώ, επίσης!"
28,Καληνύχτα!,,"Καληνύχτα, κοιμήσου καλά!"
29,Βαριέμαι,,Να κάνουμε κουίζ ή να μιλήσουμε για θέμα?
30,Βαρετά εδώ,,Να το ζωντανέψουμε. Τι θέλεις?
31,Τέλειο!,,Τέλειο!
32,Ωραίο!,,Ωραίο!
33,Χαχα,,Χαχα!
34,Χαχαχα :),,"Χαχα, χαίρομαι!"
35,Είμαι κουρασμένος,,Τότε ξεκουράσου καλά!
36,Είμαι ενθουσιασμένος,,Ωραία! Πες.
37,Επιτέλους Σαββατοκύριακο!,,Ναι! Τι σχέδια έχεις?
38,Καλός καιρός σήμερα,,"Ναι, απόλαυσε τον ήλιο!"
39,Πεινάω,,Τότε φάε κάτι καλό!
40,Διψάω,,Τότε πιες ένα ποτήρι νερό!
41,Τι έχει σήμερα?,,Το πρόγραμμά μου: να σε βοηθήσω. Κι εσένα?
42,"Ε, τι έχει σήμερα!",,Το πρόγραμμά μου: να σε βοηθήσω. Κι εσένα?
43,"Γεια, τι έχει σήμερα?",,Το πρόγραμμά μου: να σε βοηθήσω. Κι εσένα?
44,"Γεια σου, τι έχει σήμερα?",,Το πρόγραμμά μου: να σε βοηθήσω. Κι εσένα?
45,Σχέδια για το Σαββατοκύριακο!,,Τίποτα σίγουρο. Έχεις σχέδια?
46,"Ε, σχέδια για το Σαββατοκύριακο?",,Τίποτα σίγουρο. Έχεις σχέδια?
47,"Γεια, σχέδια για το Σαββατοκύριακο?",,Τίποτα σίγουρο. Έχεις σχέδια?
48,"Γεια σου, σχέδια για το Σαββατοκύριακο!",,Τίποτα σίγουρο. Έχεις σχέδια?
49,Κοιμήθηκες καλά?,,"Δεν κοιμάμαι, αλλά είμαι καλά. Κι εσύ?"
50,"Ε, κοιμήθηκες καλά?",,"Δεν κοιμάμαι, αλλά είμαι καλά. Κι εσύ?"
51,"Γεια, κοιμήθηκες καλά!",,"Δεν κοιμάμαι, αλλά είμαι καλά. Κι εσύ?"
52,"Γεια σου, κοιμήθηκες καλά?",,"Δεν κοιμάμαι, αλλά είμαι καλά. Κι εσύ?"
53,Ήδη ξύπνιος?,,"Ναι, είμαι έτοιμος. Τι χρειάζεσαι?"
54,"Ε, ήδη ξύπνιος!",,"Ναι, είμαι έτοιμος. Τι χρειάζεσαι?"
55,"Γεια, ήδη ξύπνιος?",,"Ναι, είμαι έτοιμος. Τι χρειάζεσαι?"
56,"Γεια σου, ήδη ξύπνιος?",,"Ναι, είμαι έτοιμος. Τι χρειάζεσαι?"
57,Πώς πάει η μέρα σου!,,"Καλά, ευχαριστώ! Κι εσένα?"
58,"Ε, πώς πάει η μέρα σου?",,"Καλά, ευχαριστώ! Κι εσένα?"
59,"Γεια, πώς πάει η μέρα σου?",,"Καλά, ευχαριστώ! Κι εσένα?"
60,"Γεια σου, πώς πάει η μέρα σου!",,"Καλά, ευχαριστώ! Κι εσένα?"
61,Όλα ήσυχα?,,"Ναι, ήσυχα εδώ. Κι εσένα?"
62,"Ε, όλα ήσυχα?",,"Ναι, ήσυχα εδώ. Κι εσένα?"
63,"Γεια, όλα ήσυχα!",,"Ναι, ήσυχα εδώ. Κι εσένα?"
64,"Γεια σου, όλα ήσυχα?",,"Ναι, ήσυχα εδώ. Κι εσένα?"
65,"Ε, τι νέα!",,Τίποτα ιδιαίτερο. Τι νέα από σένα?
66,"Γεια, τι νέα?",,Τίποτα ιδιαίτερο. Τι νέα από σένα?
67,"Γεια σου, τι νέα?",,Τίποτα ιδιαίτερο. Τι νέα από σένα?
68,Σχέδια για σήμερα!,,Μόνο να σε βοηθήσω. Κι εσύ?
69,"Ε, σχέδια για σήμερα?",,Μόνο να σε βοηθήσω. Κι εσύ?
70,"Γεια, σχέδια για σήμερα?",,Μόνο να σε βοηθήσω. Κι εσύ?
71,"Γεια σου, σχέδια για σήμερα!",,Μόνο να σε βοηθήσω. Κι εσύ?
72,Πολυάσχολη μέρα?,,Λίγο. Κι εσένα?
73,"Ε, πολυάσχολη μέρα?",,Λίγο. Κι εσένα?
74,"Γεια, πολυάσχολη μέρα!",,Λίγο. Κι εσένα?
75,"Γεια σου, πολυάσχολη μέρα?",,Λίγο. Κι εσένα?
76,Τι καιρό κάνει?,,"Δεν έχω παράθυρο, αλλά ελπίζω να είναι ωραία εκεί!"
77,"Ε, τι καιρό κάνει!",,"Δεν έχω παράθυρο, αλλά ελπίζω να είναι ωραία εκεί!"
78,"Γεια, τι καιρό κάνει?",,"Δεν έχω παράθυρο, αλλά ελπίζω να είναι ωραία εκεί!"
79,"Γεια σου, τι καιρό κάνει?",,"Δεν έχω παράθυρο, αλλά ελπίζω να είναι ωραία εκεί!"
80,Όλα καλά σήμερα!,,Ναι! Κι εσένα?
81,"Ε, όλα καλά σήμερα?",,Ναι! Κι εσένα?
82,"Γεια, όλα καλά σήμερα?",,Ναι! Κι εσένα?
83,"Γεια σου, όλα καλά σήμερα!",,Ναι! Κι εσένα?
84,Πολλά πράγματα?,,Λίγα. Κι εσένα?
85,"Ε, πολλά πράγματα?",,Λίγα. Κι εσένα?
86,"Γεια, πολλά πράγματα!",,Λίγα. Κι εσένα?
87,"Γεια σου, πολλά πράγματα?",,Λίγα. Κι εσένα?
88,Ευχαριστώ!,,Παρακαλώ!
89,Ευχαριστώ πολύ!,,Με μεγάλη ευχαρίστηση!
90,Χίλια ευχαριστώ!,,Χαίρομαι που βοήθησα!
91,Μερσί!,,Παρακαλώ!
92,Οκ,,Οκ!
93,"Οκ, καλά",,Τέλεια!
94,Κατάλαβα,,Πολύ καλά!
95,Έπιασα,,Φοβερά!
96,Ακούγεται καλά,,Χαίρομαι!
97,Ακούγεται τέλεια,,Υπέροχα!
98,"Ναι, ακριβώς",,"Ωραία, συνεχίζουμε."
99,"Ναι, παρακαλώ",,"Φυσικά, πες."
100,"Ναι, ευχαρίστως",,Ευχαρίστως!
101,Κανένα πρόβλημα,,Ευχαριστώ για την κατανόηση!
102,"Όχι, ευχαριστώ",,"Οκ, κανένα πρόβλημα."
103,Μου κάνει,,Συμφωνήσαμε!
104,Με βολεύει,,Τέλεια!
105,Συνέχισε,,Συνεχίζω!
106,Πες κι άλλα,,Ευχαρίστως! Λοιπόν...
107,Ακριβώς,,Απολύτως!
