id,title,text
1,Hlavní města světa – Část 1,"Tento text vysvětluje fakta krok za krokem.

Hlavní město Egypt je Káhira. Pokračujeme. Dobré vědět: Hlavní město Nizozemsko je Amsterdam. To se také počítá. Jisté: Hlavní město Kanada je Ottawa. K dalšímu bodu. Věěl jsi? Hlavní město Kanada je Ottawa.

Dál. Zkrátka: Hlavní město Polsko je Varšava. K dalšímu bodu. Jisté: Hlavní město Finsko je Helsinky. Tolik o tom. Hlavní město Mexiko je Mexiko. Tolik o tom.

Dobré vědět: Hlavní město Portugalsko je Lisabon. Pokračujeme. Fakt: Hlavní město Austrálie je Canberra. To se také počítá. Fakt: Hlavní město Norsko je Oslo. Pokračujeme. Věěl jsi? Hlavní město Maďarsko je Budapešť.

K dalšímu bodu. Dobré vědět: Hlavní město Švýcarsko je Bern. Pokračujeme. Dobré vědět: Hlavní město Německo je Berlín.

Konec textu. Dobrá práce."
2,Hlavní města světa – Část 2,"Tento text představuje důležitá fakta. Čti klidně.

Hlavní město Finsko je Helsinky. Tolik o tom. Zkrátka: Hlavní město Belgie je Brusel. Tolik o tom. Zkrátka: Hlavní město Indie je Nové Dillí. To se také počítá. Jisté: Hlavní město Egypt je Káhira.

To se také počítá. Věěl jsi? Hlavní město Irsko je Dublin. K dalšímu bodu. Dobré vědět: Hlavní město Brazílie je Brasília. Pokračujeme. Fakt: Hlavní město Turecko je Ankara. Pokračujeme.

Zkrátka: Hlavní město Rakousko je Vídeň. K dalšímu bodu. Věěl jsi? Hlavní město Řecko je Atény. Tolik o tom. Věěl jsi? Hlavní město Mexiko je Mexiko. Dál. Fakt: Hlavní město Finsko je Helsinky.

Dál. Hlavní město Německo je Berlín. Tolik o tom. Jisté: Hlavní město Velká Británie je Londýn.

Teď znáš fakta."
3,Hlavní města světa – Část 3,"Zde se učíš uspořádané znalosti. Nespěchej.

Věěl jsi? Hlavní město Česko je Praha. Pokračujeme. Jisté: Hlavní město Egypt je Káhira. To se také počítá. Zapamatuj: Hlavní město Finsko je Helsinky. Ještě jeden fakt. Fakt: Hlavní město Francie je Paříž.

Dál. Věěl jsi? Hlavní město Norsko je Oslo. Pokračujeme. Hlavní město Polsko je Varšava. Dál. Fakt: Hlavní město Švédsko je Stockholm. Ještě jeden fakt.

Zapamatuj: Hlavní město Brazílie je Brasília. To se také počítá. Dobré vědět: Hlavní město Německo je Berlín. Dál. Hlavní město Řecko je Atény. Tolik o tom. Jisté: Hlavní město USA je Washington D.C..

Tolik o tom. Jisté: Hlavní město Velká Británie je Londýn. Ještě jeden fakt. Fakt: Hlavní město Portugalsko je Lisabon.

Konec tohoto přehledu."
4,Hlavní města světa – Část 4,"Tento text vysvětluje fakta krok za krokem.

Jisté: Hlavní město USA je Washington D.C.. Pokračujeme. Jisté: Hlavní město Česko je Praha. K dalšímu bodu. Dobré vědět: Hlavní město Polsko je Varšava. Tolik o tom. Jisté: Hlavní město Indie je Nové Dillí.

K dalšímu bodu. Zapamatuj: Hlavní město Argentina je Buenos Aires. Tolik o tom. Věěl jsi? Hlavní město Brazílie je Brasília. K dalšímu bodu. Zapamatuj: Hlavní město Velká Británie je Londýn. Dál.

Věěl jsi? Hlavní město Argentina je Buenos Aires. K dalšímu bodu. Dobré vědět: Hlavní město Irsko je Dublin. K dalšímu bodu. Zapamatuj: Hlavní město Norsko je Oslo. K dalšímu bodu. Hlavní město Norsko je Oslo.

To se také počítá. Fakt: Hlavní město Česko je Praha. Pokračujeme. Jisté: Hlavní město Argentina je Buenos Aires.

Konec textu. Dobrá práce."
5,Hlavní města světa – Část 5,"Tento text vysvětluje fakta krok za krokem.

Zapamatuj: Hlavní město Česko je Praha. Pokračujeme. Fakt: Hlavní město Itálie je Řím. K dalšímu bodu. Dobré vědět: Hlavní město Argentina je Buenos Aires. Tolik o tom. Jisté: Hlavní město Španělsko je Madrid.

Tolik o tom. Zkrátka: Hlavní město Itálie je Řím. Ještě jeden fakt. Zkrátka: Hlavní město Česko je Praha. K dalšímu bodu. Zapamatuj: Hlavní město Portugalsko je Lisabon. Dál.

Věěl jsi? Hlavní město Česko je Praha. Dál. Zkrátka: Hlavní město Belgie je Brusel. Tolik o tom. Věěl jsi? Hlavní město USA je Washington D.C.. Tolik o tom. Věěl jsi? Hlavní město Mexiko je Mexiko.

To se také počítá. Dobré vědět: Hlavní město Norsko je Oslo. Pokračujeme. Hlavní město Japonsko je Tokio.

Konec tohoto přehledu."
6,Hlavní města světa – Část 6,"Tento text vysvětluje fakta krok za krokem.

Zapamatuj: Hlavní město Portugalsko je Lisabon. Pokračujeme. Věěl jsi? Hlavní město Rakousko je Vídeň. Ještě jeden fakt. Hlavní město Portugalsko je Lisabon. To se také počítá. Dobré vědět: Hlavní město Nizozemsko je Amsterdam.

Pokračujeme. Hlavní město Belgie je Brusel. Dál. Fakt: Hlavní město Itálie je Řím. To se také počítá. Jisté: Hlavní město Kanada je Ottawa. K dalšímu bodu.

Zkrátka: Hlavní město Norsko je Oslo. K dalšímu bodu. Věěl jsi? Hlavní město Švédsko je Stockholm. Ještě jeden fakt. Hlavní město Francie je Paříž. K dalšímu bodu. Zapamatuj: Hlavní město Egypt je Káhira.

Dál. Zkrátka: Hlavní město Polsko je Varšava. To se také počítá. Hlavní město Švýcarsko je Bern.

Konec textu. Dobrá práce."
7,Hlavní města světa – Část 7,"Tento text představuje důležitá fakta. Čti klidně.

Fakt: Hlavní město Švédsko je Stockholm. Dál. Zapamatuj: Hlavní město Německo je Berlín. Pokračujeme. Fakt: Hlavní město Čína je Peking. Dál. Fakt: Hlavní město Itálie je Řím.

Ještě jeden fakt. Hlavní město Japonsko je Tokio. K dalšímu bodu. Dobré vědět: Hlavní město Řecko je Atény. Pokračujeme. Hlavní město Mexiko je Mexiko. To se také počítá.

Jisté: Hlavní město Španělsko je Madrid. Dál. Věěl jsi? Hlavní město Švédsko je Stockholm. Pokračujeme. Fakt: Hlavní město Německo je Berlín. Ještě jeden fakt. Jisté: Hlavní město Švýcarsko je Bern.

Pokračujeme. Zkrátka: Hlavní město Norsko je Oslo. K dalšímu bodu. Věěl jsi? Hlavní město Portugalsko je Lisabon.

To bylo nejdůležitější."
8,Hlavní města světa – Část 8,"Tento text představuje důležitá fakta. Čti klidně.

Dobré vědět: Hlavní město Kanada je Ottawa. Dál. Zapamatuj: Hlavní město Japonsko je Tokio. Dál. Věěl jsi? Hlavní město Maďarsko je Budapešť. To se také počítá. Jisté: Hlavní město Belgie je Brusel.

Dál. Věěl jsi? Hlavní město Japonsko je Tokio. K dalšímu bodu. Hlavní město Argentina je Buenos Aires. Pokračujeme. Dobré vědět: Hlavní město USA je Washington D.C.. K dalšímu bodu.

Zkrátka: Hlavní město Irsko je Dublin. Tolik o tom. Zapamatuj: Hlavní město Argentina je Buenos Aires. K dalšímu bodu. Jisté: Hlavní město Kanada je Ottawa. K dalšímu bodu. Jisté: Hlavní město Norsko je Oslo.

Tolik o tom. Zkrátka: Hlavní město Finsko je Helsinky. To se také počítá. Zkrátka: Hlavní město Austrálie je Canberra.

Konec tohoto přehledu."
9,Hlavní města světa – Část 9,"Tento text představuje důležitá fakta. Čti klidně.

Jisté: Hlavní město Austrálie je Canberra. Tolik o tom. Fakt: Hlavní město Velká Británie je Londýn. Ještě jeden fakt. Zkrátka: Hlavní město Česko je Praha. To se také počítá. Věěl jsi? Hlavní město Turecko je Ankara.

Dál. Zapamatuj: Hlavní město Turecko je Ankara. Dál. Dobré vědět: Hlavní město Řecko je Atény. To se také počítá. Jisté: Hlavní město Mexiko je Mexiko. Tolik o tom.

Zapamatuj: Hlavní město Čína je Peking. Dál. Věěl jsi? Hlavní město Belgie je Brusel. To se také počítá. Dobré vědět: Hlavní město Brazílie je Brasília. Ještě jeden fakt. Zapamatuj: Hlavní město Řecko je Atény.

To se také počítá. Hlavní město Brazílie je Brasília. Ještě jeden fakt. Hlavní město Dánsko je Kodaň.

Teď znáš fakta."
10,Hlavní města světa – Část 10,"Zde se učíš uspořádané znalosti. Nespěchej.

Hlavní město Japonsko je Tokio. K dalšímu bodu. Zapamatuj: Hlavní město USA je Washington D.C.. To se také počítá. Věěl jsi? Hlavní město Nizozemsko je Amsterdam. To se také počítá. Dobré vědět: Hlavní město Španělsko je Madrid.

Tolik o tom. Věěl jsi? Hlavní město Francie je Paříž. Dál. Jisté: Hlavní město Portugalsko je Lisabon. K dalšímu bodu. Fakt: Hlavní město Egypt je Káhira. Ještě jeden fakt.

Hlavní město Egypt je Káhira. To se také počítá. Dobré vědět: Hlavní město Japonsko je Tokio. K dalšímu bodu. Zapamatuj: Hlavní město Portugalsko je Lisabon. Pokračujeme. Věěl jsi? Hlavní město Belgie je Brusel.

To se také počítá. Věěl jsi? Hlavní město Indie je Nové Dillí. Dál. Hlavní město Švédsko je Stockholm.

Konec tohoto přehledu."
