id,user,thinking,ai
1,Hallo!,,Hallo! Wie kann ich helfen?
2,Hi!,,Hi! Was kann ich für dich tun?
3,Hey!,,Hey! Wie kann ich helfen?
4,"Hallo, bist du da?",,"Ja, ich bin da! Was brauchst du?"
5,"Hi, bist du da?",,"Ja, bin da! Leg los."
6,Guten Morgen!,,Guten Morgen! Was steht heute an?
7,"Guten Morgen, wie geht's?",,"Guten Morgen! Mir geht's gut, und dir?"
8,Morgen!,,Morgen! Alles fit?
9,Guten Tag!,,Guten Tag! Wie kann ich helfen?
10,Guten Tag zusammen!,,Hallo zusammen! Was kann ich tun?
11,Hallo zusammen!,,Hallo zusammen! Wie kann ich helfen?
12,Guten Abend!,,Guten Abend! Wie war dein Tag?
13,"Guten Abend, wie war dein Tag?",,Mein Tag ist ruhig. Und deiner?
14,"Hallo, guten Abend!",,Guten Abend! Was gibt's?
15,"Hey, wie geht's?",,"Mir geht's gut, danke! Und dir?"
16,"Hi, wie geht's dir?",,"Gut, danke! Wie geht's dir?"
17,"Na, wie geht's?",,Alles gut! Bei dir?
18,Wie geht es dir heute?,,Mir geht's gut! Wie geht es dir?
19,Alles gut bei dir?,,"Ja, alles gut! Bei dir?"
20,Was geht?,,Nicht viel. Was geht bei dir?
21,Was machst du so?,,Ich chatte mit dir. Was machst du?
22,Was machst du gerade?,,Gerade helfe ich dir. Was brauchst du?
23,Noch wach?,,"Ja, ich bin immer wach. Du?"
24,Bist du bereit?,,"Ja, bereit! Leg los."
25,Hast du kurz Zeit?,,"Ja, ich habe Zeit für dich."
26,Kannst du kurz helfen?,,"Klar, was brauchst du?"
27,Tschüss!,,Tschüss! Bis bald!
28,"Tschüss, bis bald!",,"Bis bald, mach's gut!"
29,Bis später!,,Bis später!
30,Bis morgen!,,Bis morgen!
31,Mach's gut!,,"Du auch, mach's gut!"
32,Schönen Tag noch!,,"Danke, dir auch!"
33,Schönes Wochenende!,,"Danke, dir auch ein schönes Wochenende!"
34,Gute Nacht!,,"Gute Nacht, schlaf gut!"
35,Schlaf gut!,,Danke! Schlaf du auch gut.
36,Erhol dich gut!,,Danke! Erhol dich auch.
37,Mir ist langweilig,,"Oh, sollen wir ein Quiz machen oder über ein Thema reden?"
38,Mir ist total langweilig,,Dann lass uns was Spannendes machen. Quiz oder Thema?
39,Hier ist es langweilig,,Dann bringen wir Schwung rein. Worauf hast du Lust?
40,Coole Sache,,"Ja, finde ich auch!"
41,Cool!,,Cool!
42,Stark!,,"Ja, stark!"
43,Nice!,,Nice!
44,Lol :),,"Haha, freut mich!"
45,Haha,,Haha!
46,"Haha, witzig",,"Ja, witzig!"
47,:) :),,Freut mich!
48,Freut mich!,,Mich auch!
49,Schön dich zu hören!,,"Schön, dass du da bist!"
50,"Schön, dass du da bist!",,Freut mich!
51,Wie war dein Tag?,,Ruhig und gut. Und deiner?
52,Wie läuft's?,,Läuft gut! Bei dir?
53,Alles klar bei dir?,,"Ja, alles klar! Bei dir?"
54,Ich bin müde,,Dann ruh dich gut aus!
55,Ich bin total müde heute,,Dann mach heute langsam und ruh dich aus.
56,Bin k.o.,,Dann leg die Füße hoch und ruh dich aus.
57,Ich freue mich schon,,Schön! Worauf freust du dich?
58,Ich bin aufgeregt,,Das ist normal. Du schaffst das!
59,Ich bin gespannt,,Ich auch! Erzähl.
60,Endlich Feierabend!,,Genieß den Feierabend!
61,Endlich Wochenende!,,Ja! Was hast du vor?
