id,text
1,La capital de Alemania es Berlín.
2,La capital de Alemania se llama Berlín.
3,La capital de Francia es París.
4,La capital de Francia se llama París.
5,La capital de Italia es Roma.
6,La capital de Italia se llama Roma.
7,La capital de España es Madrid.
8,La capital de España se llama Madrid.
9,La capital de Portugal es Lisboa.
10,La capital de Portugal se llama Lisboa.
11,La capital de Países Bajos es Ámsterdam.
12,La capital de Países Bajos se llama Ámsterdam.
13,La capital de Bélgica es Bruselas.
14,La capital de Bélgica se llama Bruselas.
15,La capital de Austria es Viena.
16,La capital de Austria se llama Viena.
17,La capital de Suiza es Berna.
18,La capital de Suiza se llama Berna.
19,La capital de Polonia es Varsovia.
20,La capital de Polonia se llama Varsovia.
21,La capital de Chequia es Praga.
22,La capital de Chequia se llama Praga.
23,La capital de Hungría es Budapest.
24,La capital de Hungría se llama Budapest.
25,La capital de Grecia es Atenas.
26,La capital de Grecia se llama Atenas.
27,La capital de Turquía es Ankara.
28,La capital de Turquía se llama Ankara.
29,La capital de Noruega es Oslo.
30,La capital de Noruega se llama Oslo.
31,La capital de Suecia es Estocolmo.
32,La capital de Suecia se llama Estocolmo.
33,La capital de Finlandia es Helsinki.
34,La capital de Finlandia se llama Helsinki.
35,La capital de Dinamarca es Copenhague.
36,La capital de Dinamarca se llama Copenhague.
37,La capital de Reino Unido es Londres.
38,La capital de Reino Unido se llama Londres.
39,La capital de Irlanda es Dublín.
40,La capital de Irlanda se llama Dublín.
41,La capital de Estados Unidos es Washington D.C..
42,La capital de Estados Unidos se llama Washington D.C..
43,Washington D.C..
44,La capital de Canadá es Ottawa.
45,La capital de Canadá se llama Ottawa.
46,La capital de México es Ciudad de México.
47,La capital de México se llama Ciudad de México.
48,Ciudad de México.
49,La capital de Brasil es Brasilia.
50,La capital de Brasil se llama Brasilia.
51,La capital de Argentina es Buenos Aires.
52,La capital de Argentina se llama Buenos Aires.
53,La capital de Japón es Tokio.
54,La capital de Japón se llama Tokio.
55,La capital de China es Pekín.
56,La capital de China se llama Pekín.
57,La capital de India es Nueva Delhi.
58,La capital de India se llama Nueva Delhi.
59,La capital de Australia es Canberra.
60,La capital de Australia se llama Canberra.
61,La capital de Egipto es El Cairo.
62,La capital de Egipto se llama El Cairo.
63,Alemania tiene 16 estados federados.
64,Alemania tiene unos 83 a 84 millones de habitantes.
65,En Brasil se habla portugués.
66,La moneda de Japón es el yen.
67,La moneda de EE. UU. es el dólar estadounidense.
68,"Normalmente contamos 7 continentes: África, Antártida, Asia, Australia, Europa, América del Norte, América del Sur."
69,"Está discutido: se nombran Nilo y Amazonas, ambos más de 6500 km."
70,El país más grande por superficie es Rusia.
71,El animal más grande del mundo es la ballena azul.
72,"Hay 5 océanos: Atlántico, Pacífico, Índico, Austral y Ártico."
73,"La montaña más alta es el Everest, unos 8848 metros."
74,La primera llegada a la Luna fue en 1969 con el Apolo 11.
75,La Segunda Guerra Mundial duró de 1939 a 1945.
76,La Primera Guerra Mundial duró de 1914 a 1918.
77,El muro de Berlín fue la frontera fortificada entre Berlín Este y Oeste de 1961 a 1989.
78,El muro de Berlín cayó el 9 de noviembre de 1989.
79,"El teléfono lo patentó Alexander Graham Bell en 1876, con el trabajo pionero de Antonio Meucci."
80,La relatividad la desarrolló Albert Einstein.
81,"La democracia significa poder del pueblo, normalmente con elecciones libres y derechos básicos."
82,La UE es una unión de estados europeos con mercado único e instituciones comunes.
83,La UE tiene 27 estados miembros.
84,"La Ley Fundamental es la constitución de Alemania, vigente desde 1949."
85,Alemania se reunificó en 1990.
86,"La Edad Media fue la época de aprox. 500 a 1500, entre antigüedad y modernidad."
87,"Leonardo da Vinci fue un artista e inventor italiano, famoso por la Mona Lisa."
88,Marie Curie fue una física que investigó la radiactividad y ganó dos Nobel.
89,"La Revolución francesa desde 1789 derrocó la monarquía bajo libertad, igualdad, fraternidad."
90,"Los derechos humanos son derechos básicos de cada persona, como vida, libertad e igualdad."
91,La inflación significa que los precios suben y el dinero pierde valor.
92,La industrialización fue el paso a máquinas y fábricas desde el siglo XVIII.
93,"Las bases datan de ARPANET en 1969, la Web desde 1989."
94,El automóvil lo inventó Carl Benz con el coche de 1886.
95,El primer vuelo con motor lo hicieron los hermanos Wright en 1903.
96,Para el Bundestag desde los 18. En europeas en Alemania desde los 16.
97,"Los votantes votan, los votos se cuentan y los escaños se asignan según el resultado."
98,En dictadura una persona o grupo gobierna sin elecciones libres; en democracia el poder viene del pueblo.
99,La sostenibilidad significa vivir para que futuras generaciones también tengan recursos.
100,"El acoso es hostigamiento repetido. Habla con personas de confianza, guarda pruebas, busca ayuda."
101,La paz significa convivir sin guerra ni violencia.
102,La libertad significa vivir libremente sin dañar a otros.
103,La justicia significa trato justo e igual para cada uno.
104,El cielo es azul por la dispersión de Rayleigh: la luz azul se dispersa más que la roja.
105,"La lluvia nace por evaporación: el agua sube, se enfría, forma nubes y cae en gotas."
106,"La fotosíntesis fabrica azúcar y oxígeno con luz, agua y CO2."
107,El tiempo es el estado a corto plazo; el clima la media de unos 30 años.
108,"Una nevera bombea calor de dentro hacia fuera con refrigerante: se evapora dentro, toma calor, lo libera fuera."
109,"La electricidad es simplemente el movimiento dirigido de cargas, normalmente electrones en un cable."
110,"El agua es H2O, un compuesto de hidrógeno y oxígeno."
111,Un virus es un agente diminuto que no se multiplica sin célula huésped.
112,"La inteligencia artificial son programas que aprenden de datos, reconocen patrones y resuelven tareas."
113,"Un navegador es el programa para abrir webs, ej. Chrome, Firefox, Edge o Safari."
114,"Una app es un programa, normalmente para móviles, ej. mensajes, fotos o juegos."
115,"El agua estabiliza circulación y concentración, ayuda a riñones y piel, previene dolores de cabeza."
116,"Unos 2 minutos, dos veces al día."
117,"La gravedad es la atracción entre masas. La Tierra atrae todo hacia abajo, por eso las cosas caen."
118,"El aire es una mezcla de gases, sobre todo nitrógeno y oxígeno."
119,El corazón bombea sangre por todo el cuerpo.
120,Los pulmones toman oxígeno y sueltan dióxido de carbono.
121,"El sueño ayuda a recuperación, memoria y sistema inmune."
122,"La fiebre es temperatura alta, a menudo defensa contra infecciones."
123,"Una contraseña fuerte es larga, única por servicio y guardada en un gestor."
124,El Wi-Fi es una red local sin cables para internet.
125,La nube son servidores en internet para guardar datos y usar servicios.
126,El GPS halla la posición con señales de satélites y su tiempo de viaje.
127,"El día y la noche existen porque la Tierra gira. El lado del sol tiene día, el otro noche."
128,Las estaciones vienen de la inclinación del eje: cada hemisferio se inclina al sol por turnos.
129,La Luna brilla porque refleja la luz del sol.
130,El Sol es una estrella de gas caliente que da luz y calor.
131,"Nuestro sistema solar tiene 8 planetas: Mercurio, Venus, Tierra, Marte, Júpiter, Saturno, Urano, Neptuno."
132,"Un átomo es la unidad mínima de materia, hecha de núcleo y electrones."
133,El reciclaje recoge residuos para hacer productos nuevos.
134,El efecto invernadero retiene calor. Demasiados gases calientan el clima.
135,"Las abejas polinizan plantas, asegurando cosechas y biodiversidad."
136,"Las hojas son verdes por la clorofila, pigmento de la fotosíntesis."
137,"Los mamíferos tienen pelo, dan a luz crías vivas y las amamantan."
138,Una pila convierte energía química en eléctrica.
139,Las células solares convierten la luz directamente en corriente.
140,Un virus es un programa dañino que se propaga y causa daños. Protege con actualizaciones y cuidado.
141,"El plástico casi no se degrada, ensucia naturaleza y mares, se vuelve microplásticos."
142,Un terremoto ocurre cuando las placas se mueven de golpe y liberan energía.
143,La miel la hacen las abejas con el néctar de las flores.
144,25 por 4 son 100.
145,El 12 por ciento de 200 son 24.
146,Llega a las 16:45.
147,Quedan 2 manzanas.
148,Duermes 8 horas.
149,Cada persona recibe 25 euros.
150,2 horas son 120 minutos.
151,"Un año tiene 365 días, bisiesto 366."
152,Un minuto tiene 60 segundos.
153,18 más 60 son 78.
154,96 menos 4 son 92.
155,7 por 10 son 70.
156,9 entre 3 son 3.
157,El 20 por ciento de 300 son 60.
158,37 más 28 son 65.
159,40 menos 33 son 7.
160,2 por 5 son 10.
161,45 entre 3 son 15.
162,El 5 por ciento de 200 son 10.
163,36 más 23 son 59.
164,92 menos 19 son 73.
165,9 por 4 son 36.
166,180 entre 10 son 18.
167,El 50 por ciento de 1000 son 500.
168,30 más 58 son 88.
169,68 menos 13 son 55.
170,5 por 9 son 45.
171,190 entre 10 son 19.
172,El 15 por ciento de 1000 son 150.
173,37 más 42 son 79.
174,26 menos 18 son 8.
175,10 por 10 son 100.
176,66 entre 6 son 11.
177,El 50 por ciento de 400 son 200.
178,56 más 57 son 113.
179,83 menos 28 son 55.
180,6 por 4 son 24.
181,El 15 por ciento de 500 son 75.
182,33 más 14 son 47.
183,57 menos 36 son 21.
184,3 por 10 son 30.
185,28 entre 2 son 14.
186,El 5 por ciento de 500 son 25.
187,4 más 35 son 39.
188,56 menos 36 son 20.
189,11 por 3 son 33.
190,36 entre 9 son 4.
191,El 50 por ciento de 200 son 100.
192,6 más 36 son 42.
193,63 menos 28 son 35.
194,8 por 6 son 48.
195,85 entre 5 son 17.
196,El 20 por ciento de 200 son 40.
197,23 más 29 son 52.
198,65 menos 35 son 30.
199,7 por 3 son 21.
200,75 entre 5 son 15.
201,El 25 por ciento de 100 son 25.
202,18 más 10 son 28.
203,94 menos 4 son 90.
204,36 entre 4 son 9.
205,El 5 por ciento de 1000 son 50.
206,20 más 22 son 42.
207,97 menos 47 son 50.
208,5 por 11 son 55.
209,45 entre 9 son 5.
210,El 20 por ciento de 1000 son 200.
