id,title,text
1,A világ fővárosai – 1. rész,"Alább ellenőrzött tudást találsz.

Németország fővárosa Berlin. Tovább. Franciaország fővárosa Párizs. Tovább. Olaszország fővárosa Róma. A következő pontra. Spanyolország fővárosa Madrid.

Még egy tény. Portugália fővárosa Lisszabon. Tovább. Hollandia fővárosa Amszterdam. Még egy tény. Belgium fővárosa Brüsszel. Ennyi erről.

Ausztria fővárosa Bécs. Még egy tény. Svájc fővárosa Bern. Még egy tény. Lengyelország fővárosa Varsó. Ennyi erről. Csehország fővárosa Prága.

Még egy tény. Magyarország fővárosa Budapest. Tovább. Görögország fővárosa Athén. Még egy tény. Törökország fővárosa Ankara. A következő pontra.

Norvégia fővárosa Oslo.

Vége ennek az áttekintésnek."
2,A világ fővárosai – 2. rész,"Alább ellenőrzött tudást találsz.

Svédország fővárosa Stockholm. Még egy tény. Finnország fővárosa Helsinki. Tovább. Dánia fővárosa Koppenhága. Tovább. Egyesült Királyság fővárosa London.

A következő pontra. Írország fővárosa Dublin. Még egy tény. USA fővárosa Washington D.C.. Még egy tény. Kanada fővárosa Ottawa. Ez is számít.

Mexikó fővárosa Mexikóváros. Tovább. Brazília fővárosa Brazíliaváros. Ez is számít. Argentína fővárosa Buenos Aires. Még egy tény. Japán fővárosa Tokió.

Ez is számít. Kína fővárosa Peking. Tovább. India fővárosa Újdelhi. Tovább. Ausztrália fővárosa Canberra. Tovább.

Egyiptom fővárosa Kairó.

Vége ennek az áttekintésnek."
3,"Országok, nyelvek és rekordok – 1. rész","Alább ellenőrzött tudást találsz.

Németországnak 16 tartománya van. Ez is számít. Németországban kb. 83-84 millió ember él. Ez is számít. Brazíliában portugálul beszélnek. Még egy tény. Japán pénze a jen.

Folytatjuk. Az USA pénze az amerikai dollár. A következő pontra. Általában 7 kontinenst számolunk: Afrika, Antarktisz, Ázsia, Ausztrália, Európa, Észak-Amerika, Dél-Amerika. Tovább. Vitatott: általában Nílus és Amazonas, mindkettő 6500 km felett. Folytatjuk.

Területre a világ legnagyobb országa Oroszország. Tovább. A világ legnagyobb állata a kék bálna. Még egy tény. 5 óceán van: Atlanti, Csendes, Indiai, Déli és Jeges. A következő pontra. A legmagasabb hegy az Everest, kb. 8848 méter.

Még egy tény. Kanada fővárosa Ottawa. A következő pontra. Ausztrália fővárosa Canberra. Még egy tény. Törökország fővárosa Ankara. A következő pontra.

Brazília fővárosa Brazíliaváros.

Vége ennek az áttekintésnek."
4,Történelem röviden – 1. rész,"Ez a szöveg fontos tényeket mutat be. Olvasd nyugodtan.

Az első Holdra szállás 1969-ben volt Apollo 11-gyel. Folytatjuk. A második világháború 1939-től 1945-ig tartott. Tovább. Az első világháború 1914-től 1918-ig tartott. A következő pontra. A berlini fal 1961-től 1989-ig Kelet- és Nyugat-Berlin erődített határa volt.

Folytatjuk. A berlini fal 1989. november 9-én omlott le. Ez is számít. A telefont Alexander Graham Bell szabadalmaztatta 1876-ban, Antonio Meucci úttörő munkájával. Tovább. A relativitást Albert Einstein dolgozta ki. Ez is számít.

A demokrácia a nép uralmát jelenti, általában szabad választásokkal és alapjogokkal. Ennyi erről. Az EU európai államok uniója egységes piaccal és közös intézményekkel. Folytatjuk. Az EU-nak 27 tagállama van. Még egy tény. Az Alaptörvény Németország alkotmánya, 1949 óta érvényes.

Folytatjuk. Németország 1990-ben egyesült újra. A következő pontra. A középkor kb. 500-tól 1500-ig tartott, ókor és újkor között. Tovább. Leonardo da Vinci olasz művész és feltaláló volt, Mona Lisáról híres. Még egy tény.

Marie Curie a radioaktivitást kutatta és két Nobelt nyert.

Ez volt a lényeg."
5,Történelem röviden – 2. rész,"Ez a szöveg lépésről lépésre magyaráz.

A francia forradalom 1789 óta megdöntötte a monarchiát szabadság, egyenlőség, testvériség alatt. Ez is számít. Az emberi jogok mindenki alapjogai, mint élet, szabadság és egyenlőség. Ez is számít. Az infláció azt jelenti, hogy az árak nőnek és a pénz értéket veszít. Ennyi erről. Az iparosítás a gépekre és gyárakra való átállás volt a 18. századtól.

Még egy tény. Az alapok ARPANET 1969-ben, a Web 1989 óta. A következő pontra. Az autót Carl Benz találta fel 1886-os kocsival. Ennyi erről. Az első motoros repülést a Wright fivérek végezték 1903-ban. Még egy tény.

A Bundestagba 18 éves kortól. Az EP-választáson Németországban 16-tól. Még egy tény. A választók szavaznak, a szavazatokat számolják és a mandátumokat eredmény szerint osztják. Ez is számít. Diktatúrában egy személy vagy csoport kormányoz szabad választások nélkül; demokráciában a hatalom a néptől jön. Tovább. A fenntarthatóság azt jelenti, hogy úgy élünk, hogy a jövő nemzedékeknek is legyen erőforrása.

Folytatjuk. A zaklatás ismétlődő vegzálás. Beszélj megbízhatókkal, őrizz bizonyítékot, kérj segítséget. Folytatjuk. A béke háború és erőszak nélküli együttélést jelenti. Ennyi erről. A szabadság azt jelenti, hogy szabadon élünk mások sérelme nélkül. A következő pontra.

Az igazságosság mindenkinek igazságos és egyenlő bánást jelent.

Most már ismered a tényeket."
6,"Természet, tudomány és technika – 1. rész","Ez a szöveg lépésről lépésre magyaráz.

Az ég kék Rayleigh-szórás miatt: a kék fény jobban szóródik mint a vörös. Folytatjuk. Az eső párolgással keletkezik: víz felszáll, hűl, felhőt képez és cseppekben esik. Ennyi erről. A fotoszintézis fényből, vízből és CO2-ből cukrot és oxigént készít. Ez is számít. Az időjárás rövid állapot; az éghajlat kb. 30 év átlaga.

Folytatjuk. A hűtő hőt pumpál belülről kifelé hűtőközeggel: belül elpárolog, hőt felvesz, kint lead. Ennyi erről. Az áram egyszerűen töltések irányított mozgása, általában vezetékben elektronok. Még egy tény. A víz H2O, hidrogén és oxigén vegyülete. Ennyi erről.

A vírus apró kórokozó, amely gazdasejt nélkül nem szaporodik. Folytatjuk. A mesterséges intelligencia adatokból tanuló, mintákat felismerő és feladatokat megoldó programok. Ennyi erről. A böngésző a program, amivel weboldalakat nyitsz, pl. Chrome, Firefox, Edge vagy Safari. Folytatjuk. Az app program, általában telefonra, pl. üzenetek, fotók vagy játékok.

Ez is számít. A víz stabilizálja a keringést és a fókuszt, segíti a vesét és a bőrt, megelőzi a fejfájást. Tovább. Kb. 2 percig, naponta kétszer. Ez is számít. A gravitáció tömegek vonzása. A Föld mindent lefelé vonz, ezért esnek a dolgok. A következő pontra.

A levegő gázkeverék, főleg nitrogén és oxigén.

Ez volt a lényeg."
7,"Természet, tudomány és technika – 2. rész","Ez a szöveg lépésről lépésre magyaráz.

A szív vért pumpál az egész testben. Ez is számít. A tüdő oxigént vesz fel és szén-dioxidot ad le. Ennyi erről. Az alvás segíti a regenerálódást, a memóriát és az immunitást. Folytatjuk. A láz emelkedett testhőmérséklet, gyakran fertőzések elleni védekezés.

Még egy tény. Az erős jelszó hosszú, szolgáltatásonként egyedi és kezelőben tartott. Ez is számít. A Wi-Fi vezeték nélküli helyi háló internetre kábelek nélkül. Ennyi erről. A felhő szerverek az interneten, ahol adatot tartasz és szolgáltatást használsz. A következő pontra.

A GPS műholdjelekből és utazási idejükből találja a pozíciót. Ez is számít. Nappal és éjjel azért van, mert a Föld forog. A napos oldal nappal, a másik éjjel. A következő pontra. Az évszakok a tengely dőléséből jönnek: mindegyik félteke felváltva dől a Nap felé. Még egy tény. A Hold azért világít, mert a Nap fényét tükrözi.

Folytatjuk. A Nap forró gázcsillag, fényt és hőt ad. Tovább. Naprendszerünkben 8 bolygó van: Merkúr, Vénusz, Föld, Mars, Jupiter, Szaturnusz, Uránusz, Neptunusz. Még egy tény. Az atom az anyag legkisebb egysége, magból és elektronokból. Folytatjuk.

Az újrahasznosítás hulladékot gyűjt, hogy új termékeket készítsen.

A szöveg vége. Szép munka."
8,"Természet, tudomány és technika – 3. rész","Ez a szöveg lépésről lépésre magyaráz.

Az üvegházhatás tartja a hőt. Túl sok gáz melegíti az éghajlatot. Ez is számít. A méhek beporozzák a növényeket, biztosítva terméseket és sokféleséget. Tovább. A levelek zöldek klorofill miatt, a fotoszintézis pigmentje. Tovább. Az emlősöknek szőrük van, élő utódot szülnek és tejjel táplálják.

Ennyi erről. Az elem kémiai energiát alakít elektromossá. Tovább. A napelemek a fényt közvetlenül árammá alakítják. Tovább. A vírus terjedő és károsító káros program. Védd frissítésekkel és óvatossággal. Még egy tény.

A műanyag alig bomlik, szemeteli a természetet és tengereket, mikroműanyaggá válik. Ennyi erről. Földrengés akkor van, amikor a lemezek hirtelen mozognak és energiát szabadítanak. Tovább. A mézet a méhek virágnektárból készítik.

Ez volt a lényeg."
9,Mindennapi számolás – 1. rész,"Itt rendezett tudást tanulsz. Ne siess.

25-ször 4 az 100. Ez is számít. 200 12%-a 24. A következő pontra. Az 66. Tovább. 16:45-kor érkezik.

A következő pontra. 2 alma marad. Még egy tény. 8 órát alszol. Ez is számít. Mindenki 25 eurót kap. Ez is számít.

2 óra 120 perc. Ez is számít. Egy év 365 napos, szökőév 366. Tovább. Egy perc 60 másodperc. Folytatjuk. 21:45-kor ér véget.

Még egy tény. A találkozó 12:30-kor. Tovább. 17:05-kor kész. A következő pontra. 5 óra 15 percig tart. Még egy tény.

19:30-kor végzel.

Most már ismered a tényeket."
10,Mindennapi tippek – 1. rész,"Ez a szöveg fontos tényeket mutat be. Olvasd nyugodtan.

Legjobb rövid napi egységekben kártyákkal és aktív használattal mondatokban plusz ismétlés. Ennyi erről. Állíts költségvetést, nézd át előfizetéseket, főzz többször, hasonlíts árakat és tegyél félre először fix összeget. Tovább. Csinálj tésztát egyszerű szósszal: fűszerezd, főzd, öntsd tésztára, szórj sajtot. Még egy tény. Vigyél: igazolványt vagy útlevelet, jegyet, pénzt, telefont plusz töltőt, gyógyszert, higiéniát és váltást kézibe.

Tovább. Nevezd meg a hibát, vállald, mutass megbánást és ajánlj jóvátételt, röviden és őszintén. Még egy tény. Állítsd be az utazást és hotelt, válassz napi 2-3 pontot, tervezz puffereket és napibüdzsét. Még egy tény. Igen, vidd. 80%-nál az eső nagyon valószínű. Ez is számít.

Mindkettőnek vannak előnyei: papír figyelem nélkül és jó memóriára, telefon kereshető és mindig nálad. A következő pontra. Először szedd a szemetet, aztán a mosást, tegyél mindent vissza és a végén törölj. Ez is számít. Tekerd a ruhákat hajtogatás helyett, nehéz alulra, töltsd zoknikkal. Tovább. Mosd meg a rizst, forrald dupla vízzel, pihentesd 10-12 percig.

Még egy tény. Sózz sok vizet, forrald, főzd a tésztát 8-10 percig, szűrd le. Folytatjuk. Keverj lisztet, tejet, tojást és csipet sót, süsd vékonyan aranybarnára. A következő pontra. Kapcsold fel a fényt, igyál egy pohár vizet, mozogj kicsit és szívj levegőt. Ennyi erről.

Aludj sötétben és hűvösben, tedd le a telefont, tarts fix rutint.

Most már ismered a tényeket."
