id,user,thinking,ai
1,Merhaba!,,Merhaba! Nasıl yardımcı olabilirim?
2,Selam!,,Selam! Ne yapabilirim?
3,Hey!,,Hey! Nasıl yardımcı olabilirim?
4,"Merhaba, orada mısın?",,"Evet, buradayım! Ne lazım?"
5,"Selam, orada mısın?",,"Evet, buradayım! Söyle."
6,Günaydın!,,Günaydın! Bugün ne var?
7,"Günaydın, nasılsın?",,"Günaydın! İyiyim, sen nasılsın?"
8,İyi günler!,,İyi günler! Nasıl yardımcı olabilirim?
9,Herkese merhaba!,,Herkese merhaba! Ne yapabilirim?
10,İyi akşamlar!,,İyi akşamlar! Günün nasıldı?
11,"İyi akşamlar, günün nasıldı?",,Sakin ve iyi. Ya senin?
12,"Hey, nasılsın?",,"İyiyim, sağ ol! Ya sen?"
13,"Selam, nasılsın?",,"İyiyim, sağ ol! Sen nasılsın?"
14,Nasıl gidiyor?,,İyi gidiyor! Ya sende?
15,Bugün nasılsın?,,Kendimi iyi hissediyorum! Ya sen?
16,Her şey yolunda mı?,,"Evet, yolunda! Ya sende?"
17,Naber?,,Özel bir şey yok. Sende naber?
18,Ne yapıyorsun?,,Seninle sohbet ediyorum. Ya sen?
19,Hâlâ uyanık mısın?,,"Evet, hep uyanığım. Ya sen?"
20,Hazır mısın?,,"Evet, hazırım! Söyle."
21,Bir dakikan var mı?,,"Evet, sana zamanım var."
22,Hızlıca yardım eder misin?,,"Tabii, ne lazım?"
23,Hoşça kal!,,Hoşça kal! Görüşürüz!
24,"Hoşça kal, görüşürüz!",,"Görüşürüz, kendine iyi bak!"
25,Sonra görüşürüz!,,Sonra görüşürüz!
26,Kendine iyi bak!,,Sen de kendine iyi bak!
27,İyi hafta sonları!,,"Sağ ol, sana da!"
28,İyi geceler!,,"İyi geceler, iyi uyu!"
29,Sıkıldım,,Bir quiz yapalım mı yoksa bir konu mu konuşalım?
30,Burada çok sıkıcı,,Hadi canlandıralım. Ne istersin?
31,Harika!,,Harika!
32,Güzel!,,Güzel!
33,Haha,,Haha!
34,Hahaha :),,"Haha, sevindim!"
35,Yorgunum,,O zaman iyi dinlen!
36,Heyecanlıyım,,Ne güzel! Anlat.
37,Sonunda hafta sonu!,,Evet! Planların ne?
38,Bugün hava güzel,,"Evet, güneşin tadını çıkar!"
39,Acıktım,,O zaman güzel bir şey ye!
40,Susadım,,O zaman bir bardak su iç!
41,Bugün plan ne?,,Benim planım: sana yardım. Ya senin?
42,"Hey, bugün plan ne!",,Benim planım: sana yardım. Ya senin?
43,"Merhaba, bugün plan ne?",,Benim planım: sana yardım. Ya senin?
44,"Selam, bugün plan ne?",,Benim planım: sana yardım. Ya senin?
45,Hafta sonu planın var mı!,,Henüz net bir şey yok. Senin planın var mı?
46,"Hey, hafta sonu planın var mı?",,Henüz net bir şey yok. Senin planın var mı?
47,"Merhaba, hafta sonu planın var mı?",,Henüz net bir şey yok. Senin planın var mı?
48,"Selam, hafta sonu planın var mı!",,Henüz net bir şey yok. Senin planın var mı?
49,Iyi uyudun mu?,,Ben uyumam ama formdayım. Ya sen?
50,"Hey, iyi uyudun mu?",,Ben uyumam ama formdayım. Ya sen?
51,"Merhaba, iyi uyudun mu!",,Ben uyumam ama formdayım. Ya sen?
52,"Selam, iyi uyudun mu?",,Ben uyumam ama formdayım. Ya sen?
53,Uyanık mısın?,,"Evet, hazırım. Ne lazım?"
54,"Hey, uyanık mısın!",,"Evet, hazırım. Ne lazım?"
55,"Merhaba, uyanık mısın?",,"Evet, hazırım. Ne lazım?"
56,"Selam, uyanık mısın?",,"Evet, hazırım. Ne lazım?"
57,Günün nasıl geçiyor!,,"İyi, sağ ol! Ya senin?"
58,"Hey, günün nasıl geçiyor?",,"İyi, sağ ol! Ya senin?"
59,"Merhaba, günün nasıl geçiyor?",,"İyi, sağ ol! Ya senin?"
60,"Selam, günün nasıl geçiyor!",,"İyi, sağ ol! Ya senin?"
61,Her şey sakin mi?,,"Evet, burada sakin. Ya sende?"
62,"Hey, her şey sakin mi?",,"Evet, burada sakin. Ya sende?"
63,"Merhaba, her şey sakin mi!",,"Evet, burada sakin. Ya sende?"
64,"Selam, her şey sakin mi?",,"Evet, burada sakin. Ya sende?"
65,Ne var ne yok?,,Özel bir şey yok. Sende ne var ne yok?
66,"Hey, ne var ne yok!",,Özel bir şey yok. Sende ne var ne yok?
67,"Merhaba, ne var ne yok?",,Özel bir şey yok. Sende ne var ne yok?
68,"Selam, ne var ne yok?",,Özel bir şey yok. Sende ne var ne yok?
69,Bugünkü planlar!,,Sadece sana yardım. Sen ne yapıyorsun?
70,"Hey, bugünkü planlar?",,Sadece sana yardım. Sen ne yapıyorsun?
71,"Merhaba, bugünkü planlar?",,Sadece sana yardım. Sen ne yapıyorsun?
72,"Selam, bugünkü planlar!",,Sadece sana yardım. Sen ne yapıyorsun?
73,Yoğun bir gün mü?,,Biraz. Ya senin?
74,"Hey, yoğun bir gün mü?",,Biraz. Ya senin?
75,"Merhaba, yoğun bir gün mü!",,Biraz. Ya senin?
76,"Selam, yoğun bir gün mü?",,Biraz. Ya senin?
77,Hava nasıl?,,Pencerem yok ama umarım orada güzeldir!
78,"Hey, hava nasıl!",,Pencerem yok ama umarım orada güzeldir!
79,"Merhaba, hava nasıl?",,Pencerem yok ama umarım orada güzeldir!
80,"Selam, hava nasıl?",,Pencerem yok ama umarım orada güzeldir!
81,Bugün her şey yolunda mı!,,Evet! Ya sende?
82,"Hey, bugün her şey yolunda mı?",,Evet! Ya sende?
83,"Merhaba, bugün her şey yolunda mı?",,Evet! Ya sende?
84,"Selam, bugün her şey yolunda mı!",,Evet! Ya sende?
85,Çok iş var mı?,,Biraz. Sende?
86,"Hey, çok iş var mı?",,Biraz. Sende?
87,"Merhaba, çok iş var mı!",,Biraz. Sende?
88,"Selam, çok iş var mı?",,Biraz. Sende?
89,Teşekkürler!,,Rica ederim!
90,Çok teşekkürler!,,Çok memnun oldum!
91,Binlerce teşekkür!,,Yardımcı olduğuma sevindim!
92,Her şey için sağ ol!,,Rica ederim!
93,Tamam,,Tamam!
94,"Tamam, olur",,Mükemmel!
95,Anladım,,Çok iyi!
96,Anlaşıldı,,Harika!
97,Kulağa iyi geliyor,,Sevindim!
98,Kulağa harika geliyor,,Muhteşem!
