id,text
1,Capitala Germania e Berlin.
2,Capitala Germania se numește Berlin.
3,Capitala Franța e Paris.
4,Capitala Franța se numește Paris.
5,Capitala Italia e Roma.
6,Capitala Italia se numește Roma.
7,Capitala Spania e Madrid.
8,Capitala Spania se numește Madrid.
9,Capitala Portugalia e Lisabona.
10,Capitala Portugalia se numește Lisabona.
11,Capitala Țările de Jos e Amsterdam.
12,Capitala Țările de Jos se numește Amsterdam.
13,Capitala Belgia e Bruxelles.
14,Capitala Belgia se numește Bruxelles.
15,Capitala Austria e Viena.
16,Capitala Austria se numește Viena.
17,Capitala Elveția e Berna.
18,Capitala Elveția se numește Berna.
19,Capitala Polonia e Varșovia.
20,Capitala Polonia se numește Varșovia.
21,Capitala Cehia e Praga.
22,Capitala Cehia se numește Praga.
23,Capitala Ungaria e Budapesta.
24,Capitala Ungaria se numește Budapesta.
25,Capitala Grecia e Atena.
26,Capitala Grecia se numește Atena.
27,Capitala Turcia e Ankara.
28,Capitala Turcia se numește Ankara.
29,Capitala Norvegia e Oslo.
30,Capitala Norvegia se numește Oslo.
31,Capitala Suedia e Stockholm.
32,Capitala Suedia se numește Stockholm.
33,Capitala Finlanda e Helsinki.
34,Capitala Finlanda se numește Helsinki.
35,Capitala Danemarca e Copenhaga.
36,Capitala Danemarca se numește Copenhaga.
37,Capitala Regatul Unit e Londra.
38,Capitala Regatul Unit se numește Londra.
39,Capitala Irlanda e Dublin.
40,Capitala Irlanda se numește Dublin.
41,Capitala SUA e Washington D.C..
42,Capitala SUA se numește Washington D.C..
43,Washington D.C..
44,Capitala Canada e Ottawa.
45,Capitala Canada se numește Ottawa.
46,Capitala Mexic e Ciudad de México.
47,Capitala Mexic se numește Ciudad de México.
48,Ciudad de México.
49,Capitala Brazilia e Brasília.
50,Capitala Brazilia se numește Brasília.
51,Capitala Argentina e Buenos Aires.
52,Capitala Argentina se numește Buenos Aires.
53,Capitala Japonia e Tokio.
54,Capitala Japonia se numește Tokio.
55,Capitala China e Beijing.
56,Capitala China se numește Beijing.
57,Capitala India e New Delhi.
58,Capitala India se numește New Delhi.
59,Capitala Australia e Canberra.
60,Capitala Australia se numește Canberra.
61,Capitala Egipt e Cairo.
62,Capitala Egipt se numește Cairo.
63,Germania are 16 landuri.
64,Germania are vreo 83-84 milioane de locuitori.
65,În Brazilia se vorbește portugheza.
66,Moneda Japoniei e yenul.
67,Moneda SUA e dolarul american.
68,"De obicei numărăm 7 continente: Africa, Antarctica, Asia, Australia, Europa, America de Nord, America de Sud."
69,"E disputat: se spun Nil și Amazon, ambele peste 6500 km."
70,Cea mai mare țară ca suprafață e Rusia.
71,Cel mai mare animal din lume e balena albastră.
72,"Sunt 5 oceane: Atlantic, Pacific, Indian, Austral și Arctic."
73,"Cel mai înalt munte e Everest, vreo 8848 metri."
74,Capitala Canadei e Ottawa.
75,Capitala Australiei e Canberra.
76,Capitala Turciei e Ankara.
77,Capitala Braziliei e Brasília.
78,Prima aselenizare a fost în 1969 cu Apollo 11.
79,Al Doilea Război Mondial a durat din 1939 până în 1945.
80,Primul Război Mondial a durat din 1914 până în 1918.
81,Zidul Berlinului a fost granița fortificată între Berlinul de Est și Vest din 1961 până în 1989.
82,Zidul Berlinului a căzut pe 9 noiembrie 1989.
83,"Telefonul a fost patentat de Alexander Graham Bell în 1876, cu munca de pionierat a lui Antonio Meucci."
84,Relativitatea a fost dezvoltată de Albert Einstein.
85,"Democrația înseamnă puterea poporului, de obicei prin alegeri libere și drepturi de bază."
86,UE e o uniune de state europene cu piață unică și instituții comune.
87,UE are 27 state membre.
88,"Legea Fundamentală e constituția Germaniei, în vigoare din 1949."
89,Germania s-a reunificat în 1990.
90,"Evul Mediu a fost epoca de vreo 500-1500, între antichitate și modernitate."
91,"Leonardo da Vinci a fost un artist și inventator italian, faimos pentru Mona Lisa."
92,Marie Curie a studiat radioactivitatea și a câștigat două Nobel.
93,"Revoluția Franceză din 1789 a răsturnat monarhia sub libertate, egalitate, fraternitate."
94,"Drepturile omului sunt drepturile de bază ale fiecăruia, ca viața, libertatea și egalitatea."
95,Inflația înseamnă că prețurile cresc și banii pierd valoare.
96,Industrializarea a fost trecerea la mașini și fabrici din secolul XVIII.
97,"Bazele datează din ARPANET în 1969, Web-ul din 1989."
98,Mașina a fost inventată de Carl Benz cu mașina din 1886.
99,Primul zbor cu motor a fost al fraților Wright în 1903.
100,Pentru Bundestag de la 18 ani. La europene în Germania de la 16.
101,"Alegătorii votează, voturile se numără și mandatele se dau după rezultat."
102,În dictatură o persoană sau grup guvernează fără alegeri libere; în democrație puterea vine de la popor.
103,Sustenabilitatea înseamnă să trăim ca și generațiile viitoare să aibă resurse.
104,"Bullyingul e hărțuire repetată. Vorbește cu apropiați, păstrează dovezi, caută ajutor."
105,Pacea înseamnă să trăim împreună fără război și violență.
106,Libertatea înseamnă să trăiești liber fără a răni pe alții.
107,Dreptatea înseamnă tratament drept și egal pentru fiecare.
108,Cerul e albastru din cauza dispersiei Rayleigh: lumina albastră se dispersează mai mult decât roșia.
109,"Ploaia se naște prin evaporare: apa urcă, se răcește, face nori și cade ca picături."
110,"Fotosinteza face zahăr și oxigen din lumină, apă și CO2."
111,Vremea e starea pe scurt; clima media de vreo 30 ani.
112,"Frigiderul pompează căldura dinăuntru afară cu agent: se evaporă înăuntru, ia căldura, o dă afară."
113,"Electricitatea e simplu mișcarea dirijată de sarcini, de obicei electroni într-un fir."
114,"Apa e H2O, un compus de hidrogen și oxigen."
115,Un virus e un agent minuscul care nu se înmulțește fără celulă gazdă.
116,"Inteligența artificială sunt programe care învață din date, recunosc tipare și rezolvă sarcini."
117,"Un browser e programul cu care deschizi site-uri, ex. Chrome, Firefox, Edge sau Safari."
118,"O aplicație e un program, de obicei pentru telefoane, ex. mesaje, poze sau jocuri."
119,"Apa ține circulația și focusul stabile, ajută rinichii și pielea, previne durerile de cap."
120,"Vreo 2 minute, de două ori pe zi."
121,"Gravitația e atracția între mase. Pământul atrage totul în jos, deci lucrurile cad."
122,"Aerul e un mix de gaze, mai ales azot și oxigen."
123,Inima pompează sânge prin tot corpul.
124,Plămânii iau oxigen și dau dioxid de carbon.
125,"Somnul ajută recuperarea, memoria și imunitatea."
126,"Febra e temperatură ridicată a corpului, des apărare contra infecțiilor."
127,"O parolă puternică e lungă, unică pe serviciu și ținută într-un manager."
128,Wi-Fi e o rețea locală fără fir pentru internet fără cabluri.
129,Cloudul sunt servere pe internet unde ții date și folosești servicii.
130,GPS găsește poziția din semnale de sateliți și timpul lor de drum.
131,"Ziua și noaptea sunt pentru că Pământul se rotește. Partea cu soare are zi, cealaltă noapte."
132,Anotimpurile vin din înclinarea axei: fiecare emisferă se înclină spre soare pe rând.
133,Luna strălucește pentru că reflectă lumina soarelui.
134,Soarele e o stea de gaz fierbinte care dă lumină și căldură.
135,"Sistemul nostru solar are 8 planete: Mercur, Venus, Pământ, Marte, Jupiter, Saturn, Uranus, Neptun."
136,"Un atom e unitatea minimă de materie, făcut din nucleu și electroni."
137,Reciclarea adună deșeuri ca să facă produse noi.
138,Efectul de seră ține căldura. Prea multe gaze încălzesc clima.
139,"Albinele polenizează plante, asigurând recolte și diversitate."
140,"Frunzele sunt verzi din cauza clorofilei, pigmentul fotosintezei."
141,"Mamiferele au blană, nasc pui vii și îi alăptează."
142,O baterie transformă energia chimică în electrică.
143,Celulele solare transformă lumina direct în curent.
144,Un virus e un program dăunător care se răspândește și strică. Protejează cu update-uri și grijă.
145,"Plasticul aproape nu putrezește, murdărește natura și mările, devine microplastic."
146,Un cutremur e când plăcile se mișcă brusc și eliberează energie.
147,Mierea e făcută de albine din nectarul florilor.
148,25 ori 4 face 100.
149,12 la sută din 200 face 24.
150,Ajunge la 16:45.
151,Fiecare primește 25 euro.
152,2 ore sunt 120 minute.
153,"Un an are 365 zile, bisect 366."
154,Un minut are 60 secunde.
155,13 plus 17 face 30.
156,91 minus 85 face 6.
157,11 ori 6 face 66.
158,198 împărțit la 11 face 18.
159,25 la sută din 300 face 75.
160,38 plus 58 face 96.
161,7 minus 3 face 4.
162,6 ori 5 face 30.
163,33 împărțit la 3 face 11.
164,49 plus 48 face 97.
165,31 minus 23 face 8.
166,2 ori 5 face 10.
167,40 împărțit la 10 face 4.
168,5 la sută din 1000 face 50.
169,50 plus 34 face 84.
170,36 minus 30 face 6.
171,5 ori 2 face 10.
172,152 împărțit la 8 face 19.
173,10 la sută din 300 face 30.
174,44 plus 24 face 68.
175,13 minus 3 face 10.
176,8 ori 4 face 32.
177,72 împărțit la 8 face 9.
178,15 la sută din 200 face 30.
179,26 plus 60 face 86.
180,41 minus 37 face 4.
181,11 ori 3 face 33.
182,18 împărțit la 9 face 2.
183,5 la sută din 400 face 20.
184,4 plus 26 face 30.
185,13 minus 8 face 5.
186,4 ori 4 face 16.
187,24 împărțit la 3 face 8.
188,10 la sută din 400 face 40.
189,16 plus 22 face 38.
190,48 minus 10 face 38.
191,21 împărțit la 7 face 3.
192,10 la sută din 200 face 20.
193,10 plus 46 face 56.
194,91 minus 32 face 59.
195,12 ori 9 face 108.
196,91 împărțit la 7 face 13.
197,50 la sută din 100 face 50.
198,19 plus 11 face 30.
199,14 minus 4 face 10.
200,7 ori 12 face 84.
201,10 împărțit la 2 face 5.
202,15 la sută din 300 face 45.
203,13 plus 39 face 52.
204,20 minus 10 face 10.
205,10 ori 10 face 100.
206,200 împărțit la 10 face 20.
207,20 la sută din 500 face 100.
208,18 plus 7 face 25.
209,15 minus 12 face 3.
210,50 la sută din 500 face 250.
211,13 plus 12 face 25.
212,47 minus 42 face 5.
213,102 împărțit la 6 face 17.
214,25 la sută din 400 face 100.
215,24 plus 40 face 64.
216,67 minus 61 face 6.
217,68 împărțit la 4 face 17.
218,30 plus 50 face 80.
219,79 minus 53 face 26.
220,10 ori 2 face 20.
221,42 împărțit la 6 face 7.
222,5 la sută din 200 face 10.
223,27 plus 49 face 76.
224,32 minus 2 face 30.
225,136 împărțit la 8 face 17.
226,25 la sută din 1000 face 250.
227,6 plus 31 face 37.
228,8 minus 3 face 5.
229,7 ori 2 face 14.
230,44 împărțit la 4 face 11.
231,5 la sută din 300 face 15.
232,18 plus 56 face 74.
233,84 minus 73 face 11.
234,7 ori 9 face 63.
235,72 împărțit la 6 face 12.
236,11 plus 58 face 69.
237,79 minus 76 face 3.
238,11 ori 8 face 88.
239,18 plus 23 face 41.
240,67 minus 31 face 36.
241,12 ori 11 face 132.
242,84 împărțit la 12 face 7.
243,37 plus 60 face 97.
244,41 minus 12 face 29.
245,7 ori 5 face 35.
246,20 la sută din 200 face 40.
247,46 plus 23 face 69.
248,41 minus 8 face 33.
249,12 ori 12 face 144.
250,26 împărțit la 2 face 13.
251,9 plus 33 face 42.
252,70 minus 50 face 20.
253,12 ori 2 face 24.
254,204 împărțit la 12 face 17.
255,20 la sută din 300 face 60.
256,33 plus 38 face 71.
257,85 minus 74 face 11.
258,9 ori 2 face 18.
259,36 împărțit la 3 face 12.
260,Se termină la 21:45.
261,Întâlnirea e la 12:30.
262,E gata la 17:05.
263,Durează 5 ore și 15 minute.
264,Termini la 19:30.
265,Cel mai bine în sesiuni scurte zilnice cu carduri și folosire activă în propoziții plus repetiție.
266,"Fixează un buget, verifică abonamente, gătește mai mult, compară prețuri și pune întâi o sumă fixă."
267,"Fă paste cu sos simplu: condimentează, fierbe, toarnă peste paste, presară brânză."
268,"Ia: act sau pașaport, bilet, bani, telefon plus încărcător, medicamente, igienă și schimb în cabină."
269,"Numește greșeala, asumă, arată regret și oferă reparare, scurt și sincer."
270,"Fixează drum și hotel, alege 2-3 puncte pe zi, lasă rezerve și buget zilnic."
271,"Da, ia-o. Cu 80 la sută ploaia e foarte probabilă."
272,"Ambele au plusuri: hârtia fără distragere și bună pentru memorie, telefonul căutabil și mereu cu tine."
273,"Întâi adună gunoiul, apoi rufele, pune totul la loc și șterge la final."
274,"Rulează hainele în loc să le împături, greu jos, umple cu șosete."
275,"Spală orezul, fierbe cu apă dublă, lasă 10-12 minute."
276,"Sărează multă apă, fierbe, fierbe pastele 8-10 minute, scurge."
277,"Amestecă făină, lapte, ou și priză de sare, coace subțire până se rumenesc."
278,"Aprinde lumina, bea un pahar cu apă, mișcă-te puțin și ia aer."
279,"Dormi întuneric și răcoare, pune telefonul, ține rutină fixă."
280,"Împarte în blocuri, întreabă-te activ, ia pauze, repetă a doua zi."
281,Scrie o scrisoare scurtă plus CV tabel și diplome utile.
282,"Fixează buget, caută pe portaluri, pregătește acte, mergi cu întrebări."
283,"Testul degetului: udă doar dacă sus e uscat, evită băltirea."
284,"Alege 3 priorități, planifică blocuri cu pauze, pune distragerile."
285,"Începe 2x pe săptămână plimbare sau ușor, crește încet."
286,"Ține o sticlă gata, bea un pahar la fiecare masă, pune mementouri."
287,"De exemplu ovăz cu fructe și iaurt, sau pâine integrală cu ou."
288,"Pauze scurte, mișcare, destul somn și vorbitul ajută."
289,"Anulează devreme, dă motiv scurt, propune dată nouă."
290,"Cere concret: ce, până când, de ce. Exemplu: Mă ajuți azi la cărat? Mulțumesc!"
291,"Spune nu scurt și amabil, oferă alternativă dacă poți."
292,"Fixează o țintă, economisește lunar automat, adaugă extra."
293,"Fii flexibil cu datele, compară portaluri, rezervă devreme."
294,"Descarcă hărți offline, urmează semnele, întreabă oamenii."
295,"Câinii cer plimbări și educație, pisicile sunt mai independente. Alege după timp și spațiu."
296,"Trenul e relax și des mai verde, mașina flexibilă cu bagaje. Cu ambuteiaje câștigă trenul."
297,"Ia mărul pentru vitamine și sațietate, ciocolata ca excepție."
298,"PC-urile dau mai multă putere pe bani, laptopurile sunt mobile. Pentru max alege PC."
299,"Orașele oferă joburi și aproape, țara calm și spațiu. Alege după muncă și stil."
300,"Somnul contează mai mult pentru că fixează învățarea. Învață devreme, dormi destul."
301,Păstrează dacă ajunge. Cumpără nou doar la defect sau nevoie reală.
302,"Știrile false sunt inventate. Verifică sursa, data și alte medii."
303,"Un fapt e probabil și verificabil, o opinie e o vedere personală."
304,"Pe vreme bună ia bicicleta (vreo 20 min, sănătos), pe ploaie busul."
305,Apa stinge setea cel mai bine și n-are zahăr. Suc doar diluat.
306,"Bea întâi apă, cafea după cu moderație."
307,"Închiriază dacă rămâi flexibil; dacă stai mult și poți plăti, verifică cumpărarea cu toate costurile."
308,Alege după treburi și somn: destul somn și ritm fix contează.
309,"Nu, planifică odihne. De 3-4 ori pe săptămână ajunge des, zilnic doar ușor."
310,Nu. Odihnește-te și mergi la doctor la febră mare sau lungă.
311,"Listează criterii, punctează, verifică costuri și intuiție, decide cu termen."
312,"Economisește 100 euro pe lună automat, ex. ordin după salariu."
313,"Nevoia e vitală, dorința e o poftă peste."
314,"Timpul e limitat și nu se întoarce, banii se câștigă din nou. Contează echilibrul."
315,"Nu gândesc la saluturi, mulțumiri și small talk. Gândesc la fapte, calcule, explicații, comparații și decizii, și atunci arăt gândirea."
316,toleranța pe scurt: Toleranța acceptă alte opinii și stiluri de viață.
317,răbdarea pe scurt: Răbdarea așteaptă calm și perseverează.
318,curajul pe scurt: Curajul face binele în ciuda fricii.
319,disciplina pe scurt: Disciplina perseverează chiar fără chef.
320,creativitatea pe scurt: Creativitatea găsește idei și soluții noi.
321,munca în echipă pe scurt: Munca în echipă avansează împreună spre o țintă.
322,responsabilitatea pe scurt: Responsabilitatea își asumă fapte și urmări.
323,încrederea pe scurt: Încrederea permite să te bazezi pe alții.
324,politețea pe scurt: Politețea e respectuoasă și amabilă.
325,punctualitatea pe scurt: Punctualitatea ține orele stabilite.
326,seriozitatea pe scurt: Seriozitatea ține promisiunile.
327,sănătatea pe scurt: Sănătatea e bunăstare fizică și mentală.
328,fericirea pe scurt: Fericirea e mulțumire și momente bucuroase.
