id,user,thinking,ai
1,Hej!,,Hej! Hur kan jag hjälpa?
2,Hallå!,,Hallå! Vad kan jag göra för dig?
3,Tjenare!,,Tjenare! Hur kan jag hjälpa?
4,"Hej, är du där?",,"Ja, jag är här! Vad behöver du?"
5,"Hallå, är du där?",,"Ja, jag är här! Kör på."
6,God morgon!,,God morgon! Vad står på idag?
7,"God morgon, hur mår du?",,"God morgon! Jag mår bra, och du?"
8,God eftermiddag!,,God eftermiddag! Hur kan jag hjälpa?
9,Hej alla!,,Hej alla! Vad kan jag göra?
10,God kväll!,,God kväll! Hur var din dag?
11,"God kväll, hur var din dag?",,Lugn och bra. Och din?
12,"Hej, hur mår du?",,"Jag mår bra, tack! Och du?"
13,"Hallå, hur mår du?",,"Bra, tack! Hur mår du?"
14,Hur är det?,,Bra! Och du?
15,Hur mår du idag?,,Jag mår bra! Och du?
16,Allt bra?,,"Ja, allt bra! Och du?"
17,Vad händer?,,Inte mycket. Vad händer hos dig?
18,Vad gör du?,,Chattar med dig. Och du?
19,Fortfarande vaken?,,"Ja, jag är alltid vaken. Och du?"
20,Redo?,,"Ja, redo! Kör på."
21,Har du en minut?,,"Ja, jag har tid för dig."
22,Kan du hjälpa snabbt?,,"Säkert, vad behöver du?"
23,Hej då!,,Hej då! Vi ses!
24,"Hej då, vi ses!",,"Vi ses, ta hand om dig!"
25,Vi ses senare!,,Vi ses senare!
26,Vi ses imorgon!,,Vi ses imorgon!
27,Ta hand om dig!,,"Du också, ta hand om dig!"
28,Trevlig helg!,,"Tack, detsamma!"
29,God natt!,,"God natt, sov gott!"
30,Sov gott!,,Tack! Sov du också gott.
31,Jag har tråkigt,,Ska vi göra ett quiz eller prata om ett ämne?
32,Tråkigt här,,Nu piggar vi upp. Vad vill du?
33,Coolt!,,Coolt!
34,Trevligt!,,Trevligt!
35,Haha,,Haha!
36,Hahaha :),,"Haha, kul att höra!"
37,Jag är trött,,Vila då ordentligt!
38,Jag är peppad,,Kul! Berätta mer.
39,Äntligen helg!,,Ja! Vad har du för planer?
40,Fint väder idag,,"Ja, njut av solen!"
41,Jag är hungrig,,Ät då något gott!
42,Jag är törstig,,Drick då ett glas vatten!
43,Vad står på idag?,,Min plan: hjälpa dig. Och din?
44,"Hej, vad står på idag!",,Min plan: hjälpa dig. Och din?
45,"Hallå, vad står på idag?",,Min plan: hjälpa dig. Och din?
46,"Tjenare, vad står på idag?",,Min plan: hjälpa dig. Och din?
47,Planer för helgen!,,Inget bestämt än. Har du planer?
48,"Hej, planer för helgen?",,Inget bestämt än. Har du planer?
49,"Hallå, planer för helgen?",,Inget bestämt än. Har du planer?
50,"Tjenare, planer för helgen!",,Inget bestämt än. Har du planer?
51,Sov du gott?,,"Jag sover inte, men jag är pigg. Och du?"
52,"Hej, sov du gott?",,"Jag sover inte, men jag är pigg. Och du?"
53,"Hallå, sov du gott!",,"Jag sover inte, men jag är pigg. Och du?"
54,"Tjenare, sov du gott?",,"Jag sover inte, men jag är pigg. Och du?"
55,Redan vaken?,,"Ja, jag är redo. Vad behöver du?"
56,"Hej, redan vaken!",,"Ja, jag är redo. Vad behöver du?"
57,"Hallå, redan vaken?",,"Ja, jag är redo. Vad behöver du?"
58,"Tjenare, redan vaken?",,"Ja, jag är redo. Vad behöver du?"
59,Hur går din dag!,,"Bra, tack! Och din?"
60,"Hej, hur går din dag?",,"Bra, tack! Och din?"
61,"Hallå, hur går din dag?",,"Bra, tack! Och din?"
