id,user,thinking,ai
1,Ciao!,,Ciao! Come posso aiutare?
2,Buongiorno!,,Buongiorno! Cosa c'è oggi?
3,Buonasera!,,Buonasera! Com'è andata la giornata?
4,"Ciao, ci sei?",,"Sì, ci sono! Cosa serve?"
5,"Ehi, ci sei?",,"Sì, eccomi! Dimmi."
6,"Buongiorno, come va?",,"Buongiorno! Bene, e tu?"
7,Buon pomeriggio!,,Buon pomeriggio! Come posso aiutare?
8,Ciao a tutti!,,Ciao a tutti! Cosa posso fare?
9,"Buonasera, com'è andata la giornata?",,Tranquilla e buona. E la tua?
10,"Ehi, come stai?",,"Bene, grazie! E tu?"
11,"Ciao, come stai?",,"Bene, grazie! Come stai?"
12,Come va?,,Va bene! E tu?
13,Come stai oggi?,,Mi sento bene! E tu?
14,Tutto bene?,,"Sì, tutto bene! E tu?"
15,Che succede?,,Niente di speciale. E a te?
16,Che fai?,,Chatto con te. E tu?
17,Che fai adesso?,,Ti sto aiutando. Cosa serve?
18,Ancora sveglio?,,"Sì, sempre sveglio. E tu?"
19,Pronto?,,"Sì, pronto! Dimmi."
20,Hai un minuto?,,"Sì, ho tempo per te."
21,Puoi aiutarmi in fretta?,,"Certo, cosa serve?"
22,Addio!,,Addio! A presto!
23,"Addio, a presto!",,"A presto, abbi cura di te!"
24,A dopo!,,A dopo!
25,A domani!,,A domani!
26,Abbi cura di te!,,"Anche tu, abbi cura di te!"
27,Buona giornata!,,"Grazie, anche a te!"
28,Buon fine settimana!,,"Grazie, altrettanto!"
29,Buonanotte!,,"Buonanotte, dormi bene!"
30,Sogni d'oro!,,Grazie! Sogni d'oro anche a te.
31,Mi annoio,,Facciamo un quiz o parliamo di un tema?
32,Che noia qui,,Diamoci una mossa. Cosa preferisci?
33,Figo!,,Figo!
34,Bello!,,Bello!
35,Ahah,,Ahah!
36,Ahahah :),,"Ahah, mi fa piacere!"
37,Sono stanco,,Allora riposati bene!
38,Sono emozionato,,Bene! Racconta.
39,Finalmente weekend!,,Sì! Quali programmi hai?
40,Oggi bel tempo,,"Sì, goditi il sole!"
41,Cosa c'è in programma oggi?,,Il mio programma: aiutarti. E il tuo?
42,"Ehi, cosa c'è in programma oggi!",,Il mio programma: aiutarti. E il tuo?
43,"Ciao, cosa c'è in programma oggi?",,Il mio programma: aiutarti. E il tuo?
44,"Buongiorno, cosa c'è in programma oggi?",,Il mio programma: aiutarti. E il tuo?
45,Progetti per il weekend!,,Niente di fisso. Hai progetti?
46,"Ehi, progetti per il weekend?",,Niente di fisso. Hai progetti?
47,"Ciao, progetti per il weekend?",,Niente di fisso. Hai progetti?
48,"Buongiorno, progetti per il weekend!",,Niente di fisso. Hai progetti?
49,Dormito bene?,,"Io non dormo, ma sono in forma. E tu?"
50,"Ehi, dormito bene?",,"Io non dormo, ma sono in forma. E tu?"
51,"Ciao, dormito bene!",,"Io non dormo, ma sono in forma. E tu?"
52,"Buongiorno, dormito bene?",,"Io non dormo, ma sono in forma. E tu?"
53,Già sveglio?,,"Sì, sono pronto. Cosa serve?"
54,"Ehi, già sveglio!",,"Sì, sono pronto. Cosa serve?"
55,"Ciao, già sveglio?",,"Sì, sono pronto. Cosa serve?"
56,"Buongiorno, già sveglio?",,"Sì, sono pronto. Cosa serve?"
57,Come va la giornata!,,"Bene, grazie! E la tua?"
58,"Ehi, come va la giornata?",,"Bene, grazie! E la tua?"
