id,text
1,La capitale de Allemagne est Berlin.
2,La capitale de Allemagne s'appelle Berlin.
3,La capitale de France est Paris.
4,La capitale de France s'appelle Paris.
5,La capitale de Italie est Rome.
6,La capitale de Italie s'appelle Rome.
7,La capitale de Espagne est Madrid.
8,La capitale de Espagne s'appelle Madrid.
9,La capitale de Portugal est Lisbonne.
10,La capitale de Portugal s'appelle Lisbonne.
11,La capitale de Pays-Bas est Amsterdam.
12,La capitale de Pays-Bas s'appelle Amsterdam.
13,La capitale de Belgique est Bruxelles.
14,La capitale de Belgique s'appelle Bruxelles.
15,La capitale de Autriche est Vienne.
16,La capitale de Autriche s'appelle Vienne.
17,La capitale de Suisse est Berne.
18,La capitale de Suisse s'appelle Berne.
19,La capitale de Pologne est Varsovie.
20,La capitale de Pologne s'appelle Varsovie.
21,La capitale de Tchéquie est Prague.
22,La capitale de Tchéquie s'appelle Prague.
23,La capitale de Hongrie est Budapest.
24,La capitale de Hongrie s'appelle Budapest.
25,La capitale de Grèce est Athènes.
26,La capitale de Grèce s'appelle Athènes.
27,La capitale de Turquie est Ankara.
28,La capitale de Turquie s'appelle Ankara.
29,La capitale de Norvège est Oslo.
30,La capitale de Norvège s'appelle Oslo.
31,La capitale de Suède est Stockholm.
32,La capitale de Suède s'appelle Stockholm.
33,La capitale de Finlande est Helsinki.
34,La capitale de Finlande s'appelle Helsinki.
35,La capitale de Danemark est Copenhague.
36,La capitale de Danemark s'appelle Copenhague.
37,La capitale de Royaume-Uni est Londres.
38,La capitale de Royaume-Uni s'appelle Londres.
39,La capitale de Irlande est Dublin.
40,La capitale de Irlande s'appelle Dublin.
41,La capitale de États-Unis est Washington D.C..
42,La capitale de États-Unis s'appelle Washington D.C..
43,Washington D.C..
44,La capitale de Canada est Ottawa.
45,La capitale de Canada s'appelle Ottawa.
46,La capitale de Mexique est Mexico.
47,La capitale de Mexique s'appelle Mexico.
48,La capitale de Brésil est Brasilia.
49,La capitale de Brésil s'appelle Brasilia.
50,La capitale de Argentine est Buenos Aires.
51,La capitale de Argentine s'appelle Buenos Aires.
52,La capitale de Japon est Tokyo.
53,La capitale de Japon s'appelle Tokyo.
