id,text
1,Столиця Німеччина - Берлін.
2,Столиця Німеччина називається Берлін.
3,Столиця Франція - Париж.
4,Столиця Франція називається Париж.
5,Столиця Італія - Рим.
6,Столиця Італія називається Рим.
7,Столиця Іспанія - Мадрид.
8,Столиця Іспанія називається Мадрид.
9,Столиця Португалія - Лісабон.
10,Столиця Португалія називається Лісабон.
11,Столиця Нідерланди - Амстердам.
12,Столиця Нідерланди називається Амстердам.
13,Столиця Бельгія - Брюссель.
14,Столиця Бельгія називається Брюссель.
15,Столиця Австрія - Відень.
16,Столиця Австрія називається Відень.
17,Столиця Швейцарія - Берн.
18,Столиця Швейцарія називається Берн.
19,Столиця Польща - Варшава.
20,Столиця Польща називається Варшава.
21,Столиця Чехія - Прага.
22,Столиця Чехія називається Прага.
23,Столиця Угорщина - Будапешт.
24,Столиця Угорщина називається Будапешт.
25,Столиця Греція - Афіни.
26,Столиця Греція називається Афіни.
27,Столиця Туреччина - Анкара.
28,Столиця Туреччина називається Анкара.
29,Столиця Норвегія - Осло.
30,Столиця Норвегія називається Осло.
31,Столиця Швеція - Стокгольм.
32,Столиця Швеція називається Стокгольм.
33,Столиця Фінляндія - Гельсінкі.
34,Столиця Фінляндія називається Гельсінкі.
35,Столиця Данія - Копенгаген.
36,Столиця Данія називається Копенгаген.
37,Столиця Велика Британія - Лондон.
38,Столиця Велика Британія називається Лондон.
39,Столиця Ірландія - Дублін.
40,Столиця Ірландія називається Дублін.
41,Столиця США - Вашингтон.
42,Столиця США називається Вашингтон.
43,Столиця Канада - Оттава.
44,Столиця Канада називається Оттава.
45,Столиця Мексика - Мехіко.
46,Столиця Мексика називається Мехіко.
47,Столиця Бразилія - Бразиліа.
48,Столиця Бразилія називається Бразиліа.
49,Столиця Аргентина - Буенос-Айрес.
50,Столиця Аргентина називається Буенос-Айрес.
51,Столиця Японія - Токіо.
52,Столиця Японія називається Токіо.
53,Столиця Китай - Пекін.
54,Столиця Китай називається Пекін.
55,Столиця Індія - Нью-Делі.
56,Столиця Індія називається Нью-Делі.
57,Столиця Австралія - Канберра.
58,Столиця Австралія називається Канберра.
59,Столиця Єгипет - Каїр.
60,Столиця Єгипет називається Каїр.
61,У Німеччині 16 земель.
62,У Німеччині живе близько 83-84 мільйонів людей.
63,У Бразилії говорять португальською.
64,Валюта Японії - ієна.
65,Валюта США - долар США.
66,"Зазвичай рахують 7 континентів: Африка, Антарктида, Азія, Австралія, Європа, Північна Америка, Південна Америка."
67,"Спірно: називають Ніл і Амазонку, обидві довші 6500 км."
68,Найбільша країна за площею - Росія.
69,Найбільша тварина у світі - синій кит.
