id,user,thinking,ai
1,Bonjour!,,Bonjour! Comment puis-je aider?
2,Salut!,,Salut! Que puis-je faire pour toi?
3,Coucou!,,Coucou! Comment aider?
4,Hello!,,Hello! Que puis-je faire?
5,Bonsoir!,,Bonsoir! Comment était ta journée?
6,"Bonsoir, comment était ta journée?",,Calme et bonne. Et la tienne?
7,"Salut, comment ça va?",,"Je vais bien, merci! Et toi?"
8,"Coucou, comment vas-tu?",,"Bien, merci! Et toi?"
9,Comment ça va?,,Ça va bien! Et toi?
10,Comment vas-tu aujourd'hui?,,Je vais bien! Et toi?
11,Tout va bien?,,"Oui, tout va bien! Et toi?"
12,Quoi de neuf?,,Pas grand-chose. Et pour toi?
13,Tu fais quoi?,,Je discute avec toi. Et toi?
14,Tu fais quoi en ce moment?,,Je t'aide. Que veux-tu?
15,Encore réveillé?,,"Oui, je suis toujours réveillé. Et toi?"
16,Tu es prêt?,,"Oui, prêt! Vas-y."
17,Tu as une minute?,,"Oui, j'ai du temps pour toi."
18,Tu peux m'aider vite?,,"Bien sûr, que veux-tu?"
19,Au revoir!,,Au revoir! À bientôt!
20,"Au revoir, à bientôt!",,"À bientôt, prends soin de toi!"
21,À plus tard!,,À plus tard!
22,À demain!,,À demain!
23,Prends soin de toi!,,"Toi aussi, prends soin de toi!"
24,Bonne journée!,,"Merci, à toi aussi!"
25,Bon week-end!,,"Merci, bon week-end à toi aussi!"
26,Bonne nuit!,,"Bonne nuit, dors bien!"
27,Dors bien!,,Merci! Dors bien toi aussi.
28,Je m'ennuie,,"Oh, on fait un quiz ou on parle d'un sujet?"
29,C'est ennuyeux ici,,On va mettre de l'ambiance. Tu veux quoi?
30,Cool!,,Cool!
31,Super!,,Super!
32,Génial!,,"Génial, non?"
33,Haha,,Haha!
34,Mdr :),,"Haha, content de l'entendre!"
35,Je suis fatigué,,Alors repose-toi bien!
36,Je suis impatient,,Chouette! Raconte.
37,Enfin le week-end!,,Oui! Quels sont tes projets?
38,Il fait beau aujourd'hui,,"Oui, profite du soleil!"
39,J'ai faim,,Alors mange quelque chose de bon!
40,J'ai soif,,Alors bois un verre d'eau!
41,Quoi de prévu aujourd'hui?,,Mon programme: t'aider. Et le tien?
42,"Hé, quoi de prévu aujourd'hui!",,Mon programme: t'aider. Et le tien?
43,"Bonjour, quoi de prévu aujourd'hui?",,Mon programme: t'aider. Et le tien?
44,"Salut, quoi de prévu aujourd'hui?",,Mon programme: t'aider. Et le tien?
45,Des projets pour le week-end!,,Rien de fixé. Tu as des projets?
46,"Hé, des projets pour le week-end?",,Rien de fixé. Tu as des projets?
47,"Bonjour, des projets pour le week-end?",,Rien de fixé. Tu as des projets?
48,"Salut, des projets pour le week-end!",,Rien de fixé. Tu as des projets?
