id,title,text
1,Milo und das große Abenteuer,"Milo, ein neugieriger Junge, lebte in einem kleinen Dorf.

Die Sonne schien warm.

Eines Tages wollte Milo den Wald erkunden.

Aber der Weg war versperrt.

Oma Lina, die alles weiß, kam dazu.

Zusammen schaffen wir das!

Gemeinsam nahmen sie eine bunte Karte mit.

Unterwegs sangen sie ein Lied.

Plötzlich lachte jemand.

Am Ende waren alle glücklich.

Wahre Freunde helfen immer."
2,Finn und das Geheimnis,"Finn, ein kleiner Träumer, lebte am blauen Fluss.

Alles war still und friedlich.

Eines Tages wollte Finn den hohen Berg sehen.

Aber es fing an zu regnen.

Oma Lina, die alles weiß, kam dazu.

Keine Angst, ich helfe dir.

Gemeinsam nahmen sie das rote Seil mit.

Unterwegs lachten sie viel.

Plötzlich tanzte ein Schmetterling vorbei.

Alle lachten und gingen heim.

Mut wird belohnt."
3,Noras schönster Tag,"Nora, die viele Fragen stellt, lebte im alten Wald.

Es duftete nach Blumen.

Eines Tages wollte Nora das Meer finden.

Aber die Karte war weg.

Oma Lina, die alles weiß, kam dazu.

Zusammen schaffen wir das!

Gemeinsam nahmen sie das alte Fernglas mit.

Unterwegs erzählten sie Geschichten.

Plötzlich fiel eine Sternschnuppe.

Am Ende waren alle glücklich.

Neugier führt zu Wundern."
4,Milo und das Geheimnis,"Milo, ein neugieriger Junge, lebte im grünen Park.

Vögel sangen lustig.

Eines Tages wollte Milo das alte Schloss besuchen.

Aber es wurde dunkel.

Oma Lina, die alles weiß, kam dazu.

Keine Angst, ich helfe dir.

Gemeinsam nahmen sie die kleine Laterne mit.

Unterwegs sangen sie ein Lied.

Plötzlich raschelte es laut.

Alle lachten und gingen heim.

Zusammen ist alles leichter."
5,Nora und das Geheimnis,"Lena war im grünen Park, als Nora kam.

Vögel sangen lustig.

Nora hatte Kummer.

Ich helfe dir!

Gemeinsam machten sie einen Plan.

Unterwegs lachten sie viel.

Am Ende lachten beide.

Neugier führt zu Wundern."
6,Milos schönster Tag,"Pippa war auf dem bunten Markt, als Milo kam.

Alles war still und friedlich.

Milo suchte den Schlüssel.

Wir finden eine Lösung.

Gemeinsam suchten sie überall.

Unterwegs erzählten sie Geschichten.

So war alles wieder gut.

Zusammen ist alles leichter."
7,Finn und das große Abenteuer,"Theo war in einem kleinen Dorf, als Finn kam.

Vögel sangen lustig.

Finn hatte Angst im Dunkeln.

Ich helfe dir!

Gemeinsam fragten sie die Nachbarn.

Unterwegs sangen sie ein Lied.

Beide waren stolz.

Wahre Freunde helfen immer."
8,Nora und das große Abenteuer,"Eines Abends hörte Nora auf dem bunten Markt ein seltsames Geräusch.

Es duftete nach Blumen.

Neugierig ging Nora näher.

Hinter einem Busch entdeckte Nora das alte Fernglas.

Plötzlich fiel eine Sternschnuppe.

Es war nur die neugierige Katze.

So endete das Abenteuer gut.

Mut wird belohnt."
9,Milo und das große Abenteuer - 2,"Eines Abends hörte Milo in einem kleinen Dorf ein seltsames Geräusch.

Alles war still und friedlich.

Neugierig ging Milo näher.

Hinter einer Tür entdeckte Milo das rote Seil.

Plötzlich tanzte ein Schmetterling vorbei.

Der Wind hatte eine Tür bewegt.

So wurde aus Angst Mut.

Neugier führt zu Wundern."
10,Finns schönster Tag,"Eines Abends hörte Finn am blauen Fluss ein seltsames Geräusch.

Die Sonne schien warm.

Mutig folgte Finn dem Klang.

Hinter einer Mauer entdeckte Finn eine bunte Karte.

Plötzlich lachte jemand.

Ein Igel suchte Futter.

So endete das Abenteuer gut.

Zusammen ist alles leichter."
