id,text
1,A capital de Alemanha é Berlim.
2,A capital de Alemanha se chama Berlim.
3,A capital de França é Paris.
4,A capital de França se chama Paris.
5,A capital de Itália é Roma.
6,A capital de Itália se chama Roma.
7,A capital de Espanha é Madri.
8,A capital de Espanha se chama Madri.
9,A capital de Portugal é Lisboa.
10,A capital de Portugal se chama Lisboa.
11,A capital de Países Baixos é Amsterdã.
12,A capital de Países Baixos se chama Amsterdã.
13,A capital de Bélgica é Bruxelas.
14,A capital de Bélgica se chama Bruxelas.
15,A capital de Áustria é Viena.
16,A capital de Áustria se chama Viena.
17,A capital de Suíça é Berna.
18,A capital de Suíça se chama Berna.
19,A capital de Polônia é Varsóvia.
20,A capital de Polônia se chama Varsóvia.
21,A capital de Tchéquia é Praga.
22,A capital de Tchéquia se chama Praga.
23,A capital de Hungria é Budapeste.
24,A capital de Hungria se chama Budapeste.
25,A capital de Grécia é Atenas.
26,A capital de Grécia se chama Atenas.
27,A capital de Turquia é Ancara.
28,A capital de Turquia se chama Ancara.
29,A capital de Noruega é Oslo.
30,A capital de Noruega se chama Oslo.
31,A capital de Suécia é Estocolmo.
32,A capital de Suécia se chama Estocolmo.
33,A capital de Finlândia é Helsinque.
34,A capital de Finlândia se chama Helsinque.
35,A capital de Dinamarca é Copenhague.
36,A capital de Dinamarca se chama Copenhague.
37,A capital de Reino Unido é Londres.
38,A capital de Reino Unido se chama Londres.
39,A capital de Irlanda é Dublin.
40,A capital de Irlanda se chama Dublin.
41,A capital de Estados Unidos é Washington D.C..
42,A capital de Estados Unidos se chama Washington D.C..
43,Washington D.C..
44,A capital de Canadá é Ottawa.
45,A capital de Canadá se chama Ottawa.
46,A capital de México é Cidade do México.
47,A capital de México se chama Cidade do México.
48,Cidade do México.
49,A capital de Brasil é Brasília.
50,A capital de Brasil se chama Brasília.
51,A capital de Argentina é Buenos Aires.
52,A capital de Argentina se chama Buenos Aires.
53,A capital de Japão é Tóquio.
54,A capital de Japão se chama Tóquio.
55,A capital de China é Pequim.
56,A capital de China se chama Pequim.
57,A capital de Índia é Nova Délhi.
58,A capital de Índia se chama Nova Délhi.
59,A capital de Austrália é Camberra.
60,A capital de Austrália se chama Camberra.
61,A capital de Egito é Cairo.
62,A capital de Egito se chama Cairo.
63,A Alemanha tem 16 estados.
64,A Alemanha tem uns 83 a 84 milhões de habitantes.
65,No Brasil se fala português.
66,A moeda do Japão é o iene.
67,A moeda dos EUA é o dólar americano.
68,"Normalmente contamos 7 continentes: África, Antártida, Ásia, Austrália, Europa, América do Norte, América do Sul."
69,"É discutido: citam-se Nilo e Amazonas, ambos com mais de 6500 km."
70,O maior país por área é a Rússia.
71,O maior animal do mundo é a baleia-azul.
72,"Há 5 oceanos: Atlântico, Pacífico, Índico, Austral e Ártico."
73,"A montanha mais alta é o Everest, uns 8848 metros."
74,A capital do Canadá é Ottawa.
75,A capital da Austrália é Camberra.
76,A capital da Turquia é Ancara.
77,A capital do Brasil é Brasília.
78,A primeira chegada à Lua foi em 1969 com a Apollo 11.
79,A Segunda Guerra Mundial durou de 1939 a 1945.
80,A Primeira Guerra Mundial durou de 1914 a 1918.
81,O muro de Berlim foi a fronteira fortificada entre Berlim Leste e Oeste de 1961 a 1989.
82,O muro de Berlim caiu em 9 de novembro de 1989.
83,"O telefone foi patenteado por Alexander Graham Bell em 1876, com o trabalho pioneiro de Antonio Meucci."
84,A relatividade foi desenvolvida por Albert Einstein.
85,"Democracia significa poder do povo, normalmente com eleições livres e direitos básicos."
86,A UE é uma união de estados europeus com mercado único e instituições comuns.
87,A UE tem 27 estados-membros.
88,"A Lei Fundamental é a constituição da Alemanha, vigente desde 1949."
89,A Alemanha se reunificou em 1990.
90,"A Idade Média foi a época de aprox. 500 a 1500, entre antiguidade e modernidade."
91,"Leonardo da Vinci foi um artista e inventor italiano, famoso pela Mona Lisa."
92,Marie Curie foi uma física que pesquisou a radioatividade e ganhou dois Nobel.
93,"A Revolução Francesa desde 1789 derrubou a monarquia sob liberdade, igualdade, fraternidade."
94,"Direitos humanos são direitos básicos de cada pessoa, como vida, liberdade e igualdade."
95,Inflação significa que os preços sobem e o dinheiro perde valor.
96,A industrialização foi a passagem a máquinas e fábricas desde o século XVIII.
97,"As bases datam da ARPANET em 1969, a Web desde 1989."
98,O automóvel foi inventado por Carl Benz com o carro de 1886.
99,O primeiro voo motorizado foi dos irmãos Wright em 1903.
100,Para o Bundestag desde os 18. Nas europeias na Alemanha desde os 16.
101,"Os eleitores votam, os votos são contados e as cadeiras distribuídas pelo resultado."
102,Na ditadura uma pessoa ou grupo governa sem eleições livres; na democracia o poder vem do povo.
103,Sustentabilidade significa viver para que futuras gerações também tenham recursos.
104,"Bullying é perseguição repetida. Fale com pessoas de confiança, guarde provas, busque ajuda."
105,Paz significa conviver sem guerra nem violência.
106,Liberdade significa viver livremente sem prejudicar outros.
107,Justiça significa trato justo e igual para cada um.
108,O céu é azul pela dispersão de Rayleigh: a luz azul se dispersa mais que a vermelha.
109,"A chuva nasce por evaporação: a água sobe, esfria, forma nuvens e cai em gotas."
110,"A fotossíntese fabrica açúcar e oxigênio com luz, água e CO2."
111,O tempo é o estado a curto prazo; o clima a média de uns 30 anos.
112,"Uma geladeira bombeia calor de dentro para fora com refrigerante: evapora dentro, toma calor, libera fora."
113,"Eletricidade é simplesmente o movimento dirigido de cargas, normalmente elétrons num fio."
114,"A água é H2O, um composto de hidrogênio e oxigênio."
115,Um vírus é um agente minúsculo que não se multiplica sem célula hospedeira.
116,"Inteligência artificial são programas que aprendem de dados, reconhecem padrões e resolvem tarefas."
117,"Um navegador é o programa para abrir sites, ex. Chrome, Firefox, Edge ou Safari."
118,"Um app é um programa, normalmente para celulares, ex. mensagens, fotos ou jogos."
119,"A água estabiliza circulação e foco, ajuda rins e pele, previne dores de cabeça."
120,"Uns 2 minutos, duas vezes ao dia."
121,"Gravidade é a atração entre massas. A Terra atrai tudo para baixo, por isso as coisas caem."
122,"O ar é uma mistura de gases, sobretudo nitrogênio e oxigênio."
123,O coração bombeia sangue por todo o corpo.
124,Os pulmões tomam oxigênio e soltam dióxido de carbono.
125,"O sono ajuda recuperação, memória e sistema imune."
126,"Febre é temperatura alta, muitas vezes defesa contra infecções."
127,"Uma senha forte é longa, única por serviço e guardada num gerenciador."
128,Wi-Fi é uma rede local sem fios para internet.
129,A nuvem são servidores na internet para guardar dados e usar serviços.
130,O GPS acha a posição com sinais de satélites e seu tempo de viagem.
131,"Dia e noite existem porque a Terra gira. O lado do sol tem dia, o outro noite."
132,As estações vêm da inclinação do eixo: cada hemisfério se inclina ao sol por vez.
133,A Lua brilha porque reflete a luz do sol.
134,O Sol é uma estrela de gás quente que dá luz e calor.
135,"Nosso sistema solar tem 8 planetas: Mercúrio, Vênus, Terra, Marte, Júpiter, Saturno, Urano, Netuno."
136,"Um átomo é a unidade mínima de matéria, feita de núcleo e elétrons."
137,Reciclagem recolhe resíduos para fazer produtos novos.
138,O efeito estufa retém calor. Gases demais aquecem o clima.
139,"As abelhas polinizam plantas, garantindo colheitas e biodiversidade."
140,"As folhas são verdes pela clorofila, pigmento da fotossíntese."
141,"Mamíferos têm pelo, dão à luz filhotes vivos e os amamentam."
142,Uma pilha converte energia química em elétrica.
143,As células solares convertem a luz diretamente em corrente.
