id,title,text
1,Столиці світу – Частина 1,"Тут ти вчиш упорядковані знання. Не поспішай.

Столиця Німеччина - Берлін. Йдемо далі. Столиця Франція - Париж. Ще один факт. Столиця Італія - Рим. Стільки про це. Столиця Іспанія - Мадрид.

Йдемо далі. Столиця Португалія - Лісабон. Перейдімо до наступного пункту. Столиця Нідерланди - Амстердам. Йдемо далі. Столиця Бельгія - Брюссель. Йдемо далі.

Столиця Австрія - Відень. Продовжуємо. Столиця Швейцарія - Берн. Продовжуємо. Столиця Польща - Варшава. Перейдімо до наступного пункту. Столиця Чехія - Прага.

Продовжуємо. Столиця Угорщина - Будапешт. Йдемо далі. Столиця Греція - Афіни. Продовжуємо. Столиця Туреччина - Анкара. Перейдімо до наступного пункту.

Столиця Норвегія - Осло.

Це було найважливіше."
2,Столиці світу – Частина 2,"Цей текст представляє важливі факти. Читай спокійно.

Столиця Швеція - Стокгольм. Продовжуємо. Столиця Фінляндія - Гельсінкі. Стільки про це. Столиця Данія - Копенгаген. Йдемо далі. Столиця Велика Британія - Лондон.

Йдемо далі. Столиця Ірландія - Дублін. Продовжуємо. Столиця США - Вашингтон. Йдемо далі. Столиця Канада - Оттава. Це теж важливо.

Столиця Мексика - Мехіко. Це теж важливо. Столиця Бразилія - Бразиліа. Йдемо далі. Столиця Аргентина - Буенос-Айрес. Йдемо далі. Столиця Японія - Токіо.

Продовжуємо. Столиця Китай - Пекін. Це теж важливо. Столиця Індія - Нью-Делі. Стільки про це. Столиця Австралія - Канберра. Це теж важливо.

Столиця Єгипет - Каїр.

Тепер ти знаєш факти."
3,"Країни, мови і рекорди – Частина 1","Нижче перевірені знання.

У Німеччині 16 земель. Йдемо далі. У Німеччині живе близько 83-84 мільйонів людей. Стільки про це. У Бразилії говорять португальською. Продовжуємо. Валюта Японії - ієна.

Це теж важливо. Валюта США - долар США. Ще один факт. Зазвичай рахують 7 континентів: Африка, Антарктида, Азія, Австралія, Європа, Північна Америка, Південна Америка. Це теж важливо. Спірно: називають Ніл і Амазонку, обидві довші 6500 км. Продовжуємо.

Найбільша країна за площею - Росія. Це теж важливо. Найбільша тварина у світі - синій кит. Це теж важливо. Океанів 5: Атлантичний, Тихий, Індійський, Південний і Північний Льодовитий. Стільки про це. Найвища гора - Еверест, близько 8848 метрів.

Продовжуємо. Столиця Канади - Оттава. Стільки про це. Столиця Австралії - Канберра. Це теж важливо. Столиця Туреччини - Анкара. Продовжуємо.

Столиця Бразилії - Бразиліа.

Кінець огляду."
4,Історія стисло – Частина 1,"Цей текст представляє важливі факти. Читай спокійно.

Перша висадка на Місяць була у 1969 році з Аполлоном-11. Це теж важливо. Друга світова війна тривала з 1939 по 1945 рік. Ще один факт. Перша світова війна тривала з 1914 по 1918 рік. Стільки про це. Берлінський мур був укріпленою межею між Східним і Західним Берліном у 1961-1989 роках.

Йдемо далі. Берлінський мур упав 9 листопада 1989 року. Це теж важливо. Телефон запатентував Александр Грем Белл у 1876 році, з роботами Антоніо Меуччі. Це теж важливо. Теорію відносності розробив Альберт Ейнштейн. Йдемо далі.

Демократія - влада народу, зазвичай через вільні вибори та основні права. Перейдімо до наступного пункту. ЄС - союз європейських держав зі спільним ринком та інститутами. Це теж важливо. У ЄС 27 держав-членів. Стільки про це. Основний закон - конституція Німеччини, діє з 1949 року.

Це теж важливо. Німеччина возз'єдналася у 1990 році. Перейдімо до наступного пункту. Середньовіччя - епоха приблизно 500-1500 років, між античністю і новим часом. Перейдімо до наступного пункту. Леонардо да Вінчі - італійський художник і винахідник, відомий Моною Лізою. Стільки про це.

Марія Кюрі вивчала радіоактивність і отримала дві Нобелівські премії.

Кінець тексту. Молодець."
5,Історія стисло – Частина 2,"Тут ти вчиш упорядковані знання. Не поспішай.

Французька революція з 1789 року скинула монархію під свободою, рівністю, братерством. Стільки про це. Права людини - основні права кожного, як життя, свобода і рівність. Стільки про це. Інфляція - зростання цін і втрата цінності грошей. Продовжуємо. Індустріалізація - перехід до машин і фабрик з XVIII століття.

Перейдімо до наступного пункту. Основи - ARPANET у 1969 році, Web з 1989 року. Це теж важливо. Автомобіль винайшов Карл Бенц у 1886 році. Це теж важливо. Перший моторний політ здійснили брати Райт у 1903 році. Йдемо далі.

До Бундестагу з 18 років. На виборах ЄС у Німеччині з 16 років. Перейдімо до наступного пункту. Виборці голосують, голоси рахують і мандати ділять за результатом. Перейдімо до наступного пункту. В диктатурі одна людина чи група править без вільних виборів; в демократії влада від народу. Йдемо далі. Сталість - жити так, щоб майбутнім поколінням теж вистачило ресурсів.

Продовжуємо. Цькування - повторні знущання. Поговори з близькими, зберігай докази, шукай допомогу. Продовжуємо. Мир - життя разом без війни і насильства. Перейдімо до наступного пункту. Свобода - жити вільно не шкодячи іншим. Стільки про це.

Справедливість - чесне і рівне ставлення до кожного.

Кінець тексту. Молодець."
6,"Природа, наука і техніка – Частина 1","Тут ти вчиш упорядковані знання. Не поспішай.

Небо голубе через розсіяння Релея: синє світло розсіюється сильніше червоного. Продовжуємо. Дощ утворюється випаровуванням: вода піднімається, холоне, утворює хмари і падає краплями. Ще один факт. Фотосинтез робить цукор і кисень зі світла, води і CO2. Стільки про це. Погода - стан на короткий час; клімат - середнє приблизно за 30 років.

Це теж важливо. Холодильник качає тепло зсередини назовні холодоагентом: випаровується всередині, забирає тепло, віддає назовні. Перейдімо до наступного пункту. Електрика - просто спрямований рух зарядів, зазвичай електронів у проводі. Йдемо далі. Вода - H2O, сполука водню і кисню. Це теж важливо.

Вірус - крихітний збудник, який не розмножується без клітини-хазяїна. Перейдімо до наступного пункту. Штучний інтелект - програми, які вчаться на даних, впізнають шаблони і вирішують задачі. Перейдімо до наступного пункту. Браузер - програма для відкриття сайтів, напр. Chrome, Firefox, Edge чи Safari. Це теж важливо. Застосунок - програма, зазвичай для телефонів, напр. повідомлення, фото чи ігри.

Ще один факт. Вода тримає кровообіг і фокус, допомагає ниркам і шкірі, запобігає головному болю. Стільки про це. Близько 2 хвилин, двічі на день. Йдемо далі. Гравітація - притягання мас. Земля притягує все вниз, тому речі падають. Ще один факт.

Повітря - суміш газів, в основному азот і кисень.

Кінець тексту. Молодець."
7,"Природа, наука і техніка – Частина 2","Цей текст пояснює факти крок за кроком.

Серце качає кров по всьому тілу. Перейдімо до наступного пункту. Легені беруть кисень і віддають вуглекислий газ. Стільки про це. Сон допомагає відновленню, пам'яті та імунітету. Стільки про це. Температура - підвищена температура тіла, часто захист від інфекцій.

Ще один факт. Надійний пароль довгий, унікальний для сервісу і зберігається у менеджері. Це теж важливо. Wi-Fi - бездротова локальна мережа для інтернету без кабелів. Перейдімо до наступного пункту. Хмара - сервери в інтернеті, де зберігаєш дані і користуєшся послугами. Це теж важливо.

GPS знаходить позицію за сигналами супутників і часом шляху. Перейдімо до наступного пункту. День і ніч є тому, що Земля обертається. Сонячний бік - день, інший - ніч. Стільки про це. Пори року через нахил осі: кожна півкуля нахиляється до сонця по черзі. Стільки про це. Місяць світить тому, що відбиває світло сонця.

Продовжуємо. Сонце - зірка з гарячого газу, дає світло і тепло. Стільки про це. У нашій системі 8 планет: Меркурій, Венера, Земля, Марс, Юпітер, Сатурн, Уран, Нептун. Це теж важливо. Атом - найменша одиниця речовини, з ядра і електронів. Перейдімо до наступного пункту.

Переробка збирає відходи, щоб робити нові товари.

Це було найважливіше."
8,"Природа, наука і техніка – Частина 3","Тут ти вчиш упорядковані знання. Не поспішай.

Парниковий ефект тримає тепло. Забагато газів гріє клімат. Перейдімо до наступного пункту. Бджоли запилюють рослини, зберігаючи врожаї і різноманіття. Ще один факт. Листя зелене через хлорофіл, пігмент фотосинтезу. Перейдімо до наступного пункту. Ссавці мають хутро, народжують живих дитинчат і годують молоком.

Перейдімо до наступного пункту. Батарейка перетворює хімічну енергію в електричну. Перейдімо до наступного пункту. Сонячні комірки перетворюють світло прямо в струм. Продовжуємо. Вірус - шкідлива програма, поширюється і шкодить. Захист оновленнями і обережністю. Продовжуємо.

Пластик майже не гніє, смітить природу і моря, стає мікропластиком. Перейдімо до наступного пункту. Землетрус буває, коли плити різко рухаються і випускають енергію. Йдемо далі. Мед роблять бджоли з квіткового нектару.

Кінець тексту. Молодець."
9,Лічба в побуті – Частина 1,"Нижче перевірені знання.

25 помножити на 4 буде 100. Ще один факт. 12 відсотків від 200 буде 24. Продовжуємо. Буде 66. Ще один факт. Прибуде о 16:45.

Перейдімо до наступного пункту. Лишилося 2 яблука. Ще один факт. Ти спиш 8 годин. Перейдімо до наступного пункту. Кожному по 25 євро. Йдемо далі.

2 години - 120 хвилин. Це теж важливо. У році 365 днів, у високосному 366. Це теж важливо. У хвилині 60 секунд. Продовжуємо. Скінчиться о 21:45.

Перейдімо до наступного пункту. Зустріч о 12:30. Ще один факт. Готовий о 17:05. Ще один факт. Триває 5 годин 15 хвилин. Перейдімо до наступного пункту.

Закінчиш о 19:30.

Кінець тексту. Молодець."
10,Поради на кожен день – Частина 1,"Тут ти вчиш упорядковані знання. Не поспішай.

Краще короткими щоденними заняттями з картками і активним використанням у фразах плюс повторення. Ще один факт. Склади бюджет, перевір підписки, готуй частіше, порівнюй ціни і відкладай спочатку фіксовану суму. Йдемо далі. Зроби пасту з простим соусом: приправ, звари, полий пасту, посип сиром. Продовжуємо. Візьми: паспорт, квиток, гроші, телефон плюс зарядку, ліки, гігієну і зміну в ручну поклажу.

Ще один факт. Назви помилку, візьми відповідальність, покажи жаль і запропонуй виправити, коротко і чесно. Це теж важливо. Визнач дорогу і готель, вибери 2-3 місця на день, лиши запаси і денний бюджет. Це теж важливо. Так, візьми. При 80 відсотках дощ дуже ймовірний. Перейдімо до наступного пункту.

В обох плюси: папір без відволікань і добрий для пам'яті, телефон з пошуком і завжди з тобою. Це теж важливо. Спочатку збери сміття, потім прання, розклади все і протри в кінці. Продовжуємо. Скручуй одяг замість складання, важке вниз, заповни шкарпетками. Ще один факт. Промий рис, закип'яти з подвійною водою, вари близько 10-12 хвилин.

Ще один факт. Посоли багато води, закип'яти, вари пасту 8-10 хвилин, злий. Стільки про це. Змішай борошно, молоко, яйце і дрібку солі, смаж тонко до рум'яності. Ще один факт. Увімкни світло, випий води, порухайся трохи і провітрись. Стільки про це.

Спи темно і прохолодно, прибери телефон, тримай режим.

Кінець огляду."
