id,text
1,Németország fővárosa Berlin.
2,Németország fővárosának neve Berlin.
3,Franciaország fővárosa Párizs.
4,Franciaország fővárosának neve Párizs.
5,Olaszország fővárosa Róma.
6,Olaszország fővárosának neve Róma.
7,Spanyolország fővárosa Madrid.
8,Spanyolország fővárosának neve Madrid.
9,Portugália fővárosa Lisszabon.
10,Portugália fővárosának neve Lisszabon.
11,Hollandia fővárosa Amszterdam.
12,Hollandia fővárosának neve Amszterdam.
13,Belgium fővárosa Brüsszel.
14,Belgium fővárosának neve Brüsszel.
15,Ausztria fővárosa Bécs.
16,Ausztria fővárosának neve Bécs.
17,Svájc fővárosa Bern.
18,Svájc fővárosának neve Bern.
19,Lengyelország fővárosa Varsó.
20,Lengyelország fővárosának neve Varsó.
21,Csehország fővárosa Prága.
22,Csehország fővárosának neve Prága.
23,Magyarország fővárosa Budapest.
24,Magyarország fővárosának neve Budapest.
25,Görögország fővárosa Athén.
26,Görögország fővárosának neve Athén.
27,Törökország fővárosa Ankara.
28,Törökország fővárosának neve Ankara.
29,Norvégia fővárosa Oslo.
30,Norvégia fővárosának neve Oslo.
31,Svédország fővárosa Stockholm.
32,Svédország fővárosának neve Stockholm.
33,Finnország fővárosa Helsinki.
34,Finnország fővárosának neve Helsinki.
35,Dánia fővárosa Koppenhága.
36,Dánia fővárosának neve Koppenhága.
37,Egyesült Királyság fővárosa London.
38,Egyesült Királyság fővárosának neve London.
39,Írország fővárosa Dublin.
40,Írország fővárosának neve Dublin.
41,USA fővárosa Washington D.C..
42,USA fővárosának neve Washington D.C..
43,Washington D.C..
44,Kanada fővárosa Ottawa.
45,Kanada fővárosának neve Ottawa.
46,Mexikó fővárosa Mexikóváros.
47,Mexikó fővárosának neve Mexikóváros.
48,Brazília fővárosa Brazíliaváros.
49,Brazília fővárosának neve Brazíliaváros.
50,Argentína fővárosa Buenos Aires.
51,Argentína fővárosának neve Buenos Aires.
52,Japán fővárosa Tokió.
53,Japán fővárosának neve Tokió.
54,Kína fővárosa Peking.
55,Kína fővárosának neve Peking.
56,India fővárosa Újdelhi.
57,India fővárosának neve Újdelhi.
58,Ausztrália fővárosa Canberra.
59,Ausztrália fővárosának neve Canberra.
60,Egyiptom fővárosa Kairó.
61,Egyiptom fővárosának neve Kairó.
62,Németországnak 16 tartománya van.
63,Németországban kb. 83-84 millió ember él.
64,Brazíliában portugálul beszélnek.
65,Japán pénze a jen.
66,Az USA pénze az amerikai dollár.
67,"Általában 7 kontinenst számolunk: Afrika, Antarktisz, Ázsia, Ausztrália, Európa, Észak-Amerika, Dél-Amerika."
68,"Vitatott: általában Nílus és Amazonas, mindkettő 6500 km felett."
69,Területre a világ legnagyobb országa Oroszország.
70,A világ legnagyobb állata a kék bálna.
71,"5 óceán van: Atlanti, Csendes, Indiai, Déli és Jeges."
72,"A legmagasabb hegy az Everest, kb. 8848 méter."
73,Az első Holdra szállás 1969-ben volt Apollo 11-gyel.
74,A második világháború 1939-től 1945-ig tartott.
75,Az első világháború 1914-től 1918-ig tartott.
76,A berlini fal 1961-től 1989-ig Kelet- és Nyugat-Berlin erődített határa volt.
77,A berlini fal 1989. november 9-én omlott le.
78,"A telefont Alexander Graham Bell szabadalmaztatta 1876-ban, Antonio Meucci úttörő munkájával."
79,A relativitást Albert Einstein dolgozta ki.
80,"A demokrácia a nép uralmát jelenti, általában szabad választásokkal és alapjogokkal."
81,Az EU európai államok uniója egységes piaccal és közös intézményekkel.
82,Az EU-nak 27 tagállama van.
83,"Az Alaptörvény Németország alkotmánya, 1949 óta érvényes."
84,Németország 1990-ben egyesült újra.
85,"A középkor kb. 500-tól 1500-ig tartott, ókor és újkor között."
86,"Leonardo da Vinci olasz művész és feltaláló volt, Mona Lisáról híres."
87,Marie Curie a radioaktivitást kutatta és két Nobelt nyert.
88,"A francia forradalom 1789 óta megdöntötte a monarchiát szabadság, egyenlőség, testvériség alatt."
89,"Az emberi jogok mindenki alapjogai, mint élet, szabadság és egyenlőség."
90,"Az infláció azt jelenti, hogy az árak nőnek és a pénz értéket veszít."
91,Az iparosítás a gépekre és gyárakra való átállás volt a 18. századtól.
92,"Az alapok ARPANET 1969-ben, a Web 1989 óta."
93,Az autót Carl Benz találta fel 1886-os kocsival.
94,Az első motoros repülést a Wright fivérek végezték 1903-ban.
95,A Bundestagba 18 éves kortól. Az EP-választáson Németországban 16-tól.
96,"A választók szavaznak, a szavazatokat számolják és a mandátumokat eredmény szerint osztják."
97,Diktatúrában egy személy vagy csoport kormányoz szabad választások nélkül; demokráciában a hatalom a néptől jön.
98,"A fenntarthatóság azt jelenti, hogy úgy élünk, hogy a jövő nemzedékeknek is legyen erőforrása."
99,"A zaklatás ismétlődő vegzálás. Beszélj megbízhatókkal, őrizz bizonyítékot, kérj segítséget."
100,A béke háború és erőszak nélküli együttélést jelenti.
101,"A szabadság azt jelenti, hogy szabadon élünk mások sérelme nélkül."
102,Az igazságosság mindenkinek igazságos és egyenlő bánást jelent.
103,Az ég kék Rayleigh-szórás miatt: a kék fény jobban szóródik mint a vörös.
104,"Az eső párolgással keletkezik: víz felszáll, hűl, felhőt képez és cseppekben esik."
105,"A fotoszintézis fényből, vízből és CO2-ből cukrot és oxigént készít."
106,Az időjárás rövid állapot; az éghajlat kb. 30 év átlaga.
