id,text
1,Die Hauptstadt von Deutschland ist Berlin.
2,Die Hauptstadt von Deutschland heißt Berlin.
3,Die Hauptstadt von Frankreich ist Paris.
4,Die Hauptstadt von Frankreich heißt Paris.
5,Die Hauptstadt von Italien ist Rom.
6,Die Hauptstadt von Italien heißt Rom.
7,Die Hauptstadt von Spanien ist Madrid.
8,Die Hauptstadt von Spanien heißt Madrid.
9,Die Hauptstadt von Portugal ist Lissabon.
10,Die Hauptstadt von Portugal heißt Lissabon.
11,Die Hauptstadt von Niederlande ist Amsterdam.
12,Die Hauptstadt von Niederlande heißt Amsterdam.
13,Die Hauptstadt von Belgien ist Brüssel.
14,Die Hauptstadt von Belgien heißt Brüssel.
15,Die Hauptstadt von Österreich ist Wien.
16,Die Hauptstadt von Österreich heißt Wien.
17,Die Hauptstadt von Schweiz ist Bern.
18,Die Hauptstadt von Schweiz heißt Bern.
19,Die Hauptstadt von Polen ist Warschau.
20,Die Hauptstadt von Polen heißt Warschau.
21,Die Hauptstadt von Tschechien ist Prag.
22,Die Hauptstadt von Tschechien heißt Prag.
23,Die Hauptstadt von Ungarn ist Budapest.
24,Die Hauptstadt von Ungarn heißt Budapest.
25,Die Hauptstadt von Griechenland ist Athen.
26,Die Hauptstadt von Griechenland heißt Athen.
27,Die Hauptstadt von Türkei ist Ankara.
28,Die Hauptstadt von Türkei heißt Ankara.
29,Die Hauptstadt von Norwegen ist Oslo.
30,Die Hauptstadt von Norwegen heißt Oslo.
31,Die Hauptstadt von Schweden ist Stockholm.
32,Die Hauptstadt von Schweden heißt Stockholm.
33,Die Hauptstadt von Finnland ist Helsinki.
34,Die Hauptstadt von Finnland heißt Helsinki.
35,Die Hauptstadt von Dänemark ist Kopenhagen.
36,Die Hauptstadt von Dänemark heißt Kopenhagen.
37,Die Hauptstadt von Großbritannien ist London.
38,Die Hauptstadt von Großbritannien heißt London.
39,Die Hauptstadt von Irland ist Dublin.
40,Die Hauptstadt von Irland heißt Dublin.
41,Die Hauptstadt von USA ist Washington D.C..
42,Die Hauptstadt von USA heißt Washington D.C..
43,Washington D.C..
44,Die Hauptstadt von Kanada ist Ottawa.
45,Die Hauptstadt von Kanada heißt Ottawa.
46,Die Hauptstadt von Mexiko ist Mexiko-Stadt.
47,Die Hauptstadt von Mexiko heißt Mexiko-Stadt.
48,Die Hauptstadt von Brasilien ist Brasília.
49,Die Hauptstadt von Brasilien heißt Brasília.
50,Die Hauptstadt von Argentinien ist Buenos Aires.
