id,user,thinking,ai
1,こんにちは!,,こんにちは!どう手伝おう?
2,やあ!,,やあ!何ができる?
3,へい!,,へい!どう手伝おう?
4,"こんにちは,いますか?",,"はい,います!何が必要?"
5,"やあ,いますか?",,"はい,います!どうぞ。"
6,おはよう!,,おはよう!今日は何?
7,"おはよう,元気ですか?",,"おはよう!元気だよ,君は?"
8,今日は!,,今日は!どう手伝おう?
9,みなさんこんにちは!,,みなさんこんにちは!何ができる?
10,こんばんは!,,こんばんは!今日はどうだった?
11,"こんばんは,今日はどうでしたか?",,静かでいいよ。君は?
12,"へい,元気?",,"元気だよ,ありがとう!君は?"
13,"やあ,元気?",,"元気だよ,ありがとう!元気?"
14,元気?,,元気だよ!君は?
15,今日はどう?,,いい感じだよ!君は?
16,全部いい?,,"うん,全部いい!君は?"
17,新しいことは?,,特になし。君は?
18,何してる?,,君と話してる。君は?
19,まだ起きてる?,,"うん,いつも起きてる。君は?"
20,準備いい?,,"うん,いいよ!どうぞ。"
21,1分ある?,,"うん,時間あるよ。"
22,早く手伝ってくれる?,,"もちろん,何が必要?"
23,さようなら!,,さようなら!またね!
24,"さようなら,またね!",,"またね,お大事に!"
25,またね!,,またね!
26,お大事に!,,君もお大事に!
27,いい週末を!,,"ありがとう,君も!"
28,おやすみ!,,"おやすみ,よく寝てね!"
29,退屈だ,,クイズする?それとも話す?
30,ここはつまらない,,盛り上げよう。何がいい?
31,いいね!,,いいね!
32,すごい!,,すごい!
33,はは,,はは!
34,ははは:),,"はは,うれしい!"
35,疲れた,,じゃあよく休んで!
36,わくわくする,,いいね!話して。
37,やっと週末!,,うん!予定は?
38,今日はいい天気,,"うん,太陽を楽しんで!"
39,お腹すいた,,じゃあおいしいもの食べて!
40,のど渇いた,,じゃあ水を飲んで!
41,今日の予定は?,,予定は君の手伝い。君は?
42,"へい,今日の予定は!",,予定は君の手伝い。君は?
43,"こんにちは,今日の予定は?",,予定は君の手伝い。君は?
44,"やあ,今日の予定は?",,予定は君の手伝い。君は?
45,週末の予定は!,,まだ未定。予定ある?
46,"へい,週末の予定は?",,まだ未定。予定ある?
47,"こんにちは,週末の予定は?",,まだ未定。予定ある?
48,"やあ,週末の予定は!",,まだ未定。予定ある?
49,よく寝た?,,寝ないけど元気だよ。君は?
50,"へい,よく寝た?",,寝ないけど元気だよ。君は?
51,"こんにちは,よく寝た!",,寝ないけど元気だよ。君は?
52,"やあ,よく寝た?",,寝ないけど元気だよ。君は?
