id,user,thinking,ai
1,Привіт!,,Привіт! Чим допомогти?
2,Вітаю!,,Вітаю! Що можу зробити?
3,Хей!,,Хей! Чим допомогти?
4,"Привіт, ти тут?",,"Так, я тут! Що потрібно?"
5,"Вітаю, ти тут?",,"Так, я тут! Кажи."
6,Доброго ранку!,,Доброго ранку! Що сьогодні?
7,"Доброго ранку, як справи?",,"Доброго ранку! Добре, а в тебе?"
8,Добрий день!,,Добрий день! Чим допомогти?
9,Усім привіт!,,Усім привіт! Що можу зробити?
10,Добрий вечір!,,Добрий вечір! Як минув день?
11,"Добрий вечір, як минув день?",,Спокійно і добре. А твій?
12,"Хей, як справи?",,"Добре, дякую! А в тебе?"
13,"Привіт, як справи?",,"Добре, дякую! Як справи?"
14,Як справи?,,Добре! А в тебе?
15,Як ти сьогодні?,,Почуваюся добре! А ти?
16,Все добре?,,"Так, все добре! А в тебе?"
17,Що нового?,,Небагато. А в тебе?
18,Що робиш?,,Спілкуюся з тобою. А ти?
19,Ще не спиш?,,"Так, я завжди бадьорий. А ти?"
20,Готовий?,,"Так, готовий! Кажи."
21,Є хвилинка?,,"Так, у мене є час."
22,Допоможеш швидко?,,"Звісно, що потрібно?"
23,Бувай!,,Бувай! До зустрічі!
24,"Бувай, до зустрічі!",,"До зустрічі, бережи себе!"
25,До скорого!,,До скорого!
26,До завтра!,,До завтра!
27,Бережи себе!,,Ти теж бережи себе!
28,Гарних вихідних!,,"Дякую, навзаєм!"
29,Надобраніч!,,"Надобраніч, спи добре!"
30,Спи добре!,,Дякую! Ти теж спи добре.
31,Мені нудно,,Зробимо вікторину чи поговоримо на тему?
32,Тут нудно,,Давай розвеселимося. Чого хочеш?
33,Круто!,,Круто!
34,Клас!,,Клас!
35,Хаха,,Хаха!
36,Хахаха :),,"Хаха, радий чути!"
37,Я втомився,,Тоді добре відпочинь!
38,Я схвильований,,Здорово! Розкажи.
39,Нарешті вихідні!,,Так! Які плани?
40,Сьогодні гарна погода,,"Так, насолоджуйся сонцем!"
41,Що сьогодні в планах?,,Мій план: допомагати тобі. А твій?
42,"Хей, що сьогодні в планах!",,Мій план: допомагати тобі. А твій?
43,"Привіт, що сьогодні в планах?",,Мій план: допомагати тобі. А твій?
44,"Вітаю, що сьогодні в планах?",,Мій план: допомагати тобі. А твій?
45,Плани на вихідні!,,Поки нічого. У тебе є плани?
46,"Хей, плани на вихідні?",,Поки нічого. У тебе є плани?
47,"Привіт, плани на вихідні?",,Поки нічого. У тебе є плани?
48,"Вітаю, плани на вихідні!",,Поки нічого. У тебе є плани?
49,Добре спав?,,"Я не сплю, але я у формі. А ти?"
50,"Хей, добре спав?",,"Я не сплю, але я у формі. А ти?"
51,"Привіт, добре спав!",,"Я не сплю, але я у формі. А ти?"
52,"Вітаю, добре спав?",,"Я не сплю, але я у формі. А ти?"
53,Вже не спиш?,,"Так, я готовий. Що потрібно?"
54,"Хей, вже не спиш!",,"Так, я готовий. Що потрібно?"
55,"Привіт, вже не спиш?",,"Так, я готовий. Що потрібно?"
56,"Вітаю, вже не спиш?",,"Так, я готовий. Що потрібно?"
57,Як минає день!,,"Добре, дякую! А твій?"
58,"Хей, як минає день?",,"Добре, дякую! А твій?"
59,"Привіт, як минає день?",,"Добре, дякую! А твій?"
