id,title,text
1,세계 수도–제1부,"아래에 확인 지식있어요.

독일의 수도는 베를린예요. 계속. 프랑스의 수도는 파리예요. 계속. 이탈리아의 수도는 로마예요. 다음점으로. 스페인의 수도는 마드리드예요.

한 사실 더. 포르투갈의 수도는 리스본예요. 한 사실 더. 네덜란드의 수도는 암스테르담예요. 계속 나아가요. 벨기에의 수도는 브뤼셀예요. 이것도 중요해요.

오스트리아의 수도는 빈예요. 계속. 스위스의 수도는 베른예요. 이것도 중요해요. 폴란드의 수도는 바르샤바예요. 계속. 체코의 수도는 프라하예요.

계속. 헝가리의 수도는 부다페스트예요. 한 사실 더. 그리스의 수도는 아테네예요. 여기까지. 터키의 수도는 앙카라예요. 이것도 중요해요.

노르웨이의 수도는 오슬로예요.

개관 끝."
2,세계 수도–제2부,"이 글은 중요한 사실을 소개해요. 천천히 읽어요.

스웨덴의 수도는 스톡홀름예요. 여기까지. 핀란드의 수도는 헬싱키예요. 다음점으로. 덴마크의 수도는 코펜하겐예요. 다음점으로. 영국의 수도는 런던예요.

다음점으로. 아일랜드의 수도는 더블린예요. 이것도 중요해요. 미국의 수도는 워싱턴 D.C.예요. 계속 나아가요. 캐나다의 수도는 오타와예요. 여기까지.

멕시코의 수도는 멕시코시티예요. 계속. 브라질의 수도는 브라질리아예요. 계속 나아가요. 아르헨티나의 수도는 부에노스아이레스예요. 다음점으로. 일본의 수도는 도쿄예요.

계속. 중국의 수도는 베이징예요. 여기까지. 인도의 수도는 뉴델리예요. 이것도 중요해요. 호주의 수도는 캔버라예요. 계속 나아가요.

이집트의 수도는 카이로예요.

주제 가장 중요한 내용이었어요."
3,나라 언어와 기록–제1부,"여기서 정리 지식을 배웨. 천천히.

독일에 16개 주가 있어요. 한 사실 더. 독일에 약 8300-8400만 명이 살아요. 다음점으로. 브라질에서 포르투갈어를 해요. 계속. 일본 화폐는 엔이에요.

이것도 중요해요. 미국 화폐는 달러예요. 계속 나아가요. 보통 7개 대륙을 세요: 아프리카, 남극, 아시아, 호주, 유럽, 북아메리카, 남아메리카. 다음점으로. 논란: 나일강과 아마존강, 둘 다 6500km 이상. 계속 나아가요.

면적으로 세계 최대는 러시아예요. 한 사실 더. 세계 최대 동물은 흰긴수염고래예요. 다음점으로. 5개 대양: 대서양, 태평양, 인도양, 남극해, 북극해. 한 사실 더. 가장 높은 산은 에베레스트, 약 8848m.

이것도 중요해요. 캐나다 수도는 오타와예요. 한 사실 더. 호주 수도는 캔버라예요. 한 사실 더. 터키 수도는 앙카라예요. 다음점으로.

브라질 수도는 브라질리아예요.

이제 사실을 알아요."
4,역사 개관–제1부,"이 글은 사실을 한 걸음씩 설명해요.

첫 달 착륙은 1969년 아폴로 11호예요. 한 사실 더. 2차 대전은 1939년부터 1945년까지 이어졌어요. 다음점으로. 1차 대전은 1914년부터 1918년까지 이어졌어요. 다음점으로. 베를린 장벽은 1961-1989년 동서 베를린 사이 경계였어요.

계속. 베를린 장벽은 1989년 11월 9일 무너졌어요. 이것도 중요해요. 전화는 1876년 벨 특허, 모이치가 선구예요. 계속 나아가요. 상대성은 아인슈타인이 만들었어요. 계속 나아가요.

민주주의는 국민 힘이에요, 보통 자유 선거와 기본 권리. 한 사실 더. EU는 유럽 나라 연합, 단일 시장과 공동 기관. 계속 나아가요. EU에 27개 회원국이 있어요. 계속 나아가요. 기본법은 독일 헌법, 1949년 이래 유효.

한 사실 더. 독일은 1990년 통일했어요. 계속. 중세는 약 500-1500년 시대, 고대와 근대 사이. 계속 나아가요. 다빈치는 이탈리아 예술가와 발명가, 모나리자로 유명. 여기까지.

퀴리는 방사능을 연구해 두 번 노벨상을 탔어요.

이제 사실을 알아요."
5,역사 개관–제2부,"이 글은 중요한 사실을 소개해요. 천천히 읽어요.

프랑스 혁명 1789년 이래 군주제를 무너뜨렸어요, 자유 평등 박애. 계속. 인권은 모두의 기본 권리, 생명 자유 평등 등. 다음점으로. 인플레이션은 가격 상승, 돈 가치 하락이에요. 한 사실 더. 산업화는 18세기 이래 기계와 공장으로 전환.

한 사실 더. 기초는 1969년 ARPANET, 웹 1989년 이래. 계속 나아가요. 자동차는 1886년 벤츠가 발명했어요. 한 사실 더. 첫 동력 비행은 1903년 라이트 형제. 계속 나아가요.

연방의회 18세부터. 독일 유럽 선거 16세부터. 여기까지. 유권자가 투표하고, 집계해, 결과로 의석을 나눠요. 여기까지. 독재는 한 사람이나 집단이 자유 선거 없이 다스려요; 민주 힘은 국민에게서. 한 사실 더. 지속가능은 미래 세대에도 자원이 남는 삶이에요.

계속. 괴롭힘은 반복 괴롭힘이에요. 믿는 사람과 얘기하고, 증거 남기고, 도움 구해요. 다음점으로. 평화는 전쟁 폭력 없이 함께 살기예요. 여기까지. 자유는 남을 해치지 않고 자유롭게 살기예요. 한 사실 더.

정의는 각자에게 공정 평등이에요.

글 끝. 잘했어요."
6,자연 과학과 기술–제1부,"이 글은 중요한 사실을 소개해요. 천천히 읽어요.

하늘은 파래요, 레일리 산란 때문: 파란 빛이 빨강보다 흩어져요. 계속. 비는 증발로 생겨요: 물이 오르고, 식고, 구름 되고, 방울로 떨어져요. 여기까지. 광합성은 빛 물 CO2로 당과 산소를 만들어요. 다음점으로. 날씨는 단기 상태; 기후는 약 30년 평균.

계속 나아가요. 냉장고는 냉매로 열을 안에서 밖으로 보내요: 안에서 증발해 열을 가져가고, 밖에서 내놔요. 여기까지. 전기는 간단히 전하 방향 운동, 보통 선의 전자. 이것도 중요해요. 물은 H2O, 수소와 산소 화합물. 한 사실 더.

바이러스는 아주 작은 병원체, 숙주 세포 없이 못 늘어요. 여기까지. 인공지능은 데이터에서 배워 패턴 알고 일을 푸는 프로그램. 한 사실 더. 브라우저는 사이트 여는 프로그램, 예 Chrome, Firefox, Edge나 Safari. 이것도 중요해요. 앱은 프로그램, 보통 폰용, 예 메시지 사진 게임.

계속. 물은 순환과 집중을 안정시키고, 콩팥과 피부를 도와, 두통을 막아요. 계속. 약 2분, 하루 두 번. 계속 나아가요. 중력은 질량 사이 인력이에요. 지구가 모두 아래로 당겨서 물건이 떨어져요. 한 사실 더.

공기는 기체 섞음, 주로 질소와 산소.

주제 가장 중요한 내용이었어요."
7,자연 과학과 기술–제2부,"이 글은 사실을 한 걸음씩 설명해요.

심장은 온몸에 피를 보내요. 여기까지. 폐는 산소를 가져가고 이산화탄소를 내놓아요. 여기까지. 잠은 회복 기억 면역을 도와요. 계속. 열은 높은 몸 온도, 자주 감염 방어.

한 사실 더. 강한 비번은 길고, 서비스마다 유일, 관리자에 둬요. 이것도 중요해요. Wi-Fi는 선 없는 지역망으로 네트. 계속 나아가요. 클라우드는 네트 서버, 데이터 두고 일 써요. 한 사실 더.

GPS는 위성 신호와 이동 시간으로 위치를 찾아요. 계속. 낮과 밤은 지구가 돌아서. 양지 쪽 낮, 다른 쪽 밤. 계속. 계절은 축 기울기에서: 각 반구가 차례로 태양에 기울어요. 계속 나아가요. 달은 빛나요, 태양빛을 비춰서.

한 사실 더. 태양은 뜨거운 기체 별, 빛과 열을 줘요. 여기까지. 태양계에 8개 행성: 수성, 금성, 지구, 화성, 목성, 토성, 천왕성, 해왕성. 이것도 중요해요. 원자는 물질 최소 단위, 핵과 전자로. 계속.

재활용은 쓰레기를 모아 새 제품을 만들어요.

글 끝. 잘했어요."
8,자연 과학과 기술–제3부,"아래에 확인 지식있어요.

온실효과는 열을 잡아요. 기체가 너무 많으면 기후가 더워져요. 계속. 벌은 식물에 수분해, 수확과 다양성을 지켜요. 다음점으로. 잎은 초록, 광합성 색소 클로로필 때문. 이것도 중요해요. 포유류는 털이 있고, 새끼 낳고, 젖을 먹여요.

다음점으로. 건전지는 화학을 전기로 바꿔요. 다음점으로. 태양전지는 빛을 직접 전류로 바꿔요. 계속 나아가요. 바이러스는 퍼져 해치는 나쁜 프로그램. 업데이트와 주의로 지켜요. 한 사실 더.

플라스틱은 거의 안 썩고, 자연과 바다를 더럽히고, 미세플라스틱이 돼요. 여기까지. 지진은 판이 갑자기 움직여 힘을 낼 때예요. 계속. 꿀은 벌이 꽃 꿀로 만드는 거예요.

주제 가장 중요한 내용이었어요."
9,일상 계산–제1부,"여기서 정리 지식을 배웨. 천천히.

25 곱하기 4는 100. 여기까지. 200의 12%는 24. 여기까지. 66이에요. 다음점으로. 16:45에 도착.

이것도 중요해요. 2개 남아요. 이것도 중요해요. 8시간 자요. 한 사실 더. 각자 25유로. 다음점으로.

2시간은 120분. 한 사실 더. 1년은 365일, 윤년 366일. 여기까지. 1분은 60초. 여기까지. 21:45에 끝나요.

계속. 약속은 12:30. 한 사실 더. 17:05에 돼요. 계속 나아가요. 5시간 15분. 계속.

19:30에 끝나요.

이제 사실을 알아요."
10,일상 조언–제1부,"아래에 확인 지식있어요.

제일 짧은 매일에 카드로, 문장에 적극 쓰고 반복. 다음점으로. 예산 정하고, 구독 보고, 많이 요리하고, 값 비교하고, 먼저 고정액 둬요. 한 사실 더. 간단 토마토 소스 만들어요: 양념하고, 끓이고, 면에 붓고, 치즈 뿌려요. 여기까지. 가져가요: 증명이나 여권, 표, 돈, 폰과 충전기, 약, 위생과 기내 갈아입기.

계속 나아가요. 잘못을 말하고, 책임지고, 아쉬움 보이고, 고치기 내놔요, 짧고 진실. 계속. 교통 호텔 정하고, 하루 2-3곳 고르고, 밥길 여유와 하루 예산. 여기까지. 네, 가져가요. 80%에 비가 아주 와요. 여기까지.

둘 다 좋아요: 종이는 산만 없고 기억에 좋아, 폰은 찾고 항상 가져요. 계속 나아가요. 먼저 쓰레기, 다음 빨래, 다 제자리, 끝에 닦기. 다음점으로. 접지 말고 말고, 무거운 아래, 양말로 채워요. 여기까지. 쌀 씻고, 두 배 물에 끓이고, 10-12분 뜸 들여요.

이것도 중요해요. 물 많이 소금하고 끓이고, 8-10분 삶아 건져요. 다음점으로. 밀가루 우유 달걀과 소금 조금 섞어, 얇게 노릇하게 구워요. 다음점으로. 불 켜고, 물 한 잔 마시고, 조금 움직이고, 공기 마셔요. 계속.

어둡고 서늘하게 자고, 폰 두고, 고정 습관.

주제 가장 중요한 내용이었어요."
