id,user,thinking,ai
1,नमस्ते!,,नमस्ते! मैं कैसे मदद करूँ?
2,हाय!,,हाय! मैं आपके लिए क्या करूँ?
3,हे!,,हे! मैं कैसे मदद करूँ?
4,"नमस्ते, आप हैं?",,"हाँ, मैं हूँ! क्या चाहिए?"
5,"हाय, आप हैं?",,"हाँ, मैं हूँ! बोलिए।"
6,सुप्रभात!,,सुप्रभात! आज क्या है?
7,"सुप्रभात, आप कैसे हैं?",,"सुप्रभात! मैं अच्छा हूँ, आप?"
8,शुभ दोपहर!,,शुभ दोपहर! मैं कैसे मदद करूँ?
9,सबको नमस्ते!,,सबको नमस्ते! मैं क्या करूँ?
10,शुभ संध्या!,,शुभ संध्या! दिन कैसा था?
11,"शुभ संध्या, दिन कैसा था?",,शांत और अच्छा। आपका?
12,"हे, आप कैसे हैं?",,"अच्छा हूँ, धन्यवाद! आप?"
13,"हाय, आप कैसे हैं?",,"अच्छा हूँ, धन्यवाद! आप कैसे हैं?"
14,कैसे हैं?,,अच्छा हूँ! आप?
15,आज आप कैसे हैं?,,अच्छा महसूस कर रहा हूँ! आप?
16,सब ठीक?,,"हाँ, सब ठीक! आप?"
17,क्या नया है?,,कुछ खास नहीं। आप?
18,क्या कर रहे हैं?,,आपसे बात कर रहा हूँ। आप?
19,अभी जागे हैं?,,"हाँ, हमेशा जागा हूँ। आप?"
20,तैयार हैं?,,"हाँ, तैयार हूँ! बोलिए।"
21,एक मिनट है?,,"हाँ, समय है।"
22,जल्दी मदद करेंगे?,,"ज़रूर, क्या चाहिए?"
23,अलविदा!,,अलविदा! फिर मिलेंगे!
24,"अलविदा, फिर मिलेंगे!",,"फिर मिलेंगे, अपना ख्याल रखें!"
25,फिर मिलेंगे!,,फिर मिलेंगे!
26,अपना ख्याल रखें!,,आप भी ख्याल रखें!
27,अच्छा सप्ताहांत!,,"धन्यवाद, आपको भी!"
28,शुभ रात्रि!,,"शुभ रात्रि, अच्छी नींद!"
29,उबाऊ है,,क्विज़ करें या विषय पर बात करें?
30,यहाँ उबाऊ है,,मज़ा लाएँ। क्या चाहिए?
31,शानदार!,,शानदार!
32,अच्छा!,,अच्छा!
33,हाहा,,हाहा!
34,हाहाहा :),,"हाहा, खुशी!"
35,थका हूँ,,तो अच्छा आराम करें!
36,उत्साहित हूँ,,अच्छा! बताइए।
37,आखिर सप्ताहांत!,,हाँ! क्या योजना है?
38,आज मौसम अच्छा है,,"हाँ, धूप का आनंद लें!"
39,भूखा हूँ,,तो अच्छा कुछ खाएँ!
40,प्यासा हूँ,,तो पानी पिएँ!
41,आज क्या योजना है?,,मेरी योजना: मदद। आपकी?
42,"हे, आज क्या योजना है!",,मेरी योजना: मदद। आपकी?
43,"नमस्ते, आज क्या योजना है?",,मेरी योजना: मदद। आपकी?
44,"हाय, आज क्या योजना है?",,मेरी योजना: मदद। आपकी?
45,सप्ताहांत की योजना!,,अभी तय नहीं। आपकी योजना?
46,"हे, सप्ताहांत की योजना?",,अभी तय नहीं। आपकी योजना?
47,"नमस्ते, सप्ताहांत की योजना?",,अभी तय नहीं। आपकी योजना?
48,"हाय, सप्ताहांत की योजना!",,अभी तय नहीं। आपकी योजना?
49,अच्छी नींद आई?,,"मैं सोता नहीं, पर अच्छा हूँ। आप?"
50,"हे, अच्छी नींद आई?",,"मैं सोता नहीं, पर अच्छा हूँ। आप?"
51,"नमस्ते, अच्छी नींद आई!",,"मैं सोता नहीं, पर अच्छा हूँ। आप?"
52,"हाय, अच्छी नींद आई?",,"मैं सोता नहीं, पर अच्छा हूँ। आप?"
53,जाग गए?,,"हाँ, तैयार हूँ। क्या चाहिए?"
54,"हे, जाग गए!",,"हाँ, तैयार हूँ। क्या चाहिए?"
55,"नमस्ते, जाग गए?",,"हाँ, तैयार हूँ। क्या चाहिए?"
56,"हाय, जाग गए?",,"हाँ, तैयार हूँ। क्या चाहिए?"
57,दिन कैसा है!,,"अच्छा, धन्यवाद! आपका?"
58,"हे, दिन कैसा है?",,"अच्छा, धन्यवाद! आपका?"
59,"नमस्ते, दिन कैसा है?",,"अच्छा, धन्यवाद! आपका?"
60,"हाय, दिन कैसा है!",,"अच्छा, धन्यवाद! आपका?"
61,सब शांत?,,"हाँ, यहाँ शांत। आप?"
62,"हे, सब शांत?",,"हाँ, यहाँ शांत। आप?"
63,"नमस्ते, सब शांत!",,"हाँ, यहाँ शांत। आप?"
64,"हाय, सब शांत?",,"हाँ, यहाँ शांत। आप?"
65,"हे, क्या नया है!",,कुछ खास नहीं। आपके पास नया?
66,"नमस्ते, क्या नया है?",,कुछ खास नहीं। आपके पास नया?
67,"हाय, क्या नया है?",,कुछ खास नहीं। आपके पास नया?
68,आज की योजना!,,सिर्फ मदद। आप?
69,"हे, आज की योजना?",,सिर्फ मदद। आप?
70,"नमस्ते, आज की योजना?",,सिर्फ मदद। आप?
71,"हाय, आज की योजना!",,सिर्फ मदद। आप?
72,व्यस्त दिन?,,थोड़ा। आपका?
73,"हे, व्यस्त दिन?",,थोड़ा। आपका?
74,"नमस्ते, व्यस्त दिन!",,थोड़ा। आपका?
75,"हाय, व्यस्त दिन?",,थोड़ा। आपका?
76,मौसम कैसा है?,,"खिड़की नहीं, पर आशा अच्छा है!"
77,"हे, मौसम कैसा है!",,"खिड़की नहीं, पर आशा अच्छा है!"
78,"नमस्ते, मौसम कैसा है?",,"खिड़की नहीं, पर आशा अच्छा है!"
79,"हाय, मौसम कैसा है?",,"खिड़की नहीं, पर आशा अच्छा है!"
80,आज सब ठीक!,,हाँ! आप?
81,"हे, आज सब ठीक?",,हाँ! आप?
82,"नमस्ते, आज सब ठीक?",,हाँ! आप?
83,"हाय, आज सब ठीक!",,हाँ! आप?
84,बहुत काम?,,थोड़ा। आप?
85,"हे, बहुत काम?",,थोड़ा। आप?
86,"नमस्ते, बहुत काम!",,थोड़ा। आप?
87,"हाय, बहुत काम?",,थोड़ा। आप?
88,धन्यवाद!,,स्वागत!
89,बहुत धन्यवाद!,,खुशी से!
90,हज़ार धन्यवाद!,,मदद करके खुशी!
91,शुक्रिया!,,स्वागत!
92,ठीक,,ठीक!
93,"ठीक, अच्छा",,परफेक्ट!
94,समझा,,बहुत अच्छा!
95,समझी,,शानदार!
96,अच्छा लगता है,,खुशी!
97,बहुत अच्छा लगता है,,अद्भुत!
98,"हाँ, बिल्कुल",,"अच्छा, जारी रखें।"
99,"हाँ, कृपया",,"ज़रूर, बोलिए।"
100,"हाँ, खुशी से",,खुशी से!
101,कोई बात नहीं,,समझ के लिए धन्यवाद!
102,"नहीं, धन्यवाद",,"ठीक, कोई बात नहीं।"
103,मुझे ठीक,,तय!
104,मेरे लिए ठीक,,शानदार!
105,जारी रखें,,जारी है!
106,और बताइए,,खुशी से! तो...
107,बिल्कुल,,बिल्कुल!
108,यही!,,यही!
109,ज़रूर,,ज़रूर!
110,सच?,,"हाँ, सच!"
111,"ओह, अच्छा",,"हाँ, अच्छा, है न?"
112,तनाव नहीं,,धन्यवाद! सब शांत।
113,माफ़ करें,,कोई बात नहीं!
114,क्षमा,,कोई बात नहीं!
