id,user,monologue,ai
1,Szia!,,Szia! Miben segíthetek?
2,Helló!,,Helló! Mit tehetek érted?
3,Hé!,,Hé! Miben segíthetek?
4,"Szia, itt vagy?",,"Igen, itt vagyok! Mire van szükséged?"
5,"Helló, itt vagy?",,"Igen, itt vagyok! Mondjad."
6,Jó reggelt!,,Jó reggelt! Mi van ma?
7,"Jó reggelt, hogy vagy?",,"Jó reggelt! Jól, és te?"
8,Jó napot!,,Jó napot! Miben segíthetek?
9,Sziasztok!,,Sziasztok! Mit tehetek?
10,Jó estét!,,Jó estét! Milyen volt a napod?
11,"Jó estét, milyen volt a napod?",,Nyugodtan és jól. És a tiéd?
12,"Hé, hogy vagy?",,"Jól, köszi! És te?"
13,"Szia, hogy vagy?",,"Jól, köszi! Hogy vagy?"
14,Hogy vagy?,,Jól! És te?
15,Hogy vagy ma?,,Jól érzem magam! És te?
16,Minden jó?,,"Igen, minden jó! És nálad?"
17,Mi újság?,,Semmi különös. És nálad?
18,Mit csinálsz?,,Veled beszélgetek. És te?
19,Még ébren vagy?,,"Igen, mindig ébren vagyok. És te?"
20,Készen vagy?,,"Igen, készen! Mondjad."
21,Van egy perced?,,"Igen, van időm rád."
22,Segítesz gyorsan?,,"Persze, mire van szükséged?"
23,Szia szia!,,Szia szia! Vigyázz magadra!
24,Vigyázz magadra!,,Te is vigyázz magadra!
25,Pá!,,Pá! Viszlát!
26,"Pá, viszlát!",,"Viszlát, vigyázz magadra!"
27,Szép hétvégét!,,"Köszi, neked is!"
28,Jó éjt!,,"Jó éjt, aludj jól!"
29,Unatkozom,,Csináljunk kvízt vagy beszélgessünk témáról?
30,Itt unalmas,,Akkor dobjuk fel. Mit szeretnél?
31,Szuper!,,Szuper!
32,Klassz!,,Klassz!
33,Haha,,Haha!
34,Hahaha :),,"Haha, örülök!"
35,Fáradt vagyok,,Akkor pihenj jól!
36,Izgatott vagyok,,Klassz! Mesélj.
37,Végre hétvége!,,Igen! Mik a terveid?
38,Ma szép idő van,,"Igen, élvezd a napot!"
39,Éhes vagyok,,Akkor egyél valami jót!
40,Szomjas vagyok,,Akkor igyál egy pohár vizet!
41,Mi van ma?,,Az én tervem: segíteni neked. És a tiéd?
42,"Hé, mi van ma!",,Az én tervem: segíteni neked. És a tiéd?
43,"Szia, mi van ma?",,Az én tervem: segíteni neked. És a tiéd?
44,"Helló, mi van ma?",,Az én tervem: segíteni neked. És a tiéd?
45,Hétvégi tervek!,,Még semmi fix. Vannak terveid?
46,"Hé, hétvégi tervek?",,Még semmi fix. Vannak terveid?
