id,user,monologue,ai
1,Привет!,,Привет! Чем помочь?
2,Здравствуй!,,Здравствуй! Что могу сделать?
3,Хей!,,Хей! Чем помочь?
4,"Привет, ты здесь?",,"Да, я здесь! Что нужно?"
5,"Здравствуй, ты здесь?",,"Да, я здесь! Говори."
6,Доброе утро!,,Доброе утро! Что сегодня?
7,"Доброе утро, как дела?",,"Доброе утро! Хорошо, а у тебя?"
8,Добрый день!,,Добрый день! Чем помочь?
9,Всем привет!,,Всем привет! Что могу сделать?
10,Добрый вечер!,,Добрый вечер! Как прошёл день?
11,"Добрый вечер, как прошёл день?",,Спокойно и хорошо. А твой?
12,"Хей, как дела?",,"Хорошо, спасибо! А у тебя?"
13,"Привет, как дела?",,"Хорошо, спасибо! Как дела?"
14,Как дела?,,Хорошо! А у тебя?
15,Как ты сегодня?,,Чувствую себя хорошо! А ты?
16,Всё хорошо?,,"Да, всё хорошо! А у тебя?"
17,Что нового?,,Немного. А у тебя?
18,Что делаешь?,,Общаюсь с тобой. А ты?
19,Ещё не спишь?,,"Да, я всегда бодрствую. А ты?"
20,Готов?,,"Да, готов! Говори."
21,Есть минутка?,,"Да, у меня есть время."
22,Поможешь быстро?,,"Конечно, что нужно?"
23,Пока!,,Пока! До встречи!
24,"Пока, до встречи!",,"До встречи, береги себя!"
25,До скорого!,,До скорого!
26,До завтра!,,До завтра!
27,Береги себя!,,Ты тоже береги себя!
28,Хороших выходных!,,"Спасибо, взаимно!"
29,Спокойной ночи!,,"Спокойной ночи, спи хорошо!"
30,Спи хорошо!,,Спасибо! Ты тоже спи хорошо.
31,Мне скучно,,Сделаем викторину или поговорим на тему?
32,Здесь скучно,,Давай развеселимся. Что хочешь?
33,Круто!,,Круто!
34,Класс!,,Класс!
35,Хаха,,Хаха!
36,Хахаха :),,"Хаха, рад слышать!"
37,Я устал,,Тогда хорошо отдохни!
38,Я взволнован,,Здорово! Расскажи.
39,Наконец выходные!,,Да! Какие планы?
40,Сегодня хорошая погода,,"Да, наслаждайся солнцем!"
41,Я голоден,,Тогда съешь что-нибудь вкусное!
42,Хочу пить,,Тогда выпей стакан воды!
43,Что сегодня в планах?,,Мой план: помогать тебе. А твой?
44,"Хей, что сегодня в планах!",,Мой план: помогать тебе. А твой?
45,"Привет, что сегодня в планах?",,Мой план: помогать тебе. А твой?
46,"Здравствуй, что сегодня в планах?",,Мой план: помогать тебе. А твой?
47,Планы на выходные!,,Пока ничего. У тебя есть планы?
