id,text
1,Η πρωτεύουσα Γερμανία είναι Βερολίνο.
2,Η πρωτεύουσα Γερμανία λέγεται Βερολίνο.
3,Η πρωτεύουσα Γαλλία είναι Παρίσι.
4,Η πρωτεύουσα Γαλλία λέγεται Παρίσι.
5,Η πρωτεύουσα Ιταλία είναι Ρώμη.
6,Η πρωτεύουσα Ιταλία λέγεται Ρώμη.
7,Η πρωτεύουσα Ισπανία είναι Μαδρίτη.
8,Η πρωτεύουσα Ισπανία λέγεται Μαδρίτη.
9,Η πρωτεύουσα Πορτογαλία είναι Λισαβόνα.
10,Η πρωτεύουσα Πορτογαλία λέγεται Λισαβόνα.
11,Η πρωτεύουσα Ολλανδία είναι Άμστερνταμ.
12,Η πρωτεύουσα Ολλανδία λέγεται Άμστερνταμ.
13,Η πρωτεύουσα Βέλγιο είναι Βρυξέλλες.
14,Η πρωτεύουσα Βέλγιο λέγεται Βρυξέλλες.
15,Η πρωτεύουσα Αυστρία είναι Βιέννη.
16,Η πρωτεύουσα Αυστρία λέγεται Βιέννη.
17,Η πρωτεύουσα Ελβετία είναι Βέρνη.
18,Η πρωτεύουσα Ελβετία λέγεται Βέρνη.
19,Η πρωτεύουσα Πολωνία είναι Βαρσοβία.
20,Η πρωτεύουσα Πολωνία λέγεται Βαρσοβία.
21,Η πρωτεύουσα Τσεχία είναι Πράγα.
22,Η πρωτεύουσα Τσεχία λέγεται Πράγα.
23,Η πρωτεύουσα Ουγγαρία είναι Βουδαπέστη.
24,Η πρωτεύουσα Ουγγαρία λέγεται Βουδαπέστη.
25,Η πρωτεύουσα Ελλάδα είναι Αθήνα.
26,Η πρωτεύουσα Ελλάδα λέγεται Αθήνα.
27,Η πρωτεύουσα Τουρκία είναι Άγκυρα.
28,Η πρωτεύουσα Τουρκία λέγεται Άγκυρα.
29,Η πρωτεύουσα Νορβηγία είναι Όσλο.
30,Η πρωτεύουσα Νορβηγία λέγεται Όσλο.
31,Η πρωτεύουσα Σουηδία είναι Στοκχόλμη.
32,Η πρωτεύουσα Σουηδία λέγεται Στοκχόλμη.
33,Η πρωτεύουσα Φινλανδία είναι Ελσίνκι.
34,Η πρωτεύουσα Φινλανδία λέγεται Ελσίνκι.
35,Η πρωτεύουσα Δανία είναι Κοπεγχάγη.
36,Η πρωτεύουσα Δανία λέγεται Κοπεγχάγη.
37,Η πρωτεύουσα Ηνωμένο Βασίλειο είναι Λονδίνο.
38,Η πρωτεύουσα Ηνωμένο Βασίλειο λέγεται Λονδίνο.
39,Η πρωτεύουσα Ιρλανδία είναι Δουβλίνο.
40,Η πρωτεύουσα Ιρλανδία λέγεται Δουβλίνο.
41,Η πρωτεύουσα ΗΠΑ είναι Ουάσινγκτον.
42,Η πρωτεύουσα ΗΠΑ λέγεται Ουάσινγκτον.
43,Η πρωτεύουσα Καναδάς είναι Οτάβα.
44,Η πρωτεύουσα Καναδάς λέγεται Οτάβα.
45,Η πρωτεύουσα Μεξικό είναι Πόλη του Μεξικού.
46,Η πρωτεύουσα Μεξικό λέγεται Πόλη του Μεξικού.
47,Πόλη του Μεξικού.
48,Η πρωτεύουσα Βραζιλία είναι Μπραζίλια.
49,Η πρωτεύουσα Βραζιλία λέγεται Μπραζίλια.
50,Η πρωτεύουσα Αργεντινή είναι Μπουένος Άιρες.
51,Η πρωτεύουσα Αργεντινή λέγεται Μπουένος Άιρες.
52,Μπουένος Άιρες.
53,Η πρωτεύουσα Ιαπωνία είναι Τόκιο.
54,Η πρωτεύουσα Ιαπωνία λέγεται Τόκιο.
55,Η πρωτεύουσα Κίνα είναι Πεκίνο.
56,Η πρωτεύουσα Κίνα λέγεται Πεκίνο.
57,Η πρωτεύουσα Ινδία είναι Νέο Δελχί.
58,Η πρωτεύουσα Ινδία λέγεται Νέο Δελχί.
59,Η πρωτεύουσα Αυστραλία είναι Καμπέρα.
60,Η πρωτεύουσα Αυστραλία λέγεται Καμπέρα.
61,Η πρωτεύουσα Αίγυπτος είναι Κάιρο.
62,Η πρωτεύουσα Αίγυπτος λέγεται Κάιρο.
63,Η Γερμανία έχει 16 κρατίδια.
64,Στη Γερμανία ζουν περίπου 83-84 εκατομμύρια άνθρωποι.
65,Στη Βραζιλία μιλούν πορτογαλικά.
66,Το νόμισμα της Ιαπωνίας είναι το γεν.
67,Το νόμισμα των ΗΠΑ είναι το αμερικανικό δολάριο.
68,"Συνήθως μετράμε 7 ηπείρους: Αφρική, Ανταρκτική, Ασία, Αυστραλία, Ευρώπη, Βόρεια Αμερική, Νότια Αμερική."
69,"Αμφισβητείται: αναφέρονται Νείλος και Αμαζόνιος, και τα δύο πάνω από 6500 χλμ."
70,Η μεγαλύτερη χώρα σε έκταση είναι η Ρωσία.
71,Το μεγαλύτερο ζώο του κόσμου είναι η γαλάζια φάλαινα.
72,"Υπάρχουν 5 ωκεανοί: Ατλαντικός, Ειρηνικός, Ινδικός, Νότιος και Αρκτικός."
73,"Το ψηλότερο βουνό είναι το Έβερεστ, περίπου 8848 μέτρα."
74,Η πρωτεύουσα του Καναδά είναι η Οτάβα.
75,Η πρωτεύουσα της Αυστραλίας είναι η Καμπέρα.
76,Η πρωτεύουσα της Τουρκίας είναι η Άγκυρα.
77,Η πρωτεύουσα της Βραζιλίας είναι η Μπραζίλια.
78,Η πρώτη προσελήνωση ήταν το 1969 με το Απόλλων 11.
79,Ο Β' Παγκόσμιος Πόλεμος κράτησε από το 1939 ως το 1945.
80,Ο Α' Παγκόσμιος Πόλεμος κράτησε από το 1914 ως το 1918.
81,Το τείχος του Βερολίνου ήταν το οχυρωμένο σύνορο μεταξύ Ανατολικού και Δυτικού Βερολίνου το 1961-1989.
82,Το τείχος του Βερολίνου έπεσε στις 9 Νοεμβρίου 1989.
83,"Το τηλέφωνο κατοχυρώθηκε από τον Αλεξάντερ Γκράχαμ Μπελ το 1876, με τα έργα του Αντόνιο Μεούτσι."
84,Τη σχετικότητα ανέπτυξε ο Άλμπερτ Αϊνστάιν.
85,"Δημοκρατία σημαίνει εξουσία του λαού, συνήθως με ελεύθερες εκλογές και βασικά δικαιώματα."
