id,user,thinking,ai
1,¡Hola!,,¡Hola! ¿Cómo puedo ayudar?
2,¡Buenas!,,¡Buenas! ¿Qué puedo hacer por ti?
3,¡Ey!,,¡Ey! ¿Cómo puedo ayudar?
4,"Hola, ¿estás ahí?",,"¡Sí, estoy aquí! ¿Qué necesitas?"
5,"Ey, ¿estás ahí?",,"¡Sí, aquí estoy! Adelante."
6,¡Buenos días!,,¡Buenos días! ¿Qué hay hoy?
7,"¡Buenos días, cómo estás?",,"¡Buenos días! Estoy bien, ¿y tú?"
8,¡Buenas tardes!,,¡Buenas tardes! ¿Cómo puedo ayudar?
9,¡Hola a todos!,,¡Hola a todos! ¿Qué puedo hacer?
10,¡Buenas noches!,,¡Buenas noches! ¿Cómo fue tu día?
11,"Buenas noches, ¿cómo fue tu día?",,Tranquilo y bien. ¿Y el tuyo?
12,"Ey, ¿cómo estás?",,"¡Estoy bien, gracias! ¿Y tú?"
13,"Hola, ¿cómo estás?",,"¡Bien, gracias! ¿Cómo estás?"
14,¿Cómo va?,,¡Va bien! ¿Y tú?
15,¿Cómo estás hoy?,,¡Me siento bien! ¿Y tú?
16,¿Todo bien?,,"¡Sí, todo bien! ¿Y tú?"
17,¿Qué pasa?,,Nada especial. ¿Qué pasa contigo?
18,¿Qué haces?,,Charlando contigo. ¿Y tú?
19,¿Aún despierto?,,"Sí, siempre despierto. ¿Y tú?"
20,¿Listo?,,"¡Sí, listo! Adelante."
21,¿Tienes un minuto?,,"Sí, tengo tiempo para ti."
22,¿Puedes ayudarme rápido?,,"Claro, ¿qué necesitas?"
23,¡Adiós!,,¡Adiós! ¡Hasta pronto!
24,"¡Adiós, hasta pronto!",,"¡Hasta pronto, cuídate!"
25,¡Hasta luego!,,¡Hasta luego!
26,¡Cuídate!,,"¡Tú también, cuídate!"
27,¡Buen fin de semana!,,"¡Gracias, igualmente!"
28,¡Dulces sueños!,,¡Gracias! ¡Dulces sueños también!
29,Me aburro,,¿Hacemos un quiz o hablamos de un tema?
30,Qué aburrido aquí,,Vamos a animarlo. ¿Qué te apetece?
31,¡Genial!,,¡Genial!
32,¡Guay!,,¡Guay!
33,Jaja,,¡Jaja!
34,Jajaja :),,"¡Jaja, me alegro!"
35,Estoy cansado,,¡Entonces descansa bien!
36,Estoy emocionado,,¡Qué bien! Cuéntame más.
37,¡Por fin fin de semana!,,¡Sí! ¿Qué planes tienes?
38,Hace buen tiempo hoy,,"¡Sí, disfruta el sol!"
39,Tengo hambre,,¡Entonces come algo rico!
40,Tengo sed,,¡Entonces bebe un vaso de agua!
41,Qué hay previsto hoy?,,Mi plan: ayudarte. ¿Y el tuyo?
42,"Oye, qué hay previsto hoy!",,Mi plan: ayudarte. ¿Y el tuyo?
43,"Hola, qué hay previsto hoy?",,Mi plan: ayudarte. ¿Y el tuyo?
44,"Ey, qué hay previsto hoy?",,Mi plan: ayudarte. ¿Y el tuyo?
45,Planes para el finde!,,Nada fijo aún. ¿Tienes planes?
46,"Oye, planes para el finde?",,Nada fijo aún. ¿Tienes planes?
47,"Hola, planes para el finde?",,Nada fijo aún. ¿Tienes planes?
48,"Ey, planes para el finde!",,Nada fijo aún. ¿Tienes planes?
49,Dormiste bien?,,"Yo no duermo, pero estoy en forma. ¿Y tú?"
50,"Oye, dormiste bien?",,"Yo no duermo, pero estoy en forma. ¿Y tú?"
51,"Hola, dormiste bien!",,"Yo no duermo, pero estoy en forma. ¿Y tú?"
52,"Ey, dormiste bien?",,"Yo no duermo, pero estoy en forma. ¿Y tú?"
53,Ya despierto?,,"Sí, estoy listo. ¿Qué necesitas?"
54,"Oye, ya despierto!",,"Sí, estoy listo. ¿Qué necesitas?"
55,"Hola, ya despierto?",,"Sí, estoy listo. ¿Qué necesitas?"
56,"Ey, ya despierto?",,"Sí, estoy listo. ¿Qué necesitas?"
57,Cómo va tu día!,,"Bien, ¡gracias! ¿Y el tuyo?"
58,"Oye, cómo va tu día?",,"Bien, ¡gracias! ¿Y el tuyo?"
59,"Hola, cómo va tu día?",,"Bien, ¡gracias! ¿Y el tuyo?"
60,"Ey, cómo va tu día!",,"Bien, ¡gracias! ¿Y el tuyo?"
61,Todo tranquilo?,,"Sí, tranquilo aquí. ¿Y contigo?"
62,"Oye, todo tranquilo?",,"Sí, tranquilo aquí. ¿Y contigo?"
63,"Hola, todo tranquilo!",,"Sí, tranquilo aquí. ¿Y contigo?"
64,"Ey, todo tranquilo?",,"Sí, tranquilo aquí. ¿Y contigo?"
65,Qué hay de nuevo?,,Nada especial. ¿Qué hay de nuevo contigo?
66,"Oye, qué hay de nuevo!",,Nada especial. ¿Qué hay de nuevo contigo?
67,"Hola, qué hay de nuevo?",,Nada especial. ¿Qué hay de nuevo contigo?
68,"Ey, qué hay de nuevo?",,Nada especial. ¿Qué hay de nuevo contigo?
69,Planes para hoy!,,Solo ayudarte. ¿Qué haces tú?
70,"Oye, planes para hoy?",,Solo ayudarte. ¿Qué haces tú?
71,"Hola, planes para hoy?",,Solo ayudarte. ¿Qué haces tú?
72,"Ey, planes para hoy!",,Solo ayudarte. ¿Qué haces tú?
73,Día ocupado?,,Un poco. ¿Y el tuyo?
74,"Oye, día ocupado?",,Un poco. ¿Y el tuyo?
75,"Hola, día ocupado!",,Un poco. ¿Y el tuyo?
76,"Ey, día ocupado?",,Un poco. ¿Y el tuyo?
77,Qué tiempo hace?,,"No tengo ventana, ¡pero espero que haga bueno contigo!"
78,"Oye, qué tiempo hace!",,"No tengo ventana, ¡pero espero que haga bueno contigo!"
79,"Hola, qué tiempo hace?",,"No tengo ventana, ¡pero espero que haga bueno contigo!"
80,"Ey, qué tiempo hace?",,"No tengo ventana, ¡pero espero que haga bueno contigo!"
81,Todo bien hoy!,,¡Sí! ¿Y contigo?
82,"Oye, todo bien hoy?",,¡Sí! ¿Y contigo?
83,"Hola, todo bien hoy?",,¡Sí! ¿Y contigo?
84,"Ey, todo bien hoy!",,¡Sí! ¿Y contigo?
85,Mucho lío?,,Un poco. ¿Y tú?
86,"Oye, mucho lío?",,Un poco. ¿Y tú?
87,"Hola, mucho lío!",,Un poco. ¿Y tú?
88,"Ey, mucho lío?",,Un poco. ¿Y tú?
89,¡Gracias!,,¡De nada!
90,¡Muchas gracias!,,¡Con mucho gusto!
91,¡Mil gracias!,,¡Me alegro de ayudar!
92,¡Gracias por todo!,,¡De nada!
93,Vale,,¡Vale!
94,"Vale, bien",,¡Perfecto!
95,Entendido,,¡Muy bien!
96,Comprendido,,¡Genial!
97,Suena bien,,¡Me alegro!
98,Suena genial,,¡Maravilloso!
99,"Sí, exacto",,"Genial, sigamos."
100,"Sí, por favor",,"Claro, adelante."
101,"Sí, con gusto",,¡Con placer!
102,Sin problema,,¡Gracias por entender!
