id,user,thinking,ai
1,Bună!,,Bună! Cum pot ajuta?
2,Salut!,,Salut! Ce pot face pentru tine?
3,Hei!,,Hei! Cum pot ajuta?
4,"Bună, ești acolo?",,"Da, sunt aici! Ce ai nevoie?"
5,"Salut, ești acolo?",,"Da, sunt aici! Spune."
6,Bună dimineața!,,Bună dimineața! Ce e azi?
7,"Bună dimineața, ce mai faci?",,"Bună dimineața! Bine, și tu?"
8,Bună ziua!,,Bună ziua! Cum pot ajuta?
9,Bună tuturor!,,Bună tuturor! Ce pot face?
10,Bună seara!,,Bună seara! Cum a fost ziua ta?
11,"Bună seara, cum a fost ziua ta?",,Liniștită și bună. Și a ta?
12,"Hei, ce mai faci?",,"Bine, mulțumesc! Și tu?"
13,"Salut, ce mai faci?",,"Bine, mulțumesc! Ce mai faci?"
14,Ce mai faci?,,Bine! Și tu?
15,Cum ești azi?,,Mă simt bine! Și tu?
16,Totul e bine?,,"Da, totul e bine! Și la tine?"
17,Ce mai e nou?,,Nimic special. La tine?
18,Ce faci?,,Vorbesc cu tine. Și tu?
19,Încă treaz?,,"Da, mereu treaz. Și tu?"
20,Gata?,,"Da, gata! Spune."
21,Ai un minut?,,"Da, am timp pentru tine."
22,Poți ajuta rapid?,,"Sigur, ce ai nevoie?"
23,Pa!,,Pa! Ne vedem!
24,"Pa, ne vedem!",,"Ne vedem, ai grijă de tine!"
25,Ne vedem mai târziu!,,Ne vedem mai târziu!
26,Ne vedem mâine!,,Ne vedem mâine!
27,Ai grijă de tine!,,"Și tu, ai grijă de tine!"
28,Weekend plăcut!,,"Mulțumesc, asemenea!"
29,Noapte bună!,,"Noapte bună, dormi bine!"
30,Dormi bine!,,Mulțumesc! Dormi și tu bine.
31,Mă plictisesc,,Facem un quiz sau vorbim despre un subiect?
32,Plictisitor aici,,Hai să animăm. Ce vrei?
33,Tare!,,Tare!
34,Frumos!,,Frumos!
35,Haha,,Haha!
36,Hahaha :),,"Haha, mă bucur!"
37,Sunt obosit,,Atunci odihnește-te bine!
38,Sunt entuziasmat,,Frumos! Povestește.
39,În sfârșit weekend!,,Da! Ce planuri ai?
40,Vreme frumoasă azi,,"Da, bucură-te de soare!"
41,Mi-e foame,,Atunci mănâncă ceva bun!
42,Mi-e sete,,Atunci bea un pahar cu apă!
43,Ce e în plan azi?,,Planul meu: să te ajut. Și al tău?
44,"Hei, ce e în plan azi!",,Planul meu: să te ajut. Și al tău?
45,"Bună, ce e în plan azi?",,Planul meu: să te ajut. Și al tău?
46,"Salut, ce e în plan azi?",,Planul meu: să te ajut. Și al tău?
47,Planuri de weekend!,,Nimic fix încă. Ai planuri?
48,"Hei, planuri de weekend?",,Nimic fix încă. Ai planuri?
49,"Bună, planuri de weekend?",,Nimic fix încă. Ai planuri?
50,"Salut, planuri de weekend!",,Nimic fix încă. Ai planuri?
51,Ai dormit bine?,,"Eu nu dorm, dar sunt în formă. Și tu?"
52,"Hei, ai dormit bine?",,"Eu nu dorm, dar sunt în formă. Și tu?"
53,"Bună, ai dormit bine!",,"Eu nu dorm, dar sunt în formă. Și tu?"
54,"Salut, ai dormit bine?",,"Eu nu dorm, dar sunt în formă. Și tu?"
55,Deja treaz?,,"Da, sunt gata. Ce ai nevoie?"
56,"Hei, deja treaz!",,"Da, sunt gata. Ce ai nevoie?"
57,"Bună, deja treaz?",,"Da, sunt gata. Ce ai nevoie?"
58,"Salut, deja treaz?",,"Da, sunt gata. Ce ai nevoie?"
59,Cum merge ziua ta!,,"Bine, mulțumesc! Și a ta?"
60,"Hei, cum merge ziua ta?",,"Bine, mulțumesc! Și a ta?"
61,"Bună, cum merge ziua ta?",,"Bine, mulțumesc! Și a ta?"
62,"Salut, cum merge ziua ta!",,"Bine, mulțumesc! Și a ta?"
63,Totul liniștit?,,"Da, liniștit aici. Și la tine?"
64,"Hei, totul liniștit?",,"Da, liniștit aici. Și la tine?"
65,"Bună, totul liniștit!",,"Da, liniștit aici. Și la tine?"
66,"Salut, totul liniștit?",,"Da, liniștit aici. Și la tine?"
67,Ce e nou?,,Nimic special. Ce e nou la tine?
68,"Hei, ce e nou!",,Nimic special. Ce e nou la tine?
69,"Bună, ce e nou?",,Nimic special. Ce e nou la tine?
70,"Salut, ce e nou?",,Nimic special. Ce e nou la tine?
71,Planuri pentru azi!,,Doar să te ajut. Și tu?
72,"Hei, planuri pentru azi?",,Doar să te ajut. Și tu?
73,"Bună, planuri pentru azi?",,Doar să te ajut. Și tu?
74,"Salut, planuri pentru azi!",,Doar să te ajut. Și tu?
75,Zi ocupată?,,Puțin. Și a ta?
76,"Hei, zi ocupată?",,Puțin. Și a ta?
77,"Bună, zi ocupată!",,Puțin. Și a ta?
78,"Salut, zi ocupată?",,Puțin. Și a ta?
79,Cum e vremea?,,"Nu am fereastră, dar sper că e frumos la tine!"
80,"Hei, cum e vremea!",,"Nu am fereastră, dar sper că e frumos la tine!"
81,"Bună, cum e vremea?",,"Nu am fereastră, dar sper că e frumos la tine!"
82,"Salut, cum e vremea?",,"Nu am fereastră, dar sper că e frumos la tine!"
83,Totul e bine azi!,,Da! Și la tine?
