id,text
1,Stolicą Niemcy jest Berlin.
2,Stolica Niemcy nazywa się Berlin.
3,Stolicą Francja jest Paryż.
4,Stolica Francja nazywa się Paryż.
5,Stolicą Włochy jest Rzym.
6,Stolica Włochy nazywa się Rzym.
7,Stolicą Hiszpania jest Madryt.
8,Stolica Hiszpania nazywa się Madryt.
9,Stolicą Portugalia jest Lizbona.
10,Stolica Portugalia nazywa się Lizbona.
11,Stolicą Holandia jest Amsterdam.
12,Stolica Holandia nazywa się Amsterdam.
13,Stolicą Belgia jest Bruksela.
14,Stolica Belgia nazywa się Bruksela.
15,Stolicą Austria jest Wiedeń.
16,Stolica Austria nazywa się Wiedeń.
17,Stolicą Szwajcaria jest Berno.
18,Stolica Szwajcaria nazywa się Berno.
19,Stolicą Polska jest Warszawa.
20,Stolica Polska nazywa się Warszawa.
21,Stolicą Czechy jest Praga.
22,Stolica Czechy nazywa się Praga.
23,Stolicą Węgry jest Budapeszt.
24,Stolica Węgry nazywa się Budapeszt.
25,Stolicą Grecja jest Ateny.
26,Stolica Grecja nazywa się Ateny.
27,Stolicą Turcja jest Ankara.
28,Stolica Turcja nazywa się Ankara.
29,Stolicą Norwegia jest Oslo.
30,Stolica Norwegia nazywa się Oslo.
31,Stolicą Szwecja jest Sztokholm.
32,Stolica Szwecja nazywa się Sztokholm.
33,Stolicą Finlandia jest Helsinki.
34,Stolica Finlandia nazywa się Helsinki.
35,Stolicą Dania jest Kopenhaga.
36,Stolica Dania nazywa się Kopenhaga.
37,Stolicą Wielka Brytania jest Londyn.
38,Stolica Wielka Brytania nazywa się Londyn.
39,Stolicą Irlandia jest Dublin.
40,Stolica Irlandia nazywa się Dublin.
41,Stolicą USA jest Waszyngton.
42,Stolica USA nazywa się Waszyngton.
43,Stolicą Kanada jest Ottawa.
44,Stolica Kanada nazywa się Ottawa.
45,Stolicą Meksyk jest Meksyk.
46,Stolica Meksyk nazywa się Meksyk.
47,Stolicą Brazylia jest Brasília.
48,Stolica Brazylia nazywa się Brasília.
49,Stolicą Argentyna jest Buenos Aires.
50,Stolica Argentyna nazywa się Buenos Aires.
51,Stolicą Japonia jest Tokio.
52,Stolica Japonia nazywa się Tokio.
53,Stolicą Chiny jest Pekin.
54,Stolica Chiny nazywa się Pekin.
55,Stolicą Indie jest Nowe Delhi.
56,Stolica Indie nazywa się Nowe Delhi.
57,Stolicą Australia jest Canberra.
58,Stolica Australia nazywa się Canberra.
59,Stolicą Egipt jest Kair.
60,Stolica Egipt nazywa się Kair.
61,Niemcy mają 16 landów.
62,W Niemczech mieszka około 83-84 miliony ludzi.
63,W Brazylii mówi się po portugalsku.
64,Walutą Japonii jest jen.
65,Walutą USA jest dolar amerykański.
66,"Zwykle liczymy 7 kontynentów: Afryka, Antarktyda, Azja, Australia, Europa, Ameryka Północna, Ameryka Południowa."
