id,title,text
1,Dünya Başkentleri – Bölüm 1,"Burada düzenli bilgi öğrenirsin. Zaman ayır.

Almanya ülkesinin başkenti Berlin. Bir bilgi daha. Fransa ülkesinin başkenti Paris. Bu kadar. İtalya ülkesinin başkenti Roma. Bu da önemli. İspanya ülkesinin başkenti Madrid.

Bu kadar. Portekiz ülkesinin başkenti Lizbon. Devam edelim. Hollanda ülkesinin başkenti Amsterdam. Devam edelim. Belçika ülkesinin başkenti Brüksel. Sürdürüyoruz.

Avusturya ülkesinin başkenti Viyana. Sürdürüyoruz. İsviçre ülkesinin başkenti Bern. Devam edelim. Polonya ülkesinin başkenti Varşova. Bu da önemli. Çekya ülkesinin başkenti Prag.

Bu kadar. Macaristan ülkesinin başkenti Budapeşte. Bu da önemli. Yunanistan ülkesinin başkenti Atina. Bu da önemli. Türkiye ülkesinin başkenti Ankara. Bu da önemli.

Norveç ülkesinin başkenti Oslo.

Konunun özeti buydu."
2,Dünya Başkentleri – Bölüm 2,"Aşağıda doğrulanmış bilgi bulursun.

İsveç ülkesinin başkenti Stokholm. Sonraki noktaya geçelim. Finlandiya ülkesinin başkenti Helsinki. Bu da önemli. Danimarka ülkesinin başkenti Kopenhag. Sürdürüyoruz. Birleşik Krallık ülkesinin başkenti Londra.

Bir bilgi daha. İrlanda ülkesinin başkenti Dublin. Devam edelim. ABD ülkesinin başkenti Washington D.C.. Sonraki noktaya geçelim. Kanada ülkesinin başkenti Ottawa. Sonraki noktaya geçelim.

Meksika ülkesinin başkenti Meksiko. Bu da önemli. Brezilya ülkesinin başkenti Brazilya. Bir bilgi daha. Arjantin ülkesinin başkenti Buenos Aires. Sonraki noktaya geçelim. Japonya ülkesinin başkenti Tokyo.

Sonraki noktaya geçelim. Çin ülkesinin başkenti Pekin. Bir bilgi daha. Hindistan ülkesinin başkenti Yeni Delhi. Bu kadar. Avustralya ülkesinin başkenti Canberra. Bir bilgi daha.

Mısır ülkesinin başkenti Kahire.

Artık bilgileri biliyorsun."
3,"Ülkeler, Diller ve Rekorlar – Bölüm 1","Aşağıda doğrulanmış bilgi bulursun.

Almanya'nın 16 eyaleti var. Devam edelim. Almanya'da yaklaşık 83-84 milyon kişi yaşıyor. Bu kadar. Brezilya'da Portekizce konuşulur. Sonraki noktaya geçelim. Japonya'nın para birimi yendir.

Sonraki noktaya geçelim. ABD'nin para birimi Amerikan dolarıdır. Sonraki noktaya geçelim. Genelde 7 kıta sayarız: Afrika, Antarktika, Asya, Avustralya, Avrupa, Kuzey Amerika, Güney Amerika. Devam edelim. Tartışmalı: genelde Nil ve Amazon anılır, ikisi de 6500 km'den uzun. Devam edelim.

Yüzölçümüyle dünyanın en büyük ülkesi Rusya'dır. Sürdürüyoruz. Dünyanın en büyük hayvanı mavi balinadır. Sonraki noktaya geçelim. 5 okyanus var: Atlas, Pasifik, Hint, Güney ve Arktik. Bu da önemli. Dünyanın en yüksek dağı yaklaşık 8848 metreyle Everest'tir.

Bir bilgi daha. Kanada'nın başkenti Ottawa'dır. Bir bilgi daha. Avustralya'nın başkenti Canberra'dır. Bu da önemli. Türkiye'nin başkenti Ankara'dır. Bu kadar.

Brezilya'nın başkenti Brazilya'dır.

Metin sonu. Aferin."
4,Kısa Tarih – Bölüm 1,"Bu metin bilgileri adım adım açıklar.

İlk Ay inişi 1969'da Apollo 11 ile oldu. Bu da önemli. İkinci Dünya Savaşı 1939'dan 1945'e sürdü. Bu kadar. Birinci Dünya Savaşı 1914'ten 1918'e sürdü. Bu da önemli. Berlin Duvarı 1961'den 1989'a Doğu ve Batı Berlin arasındaki korumalı sınırdı.

Bir bilgi daha. Berlin Duvarı 9 Kasım 1989'da yıkıldı. Devam edelim. Telefonun patentini 1876'da Alexander Graham Bell aldı, Antonio Meucci öncüydü. Bu kadar. Göreliliği Albert Einstein geliştirdi. Bu kadar.

Demokrasi halk yönetimi demektir, genelde özgür seçimler ve temel haklarla. Bir bilgi daha. AB, ortak pazarlı ve ortak kurumları olan bir Avrupa devletleri birliğidir. Sürdürüyoruz. AB'nin 27 üye devleti var. Bu kadar. Temel Yasa, 1949'dan beri Almanya'nın anayasasıdır.

Bu kadar. Almanya 1990'da yeniden birleşti. Sürdürüyoruz. Orta Çağ, antik çağ ile modernite arasında yaklaşık 500-1500 dönemiydi. Sürdürüyoruz. Leonardo da Vinci, Mona Lisa ile ünlü İtalyan sanatçı ve mucitti. Bu da önemli.

Marie Curie radyoaktiviteyi araştıran ve iki Nobel kazanan fizikçiydi.

Artık bilgileri biliyorsun."
5,Kısa Tarih – Bölüm 2,"Bu metin önemli bilgiler sunar. Sakin oku.

Fransız Devrimi 1789'dan beri monarşiyi özgürlük, eşitlik, kardeşlik ile yıktı. Sürdürüyoruz. İnsan hakları herkesin temel haklarıdır, yaşam, özgürlük ve eşitlik gibi. Bir bilgi daha. Enflasyon, fiyatların artması ve paranın değer kaybetmesidir. Sonraki noktaya geçelim. Sanayileşme, 18. yüzyıldan itibaren makine ve fabrikalara geçişti.

Bu kadar. Temeller 1969'da ARPANET'e, Web 1989'a dayanır. Devam edelim. Otomobili 1886'daki motorlu araçla Carl Benz icat etti. Bu da önemli. İlk motorlu uçuşu 1903'te Wright kardeşler yaptı. Sonraki noktaya geçelim.

Bundestag için 18 yaşından. Almanya'da AB seçiminde 16 yaşından. Bir bilgi daha. Seçmenler oy verir, oylar sayılır ve sonuca göre sandalye dağıtılır. Devam edelim. Diktatörlükte bir kişi veya grup özgür seçim olmadan yönetir; demokraside güç halktan gelir. Sonraki noktaya geçelim. Sürdürülebilirlik, gelecek kuşaklara da yetecek kaynakla yaşamak demektir.

Sürdürüyoruz. Zorbalık tekrarlı dışlama veya eziyettir. Güvendiğin kişilerle konuş, kanıt sakla, yardım al. Devam edelim. Barış, savaşsız ve şiddetsiz bir arada yaşamak demektir. Bir bilgi daha. Özgürlük, başkalarına zarar vermeden özgürce yaşamak demektir. Sürdürüyoruz.

Adalet, herkese adil ve eşit davranmak demektir.

Konunun özeti buydu."
6,"Doğa, Bilim ve Teknik – Bölüm 1","Bu metin önemli bilgiler sunar. Sakin oku.

Gökyüzü Rayleigh saçılması yüzünden mavidir: mavi ışık kırmızıdan çok saçılır. Bir bilgi daha. Yağmur buharlaşmayla oluşur: su yükselir, soğur, bulut olur ve damla olarak düşer. Sürdürüyoruz. Fotosentez, bitkilerin ışık, su ve CO2'den şeker ve oksijen yapmasıdır. Sonraki noktaya geçelim. Hava durumu kısa vadeli durumdur; iklim yaklaşık 30 yıl ortalamasıdır.

Devam edelim. Buzdolabı ısıyı soğutucuyla içten dışa pompalar: içte buharlaşır, ısıyı alır, dışta verir. Bir bilgi daha. Elektrik kısaca yüklerin yönlü hareketidir, genelde kabloda elektronlar. Devam edelim. Su H2O'dur, hidrojen ve oksijen bileşiğidir. Devam edelim.

Virüs, konak hücresiz çoğalamayan minicik etkendir. Sürdürüyoruz. Yapay zeka, veriden öğrenen, örüntü tanıyan ve metin resim gibi işleri çözen programlardır. Sürdürüyoruz. Tarayıcı, siteleri açtığın programdır, örn. Chrome, Firefox, Edge veya Safari. Sonraki noktaya geçelim. Uygulama bir programdır, genelde telefon için, örn. mesaj, foto veya oyun.

Sürdürüyoruz. Su dolaşımı ve odağı dengeler, böbreğe ve cilde iyi gelir, baş ağrısını önler. Bu kadar. Yaklaşık 2 dakika, günde iki kez. Bu kadar. Yerçekimi kütleler arası çekimdir. Dünya her şeyi aşağı çeker, bu yüzden şeyler düşer. Bir bilgi daha.

Hava bir gaz karışımıdır, çoğu azot ve oksijendir.

Konunun özeti buydu."
7,"Doğa, Bilim ve Teknik – Bölüm 2","Bu metin önemli bilgiler sunar. Sakin oku.

Kalp kanı tüm vücuda pompalar. Sonraki noktaya geçelim. Akciğerler oksijen alır ve karbondioksit verir. Sürdürüyoruz. Uyku dinlenmeye, hafızaya ve bağışıklığa iyi gelir. Bir bilgi daha. Ateş yüksek vücut sıcaklığıdır, genelde enfeksiyona karşı savunmadır.

Bu da önemli. Güçlü şifre uzundur, her serviste benzersizdir ve şifre yöneticisinde saklanır. Sonraki noktaya geçelim. Wi-Fi, kablosuz internet için yerel ağdır. Sonraki noktaya geçelim. Bulut, veri saklayıp hizmet kullandığın internet sunucularıdır. Bir bilgi daha.

GPS, birkaç uydunun sinyali ve yol süresiyle konumu bulur. Bu da önemli. Gece ve gündüz Dünya döndüğü için vardır. Güneşli taraf gündüz, öbürü gecedir. Bir bilgi daha. Mevsimler eksen eğikliğinden gelir: her yarım küre sırayla güneşe eğilir. Sürdürüyoruz. Ay, güneş ışığını yansıttığı için parlar.

Bu da önemli. Güneş, ışık ve ısı veren sıcak gazdan bir yıldızdır. Sonraki noktaya geçelim. Güneş sistemimizde 8 gezegen var: Merkür, Venüs, Dünya, Mars, Jüpiter, Satürn, Uranüs, Neptün. Bir bilgi daha. Atom maddenin en küçük birimidir, çekirdek ve elektronlardan oluşur. Bu da önemli.

Geri dönüşüm, atıkları toplayıp yeni ürün yapmaktır.

Artık bilgileri biliyorsun."
8,"Doğa, Bilim ve Teknik – Bölüm 3","Bu metin önemli bilgiler sunar. Sakin oku.

Sera etkisi ısıyı tutar. Fazla sera gazı iklimi ısıtır. Devam edelim. Arılar bitkileri tozlar, ürünleri ve çeşitliliği korur. Sonraki noktaya geçelim. Yapraklar fotosentez pigmenti klorofil yüzünden yeşildir. Bir bilgi daha. Memelilerin kürkü vardır, canlı yavru doğurur ve sütle besler.

Devam edelim. Pil kimyasal enerjiyi elektrik enerjisine çevirir. Bir bilgi daha. Güneş hücreleri ışığı doğrudan elektriğe çevirir. Sonraki noktaya geçelim. Bilgisayar virüsü yayılıp zarar veren programdır. Güncelleme ve dikkatle korun. Bir bilgi daha.

Plastik neredeyse çürümez, doğayı ve denizleri kirletir, mikroplastik olur. Bir bilgi daha. Deprem, levhalar aniden oynayıp enerji boşaltınca olur. Bu kadar. Bal, arıların çiçek nektarından yaptığıdır.

Konunun özeti buydu."
9,Günlük Hesaplar – Bölüm 1,"Aşağıda doğrulanmış bilgi bulursun.

25 çarpı 4, 100 eder. Devam edelim. 200'ün yüzde 12'si 24 eder. Bu da önemli. 66 eder. Devam edelim. 16:45'te varır.

Bir bilgi daha. 2 elma kaldı. Sürdürüyoruz. 8 saat uyursun. Devam edelim. Herkes 25 euro alır. Sonraki noktaya geçelim.

2 saat 120 dakikadır. Bu kadar. Bir yıl 365 gün, artık yıl 366 gündür. Sonraki noktaya geçelim. Bir dakikada 60 saniye var. Bu kadar. 21:45'te biter.

Sonraki noktaya geçelim. Randevu 12:30'da. Sonraki noktaya geçelim. 17:05'te hazır. Devam edelim. 5 saat 15 dakika sürüyor. Bu kadar.

19:30'da bitirirsin.

Konunun özeti buydu."
10,Günlük İpuçları – Bölüm 1,"Burada düzenli bilgi öğrenirsin. Zaman ayır.

En iyi kısa günlük birimlerle, kartlarla ve cümlede aktif kullanımla artı düzenli tekrar. Sonraki noktaya geçelim. Bütçe yap, abonelikleri kontrol et, evde pişir, fiyat karşılaştır ve önce sabit tutarı ayır. Sonraki noktaya geçelim. Basit domates soslu makarna yap: baharatla, pişir, makarnaya dök, peynir serp. Devam edelim. Al: kimlik veya pasaport, bilet, para, telefon artı şarj, ilaç, hijyen ve kabinde değişim.

Bir bilgi daha. Hatayı söyle, sorumluluğu al, üzüntüyü göster ve telafi öner, kısa ve dürüst. Sonraki noktaya geçelim. Yolu ve oteli ayarla, günde 2-3 yer seç, yemek ve yol payı bırak, günlük bütçe koy. Bu kadar. Evet, al. Yüzde 80'de yağmur çok olası. Bu kadar.

İkisinin de artısı var: kağıt dikkat dağıtmaz ve akılda iyi, telefon aranır ve hep yanında. Bir bilgi daha. Önce çöpü, sonra çamaşırı topla, her şeyi yerine koy, sonunda sil. Devam edelim. Katlamak yerine rulo yap, ağırı alta, boşlukları çorapla doldur. Devam edelim. Pirinci yıka, iki katı suyla kaynat, 10-12 dakika demle.

Devam edelim. Bol suyu tuzla, kaynat, makarnayı 8-10 dakika pişir, süz. Sonraki noktaya geçelim. Un, süt, yumurta ve tutam tuzu karıştır, ince altın gibi pişir. Bu da önemli. Işığı aç, bir bardak su iç, biraz hareket et ve hava al. Bu kadar.

Karanlık ve serin uyu, telefonu bırak, sabit rutin tut.

Metin sonu. Aferin."
