id,title,text
1,Мило и большое приключение,"Живёт Мило, любопытный мальчик, в маленькой деревне.

Солнце светит тепло.

Однажды Мило хочет исследовать лес.

Но дорога перекрыта.

Приходит Бабушка Лина, которая всё знает.

Вместе справимся!

Берут с собой старый бинокль.

По дороге они поют песню.

По дороге они много смеются.

Вдруг что-то громко зашуршало.

В конце все счастливы.

Настоящие друзья всегда помогают."
2,Лена и тайна,"Живёт Лена, которая любит рисовать, на красочном рынке.

Летают бабочки.

Однажды Лена хочет открыть остров.

Но начинается дождь.

Приходит Бабушка Лина, которая всё знает.

Не бойся, я помогу тебе.

Берут с собой маленький ножик.

По дороге они отдыхали весело.

По дороге они бежали немного.

Вдруг заквакала лягушка.

Приключение осталось незабываемым.

Терпение приносит удачу."
3,Самый лучший день: Финн,"Живёт Финн, маленький мечтатель, у старого колодца.

Пахнет цветами.

Однажды Финн хочет найти пещеру.

Но карта пропала.

Приходит Бабушка Лина, которая всё знает.

Я тоже иду!

Берут с собой тёплое одеяло.

По дороге они болтали вместе.

По дороге они смеялись вместе.

Вдруг залаяла собака.

Все вернулись довольные.

Любопытство ведёт к чудесам."
4,Пиппа и сокровище,"Живёт Пиппа, храбрая мышь, на детской площадке.

Ручей тихо журчит.

Однажды Пиппа хочет увидеть высокую гору.

Но темнеет.

Приходит Бабушка Лина, которая всё знает.

Хорошо, что я здесь.

Берут с собой красочную карту.

По дороге они отдыхали немного.

По дороге они танцевали весело.

Вдруг упал лист.

Так день был идеальным.

Смех всегда помогает."
5,Нора и тайна,"Живёт Нора, которая задаёт много вопросов, у синей реки.

Небо голубое.

Однажды Нора хочет искать сокровище.

Но река слишком глубокая.

Приходит Бабушка Лина, которая всё знает.

Вместе справимся!

Берут с собой старую монету.

По дороге они болтали весело.

По дороге они отдыхали громко.

Вдруг зажужжала пчела.

Все хлопали от радости.

Кто смел, тот побеждает."
6,Тео и план,"Живёт Тео, весёлый мальчик, на зелёном лугу.

Птицы весело поют.

Однажды Тео хочет переплыть озеро.

Но дерево лежало поперёк.

Приходит Бабушка Лина, которая всё знает.

Не бойся, я помогу тебе.

Берут с собой зелёную верёвку.

По дороге они отдыхали у ручья.

По дороге они болтали вместе.

Вдруг кто-то постучал.

Так страх превратился в смелость.

Смелость вознаграждается."
7,Эмма и путешествие,"Живёт Эмма, храбрая девочка, у большого дуба.

Пахнет свежей травой.

Однажды Эмма хочет найти море.

Но ветер был сильный.

Приходит Бабушка Лина, которая всё знает.

Я тоже иду!

Берут с собой маленький фонарь.

По дороге они болтали немного.

По дороге они бежали в кругу.

Вдруг пролетела танцующая бабочка.

Все смеются и идут домой.

Делиться радостно."
8,Павел и находка,"Живёт Павел, который любит строить, в зелёном парке.

Везде тихо и спокойно.

Однажды Павел хочет увидеть звёздное небо.

Но был туман.

Приходит Барсук, садовник.

Хорошо, что я здесь.

Берут с собой синюю бутылку.

По дороге они отдыхали в кругу.

По дороге они смеялись немного.

Вдруг поднялся ветер.

Так приключение хорошо кончилось.

Вместе всё легче."
9,Мия и открытие,"Живёт Мия, маленькая певица, в старом лесу.

Солнце светит тепло.

Однажды Мия хочет подняться на башню.

Но мост сломан.

Приходит Барсук, садовник.

Вместе справимся!

Берут с собой жёлтую сумку.

По дороге они болтали у ручья.

По дороге они танцевали у ручья.

Вдруг упала падающая звезда.

В конце все счастливы.

Настоящие друзья всегда помогают."
10,Лео и поход,"Живёт Лео, который любит животных, на жёлтом поле.

Летают бабочки.

Однажды Лео хочет посетить старый замок.

Но собака громко лаяла.

Приходит Барсук, садовник.

Не бойся, я помогу тебе.

Берут с собой красную верёвку.

По дороге они отдыхали громко.

По дороге они играли весело.

Вдруг кто-то засмеялся.

Приключение осталось незабываемым.

Терпение приносит удачу."
