id,text
1,The capital of Germany is Berlin.
2,The capital of Germany is called Berlin.
3,The capital of France is Paris.
4,The capital of France is called Paris.
5,The capital of Italy is Rome.
6,The capital of Italy is called Rome.
7,The capital of Spain is Madrid.
8,The capital of Spain is called Madrid.
9,The capital of Portugal is Lisbon.
10,The capital of Portugal is called Lisbon.
11,The capital of Netherlands is Amsterdam.
12,The capital of Netherlands is called Amsterdam.
13,The capital of Belgium is Brussels.
14,The capital of Belgium is called Brussels.
15,The capital of Austria is Vienna.
16,The capital of Austria is called Vienna.
17,The capital of Switzerland is Bern.
18,The capital of Switzerland is called Bern.
19,The capital of Poland is Warsaw.
20,The capital of Poland is called Warsaw.
21,The capital of Czechia is Prague.
22,The capital of Czechia is called Prague.
23,The capital of Hungary is Budapest.
24,The capital of Hungary is called Budapest.
25,The capital of Greece is Athens.
26,The capital of Greece is called Athens.
27,The capital of Turkey is Ankara.
28,The capital of Turkey is called Ankara.
29,The capital of Norway is Oslo.
30,The capital of Norway is called Oslo.
31,The capital of Sweden is Stockholm.
32,The capital of Sweden is called Stockholm.
33,The capital of Finland is Helsinki.
34,The capital of Finland is called Helsinki.
35,The capital of Denmark is Copenhagen.
36,The capital of Denmark is called Copenhagen.
37,The capital of the United Kingdom is London.
38,The capital of the United Kingdom is called London.
39,The capital of Ireland is Dublin.
40,The capital of Ireland is called Dublin.
41,The capital of the USA is Washington D.C..
42,The capital of the USA is called Washington D.C..
43,Washington D.C..
44,The capital of Canada is Ottawa.
45,The capital of Canada is called Ottawa.
46,The capital of Mexico is Mexico City.
47,The capital of Mexico is called Mexico City.
48,The capital of Brazil is Brasilia.
49,The capital of Brazil is called Brasilia.
50,The capital of Argentina is Buenos Aires.
51,The capital of Argentina is called Buenos Aires.
52,The capital of Japan is Tokyo.
53,The capital of Japan is called Tokyo.
54,The capital of China is Beijing.
55,The capital of China is called Beijing.
56,The capital of India is New Delhi.
57,The capital of India is called New Delhi.
58,The capital of Australia is Canberra.
59,The capital of Australia is called Canberra.
60,The capital of Egypt is Cairo.
61,The capital of Egypt is called Cairo.
62,Germany has 16 federal states.
63,Germany has about 83 to 84 million inhabitants.
64,In Brazil people speak Portuguese.
65,The currency of Japan is the yen.
66,The currency of the USA is the US dollar.
67,"Usually we count 7 continents: Africa, Antarctica, Asia, Australia, Europe, North America, South America."
68,"It is disputed: usually Nile and Amazon are named, both over 6500 km long."
69,The largest country by area is Russia.
70,The largest animal in the world is the blue whale.
71,"There are 5 oceans: Atlantic, Pacific, Indian, Southern and Arctic."
72,The highest mountain is Mount Everest at about 8848 metres.
73,The first Moon landing was in 1969 with Apollo 11.
74,World War II lasted from 1939 to 1945.
75,World War I lasted from 1914 to 1918.
76,The Berlin Wall was the fortified border between East and West Berlin from 1961 to 1989.
77,The Berlin Wall fell on 9 November 1989.
78,"The telephone was patented by Alexander Graham Bell in 1876, with key pioneer work by Antonio Meucci."
79,Relativity theory was developed by Albert Einstein.
80,"Democracy means rule by the people, usually through free elections and basic rights."
81,The EU is a union of European states with a single market and shared institutions.
82,The EU has 27 member states.
83,"The Basic Law is the constitution of Germany, in force since 1949."
84,Germany was reunified in 1990.
85,"The Middle Ages was the era from about 500 to 1500, between antiquity and modern times."
86,"Leonardo da Vinci was an Italian artist and inventor, famous for the Mona Lisa."
87,Marie Curie was a physicist who researched radioactivity and won two Nobel prizes.
88,"The French Revolution from 1789 overthrew the monarchy under liberty, equality, fraternity."
89,"Human rights are basic rights of every person, such as life, liberty and equality."
90,Inflation means prices rise and money loses value.
91,Industrialization was the shift to machines and factories starting in the 18th century.
92,"The basics date to ARPANET in 1969, the World Wide Web from 1989."
93,The car was invented by Carl Benz with the 1886 motor car.
94,The first powered flight was made by the Wright brothers in 1903.
95,For the Bundestag from age 18. In European elections in Germany from 16.
96,"Eligible voters cast ballots, votes are counted and seats assigned by result."
97,In a dictatorship one person or group rules without free elections; in a democracy power comes from the people.
98,Sustainability means living so future generations also have enough resources.
