id,text
1,Hlavní město Německo je Berlín.
2,Hlavní město Německo se jmenuje Berlín.
3,Hlavní město Francie je Paříž.
4,Hlavní město Francie se jmenuje Paříž.
5,Hlavní město Itálie je Řím.
6,Hlavní město Itálie se jmenuje Řím.
7,Hlavní město Španělsko je Madrid.
8,Hlavní město Španělsko se jmenuje Madrid.
9,Hlavní město Portugalsko je Lisabon.
10,Hlavní město Portugalsko se jmenuje Lisabon.
11,Hlavní město Nizozemsko je Amsterdam.
12,Hlavní město Nizozemsko se jmenuje Amsterdam.
13,Hlavní město Belgie je Brusel.
14,Hlavní město Belgie se jmenuje Brusel.
15,Hlavní město Rakousko je Vídeň.
16,Hlavní město Rakousko se jmenuje Vídeň.
17,Hlavní město Švýcarsko je Bern.
18,Hlavní město Švýcarsko se jmenuje Bern.
19,Hlavní město Polsko je Varšava.
20,Hlavní město Polsko se jmenuje Varšava.
21,Hlavní město Česko je Praha.
22,Hlavní město Česko se jmenuje Praha.
23,Hlavní město Maďarsko je Budapešť.
24,Hlavní město Maďarsko se jmenuje Budapešť.
25,Hlavní město Řecko je Atény.
26,Hlavní město Řecko se jmenuje Atény.
27,Hlavní město Turecko je Ankara.
28,Hlavní město Turecko se jmenuje Ankara.
29,Hlavní město Norsko je Oslo.
30,Hlavní město Norsko se jmenuje Oslo.
31,Hlavní město Švédsko je Stockholm.
32,Hlavní město Švédsko se jmenuje Stockholm.
33,Hlavní město Finsko je Helsinky.
34,Hlavní město Finsko se jmenuje Helsinky.
35,Hlavní město Dánsko je Kodaň.
36,Hlavní město Dánsko se jmenuje Kodaň.
37,Hlavní město Velká Británie je Londýn.
38,Hlavní město Velká Británie se jmenuje Londýn.
39,Hlavní město Irsko je Dublin.
40,Hlavní město Irsko se jmenuje Dublin.
41,Hlavní město USA je Washington D.C..
42,Hlavní město USA se jmenuje Washington D.C..
43,Washington D.C..
44,Hlavní město Kanada je Ottawa.
45,Hlavní město Kanada se jmenuje Ottawa.
46,Hlavní město Mexiko je Mexiko.
47,Hlavní město Mexiko se jmenuje Mexiko.
48,Hlavní město Brazílie je Brasília.
49,Hlavní město Brazílie se jmenuje Brasília.
50,Hlavní město Argentina je Buenos Aires.
51,Hlavní město Argentina se jmenuje Buenos Aires.
52,Hlavní město Japonsko je Tokio.
53,Hlavní město Japonsko se jmenuje Tokio.
54,Hlavní město Čína je Peking.
55,Hlavní město Čína se jmenuje Peking.
56,Hlavní město Indie je Nové Dillí.
57,Hlavní město Indie se jmenuje Nové Dillí.
58,Hlavní město Austrálie je Canberra.
59,Hlavní město Austrálie se jmenuje Canberra.
60,Hlavní město Egypt je Káhira.
61,Hlavní město Egypt se jmenuje Káhira.
62,Německo má 16 zemí.
63,V Německu žije asi 83-84 milionů lidí.
64,V Brazílii se mluví portugalsky.
65,Měnou Japonska je jen.
66,Měnou USA je americký dolar.
67,"Obvykle počítáme 7 kontinentů: Afrika, Antarktida, Asie, Austrálie, Evropa, Severní Amerika, Jižní Amerika."
68,"Je to sporné: uvádí se Nil a Amazonka, obě přes 6500 km."
69,Největší zemí rozlohou je Rusko.
70,Největším zvířetem světa je plejtvák obrovský.
71,"Je 5 oceánů: Atlantický, Tichý, Indický, Jižní a Severní ledový."
72,"Nejvyšší horou je Everest, asi 8848 metrů."
73,Hlavním městem Kanady je Ottawa.
74,Hlavním městem Austrálie je Canberra.
75,Hlavním městem Turecka je Ankara.
76,Hlavním městem Brazílie je Brasília.
77,První přistání na Měsíci bylo v 1969 s Apollem 11.
78,Druhá světová válka trvala od 1939 do 1945.
79,První světová válka trvala od 1914 do 1918.
80,Berlínská zeď byla opevněná hranice mezi Východním a Západním Berlínem v letech 1961-1989.
81,Berlínská zeď padla 9. listopadu 1989.
82,"Telefon si patentoval Alexander Graham Bell v 1876, s průkopnickou prací Antonia Meucciho."
83,Relativitu rozpracoval Albert Einstein.
84,"Demokracie znamená vládu lidu, obvykle svobodnými volbami a základními právy."
85,EU je unie evropských států s jednotným trhem a společnými institucemi.
86,EU má 27 členských států.
87,"Základní zákon je ústava Německa, platí od 1949."
88,Německo se sjednotilo v 1990.
89,"Středověk byla éra asi od 500 do 1500, mezi antikou a novověkem."
90,"Leonardo da Vinci byl italský umělec a vynálezce, slavný Monou Lisou."
91,Marie Curie zkoumala radioaktivitu a získala dva Nobely.
92,"Francouzská revoluce od 1789 svrhla monarchii pod svobodou, rovností, bratrstvím."
93,"Lidská práva jsou základní práva každého, jako život, svoboda a rovnost."
94,Inflace znamená růst cen a ztrátu hodnoty peněz.
95,Industrializace byl přechod ke strojům a továrnám od 18. století.
96,"Základy jsou ARPANET v 1969, Web od 1989."
97,Auto vynalezl Carl Benz vozem z 1886.
