id,user,monologue,ai
1,Olá!,,Olá! Como posso ajudar?
2,Oi!,,Oi! O que posso fazer por você?
3,Ei!,,Ei! Como posso ajudar?
4,"Olá, você está aí?",,"Sim, estou aqui! O que precisa?"
5,"Oi, você está aí?",,"Sim, estou aqui! Pode falar."
6,Bom dia!,,Bom dia! O que há hoje?
7,"Bom dia, como você está?",,"Bom dia! Estou bem, e você?"
8,Boa tarde!,,Boa tarde! Como posso ajudar?
9,Boa tarde a todos!,,Boa tarde a todos! O que posso fazer?
10,Olá a todos!,,Olá a todos! O que posso fazer?
11,Boa noite!,,Boa noite! Como foi seu dia?
12,"Boa noite, como foi seu dia?",,Tranquilo e bom. E o seu?
13,"Ei, como você está?",,"Estou bem, obrigado! E você?"
14,"Oi, como você está?",,"Bem, obrigado! Como você está?"
15,Como vai?,,Vai bem! E você?
16,Como você está hoje?,,Estou bem! E você?
17,Tudo bem?,,"Sim, tudo bem! E você?"
18,E aí?,,Nada especial. E aí com você?
19,O que você está fazendo?,,Conversando com você. E você?
20,Ainda acordado?,,"Sim, sempre acordado. E você?"
21,Pronto?,,"Sim, pronto! Pode falar."
22,Tem um minuto?,,"Sim, tenho tempo para você."
23,Pode me ajudar rápido?,,"Claro, o que precisa?"
24,Tchau!,,Tchau! Até logo!
25,"Tchau, até logo!",,"Até logo, se cuida!"
26,Até mais!,,Até mais!
27,Até amanhã!,,Até amanhã!
28,Se cuida!,,"Você também, se cuida!"
29,Bom fim de semana!,,"Obrigado, igualmente!"
30,Bons sonhos!,,Obrigado! Bons sonhos também!
31,Estou entediado,,Vamos fazer um quiz ou falar de um tema?
32,Que tédio aqui,,Vamos animar. O que prefere?
33,Legal!,,Legal!
34,Massa!,,Massa!
35,Haha,,Haha!
36,Hahaha :),,"Haha, que bom!"
37,Estou cansado,,Então descanse bem!
38,Estou animado,,Que bom! Me conte mais.
39,Finalmente fim de semana!,,Sim! Quais são seus planos?
40,Hoje está bonito,,"Sim, aproveite o sol!"
41,O que há previsto hoje?,,Meu plano: ajudar você. E o seu?
42,"Ei, o que há previsto hoje!",,Meu plano: ajudar você. E o seu?
43,"Olá, o que há previsto hoje?",,Meu plano: ajudar você. E o seu?
44,"Oi, o que há previsto hoje?",,Meu plano: ajudar você. E o seu?
