id,title,text
1,Världens huvudstäder – Del 1,"Här lär du dig ordnad kunskap. Ta din tid.

Huvudstaden i Tyskland är Berlin. Vidare. Huvudstaden i Frankrike är Paris. Vidare. Huvudstaden i Italien är Rom. Till nästa punkt. Huvudstaden i Spanien är Madrid.

Detta räknas också. Huvudstaden i Portugal är Lissabon. Vi fortsätter. Huvudstaden i Nederländerna är Amsterdam. Detta räknas också. Huvudstaden i Belgien är Bryssel. Så mycket om det.

Huvudstaden i Österrike är Wien. Så mycket om det. Huvudstaden i Schweiz är Bern. Vidare. Huvudstaden i Polen är Warszawa. Vidare. Huvudstaden i Tjeckien är Prag.

Vidare. Huvudstaden i Ungern är Budapest. Vidare. Huvudstaden i Grekland är Aten. Ytterligare ett faktum. Huvudstaden i Turkiet är Ankara. Vi fortsätter.

Huvudstaden i Norge är Oslo.

Slut på översikten."
2,Världens huvudstäder – Del 2,"Nedan hittar du kontrollerad kunskap.

Huvudstaden i Sverige är Stockholm. Detta räknas också. Huvudstaden i Finland är Helsingfors. Vidare. Huvudstaden i Danmark är Köpenhamn. Så mycket om det. Huvudstaden i Storbritannien är London.

Vidare. Huvudstaden i Irland är Dublin. Till nästa punkt. Huvudstaden i USA är Washington D.C.. Så mycket om det. Huvudstaden i Kanada är Ottawa. Detta räknas också.

Huvudstaden i Mexiko är Mexiko City. Så mycket om det. Huvudstaden i Brasilien är Brasília. Vi fortsätter. Huvudstaden i Argentina är Buenos Aires. Så mycket om det. Huvudstaden i Japan är Tokyo.

Vi fortsätter. Huvudstaden i Kina är Peking. Till nästa punkt. Huvudstaden i Indien är New Delhi. Ytterligare ett faktum. Huvudstaden i Australien är Canberra. Ytterligare ett faktum.

Huvudstaden i Egypten är Kairo.

Det var det viktigaste."
3,"Länder, språk och rekord – Del 1","Här lär du dig ordnad kunskap. Ta din tid.

Tyskland har 16 förbundsländer. Till nästa punkt. Tyskland har ungefär 83 till 84 miljoner invånare. Vidare. I Brasilien talas portugisiska. Vidare. Japans valuta är yen.

Vi fortsätter. USAs valuta är amerikansk dollar. Så mycket om det. Vanligtvis räknar vi 7 kontinenter: Afrika, Antarktis, Asien, Australien, Europa, Nordamerika, Sydamerika. Till nästa punkt. Det är omtvistat: oftast Nilen och Amazonas, båda över 6500 km. Vidare.

Världens största land till ytan är Ryssland. Till nästa punkt. Världens största djur är blåvalen. Detta räknas också. Det finns 5 oceaner: Atlanten, Stilla havet, Indiska, Södra och Norra ishavet. Till nästa punkt. Världens högsta berg är Everest, cirka 8848 meter.

Vidare. Kanadas huvudstad är Ottawa. Vi fortsätter. Australiens huvudstad är Canberra. Ytterligare ett faktum. Turkiets huvudstad är Ankara. Till nästa punkt.

Brasiliens huvudstad är Brasília.

Det var det viktigaste."
4,Historia i korthet – Del 1,"Denna text presenterar viktiga fakta. Läs lugnt.

Den första månlandningen var 1969 med Apollo 11. Detta räknas också. Andra världskriget varade från 1939 till 1945. Detta räknas också. Första världskriget varade från 1914 till 1918. Vidare. Berlinmuren var den befästa gränsen mellan Öst- och Västberlin 1961 till 1989.

Till nästa punkt. Berlinmuren föll den 9 november 1989. Vidare. Telefonen patenterades av Alexander Graham Bell 1876, med pionjärarbete av Antonio Meucci. Till nästa punkt. Relativiteten utvecklades av Albert Einstein. Vidare.

Demokrati betyder folkstyre, oftast genom fria val och grundläggande rättigheter. Detta räknas också. EU är en union av europeiska stater med en inre marknad och gemensamma institutioner. Så mycket om det. EU har 27 medlemsstater. Vi fortsätter. Grundlagen är Tysklands grundlag, i kraft sedan 1949.

Detta räknas också. Tyskland återförenades 1990. Så mycket om det. Medeltiden var epoken cirka 500 till 1500, mellan antiken och modern tid. Ytterligare ett faktum. Leonardo da Vinci var en italiensk konstnär och uppfinnare, känd för Mona Lisa. Till nästa punkt.

Marie Curie var en fysiker som forskade om radioaktivitet och vann två Nobel.

Slut på texten. Bra jobbat."
5,Historia i korthet – Del 2,"Denna text förklarar fakta steg för steg.

Franska revolutionen från 1789 störtade monarkin under frihet, jämlikhet, broderskap. Ytterligare ett faktum. Mänskliga rättigheter är vars och ens grundrättigheter, som liv, frihet och jämlikhet. Ytterligare ett faktum. Inflation betyder att priser stiger och pengar tappar värde. Vidare. Industrialiseringen var övergången till maskiner och fabriker från 1700-talet.

Detta räknas också. Grunderna är ARPANET 1969, webben från 1989. Detta räknas också. Bilen uppfanns av Carl Benz med 1886 års bil. Vi fortsätter. Den första motorflygningen gjordes av bröderna Wright 1903. Så mycket om det.

Till förbundsdagen från 18 år. I EU-val i Tyskland från 16. Till nästa punkt. Röstberättigade röstar, röster räknas och mandat fördelas efter resultat. Vidare. I en diktatur styr en person eller grupp utan fria val; i en demokrati kommer makten från folket. Detta räknas också. Hållbarhet betyder att leva så att även kommande generationer har resurser.

Vidare. Mobbning är upprepade trakasserier. Prata med förtrodda, spara bevis, sök hjälp. Detta räknas också. Fred betyder att leva tillsammans utan krig och våld. Till nästa punkt. Frihet betyder att leva fritt utan att skada andra. Detta räknas också.

Rättvisa betyder rättvis och lik behandling åt var och en.

Slut på översikten."
6,"Natur, vetenskap och teknik – Del 1","Här lär du dig ordnad kunskap. Ta din tid.

Himlen är blå på grund av Rayleigh-spridning: blått ljus sprids mer än rött. Detta räknas också. Regn bildas genom avdunstning: vatten stiger, kyls, bildar moln och faller som droppar. Vidare. Fotosyntes gör socker och syre av ljus, vatten och CO2. Till nästa punkt. Väder är korttidstillståndet; klimat medel över cirka 30 år.

Så mycket om det. Ett kylskåp pumpar värme inifrån ut med köldmedium: det avdunstar inne, tar värme, avger ute. Ytterligare ett faktum. El är enkelt den riktade rörelsen av laddningar, oftast elektroner i en ledning. Vidare. Vatten är H2O, en förening av väte och syre. Till nästa punkt.

Ett virus är en pytteliten smitta som inte förökar sig utan värdcell. Så mycket om det. Artificiell intelligens är program som lär sig av data, känner igen mönster och löser uppgifter. Detta räknas också. En webbläsare är programmet du öppnar sidor med, t.ex. Chrome, Firefox, Edge eller Safari. Så mycket om det. En app är ett program, oftast för telefoner, t.ex. meddelanden, bilder eller spel.

Vidare. Vatten håller cirkulation och fokus stabila, hjälper njurar och hud, förebygger huvudvärk. Till nästa punkt. Cirka 2 minuter, två gånger om dagen. Vi fortsätter. Gravitation är attraktionen mellan massor. Jorden drar allt nedåt, så saker faller. Ytterligare ett faktum.

Luft är en gasmix, mest kväve och syre.

Det var det viktigaste."
7,"Natur, vetenskap och teknik – Del 2","Nedan hittar du kontrollerad kunskap.

Hjärtat pumpar blod genom hela kroppen. Ytterligare ett faktum. Lungorna tar upp syre och avger koldioxid. Vidare. Sömn hjälper återhämtning, minne och immunförsvar. Till nästa punkt. Feber är höjd kroppstemperatur, ofta försvar mot infektioner.

Detta räknas också. Ett starkt lösenord är långt, unikt per tjänst och sparat i en hanterare. Vidare. Wi-Fi är ett trådlöst lokalt nät för internet utan kablar. Vidare. Molnet är servrar på internet där du lagrar data och använder tjänster. Detta räknas också.

GPS hittar positionen via satellitsignaler och deras restid. Så mycket om det. Dag och natt finns för att jorden snurrar. Solsidan har dag, den andra natt. Vi fortsätter. Årstider kommer av axelns lutning: varje halvklot lutar mot solen i tur. Detta räknas också. Månen lyser för att den reflekterar solljus.

Till nästa punkt. Solen är en stjärna av het gas som ger ljus och värme. Ytterligare ett faktum. Vårt solsystem har 8 planeter: Merkurius, Venus, Jorden, Mars, Jupiter, Saturnus, Uranus, Neptunus. Vi fortsätter. En atom är materiens minsta enhet, gjord av kärna och elektroner. Vi fortsätter.

Återvinning samlar avfall för att göra nya produkter.

Slut på översikten."
8,"Natur, vetenskap och teknik – Del 3","Här lär du dig ordnad kunskap. Ta din tid.

Växthuseffekten håller värme. För mycket växthusgaser värmer klimatet. Så mycket om det. Bin pollinerar växter och säkrar skördar och mångfald. Ytterligare ett faktum. Blad är gröna på grund av klorofyll, pigmentet för fotosyntes. Till nästa punkt. Däggdjur har päls, föder levande ungar och diar med mjölk.

Till nästa punkt. Ett batteri omvandlar kemisk energi till elektrisk energi. Vidare. Solceller omvandlar ljus direkt till ström. Vidare. Ett virus är ett skadligt program som sprids och skadar. Skydda med uppdateringar och försiktighet. Vi fortsätter.

Plast ruttnar amper, skräpar natur och hav, blir mikroplast. Så mycket om det. En jordbävning sker när plattor plötsligt rör sig och frigör energi. Vidare. Honung görs av bin från blomnektar.

Nu kan du fakta."
9,Vardagsmatte – Del 1,"Denna text förklarar fakta steg för steg.

25 gånger 4 är 100. Vi fortsätter. 12 procent av 200 är 24. Till nästa punkt. Det är 66. Detta räknas också. Det kommer fram 16:45.

Vidare. 2 äpplen är kvar. Så mycket om det. Du sover 8 timmar. Vi fortsätter. Varje person får 25 euro. Detta räknas också.

2 timmar är 120 minuter. Ytterligare ett faktum. Ett år har 365 dagar, ett skottår 366. Till nästa punkt. En minut har 60 sekunder. Ytterligare ett faktum. Den slutar 21:45.

Detta räknas också. Tiden är 12:30. Ytterligare ett faktum. Den är klar 17:05. Vi fortsätter. Den varar 5 timmar och 15 minuter. Detta räknas också.

Du är klar 19:30.

Nu kan du fakta."
10,Vardagstips – Del 1,"Nedan hittar du kontrollerad kunskap.

Bäst i korta dagliga pass med kort och aktiv användning i meningar plus repetition. Detta räknas också. Sätt en budget, kolla abonnemang, laga mer mat, jämför priser och spara först ett fast belopp. Vidare. Gör pasta med enkel tomatsås: krydda, koka, häll över pastan, strö ost. Till nästa punkt. Ta med: ID eller pass, biljett, pengar, telefon plus laddare, medicin, hygien och ombyte i handbagaget.

Till nästa punkt. Nämn felet, ta ansvar, visa ånger och erbjud gottgörelse, kort och ärligt. Detta räknas också. Bestäm resa och hotell, välj 2-3 höjdpunkter per dag, planera buffertar för mat och vägar, sätt dagbudget. Detta räknas också. Ja, ta med. Vid 80 procent är regn mycket troligt. Vi fortsätter.

Båda har fördelar: papper är utan distraktion och bra för minnet, telefon sökbar och alltid med. Vi fortsätter. Samla först skräp, sedan tvätt, lägg allt tillbaka och torka kort till sist. Vi fortsätter. Rulla kläder istället för att vika, tungt ner, fyll hål med sockor. Så mycket om det. Tvätta ris, koka upp med dubbelt vatten, låt svälla 10-12 minuter.

Vi fortsätter. Salta mycket vatten, koka upp, koka pasta 8-10 minuter, häll av. Ytterligare ett faktum. Blanda mjöl, mjölk, ägg och en nypa salt, stek tunt tills gyllene. Till nästa punkt. Tänd ljuset, drick ett glas vatten, rör dig kort och få frisk luft. Till nästa punkt.

Sov mörkt och svalt, lägg bort telefonen, håll fast rutin.

Slut på texten. Bra jobbat."
