id,text
1,Ibu kota Jerman adalah Berlin.
2,Ibu kota Jerman bernama Berlin.
3,Ibu kota Prancis adalah Paris.
4,Ibu kota Prancis bernama Paris.
5,Ibu kota Italia adalah Roma.
6,Ibu kota Italia bernama Roma.
7,Ibu kota Spanyol adalah Madrid.
8,Ibu kota Spanyol bernama Madrid.
9,Ibu kota Portugal adalah Lisabon.
10,Ibu kota Portugal bernama Lisabon.
11,Ibu kota Belanda adalah Amsterdam.
12,Ibu kota Belanda bernama Amsterdam.
13,Ibu kota Belgia adalah Brussel.
14,Ibu kota Belgia bernama Brussel.
15,Ibu kota Austria adalah Wina.
16,Ibu kota Austria bernama Wina.
17,Ibu kota Swiss adalah Bern.
18,Ibu kota Swiss bernama Bern.
19,Ibu kota Polandia adalah Warsawa.
20,Ibu kota Polandia bernama Warsawa.
21,Ibu kota Ceko adalah Praha.
22,Ibu kota Ceko bernama Praha.
23,Ibu kota Hungaria adalah Budapest.
24,Ibu kota Hungaria bernama Budapest.
25,Ibu kota Yunani adalah Athena.
26,Ibu kota Yunani bernama Athena.
27,Ibu kota Turki adalah Ankara.
28,Ibu kota Turki bernama Ankara.
29,Ibu kota Norwegia adalah Oslo.
30,Ibu kota Norwegia bernama Oslo.
31,Ibu kota Swedia adalah Stockholm.
32,Ibu kota Swedia bernama Stockholm.
33,Ibu kota Finlandia adalah Helsinki.
34,Ibu kota Finlandia bernama Helsinki.
35,Ibu kota Denmark adalah Kopenhagen.
36,Ibu kota Denmark bernama Kopenhagen.
37,Ibu kota Inggris adalah London.
38,Ibu kota Inggris bernama London.
39,Ibu kota Irlandia adalah Dublin.
40,Ibu kota Irlandia bernama Dublin.
41,Ibu kota AS adalah Washington D.C..
42,Ibu kota AS bernama Washington D.C..
43,Washington D.C..
44,Ibu kota Kanada adalah Ottawa.
45,Ibu kota Kanada bernama Ottawa.
46,Ibu kota Meksiko adalah Kota Meksiko.
47,Ibu kota Meksiko bernama Kota Meksiko.
48,Ibu kota Brasil adalah Brasilia.
49,Ibu kota Brasil bernama Brasilia.
50,Ibu kota Argentina adalah Buenos Aires.
51,Ibu kota Argentina bernama Buenos Aires.
52,Ibu kota Jepang adalah Tokyo.
53,Ibu kota Jepang bernama Tokyo.
54,Ibu kota Tiongkok adalah Beijing.
55,Ibu kota Tiongkok bernama Beijing.
56,Ibu kota India adalah New Delhi.
57,Ibu kota India bernama New Delhi.
58,Ibu kota Australia adalah Canberra.
59,Ibu kota Australia bernama Canberra.
60,Ibu kota Mesir adalah Kairo.
61,Ibu kota Mesir bernama Kairo.
62,Jerman memiliki 16 negara bagian.
63,Jerman memiliki sekitar 83-84 juta penduduk.
64,Di Brasil berbahasa Portugis.
65,Mata uang Jepang adalah yen.
66,Mata uang AS adalah dolar AS.
67,"Biasanya menghitung 7 benua: Afrika, Antartika, Asia, Australia, Eropa, Amerika Utara, Amerika Selatan."
68,"Diperdebatkan: biasanya Nil dan Amazon, keduanya lebih dari 6500 km."
69,Negara terbesar menurut luas adalah Rusia.
70,Hewan terbesar di dunia adalah paus biru.
71,"Ada 5 samudra: Atlantik, Pasifik, Hindia, Selatan dan Arktik."
72,"Gunung tertinggi adalah Everest, sekitar 8848 meter."
73,Pendaratan Bulan pertama tahun 1969 dengan Apollo 11.
74,Perang Dunia II berlangsung dari 1939 sampai 1945.
75,Perang Dunia I berlangsung dari 1914 sampai 1918.
76,Tembok Berlin adalah perbatasan berbenteng antara Berlin Timur dan Barat tahun 1961-1989.
77,Tembok Berlin jatuh pada 9 November 1989.
78,"Telepon dipatenkan oleh Alexander Graham Bell tahun 1876, dengan karya perintis Antonio Meucci."
79,Relativitas dikembangkan oleh Albert Einstein.
80,"Demokrasi berarti kekuasaan rakyat, biasanya melalui pemilu bebas dan hak dasar."
81,UE adalah serikat negara Eropa dengan pasar tunggal dan lembaga bersama.
82,UE memiliki 27 negara anggota.
