id,title,text
1,世界首都–第1部分,"本文一步一步解释事实。

德国的首都是柏林。 这也重要。 法国的首都是巴黎。 继续往下。 意大利的首都是罗马。 说完这个,说下一个。 西班牙的首都是马德里。

就说到这里。 葡萄牙的首都是里斯本。 说完这个,说下一个。 荷兰的首都是阿姆斯特丹。 说完这个,说下一个。 比利时的首都是布鲁塞尔。 就说到这里。

奥地利的首都是维也纳。 再有一个事实。 瑞士的首都是伯尔尼。 继续。 波兰的首都是华沙。 继续往下。 捷克的首都是布拉格。

继续往下。 匈牙利的首都是布达佩斯。 继续往下。 希腊的首都是雅典。 就说到这里。 土耳其的首都是安卡拉。 继续。

挪威的首都是奥斯陆。

这是主题最重要的内容。"
2,世界首都–第2部分,"本文介绍重要事实。静静阅读。

瑞典的首都是斯德哥尔摩。 继续。 芬兰的首都是赫尔辛基。 继续往下。 丹麦的首都是哥本哈根。 继续往下。 英国的首都是伦敦。

继续。 爱尔兰的首都是都柏林。 再有一个事实。 美国的首都是华盛顿。 继续往下。 加拿大的首都是渥太华。 这也重要。

墨西哥的首都是墨西哥城。 说完这个,说下一个。 巴西的首都是巴西利亚。 继续。 阿根廷的首都是布宜诺斯艾利斯。 继续往下。 日本的首都是东京。

继续往下。 中国的首都是北京。 继续往下。 印度的首都是新德里。 继续。 澳大利亚的首都是堪培拉。 继续往下。

埃及的首都是开罗。

现在你知道事实了。"
3,国家语言和纪录–第1部分,"本文一步一步解释事实。

德国有16个州。 继续。 德国大约有8300到8400万人。 再有一个事实。 巴西说葡萄牙语。 继续往下。 日本的货币是日元。

说完这个,说下一个。 美国的货币是美元。 继续。 通常数7个大洲:非洲,南极洲,亚洲,澳洲,欧洲,北美洲,南美洲。 说完这个,说下一个。 有争议:常说尼罗河和亚马逊河,都超过6500公里。 就说到这里。

按面积世界最大的是俄罗斯。 再有一个事实。 世界最大的动物是蓝鲸。 这也重要。 有5个大洋:大西洋,太平洋,印度洋,南大洋和北冰洋。 这也重要。 最高的山是珠穆朗玛峰,约8848米。

继续。 加拿大的首都是渥太华。 继续往下。 澳大利亚的首都是堪培拉。 就说到这里。 土耳其的首都是安卡拉。 继续往下。

巴西的首都是巴西利亚。

现在你知道事实了。"
4,历史简述–第1部分,"下面是验证过的知识。

第一次登月是1969年阿波罗11号。 继续往下。 二战从1939持续到1945。 说完这个,说下一个。 一战从1914持续到1918。 就说到这里。 柏林墙是1961到1989年东西柏林之间的隔离边界。

就说到这里。 柏林墙在1989年11月9日倒塌。 再有一个事实。 电话是1876年贝尔申请专利,莫伊奇有先驱工作。 再有一个事实。 相对论是爱因斯坦提出的。 说完这个,说下一个。

民主意思是人民当家,通常通过自由选举和基本权利。 这也重要。 欧盟是欧洲国家联盟,有统一市场和共同机构。 继续。 欧盟有27个成员国。 这也重要。 基本法是德国宪法,1949年以来有效。

就说到这里。 德国在1990年统一。 继续。 中世纪是从大约500到1500年的时期,在古代和现代之间。 这也重要。 达芬奇是意大利艺术家和发明家,蒙娜丽莎很著名。 说完这个,说下一个。

居里夫人研究放射性,获得两次诺贝尔奖。

概述结束。"
5,历史简述–第2部分,"这里学习有序知识。慢慢来。

法国大革命1789年以来推翻君主制,自由平等博爱。 再有一个事实。 人权是每个人的基本权利,比如生命自由平等。 就说到这里。 通货膨胀意思是价格上涨,钱贬值。 说完这个,说下一个。 工业化是18世纪以来转向机器和工厂。

继续往下。 基础是1969年ARPANET,万维网1989年以来。 继续往下。 汽车是奔驰1886年发明的。 继续往下。 第一次动力飞行是1903年莱特兄弟。 继续。

联邦议院18岁起。德国欧洲选举16岁起。 继续往下。 选民投票,计票,按结果分配席位。 这也重要。 独裁是一个人或集团无自由选举统治;民主权力来自人民。 就说到这里。 可持续意思是生活让后代也有足够资源。

继续往下。 霸凌是重复欺负。和信任的人谈,保留证据,求助。 这也重要。 和平意思是不带战争暴力一起生活。 再有一个事实。 自由意思是自由生活不伤害别人。 继续往下。

公正意思是对每个人公平平等。

现在你知道事实了。"
6,自然科学和技术–第1部分,"下面是验证过的知识。

天空蓝色是因为瑞利散射:蓝光比红光散射更多。 就说到这里。 雨通过蒸发形成:水上升,冷却,成云,落成水滴。 再有一个事实。 光合作用用光水CO2制造糖和氧。 说完这个,说下一个。 天气是短期状态;气候是大约30年平均。

说完这个,说下一个。 冰箱用制冷剂把热量从里泵到外:里面蒸发吸热,外面放热。 继续往下。 电简单说是电荷定向运动,通常是电线里的电子。 再有一个事实。 水是H2O,氢和氧的化合物。 这也重要。

病毒是很小的病原,没有宿主细胞不能繁殖。 说完这个,说下一个。 人工智能是从数据学习识别模式解决任务的程序。 这也重要。 浏览器是打开网页的程序,比如Chrome,Firefox,Edge或Safari。 继续。 应用是程序,通常手机用,比如消息照片游戏。

再有一个事实。 水稳定循环和专注,帮助肾和皮肤,预防头痛。 就说到这里。 大约2分钟,每天两次。 这也重要。 重力是质量间吸引。地球把一切往下拉,所以东西掉落。 再有一个事实。

空气是气体混合,主要是氮和氧。

文章结束。做得好。"
7,自然科学和技术–第2部分,"下面是验证过的知识。

心脏把血泵到全身。 这也重要。 肺吸入氧气,排出二氧化碳。 就说到这里。 睡眠帮助恢复记忆和免疫。 继续往下。 发烧是体温升高,常常防御感染。

继续往下。 强密码很长,每个服务唯一,保存在密码管理器。 继续往下。 Wi-Fi是不用线的无线局域网上网。 再有一个事实。 云是网上的服务器,存数据用服务。 就说到这里。

GPS用几颗卫星信号和传播时间定位。 就说到这里。 白天黑夜因为地球自转。向阳面白天,另一面黑夜。 继续往下。 四季来自地轴倾斜:每个半球轮流倾向太阳。 说完这个,说下一个。 月亮发光因为反射太阳光。

说完这个,说下一个。 太阳是炽热气体的恒星,给光和热。 说完这个,说下一个。 太阳系有8颗行星:水星,金星,地球,火星,木星,土星,天王星,海王星。 这也重要。 原子是物质最小单位,由核和电子组成。 这也重要。

回收收集垃圾做成新产品。

概述结束。"
8,自然科学和技术–第3部分,"下面是验证过的知识。

温室效应留住热量。太多温室气体加热气候。 继续往下。 蜜蜂给植物授粉,保证收成和多样性。 这也重要。 叶子绿色因为叶绿素,光合作用的色素。 继续。 哺乳动物有毛,生小崽,用奶喂养。

再有一个事实。 电池把化学能变成电能。 继续。 太阳能电池把光直接变成电。 再有一个事实。 病毒是传播造成损害的有害程序。用更新和小心防护。 再有一个事实。

塑料几乎不腐烂,污染自然和海洋,变成微塑料。 继续。 地震是板块突然移动释放能量。 就说到这里。 蜂蜜是蜜蜂用花蜜做的。

现在你知道事实了。"
9,日常计算–第1部分,"本文一步一步解释事实。

25乘4是100。 继续。 200的12%是24。 这也重要。 是66。 这也重要。 16:45到。

再有一个事实。 剩2个苹果。 继续往下。 睡8小时。 这也重要。 每人25欧元。 继续。

2小时是120分钟。 继续往下。 一年365天,闰年366天。 就说到这里。 一分钟60秒。 继续往下。 21:45结束。

这也重要。 约在12:30。 这也重要。 17:05好。 就说到这里。 5小时15分钟。 继续往下。

19:30读完。

文章结束。做得好。"
10,日常建议–第1部分,"下面是验证过的知识。

最好每天短时用卡片,在句子里主动用加重复。 继续。 定预算,查订阅,多做饭,比价格,先存固定金额。 说完这个,说下一个。 做简单番茄酱:调味,煮,浇在面上,撒奶酪。 这也重要。 带:证件或护照,票,钱,手机加充电器,药,卫生用品和手提换洗。

再有一个事实。 说出错,负责,表歉意,提弥补,简短真诚。 这也重要。 定交通酒店,每天选2-3景点,留吃饭走路余地,定日预算。 再有一个事实。 是的,带上。80%很可能下雨。 再有一个事实。

都有优点:纸不分心好记,手机可搜随身。 就说到这里。 先收垃圾,再收洗衣,归位,最后擦。 继续往下。 卷衣服不叠,重的下,袜子填空。 继续。 洗米,双倍水烧开,焖10-12分钟。

这也重要。 多水加盐烧开,煮8-10分钟,捞出。 再有一个事实。 面粉牛奶鸡蛋加盐搅,薄煎至金黄。 说完这个,说下一个。 开灯,喝杯水,动一下,呼吸新鲜空气。 再有一个事实。

黑凉睡,不看手机,固定规律。

这是主题最重要的内容。"
