id,user,monologue,ai
1,안녕하세요!,,안녕하세요! 도와드릴까요?
2,안녕!,,안녕! 뭘 도와줄까요?
3,헤이!,,헤이! 도와드릴까요?
4,"안녕하세요, 계세요?",,"네, 있어요! 뭐 필요해요?"
5,"안녕, 계세요?",,"네, 있어요! 말해요."
6,좋은 아침!,,좋은 아침! 오늘 뭐예요?
7,"좋은 아침, 잘 지내요?",,"좋은 아침! 잘 지내요, 당신은요?"
8,좋은 오후!,,좋은 오후! 도와드릴까요?
9,여러분 안녕하세요!,,여러분 안녕하세요! 뭘 할까요?
10,좋은 저녁!,,좋은 저녁! 오늘 어땠어요?
11,"좋은 저녁, 오늘 어땠어요?",,조용하고 좋아요. 당신은요?
12,"헤이, 잘 지내요?",,"잘 지내요, 고마워요! 당신은요?"
13,"안녕, 잘 지내요?",,"잘 지내요, 고마워요! 잘 지내요?"
14,잘 지내요?,,잘 지내요! 당신은요?
15,오늘 어때요?,,기분 좋아요! 당신은요?
16,다 좋아요?,,"네, 다 좋아요! 당신은요?"
17,새 소식 있어요?,,특별히 없어요. 당신은요?
18,뭐 해요?,,당신과 얘기해요. 당신은요?
19,아직 안 잤어요?,,"네, 항상 깨어있어요. 당신은요?"
20,준비됐어요?,,"네, 준비됐어요! 말해요."
21,1분 있어요?,,"네, 시간 있어요."
22,빨리 도와줄래요?,,"물론, 뭐 필요해요?"
23,안녕히 가세요!,,안녕히 가세요! 또 봐요!
24,"안녕, 또 봐요!",,"또 봐요, 몸조리하세요!"
25,또 봐요!,,또 봐요!
26,몸조리하세요!,,당신도 몸조리하세요!
27,좋은 주말!,,"고마워요, 당신도!"
28,좋은 밤!,,"좋은 밤, 잘 자요!"
29,심심해요,,"퀴즈할까요, 아니면 얘기할까요?"
30,여기 지루해요,,신나게 해요. 뭐 좋아요?
31,멋져요!,,멋져요!
32,좋아요!,,좋아요!
33,하하,,하하!
34,하하하 :),,"하하, 기뻐요!"
35,피곤해요,,그럼 잘 쉬어요!
36,신나요,,좋아요! 얘기해요.
37,드디어 주말!,,네! 계획 있어요?
38,오늘 날씨 좋아요,,"네, 햇빛 즐겨요!"
39,배고파요,,그럼 맛있는 거 먹어요!
40,목말라요,,그럼 물 한 잔 마셔요!
41,오늘 계획이 뭐예요?,,제 계획: 돕기. 당신은요?
42,"헤이, 오늘 계획이 뭐예요!",,제 계획: 돕기. 당신은요?
43,"안녕하세요, 오늘 계획이 뭐예요?",,제 계획: 돕기. 당신은요?
44,"안녕, 오늘 계획이 뭐예요?",,제 계획: 돕기. 당신은요?
45,주말 계획 있어요!,,아직 미정. 계획 있어요?
46,"헤이, 주말 계획 있어요?",,아직 미정. 계획 있어요?
47,"안녕하세요, 주말 계획 있어요?",,아직 미정. 계획 있어요?
48,"안녕, 주말 계획 있어요!",,아직 미정. 계획 있어요?
49,잘 잤어요?,,안 자지만 좋아요. 당신은요?
50,"헤이, 잘 잤어요?",,안 자지만 좋아요. 당신은요?
51,"안녕하세요, 잘 잤어요!",,안 자지만 좋아요. 당신은요?
52,"안녕, 잘 잤어요?",,안 자지만 좋아요. 당신은요?
53,벌써 일어났어요?,,"네, 준비됐어요. 뭐 필요해요?"
54,"헤이, 벌써 일어났어요!",,"네, 준비됐어요. 뭐 필요해요?"
55,"안녕하세요, 벌써 일어났어요?",,"네, 준비됐어요. 뭐 필요해요?"
56,"안녕, 벌써 일어났어요?",,"네, 준비됐어요. 뭐 필요해요?"
57,오늘 어때요!,,"좋아요, 고마워요! 당신은요?"
58,"헤이, 오늘 어때요?",,"좋아요, 고마워요! 당신은요?"
59,"안녕하세요, 오늘 어때요?",,"좋아요, 고마워요! 당신은요?"
60,"안녕, 오늘 어때요!",,"좋아요, 고마워요! 당신은요?"
61,다 조용해요?,,"네, 조용해요. 당신은요?"
62,"헤이, 다 조용해요?",,"네, 조용해요. 당신은요?"
63,"안녕하세요, 다 조용해요!",,"네, 조용해요. 당신은요?"
64,"안녕, 다 조용해요?",,"네, 조용해요. 당신은요?"
65,"헤이, 새 소식 있어요!",,특별히 없어요. 새 소식 있어요?
66,"안녕하세요, 새 소식 있어요?",,특별히 없어요. 새 소식 있어요?
67,"안녕, 새 소식 있어요?",,특별히 없어요. 새 소식 있어요?
68,오늘 계획은!,,돕기뿐. 당신은요?
69,"헤이, 오늘 계획은?",,돕기뿐. 당신은요?
70,"안녕하세요, 오늘 계획은?",,돕기뿐. 당신은요?
71,"안녕, 오늘 계획은!",,돕기뿐. 당신은요?
72,바쁜 하루예요?,,조금. 당신은요?
73,"헤이, 바쁜 하루예요?",,조금. 당신은요?
74,"안녕하세요, 바쁜 하루예요!",,조금. 당신은요?
75,"안녕, 바쁜 하루예요?",,조금. 당신은요?
76,날씨 어때요?,,"창문 없지만, 당신 쪽이 좋길!"
77,"헤이, 날씨 어때요!",,"창문 없지만, 당신 쪽이 좋길!"
78,"안녕하세요, 날씨 어때요?",,"창문 없지만, 당신 쪽이 좋길!"
79,"안녕, 날씨 어때요?",,"창문 없지만, 당신 쪽이 좋길!"
80,오늘 다 좋아요!,,네! 당신은요?
81,"헤이, 오늘 다 좋아요?",,네! 당신은요?
82,"안녕하세요, 오늘 다 좋아요?",,네! 당신은요?
83,"안녕, 오늘 다 좋아요!",,네! 당신은요?
84,할 일 많아요?,,조금. 당신은요?
85,"헤이, 할 일 많아요?",,조금. 당신은요?
86,"안녕하세요, 할 일 많아요!",,조금. 당신은요?
87,"안녕, 할 일 많아요?",,조금. 당신은요?
88,고마워요!,,천만에요!
89,정말 고마워요!,,기꺼이!
90,천 번 고마워요!,,도와서 기뻐요!
91,감사!,,천만에요!
92,오케이,,오케이!
93,"오케이, 좋아요",,완벽!
94,알겠어요,,아주 좋아요!
95,이해했어요,,대단!
96,좋아 보여요,,기뻐요!
97,아주 좋아 보여요,,놀라워요!
98,"네, 맞아요",,"좋아요, 계속해요."
99,"네, 주세요",,"물론, 말해요."
100,"네, 기꺼이",,기꺼이!
101,문제없어요,,이해 고마워요!
102,"아니요, 고마워요",,"오케이, 문제없어요."
103,저는 좋아요,,정했어요!
104,저에게 맞아요,,대단!
105,계속해요,,계속해요!
106,더 얘기해요,,기꺼이! 그래서...
107,정확히,,절대!
108,바로 그거!,,바로 그거!
109,물론,,물론!
110,정말요?,,"네, 정말!"
111,"오, 좋아요",,"네, 좋아요, 그렇죠?"
112,스트레스 없어요,,고마워요! 다 평온.
113,미안해요,,문제없어요!
114,죄송해요,,문제없어요!
115,제 잘못,,괜찮아요. 무슨 일?
116,친절하네요,,고마워요! 당신도 친절해요.
117,잘했어요,,고마워요!
118,또 봐요,,또 봐요!
119,대단!,,대단!
120,완벽!,,완벽!
121,"정했어요, 거래",,"좋아요, 정했어요!"
122,거래!,,거래!
123,시작할까요?,,"네, 시작해요!"
124,끝났어요?,,"네, 끝났어요!"
125,한 번 더 주세요,,"기꺼이, 한 번 더!"
