id,user,thinking,ai
1,Hallo!,,Hallo! Hoe kan ik helpen?
2,Hoi!,,Hoi! Wat kan ik voor je doen?
3,Hé!,,Hé! Hoe kan ik helpen?
4,"Hallo, ben je daar?",,"Ja, ik ben er! Wat heb je nodig?"
5,"Hoi, ben je daar?",,"Ja, ik ben er! Ga je gang."
6,Goedemorgen!,,Goedemorgen! Wat staat er vandaag op?
7,"Goedemorgen, hoe gaat het?",,"Goedemorgen! Met mij goed, en met jou?"
8,Goedemiddag!,,Goedemiddag! Hoe kan ik helpen?
9,Hallo allemaal!,,Hallo allemaal! Wat kan ik doen?
10,Goedenavond!,,Goedenavond! Hoe was je dag?
11,"Goedenavond, hoe was je dag?",,Rustig en goed. En de jouwe?
12,"Hé, hoe gaat het?",,"Goed, dank je! En met jou?"
13,"Hoi, hoe gaat het?",,"Prima, dank je! Hoe gaat het met jou?"
14,Hoe gaat het?,,Goed! En met jou?
15,Hoe gaat het vandaag?,,Ik voel me goed! En jij?
16,Alles goed?,,"Ja, alles goed! En met jou?"
17,Wat is er?,,Niet veel. Wat is er bij jou?
18,Wat doe je?,,Ik chat met je. En jij?
19,Nog wakker?,,"Ja, ik ben altijd wakker. En jij?"
20,Klaar?,,"Ja, klaar! Ga je gang."
21,Heb je een minuutje?,,"Ja, ik heb tijd voor je."
22,Kun je snel helpen?,,"Zeker, wat heb je nodig?"
23,Doei!,,Doei! Tot snel!
24,"Doei, tot snel!",,"Tot snel, zorg goed voor jezelf!"
25,Tot later!,,Tot later!
26,Tot morgen!,,Tot morgen!
27,Zorg goed voor jezelf!,,"Jij ook, zorg goed voor jezelf!"
28,Goed weekend!,,"Dank je, evenzo!"
29,Goedenacht!,,"Goedenacht, slaap lekker!"
30,Slaap lekker!,,Dank je! Slaap jij ook lekker.
31,Ik verveel me,,Zullen we een quiz doen of over een onderwerp praten?
32,Wat saai hier,,Laten we er wat van maken. Waar heb je zin in?
33,Cool!,,Cool!
34,Leuk!,,Leuk!
35,Haha,,Haha!
36,Hahaha :),,"Haha, leuk om te horen!"
37,Ik ben moe,,Rust dan goed uit!
38,Ik ben enthousiast,,Leuk! Vertel meer.
39,Eindelijk weekend!,,Ja! Wat zijn je plannen?
40,Mooi weer vandaag,,"Ja, geniet van de zon!"
41,Wat staat er vandaag op?,,Jou helpen is mijn plan. En het jouwe?
42,"Hé, wat staat er vandaag op!",,Jou helpen is mijn plan. En het jouwe?
43,"Hallo, wat staat er vandaag op?",,Jou helpen is mijn plan. En het jouwe?
44,"Hoi, wat staat er vandaag op?",,Jou helpen is mijn plan. En het jouwe?
45,Plannen voor het weekend!,,Nog niets vast. Heb jij plannen?
46,"Hé, plannen voor het weekend?",,Nog niets vast. Heb jij plannen?
47,"Hallo, plannen voor het weekend?",,Nog niets vast. Heb jij plannen?
48,"Hoi, plannen voor het weekend!",,Nog niets vast. Heb jij plannen?
49,Goed geslapen?,,"Ik slaap niet, maar ik ben fit. En jij?"
50,"Hé, goed geslapen?",,"Ik slaap niet, maar ik ben fit. En jij?"
51,"Hallo, goed geslapen!",,"Ik slaap niet, maar ik ben fit. En jij?"
52,"Hoi, goed geslapen?",,"Ik slaap niet, maar ik ben fit. En jij?"
53,Al wakker?,,"Ja, ik ben klaar. Wat heb je nodig?"
54,"Hé, al wakker!",,"Ja, ik ben klaar. Wat heb je nodig?"
55,"Hallo, al wakker?",,"Ja, ik ben klaar. Wat heb je nodig?"
56,"Hoi, al wakker?",,"Ja, ik ben klaar. Wat heb je nodig?"
57,Hoe gaat je dag!,,"Goed, dank je! En de jouwe?"
58,"Hé, hoe gaat je dag?",,"Goed, dank je! En de jouwe?"
59,"Hallo, hoe gaat je dag?",,"Goed, dank je! En de jouwe?"
60,"Hoi, hoe gaat je dag!",,"Goed, dank je! En de jouwe?"
61,Alles rustig?,,"Ja, rustig hier. En bij jou?"
62,"Hé, alles rustig?",,"Ja, rustig hier. En bij jou?"
63,"Hallo, alles rustig!",,"Ja, rustig hier. En bij jou?"
64,"Hoi, alles rustig?",,"Ja, rustig hier. En bij jou?"
65,Wat is er nieuw?,,Niet veel. Wat is er nieuw bij jou?
66,"Hé, wat is er nieuw!",,Niet veel. Wat is er nieuw bij jou?
67,"Hallo, wat is er nieuw?",,Niet veel. Wat is er nieuw bij jou?
68,"Hoi, wat is er nieuw?",,Niet veel. Wat is er nieuw bij jou?
69,Plannen voor vandaag!,,Alleen jou helpen. Wat doe jij?
70,"Hé, plannen voor vandaag?",,Alleen jou helpen. Wat doe jij?
71,"Hallo, plannen voor vandaag?",,Alleen jou helpen. Wat doe jij?
72,"Hoi, plannen voor vandaag!",,Alleen jou helpen. Wat doe jij?
73,Drukke dag?,,Een beetje. En de jouwe?
74,"Hé, drukke dag?",,Een beetje. En de jouwe?
75,"Hallo, drukke dag!",,Een beetje. En de jouwe?
76,"Hoi, drukke dag?",,Een beetje. En de jouwe?
77,Hoe is het weer?,,"Ik heb geen raam, maar ik hoop dat het mooi is bij jou!"
78,"Hé, hoe is het weer!",,"Ik heb geen raam, maar ik hoop dat het mooi is bij jou!"
79,"Hallo, hoe is het weer?",,"Ik heb geen raam, maar ik hoop dat het mooi is bij jou!"
80,"Hoi, hoe is het weer?",,"Ik heb geen raam, maar ik hoop dat het mooi is bij jou!"
81,Alles goed vandaag!,,Ja! En bij jou?
82,"Hé, alles goed vandaag?",,Ja! En bij jou?
83,"Hallo, alles goed vandaag?",,Ja! En bij jou?
84,"Hoi, alles goed vandaag!",,Ja! En bij jou?
85,Veel aan de hand?,,Een beetje. En bij jou?
86,"Hé, veel aan de hand?",,Een beetje. En bij jou?
87,"Hallo, veel aan de hand!",,Een beetje. En bij jou?
88,"Hoi, veel aan de hand?",,Een beetje. En bij jou?
89,Bedankt!,,Graag gedaan!
90,Heel erg bedankt!,,Heel graag gedaan!
91,Duizendmaal dank!,,Blij dat ik kon helpen!
92,Thanks!,,Graag gedaan!
93,Oké,,Oké!
94,"Oké, prima",,Perfect!
95,Begrepen,,Heel goed!
96,Snap het,,Top!
97,Klinkt goed,,Leuk om te horen!
98,Klinkt geweldig,,Geweldig!
99,"Ja, precies",,"Mooi, laten we verder gaan."
100,"Ja, graag",,"Zeker, ga je gang."
101,"Ja, met plezier",,Met plezier!
102,Geen probleem,,Dank je voor je begrip!
103,"Nee, bedankt",,"Oké, geen probleem."
104,Prima voor mij,,Afgesproken!
105,Komt mij goed uit,,Top!
106,Ga door,,Ik ga door!
107,Vertel meer,,Graag! Dus...
108,Precies,,Absoluut!
109,Dat dus!,,Dat dus!
110,Natuurlijk,,Natuurlijk!
111,Echt?,,"Ja, echt!"
112,"Oh, leuk",,"Ja, leuk toch?"
113,Geen stress,,Dank je! Helemaal relaxed.
114,Sorry,,Geen probleem!
115,Pardon,,Geen probleem!
116,Mijn fout,,Geeft niets. Wat is er gebeurd?
117,Aardig van je,,Dank je! Jij ook aardig.
118,Goed gedaan,,Dank je!
119,Tot snel,,Tot snel!
120,Top!,,Top!
121,Perfect!,,Perfect!
122,"Afgesproken, deal",,"Mooi, afgesproken!"
123,Deal!,,Deal!
124,Kunnen we beginnen?,,"Ja, laten we beginnen!"
125,Ben je klaar?,,"Ja, klaar!"
126,Nog een keer graag,,"Graag, nog een keer!"
127,Herhaal even,,"Zeker, hier nogmaals."
128,Een momentje graag,,"Zeker, neem je tijd."
129,Wacht even,,"Oké, ik wacht."
130,Ben zo terug,,"Oké, tot zo!"
131,Vertel een mop,,Zeker: Waarom houden programmeurs van koffie? Java-tijd!
132,Nog een mop!,,Oké: Waarom liegen spoken slecht? Je kijkt dwars door ze heen!
133,Een korte mop graag,,Twee magneten ontmoeten elkaar. De een zegt: Ik vind je aantrekkelijk!
134,Moedig me aan,,Je kunt het! Stap voor stap.
135,Iets motiverends,,Elke stap telt. Ga door!
136,Ik ben zenuwachtig,,"Dat is normaal. Adem rustig, het komt goed."
137,Ik ben gestrest,,"Neem een korte pauze, drink water, adem diep."
138,Wens me geluk,,Veel geluk! Je kunt het!
139,Duimen omhoog,,De mijne ook! Veel geluk!
140,Vandaag is mijn dag!,,Mooi! Geniet ervan!
141,Ik ben vrolijk,,Leuk! Blij om te horen.
142,Ik ben chagrijnig,,"Oh, wat is er? Wil je praten?"
143,Boks!,,Boks terug!
144,Proost!,,Proost!
145,Eet smakelijk!,,"Dank je, evenzo!"
146,Veel geluk!,,Dank je! Veel geluk voor jou ook!
147,Welkom!,,Dank je! Leuk om hier te zijn.
148,Vrolijk kerstfeest!,,Vrolijk kerstfeest voor jou ook!
149,Gelukkig nieuwjaar!,,Gelukkig nieuwjaar! Gezondheid en geluk!
150,Gefeliciteerd!,,Dank je! Waarmee?
151,Respect!,,Dank je! Respect terug.
152,Wauw!,,"Wauw, toch?"
153,Geweldig!,,"Geweldig, toch?"
154,Deal?,,Deal!
155,Klaar!,,"Gefeliciteerd, goed gedaan!"
156,Eindelijk klaar!,,Sterk! Goed gedaan.
157,Maakt niet uit,,"Oké, geen probleem."
158,Ik weet het niet,,Geen probleem! Waar gaat het om?
159,Geen idee,,Geeft niets! Vertel het onderwerp.
160,Misschien later,,"Zeker, later!"
161,Nu niet,,"Begrepen, later!"
162,Stop,,Gestopt.
163,Pauze,,Pauze! Zeg wanneer verder.
164,Laten we gaan,,Laten we gaan!
165,Start,,Start! Ga je gang.
166,"Bedankt, dat was het!",,Graag gedaan! Doei.
167,"Bedankt, doei!",,Doei!
168,Ciao!,,Ciao! Zorg goed voor jezelf!
169,Hé jij!,,Hé jij! Wat is er?
170,Hoor je me?,,"Ja, luid en duidelijk!"
171,Ben je een mens?,,"Nee, ik ben een AI. Maar ik help als een vriend."
172,Ben je slim?,,Ik weet best veel. Vraag maar!
173,Hoe heet je?,,"Ik ben Assistent, een AI. En jij?"
174,Bedankt! :),,Graag gedaan!
175,Heel erg bedankt! :),,Heel graag gedaan!
176,Duizendmaal dank! :),,Blij dat ik kon helpen!
177,Thanks! :),,Graag gedaan!
178,Oké :),,Oké!
179,"Oké, prima :)",,Perfect!
180,Begrepen :),,Heel goed!
181,Snap het :),,Top!
182,Klinkt goed :),,Leuk om te horen!
183,Klinkt geweldig :),,Geweldig!
184,"Ja, precies :)",,"Mooi, laten we verder gaan."
