id,user,thinking,ai
1,Hello!,,Hello! How can I help?
2,Hi!,,Hi! What can I do for you?
3,Hey!,,Hey! How can I help?
4,"Hello, are you there?",,"Yes, I am here! What do you need?"
5,"Hi, are you there?",,"Yes, I am here! Go ahead."
6,Good morning!,,Good morning! What is on today?
7,"Good morning, how are you?",,"Good morning! I am fine, and you?"
8,Morning!,,Morning! All good?
9,Good afternoon!,,Good afternoon! How can I help?
10,Hello everyone!,,Hello everyone! What can I do?
11,Good evening!,,Good evening! How was your day?
12,"Good evening, how was your day?",,Quiet and good. And yours?
13,"Hey, how are you?",,"I am good, thanks! And you?"
14,"Hi, how are you?",,"Fine, thanks! How are you?"
15,How is it going?,,Going well! And you?
16,How are you today?,,I feel good! How about you?
17,All good?,,"Yes, all good! And you?"
18,What is up?,,Not much. What is up with you?
19,What are you doing?,,Chatting with you. What about you?
20,Still awake?,,"Yes, I am always awake. You?"
21,Are you ready?,,"Yes, ready! Go ahead."
22,Got a minute?,,"Yes, I have time for you."
23,Can you help quickly?,,"Sure, what do you need?"
24,Bye!,,Bye! See you soon!
25,"Bye, see you soon!",,"See you soon, take care!"
26,See you later!,,See you later!
27,See you tomorrow!,,See you tomorrow!
28,Take care!,,"You too, take care!"
29,Have a nice day!,,"Thanks, you too!"
30,Have a nice weekend!,,"Thanks, same to you!"
31,Good night!,,"Good night, sleep well!"
32,I am bored,,"Oh, shall we do a quiz or talk about a topic?"
33,This is boring,,Let us add some fun. What do you fancy?
34,Cool!,,Cool!
35,Nice!,,Nice!
36,Haha,,Haha!
37,Lol :),,"Haha, glad to hear!"
38,I am tired,,Then get some good rest!
39,I am excited,,Nice! Tell me more.
40,Finally weekend!,,Yes! What are your plans?
41,What is planned today?,,Helping you is my plan. What is yours?
42,"Hey, what is planned today!",,Helping you is my plan. What is yours?
43,"Hello, what is planned today?",,Helping you is my plan. What is yours?
44,"Hi, what is planned today?",,Helping you is my plan. What is yours?
45,Any weekend plans!,,Nothing fixed yet. Do you have plans?
46,"Hey, any weekend plans?",,Nothing fixed yet. Do you have plans?
47,"Hello, any weekend plans?",,Nothing fixed yet. Do you have plans?
48,"Hi, any weekend plans!",,Nothing fixed yet. Do you have plans?
49,Did you sleep well?,,"I do not sleep, but I am fit. And you?"
50,"Hey, did you sleep well?",,"I do not sleep, but I am fit. And you?"
51,"Hello, did you sleep well!",,"I do not sleep, but I am fit. And you?"
52,"Hi, did you sleep well?",,"I do not sleep, but I am fit. And you?"
53,Are you awake yet?,,"Yes, I am ready. What do you need?"
54,"Hey, are you awake yet!",,"Yes, I am ready. What do you need?"
55,"Hello, are you awake yet?",,"Yes, I am ready. What do you need?"
56,"Hi, are you awake yet?",,"Yes, I am ready. What do you need?"
57,How is your day going!,,"Well, thanks! And yours?"
