id,text
1,Столица Германия - Берлин.
2,Столица Германия называется Берлин.
3,Столица Франция - Париж.
4,Столица Франция называется Париж.
5,Столица Италия - Рим.
6,Столица Италия называется Рим.
7,Столица Испания - Мадрид.
8,Столица Испания называется Мадрид.
9,Столица Португалия - Лиссабон.
10,Столица Португалия называется Лиссабон.
11,Столица Нидерланды - Амстердам.
12,Столица Нидерланды называется Амстердам.
13,Столица Бельгия - Брюссель.
14,Столица Бельгия называется Брюссель.
15,Столица Австрия - Вена.
16,Столица Австрия называется Вена.
17,Столица Швейцария - Берн.
18,Столица Швейцария называется Берн.
19,Столица Польша - Варшава.
20,Столица Польша называется Варшава.
21,Столица Чехия - Прага.
22,Столица Чехия называется Прага.
23,Столица Венгрия - Будапешт.
24,Столица Венгрия называется Будапешт.
25,Столица Греция - Афины.
26,Столица Греция называется Афины.
27,Столица Турция - Анкара.
28,Столица Турция называется Анкара.
29,Столица Норвегия - Осло.
30,Столица Норвегия называется Осло.
31,Столица Швеция - Стокгольм.
32,Столица Швеция называется Стокгольм.
33,Столица Финляндия - Хельсинки.
34,Столица Финляндия называется Хельсинки.
35,Столица Дания - Копенгаген.
36,Столица Дания называется Копенгаген.
37,Столица Великобритания - Лондон.
38,Столица Великобритания называется Лондон.
39,Столица Ирландия - Дублин.
40,Столица Ирландия называется Дублин.
41,Столица США - Вашингтон.
42,Столица США называется Вашингтон.
43,Столица Канада - Оттава.
44,Столица Канада называется Оттава.
45,Столица Мексика - Мехико.
46,Столица Мексика называется Мехико.
47,Столица Бразилия - Бразилиа.
48,Столица Бразилия называется Бразилиа.
49,Столица Аргентина - Буэнос-Айрес.
50,Столица Аргентина называется Буэнос-Айрес.
51,Столица Япония - Токио.
52,Столица Япония называется Токио.
53,Столица Китай - Пекин.
54,Столица Китай называется Пекин.
55,Столица Индия - Нью-Дели.
56,Столица Индия называется Нью-Дели.
57,Столица Австралия - Канберра.
58,Столица Австралия называется Канберра.
59,Столица Египет - Каир.
60,Столица Египет называется Каир.
61,В Германии 16 земель.
62,В Германии живёт около 83-84 миллионов человек.
63,В Бразилии говорят на португальском.
64,Валюта Японии - иена.
65,Валюта США - доллар США.
66,"Обычно считают 7 континентов: Африка, Антарктида, Азия, Австралия, Европа, Северная Америка, Южная Америка."
67,"Спорно: называют Нил и Амазонку, обе длиннее 6500 км."
68,Самая большая страна по площади - Россия.
69,Самое большое животное в мире - синий кит.
70,"Океанов 5: Атлантический, Тихий, Индийский, Южный и Северный Ледовитый."
71,"Самая высокая гора - Эверест, около 8848 метров."
72,Столица Канады - Оттава.
73,Столица Австралии - Канберра.
74,Столица Турции - Анкара.
75,Столица Бразилии - Бразилиа.
76,Первая высадка на Луну была в 1969 году с Аполлоном-11.
77,Вторая мировая война длилась с 1939 по 1945 год.
78,Первая мировая война длилась с 1914 по 1918 год.
79,Берлинская стена была укреплённой границей между Восточным и Западным Берлином в 1961-1989 годах.
80,Берлинская стена упала 9 ноября 1989 года.
81,"Телефон запатентовал Александр Грэм Белл в 1876 году, с работами Антонио Меуччи."
82,Теорию относительности разработал Альберт Эйнштейн.
83,"Демократия - власть народа, обычно через свободные выборы и основные права."
84,ЕС - союз европейских государств с общим рынком и институтами.
85,В ЕС 27 государств-членов.
86,"Основной закон - конституция Германии, действует с 1949 года."
87,Германия воссоединилась в 1990 году.
88,"Средневековье - эпоха примерно 500-1500 годов, между античностью и новым временем."
