id,text
1,जर्मनी की राजधानी बर्लिन है।
2,जर्मनी की राजधानी बर्लिन कहलाती है।
3,फ्रांस की राजधानी पेरिस है।
4,फ्रांस की राजधानी पेरिस कहलाती है।
5,इटली की राजधानी रोम है।
6,इटली की राजधानी रोम कहलाती है।
7,स्पेन की राजधानी मैड्रिड है।
8,स्पेन की राजधानी मैड्रिड कहलाती है।
9,पुर्तगाल की राजधानी लिस्बन है।
10,पुर्तगाल की राजधानी लिस्बन कहलाती है।
11,नीदरलैंड की राजधानी एम्स्टर्डम है।
12,नीदरलैंड की राजधानी एम्स्टर्डम कहलाती है।
13,बेल्जियम की राजधानी ब्रुसेल्स है।
14,बेल्जियम की राजधानी ब्रुसेल्स कहलाती है।
15,ऑस्ट्रिया की राजधानी वियना है।
16,ऑस्ट्रिया की राजधानी वियना कहलाती है।
17,स्विट्ज़रलैंड की राजधानी बर्न है।
18,स्विट्ज़रलैंड की राजधानी बर्न कहलाती है।
19,पोलैंड की राजधानी वारसॉ है।
20,पोलैंड की राजधानी वारसॉ कहलाती है।
21,चेकिया की राजधानी प्राग है।
22,चेकिया की राजधानी प्राग कहलाती है।
23,हंगरी की राजधानी बुडापेस्ट है।
24,हंगरी की राजधानी बुडापेस्ट कहलाती है।
25,ग्रीस की राजधानी एथेंस है।
26,ग्रीस की राजधानी एथेंस कहलाती है।
27,तुर्की की राजधानी अंकारा है।
28,तुर्की की राजधानी अंकारा कहलाती है।
29,नॉर्वे की राजधानी ओस्लो है।
30,नॉर्वे की राजधानी ओस्लो कहलाती है।
31,स्वीडन की राजधानी स्टॉकहोम है।
32,स्वीडन की राजधानी स्टॉकहोम कहलाती है।
33,फ़िनलैंड की राजधानी हेलसिंकी है।
34,फ़िनलैंड की राजधानी हेलसिंकी कहलाती है।
35,डेनमार्क की राजधानी कोपेनहेगन है।
36,डेनमार्क की राजधानी कोपेनहेगन कहलाती है।
37,ब्रिटेन की राजधानी लंदन है।
38,ब्रिटेन की राजधानी लंदन कहलाती है।
39,आयरलैंड की राजधानी डबलिन है।
