id,text
1,독일의 수도는 베를린예요.
2,독일 수도 이름은 베를린예요.
3,프랑스의 수도는 파리예요.
4,프랑스 수도 이름은 파리예요.
5,이탈리아의 수도는 로마예요.
6,이탈리아 수도 이름은 로마예요.
7,스페인의 수도는 마드리드예요.
8,스페인 수도 이름은 마드리드예요.
9,포르투갈의 수도는 리스본예요.
10,포르투갈 수도 이름은 리스본예요.
11,네덜란드의 수도는 암스테르담예요.
12,네덜란드 수도 이름은 암스테르담예요.
13,암스테르담.
14,벨기에의 수도는 브뤼셀예요.
15,벨기에 수도 이름은 브뤼셀예요.
16,오스트리아의 수도는 빈예요.
17,오스트리아 수도 이름은 빈예요.
18,스위스의 수도는 베른예요.
19,스위스 수도 이름은 베른예요.
20,폴란드의 수도는 바르샤바예요.
21,폴란드 수도 이름은 바르샤바예요.
22,체코의 수도는 프라하예요.
23,체코 수도 이름은 프라하예요.
24,헝가리의 수도는 부다페스트예요.
25,헝가리 수도 이름은 부다페스트예요.
26,부다페스트.
27,그리스의 수도는 아테네예요.
28,그리스 수도 이름은 아테네예요.
29,터키의 수도는 앙카라예요.
30,터키 수도 이름은 앙카라예요.
31,노르웨이의 수도는 오슬로예요.
32,노르웨이 수도 이름은 오슬로예요.
33,스웨덴의 수도는 스톡홀름예요.
34,스웨덴 수도 이름은 스톡홀름예요.
35,핀란드의 수도는 헬싱키예요.
36,핀란드 수도 이름은 헬싱키예요.
37,덴마크의 수도는 코펜하겐예요.
38,덴마크 수도 이름은 코펜하겐예요.
39,영국의 수도는 런던예요.
40,영국 수도 이름은 런던예요.
41,아일랜드의 수도는 더블린예요.
42,아일랜드 수도 이름은 더블린예요.
43,미국의 수도는 워싱턴 D.C.예요.
44,미국 수도 이름은 워싱턴 D.C.예요.
45,워싱턴 D.C..
46,캐나다의 수도는 오타와예요.
47,캐나다 수도 이름은 오타와예요.
48,멕시코의 수도는 멕시코시티예요.
49,멕시코 수도 이름은 멕시코시티예요.
50,멕시코시티.
51,브라질의 수도는 브라질리아예요.
52,브라질 수도 이름은 브라질리아예요.
53,브라질리아.
54,아르헨티나의 수도는 부에노스아이레스예요.
55,아르헨티나 수도 이름은 부에노스아이레스예요.
56,부에노스아이레스.
57,일본의 수도는 도쿄예요.
58,일본 수도 이름은 도쿄예요.
59,중국의 수도는 베이징예요.
60,중국 수도 이름은 베이징예요.
61,인도의 수도는 뉴델리예요.
62,인도 수도 이름은 뉴델리예요.
63,호주의 수도는 캔버라예요.
64,호주 수도 이름은 캔버라예요.
65,이집트의 수도는 카이로예요.
66,이집트 수도 이름은 카이로예요.
67,독일에 16개 주가 있어요.
68,독일에 약 8300-8400만 명이 살아요.
69,브라질에서 포르투갈어를 해요.
70,일본 화폐는 엔이에요.
71,미국 화폐는 달러예요.
72,"보통 7개 대륙을 세요: 아프리카, 남극, 아시아, 호주, 유럽, 북아메리카, 남아메리카."
73,"논란: 나일강과 아마존강, 둘 다 6500km 이상."
74,면적으로 세계 최대는 러시아예요.
75,세계 최대 동물은 흰긴수염고래예요.
76,"5개 대양: 대서양, 태평양, 인도양, 남극해, 북극해."
77,"가장 높은 산은 에베레스트, 약 8848m."
78,캐나다 수도는 오타와예요.
79,호주 수도는 캔버라예요.
80,터키 수도는 앙카라예요.
81,브라질 수도는 브라질리아예요.
82,첫 달 착륙은 1969년 아폴로 11호예요.
83,2차 대전은 1939년부터 1945년까지 이어졌어요.
84,1차 대전은 1914년부터 1918년까지 이어졌어요.
85,베를린 장벽은 1961-1989년 동서 베를린 사이 경계였어요.
86,베를린 장벽은 1989년 11월 9일 무너졌어요.
87,"전화는 1876년 벨 특허, 모이치가 선구예요."
88,상대성은 아인슈타인이 만들었어요.
89,"민주주의는 국민 힘이에요, 보통 자유 선거와 기본 권리."
90,"EU는 유럽 나라 연합, 단일 시장과 공동 기관."
91,EU에 27개 회원국이 있어요.
92,"기본법은 독일 헌법, 1949년 이래 유효."
93,독일은 1990년 통일했어요.
94,"중세는 약 500-1500년 시대, 고대와 근대 사이."
95,"다빈치는 이탈리아 예술가와 발명가, 모나리자로 유명."
96,퀴리는 방사능을 연구해 두 번 노벨상을 탔어요.
97,"프랑스 혁명 1789년 이래 군주제를 무너뜨렸어요, 자유 평등 박애."
98,"인권은 모두의 기본 권리, 생명 자유 평등 등."
99,"인플레이션은 가격 상승, 돈 가치 하락이에요."
100,산업화는 18세기 이래 기계와 공장으로 전환.
101,"기초는 1969년 ARPANET, 웹 1989년 이래."
102,자동차는 1886년 벤츠가 발명했어요.
103,첫 동력 비행은 1903년 라이트 형제.
104,연방의회 18세부터. 독일 유럽 선거 16세부터.
105,"유권자가 투표하고, 집계해, 결과로 의석을 나눠요."
106,독재는 한 사람이나 집단이 자유 선거 없이 다스려요; 민주 힘은 국민에게서.
107,지속가능은 미래 세대에도 자원이 남는 삶이에요.
108,"괴롭힘은 반복 괴롭힘이에요. 믿는 사람과 얘기하고, 증거 남기고, 도움 구해요."
109,평화는 전쟁 폭력 없이 함께 살기예요.
110,자유는 남을 해치지 않고 자유롭게 살기예요.
111,정의는 각자에게 공정 평등이에요.
112,"하늘은 파래요, 레일리 산란 때문: 파란 빛이 빨강보다 흩어져요."
113,"비는 증발로 생겨요: 물이 오르고, 식고, 구름 되고, 방울로 떨어져요."
114,광합성은 빛 물 CO2로 당과 산소를 만들어요.
115,날씨는 단기 상태; 기후는 약 30년 평균.
116,"냉장고는 냉매로 열을 안에서 밖으로 보내요: 안에서 증발해 열을 가져가고, 밖에서 내놔요."
117,"전기는 간단히 전하 방향 운동, 보통 선의 전자."
118,"물은 H2O, 수소와 산소 화합물."
119,"바이러스는 아주 작은 병원체, 숙주 세포 없이 못 늘어요."
120,인공지능은 데이터에서 배워 패턴 알고 일을 푸는 프로그램.
121,"브라우저는 사이트 여는 프로그램, 예 Chrome, Firefox, Edge나 Safari."
122,"앱은 프로그램, 보통 폰용, 예 메시지 사진 게임."
123,"물은 순환과 집중을 안정시키고, 콩팥과 피부를 도와, 두통을 막아요."
124,"약 2분, 하루 두 번."
125,중력은 질량 사이 인력이에요. 지구가 모두 아래로 당겨서 물건이 떨어져요.
126,"공기는 기체 섞음, 주로 질소와 산소."
127,심장은 온몸에 피를 보내요.
128,폐는 산소를 가져가고 이산화탄소를 내놓아요.
129,잠은 회복 기억 면역을 도와요.
130,"열은 높은 몸 온도, 자주 감염 방어."
131,"강한 비번은 길고, 서비스마다 유일, 관리자에 둬요."
132,Wi-Fi는 선 없는 지역망으로 네트.
133,"클라우드는 네트 서버, 데이터 두고 일 써요."
134,GPS는 위성 신호와 이동 시간으로 위치를 찾아요.
135,"낮과 밤은 지구가 돌아서. 양지 쪽 낮, 다른 쪽 밤."
136,계절은 축 기울기에서: 각 반구가 차례로 태양에 기울어요.
137,"달은 빛나요, 태양빛을 비춰서."
138,"태양은 뜨거운 기체 별, 빛과 열을 줘요."
139,"태양계에 8개 행성: 수성, 금성, 지구, 화성, 목성, 토성, 천왕성, 해왕성."
140,"원자는 물질 최소 단위, 핵과 전자로."
141,재활용은 쓰레기를 모아 새 제품을 만들어요.
142,온실효과는 열을 잡아요. 기체가 너무 많으면 기후가 더워져요.
143,"벌은 식물에 수분해, 수확과 다양성을 지켜요."
144,"잎은 초록, 광합성 색소 클로로필 때문."
145,"포유류는 털이 있고, 새끼 낳고, 젖을 먹여요."
146,건전지는 화학을 전기로 바꿔요.
147,태양전지는 빛을 직접 전류로 바꿔요.
148,바이러스는 퍼져 해치는 나쁜 프로그램. 업데이트와 주의로 지켜요.
149,"플라스틱은 거의 안 썩고, 자연과 바다를 더럽히고, 미세플라스틱이 돼요."
150,지진은 판이 갑자기 움직여 힘을 낼 때예요.
151,꿀은 벌이 꽃 꿀로 만드는 거예요.
152,25 곱하기 4는 100.
153,200의 12%는 24.
154,66이에요.
155,16:45에 도착.
156,2개 남아요.
157,8시간 자요.
158,각자 25유로.
159,2시간은 120분.
160,"1년은 365일, 윤년 366일."
161,1분은 60초.
162,33 더하기 42는 75.
163,66 빼기 9는 57.
164,12 곱하기 4는 48.
165,20 나누기 2는 10.
166,400의 25%는 100.
167,5 더하기 7는 12.
168,40 빼기 5는 35.
169,5 곱하기 11는 55.
170,24 나누기 8는 3.
171,200의 15%는 30.
172,59 더하기 42는 101.
173,69 빼기 15는 54.
174,8 곱하기 7는 56.
175,30 나누기 10는 3.
176,400의 5%는 20.
177,56 더하기 32는 88.
178,24 빼기 11는 13.
179,7 곱하기 12는 84.
180,180 나누기 10는 18.
181,43 더하기 15는 58.
182,93 빼기 59는 34.
183,6 곱하기 12는 72.
184,36 나누기 4는 9.
185,1000의 50%는 500.
186,19 더하기 53는 72.
187,43 빼기 13는 30.
188,3 곱하기 9는 27.
189,54 나누기 6는 9.
190,100의 5%는 5.
191,34 더하기 44는 78.
192,48 빼기 32는 16.
193,12 곱하기 11는 132.
194,168 나누기 12는 14.
195,100의 50%는 50.
196,44 더하기 12는 56.
197,19 빼기 10는 9.
198,6 곱하기 8는 48.
199,60 나누기 6는 10.
200,500의 10%는 50.
201,46 더하기 51는 97.
202,38 빼기 10는 28.
203,12 곱하기 2는 24.
204,120 나누기 8는 15.
205,100의 20%는 20.
206,38 더하기 18는 56.
207,68 빼기 64는 4.
208,5 곱하기 8는 40.
209,21 나누기 7는 3.
210,200의 5%는 10.
211,33 더하기 52는 85.
212,34 빼기 16는 18.
213,18 나누기 3는 6.
214,22 더하기 31는 53.
215,39 빼기 13는 26.
216,2 곱하기 12는 24.
217,30 나누기 6는 5.
218,300의 15%는 45.
219,5 더하기 60는 65.
220,8 빼기 4는 4.
221,10 곱하기 11는 110.
222,121 나누기 11는 11.
223,23 더하기 8는 31.
224,40 빼기 15는 25.
225,10 곱하기 9는 90.
226,9 나누기 3는 3.
227,1000의 5%는 50.
228,36 더하기 5는 41.
229,65 빼기 50는 15.
230,10 곱하기 5는 50.
231,48 나누기 6는 8.
232,300의 25%는 75.
233,17 더하기 29는 46.
234,46 빼기 27는 19.
235,3 곱하기 7는 21.
236,26 나누기 2는 13.
237,500의 15%는 75.
238,57 더하기 56는 113.
239,86 빼기 70는 16.
240,8 곱하기 5는 40.
241,72 나누기 8는 9.
242,9 더하기 29는 38.
243,60 빼기 32는 28.
244,12 곱하기 8는 96.
245,228 나누기 12는 19.
246,500의 50%는 250.
247,59 더하기 18는 77.
248,80 빼기 71는 9.
249,8 곱하기 2는 16.
250,40 나누기 10는 4.
251,200의 10%는 20.
252,51 더하기 5는 56.
253,83 빼기 21는 62.
254,4 곱하기 10는 40.
255,120 나누기 6는 20.
256,300의 50%는 150.
257,19 더하기 51는 70.
258,87 빼기 7는 80.
259,2 곱하기 9는 18.
260,30 나누기 2는 15.
261,14 더하기 18는 32.
262,12 빼기 10는 2.
263,3 곱하기 2는 6.
264,96 나누기 6는 16.
265,30 더하기 57는 87.
266,21 빼기 15는 6.
267,21:45에 끝나요.
268,약속은 12:30.
269,17:05에 돼요.
270,5시간 15분.
271,19:30에 끝나요.
272,"제일 짧은 매일에 카드로, 문장에 적극 쓰고 반복."
273,"예산 정하고, 구독 보고, 많이 요리하고, 값 비교하고, 먼저 고정액 둬요."
274,"간단 토마토 소스 만들어요: 양념하고, 끓이고, 면에 붓고, 치즈 뿌려요."
275,"가져가요: 증명이나 여권, 표, 돈, 폰과 충전기, 약, 위생과 기내 갈아입기."
276,"잘못을 말하고, 책임지고, 아쉬움 보이고, 고치기 내놔요, 짧고 진실."
277,"교통 호텔 정하고, 하루 2-3곳 고르고, 밥길 여유와 하루 예산."
278,"네, 가져가요. 80%에 비가 아주 와요."
279,"둘 다 좋아요: 종이는 산만 없고 기억에 좋아, 폰은 찾고 항상 가져요."
280,"먼저 쓰레기, 다음 빨래, 다 제자리, 끝에 닦기."
281,"접지 말고 말고, 무거운 아래, 양말로 채워요."
282,"쌀 씻고, 두 배 물에 끓이고, 10-12분 뜸 들여요."
283,"물 많이 소금하고 끓이고, 8-10분 삶아 건져요."
284,"밀가루 우유 달걀과 소금 조금 섞어, 얇게 노릇하게 구워요."
285,"불 켜고, 물 한 잔 마시고, 조금 움직이고, 공기 마셔요."
286,"어둡고 서늘하게 자고, 폰 두고, 고정 습관."
287,"덩어리로 나누고, 적극 자문하고, 쉬고, 다음 날 반복."
288,짧은 편지와 표 이력과 쓸모 증서를 써요.
289,"예산 정하고, 사이트 찾고, 서류 만들고, 질문 들고 보기."
290,"손가락 검사: 위 마르면 주고, 고이지 않게."
291,"3 우선 고르고, 쉬는 덩어리 짜고, 산만을 둬요."
292,"주 2회 걷기나 가볍게 시작해, 천천히 늘려요."
293,"병 준비하고, 매끼 한 잔, 알림 둬요."
294,"예를 오트 과일 요거트, 아니면 통밀빵 달걀."
295,"짧은 쉬기, 움직임, 충분한 잠과 얘기가 도와요."
296,"빨리 취소하고, 짧은 이유 말하고, 새 시간 내놔요."
297,"구체 청해요: 뭐, 언제까지, 왜. 예를: 오늘 들기 도와줄래요? 고마워요!"
298,"짧고 다정하게 아니요 말하고, 가능하면 대신 내놔요."
299,"목표 정하고, 매월 자동 모으고, 나머지 더해요."
300,"날짜에 유연하고, 사이트 비교하고, 빨리 잡아요."
301,"오프라인 지도 받고, 표지 따르고, 사람에게 물어봐요."
302,"개는 산책과 가르치기가 많이 필요하고, 고양이는 자립. 시간과 곳으로 골라요."
303,"기차는 쉬고 자주 녹색, 차는 짐에 유연. 막히면 기차가 이겨요."
304,"비타민과 배부름에 사과, 초콜릿은 예외."
305,"PC는 값에 강하고, 노트북은 움직여요. 최대에 PC 골라요."
